"year","julian.day","wild","river.age","sea.age","length","weight","sea.lice","river","country","sex"
2000,96,0,1,3,82.5,3.78,TRUE,"scorff","fr","F"
2004,91,1,1,2,90.8,5.73,FALSE,"nivelle","fr","F"
2012,96,1,1,3,91.2,6.33,FALSE,"scorff","fr","M"
2000,108,0,1,2,83.9,3.65,FALSE,"scorff","fr","F"
2005,175,0,1,1,71.5,2.07,FALSE,"moy","ie","F"
2009,154,0,1,1,77.1,3.33,FALSE,"moy","ie","M"
2003,122,0,1,2,72,2.75,FALSE,"scorff","fr","F"
2000,98,0,2,2,96.2,5.35,FALSE,"corrib","ie","M"
2017,134,0,1,4,89.7,5.01,FALSE,"nivelle","fr","F"
2005,149,1,1,1,68.4,3.02,FALSE,"moy","ie","F"
2009,140,1,3,1,57.2,1.62,FALSE,"moy","ie","M"
2006,155,0,1,1,70.4,2.24,FALSE,"nivelle","fr","M"
2010,142,1,2,1,55.4,1.43,FALSE,"scorff","fr","F"
2002,111,0,1,3,89.7,4.32,TRUE,"scorff","fr","M"
2016,180,0,1,1,72.5,2.7,FALSE,"corrib","ie","M"
2000,145,1,2,1,69.7,3.23,FALSE,"nivelle","fr","F"
2003,87,1,2,2,80.2,4.33,FALSE,"scorff","fr","F"
2013,169,0,1,1,74.5,3.03,FALSE,"moy","ie","M"
2001,92,1,2,2,81.8,4.33,TRUE,"corrib","ie","M"
2013,175,0,2,1,69.4,2.15,FALSE,"moy","ie","M"
2006,155,0,1,1,66.9,1.9,TRUE,"scorff","fr","M"
2009,156,1,2,1,76.4,3.53,FALSE,"moy","ie","M"
2001,146,1,3,1,67.9,2.64,FALSE,"oir","fr","F"
2005,165,0,1,1,68,2.26,FALSE,"corrib","ie","M"
2012,151,0,1,1,64.4,1.56,FALSE,"scorff","fr","F"
2007,139,1,2,1,64.9,1.93,FALSE,"scorff","fr","M"
2005,109,0,1,3,95.4,5.29,FALSE,"scorff","fr","F"
2000,98,1,1,2,77.7,4.07,FALSE,"nivelle","fr","M"
2007,92,1,1,4,91.5,4.9,TRUE,"nivelle","fr","F"
2005,164,1,1,1,68.6,2.68,FALSE,"moy","ie","F"
2008,73,1,3,2,80.4,4320,FALSE,"corrib","ie","F"
2003,83,0,1,2,85.3,4.88,FALSE,"nivelle","fr","F"
2015,136,1,1,2,77.1,3.32,FALSE,"scorff","fr","F"
2013,114,1,2,4,89,5.79,FALSE,"moy","ie","F"
2006,77,1,2,2,78.2,4.09,FALSE,"corrib","ie","F"
2017,160,1,1,1,56,1.53,FALSE,"oir","fr","M"
2011,170,0,1,1,54.9,0.99,FALSE,"scorff","fr","M"
2006,85,0,1,3,91.7,4.1,FALSE,"corrib","ie","F"
2001,111,0,1,2,93.5,5.47,TRUE,"moy","ie","F"
2011,113,1,1,2,78.9,3.94,TRUE,"corrib","ie","F"
2012,166,1,1,1,71.4,2.83,FALSE,"moy","ie","M"
2008,173,0,1,1,70.4,2.26,FALSE,"corrib","ie","M"
2012,186,0,1,1,60,1.46,FALSE,"scorff","fr","M"
2004,102,0,2,2,80.2,3.2,TRUE,"nivelle","fr","M"
2002,114,0,1,2,89.6,4.93,TRUE,"scorff","fr","F"
2003,119,0,1,3,96.7,5.29,TRUE,"moy","ie","F"
2007,76,1,2,3,37.5,6.53,FALSE,"moy","ie","F"
2003,87,1,2,3,98.2,6.78,FALSE,"corrib","ie","M"
2008,93,1,2,2,90.1,6.37,FALSE,"corrib","ie","M"
2004,104,1,1,2,94.9,7.16,FALSE,"corrib","ie","F"
2009,155,1,2,1,64,1.86,FALSE,"scorff","fr","M"
2015,117,0,2,2,79.4,3.25,FALSE,"corrib","ie","F"
2001,158,0,1,1,65.2,1.99,FALSE,"oir","fr","F"
2003,160,0,1,1,75,2.85,FALSE,"scorff","fr","F"
2004,97,0,2,2,77.3,3.39,FALSE,"nivelle","fr","M"
2010,103,0,1,2,89.9,4.4,TRUE,"moy","ie","F"
2014,106,1,2,2,84.7,5.48,FALSE,"scorff","fr","F"
2005,93,0,2,2,79.7,3.65,FALSE,"nivelle","fr","F"
2016,133,1,2,1,82.8,4.66,TRUE,"moy","ie","F"
2007,99,1,3,2,31.4,4.28,FALSE,"corrib","ie","F"
2000,151,0,1,1,55.8,1.05,FALSE,"scorff","fr","M"
2012,149,1,1,1,62.1,2.22,FALSE,"nivelle","fr","M"
2010,92,1,2,2,82.2,5.13,FALSE,"moy","ie","F"
2010,164,0,2,1,60.6,1.62,FALSE,"oir","fr","F"
2001,98,1,1,2,84.1,4.91,FALSE,"scorff","fr","F"
2009,111,1,2,3,91.3,7.31,TRUE,"moy","ie","F"
2001,108,1,1,3,96.7,7.16,TRUE,"moy","ie","F"
2008,147,1,1,1,66,2.09,FALSE,"scorff","fr","M"
2016,123,0,1,2,76.5,3.01,FALSE,"nivelle","fr","F"
2004,123,0,1,2,75.1,3.07,FALSE,"scorff","fr","F"
2001,130,1,1,1,73.8,4.04,TRUE,"moy","ie","F"
2000,89,1,2,2,97.6,8.04,FALSE,"corrib","ie","M"
2010,170,0,1,1,72.7,2.78,FALSE,"moy","ie","F"
2002,82,0,1,2,88.6,4.15,FALSE,"corrib","ie","F"
2009,152,0,2,1,65.2,1.94,FALSE,"corrib","ie","M"
2001,148,1,3,1,84.2,4.65,FALSE,"moy","ie","F"
2013,107,1,1,2,77.3,3.87,FALSE,"scorff","fr","F"
2006,117,0,1,4,105.9,9.28,TRUE,"moy","ie","F"
2005,161,0,1,1,72.1,2.65,FALSE,"corrib","ie","M"
2013,113,0,1,2,83,3.59,FALSE,"moy","ie","M"
2001,143,0,1,1,63.3,1.43,FALSE,"nivelle","fr","F"
2008,124,0,1,2,84.9,4.52,FALSE,"moy","ie","F"
2000,92,0,1,2,84.7,3.85,FALSE,"corrib","ie","F"
2012,173,0,2,1,66.8,2.4,FALSE,"nivelle","fr","M"
2000,105,0,1,2,77.7,3.2,FALSE,"scorff","fr","F"
2017,172,0,1,1,71.9,2.87,FALSE,"moy","ie","F"
2008,171,0,1,1,71.5,2.64,FALSE,"moy","ie","F"
2013,117,0,1,2,81.9,4.14,FALSE,"moy","ie","F"
2008,170,0,1,1,77.2,3.91,TRUE,"nivelle","fr","F"
2001,94,1,2,2,83.3,4.52,FALSE,"moy","ie","F"
2010,123,0,1,2,93.6,6.25,TRUE,"moy","ie","F"
2004,132,1,1,1,65.3,2.43,FALSE,"scorff","fr","F"
2001,90,1,2,3,86.6,4.18,FALSE,"nivelle","fr","F"
2004,85,1,3,2,88.5,6.15,FALSE,"corrib","ie","F"
2008,116,0,1,3,85.9,4.69,FALSE,"scorff","fr","F"
2003,111,0,1,3,91.7,5.11,FALSE,"scorff","fr","F"
2000,92,0,1,2,96.9,6.07,TRUE,"corrib","ie","F"
2013,90,1,3,2,80.9,4.07,FALSE,"moy","ie","F"
2014,173,0,1,1,65.2,2.02,FALSE,"scorff","fr","M"
2003,125,1,2,1,63.4,2.17,FALSE,"corrib","ie","M"
2004,94,1,2,2,93,6.72,FALSE,"moy","ie","F"
2005,141,0,1,1,60,1.29,FALSE,"oir","fr","F"
2010,111,1,2,2,73.9,3.45,FALSE,"scorff","fr","F"
2013,163,0,1,1,68.9,2.04,FALSE,"moy","ie","M"
2008,103,1,2,2,79.7,3.78,FALSE,"moy","ie","M"
2011,106,1,1,2,73.8,3.19,FALSE,"nivelle","fr","F"
2009,101,1,1,2,80.4,4.27,FALSE,"corrib","ie","M"
2011,174,1,2,1,57.5,1.53,FALSE,"oir","fr","F"
2005,155,0,1,1,62,1.85,FALSE,"scorff","fr","M"
2004,83,1,1,2,83.3,4.46,TRUE,"nivelle","fr","M"
2003,145,1,2,1,58.8,2.05,FALSE,"oir","fr","M"
2005,107,0,2,2,80.6,2.93,FALSE,"corrib","ie","F"
2003,128,1,2,1,71.6,2.23,FALSE,"corrib","ie","M"
2007,129,0,2,2,34.4,4.37,FALSE,"corrib","ie","F"
2016,122,0,1,3,81.5,3.59,FALSE,"nivelle","fr","F"
2009,171,0,2,1,63.8,1.98,FALSE,"oir","fr","M"
2003,166,0,1,1,70.4,2.19,FALSE,"corrib","ie","F"
2015,142,0,1,2,74.9,2.54,FALSE,"nivelle","fr","F"
2005,135,0,1,1,59.2,1.16,FALSE,"oir","fr","M"
2003,166,0,1,1,67.9,2,FALSE,"corrib","ie","F"
2006,116,0,1,4,104,8.39,FALSE,"corrib","ie","F"
2009,92,1,1,2,87.6,5.48,FALSE,"corrib","ie","F"
2000,167,0,2,1,65.4,2,FALSE,"corrib","ie","M"
2015,174,0,1,1,61.4,1.65,FALSE,"moy","ie","M"
2001,151,0,2,1,61.8,1.58,TRUE,"oir","fr","F"
2005,141,1,1,1,69.1,2.77,TRUE,"corrib","ie","M"
2012,121,0,1,2,85.1,4.61,FALSE,"corrib","ie","M"
2003,117,0,2,2,87,3.89,FALSE,"corrib","ie","F"
2001,113,1,1,2,78.3,3.33,TRUE,"nivelle","fr","F"
2009,113,0,1,2,83.2,4.21,TRUE,"oir","fr","F"
2008,145,1,1,1,68.3,2.59,FALSE,"scorff","fr","M"
2002,84,1,1,2,93.3,6.59,TRUE,"corrib","ie","F"
2004,91,1,2,3,79.9,3.27,FALSE,"nivelle","fr","F"
2007,86,1,2,3,37.9,8.06,FALSE,"moy","ie","F"
2006,161,0,2,1,74.5,2.86,FALSE,"corrib","ie","M"
2003,81,1,2,2,82.2,4.55,TRUE,"moy","ie","F"
2001,96,1,1,2,84.7,5.04,FALSE,"moy","ie","F"
2000,105,0,1,2,82.4,4,FALSE,"scorff","fr","F"
2005,109,1,2,2,83.4,4.1,FALSE,"moy","ie","F"
2005,98,1,3,2,86.5,4.91,FALSE,"corrib","ie","F"
2003,145,0,1,1,63.5,1.91,FALSE,"corrib","ie","M"
2016,170,0,2,1,64,1.69,FALSE,"corrib","ie","M"
2017,130,0,1,2,93.2,5.68,FALSE,"moy","ie","F"
2006,99,1,2,4,107.2,10.6,FALSE,"moy","ie","F"
2000,109,0,1,2,71.7,2.24,FALSE,"nivelle","fr","F"
2004,123,0,1,2,93.9,5.19,FALSE,"corrib","ie","M"
2011,169,0,1,1,61.7,1.3,FALSE,"nivelle","fr","M"
2001,84,0,1,3,93,5.03,TRUE,"scorff","fr","M"
2004,163,0,1,1,65,1.48,FALSE,"scorff","fr","M"
2010,156,1,2,1,70.8,3.24,FALSE,"oir","fr","F"
2002,104,1,1,2,87.7,4.8,FALSE,"nivelle","fr","M"
2000,148,1,2,1,63.3,1.81,FALSE,"scorff","fr","M"
2007,148,1,2,1,63.3,2.08,FALSE,"nivelle","fr","M"
2011,154,1,1,1,74.2,3.91,FALSE,"oir","fr","M"
2000,110,0,1,2,81.9,3.45,FALSE,"scorff","fr","F"
2005,97,0,1,2,85.3,4.24,FALSE,"nivelle","fr","F"
2016,105,1,1,2,84.1,4.76,FALSE,"moy","ie","M"
2004,104,0,1,2,89.1,4.4,TRUE,"corrib","ie","F"
2000,77,1,2,2,71.4,3.24,FALSE,"scorff","fr","F"
2012,110,1,1,2,78.7,3.71,FALSE,"moy","ie","F"
2005,94,0,1,2,87.8,4.85,FALSE,"corrib","ie","F"
2010,168,0,2,1,79.4,3.9,FALSE,"moy","ie","F"
2003,90,0,1,3,90.1,4.64,FALSE,"moy","ie","F"
2011,156,1,1,1,64.4,1.97,TRUE,"scorff","fr","M"
2016,188,0,2,1,64.3,1.81,FALSE,"scorff","fr","M"
2006,168,0,1,1,73.4,2.4,FALSE,"corrib","ie","F"
2010,102,1,2,2,79,4.67,FALSE,"corrib","ie","F"
2015,110,1,2,2,79.4,4.08,FALSE,"corrib","ie","F"
2015,97,1,1,3,83.8,4.41,FALSE,"corrib","ie","F"
2017,113,1,1,2,82.8,4.45,FALSE,"corrib","ie","F"
2011,158,1,3,1,62.7,1.73,FALSE,"scorff","fr","M"
2016,175,0,1,1,70.7,2.15,FALSE,"corrib","ie","M"
2006,150,0,2,1,70.9,2.35,FALSE,"corrib","ie","M"
2007,119,0,1,2,79.3,3.51,FALSE,"scorff","fr","F"
2015,109,1,1,4,83.7,4.75,FALSE,"nivelle","fr","F"
2007,163,0,2,1,26.9,1.96,FALSE,"corrib","ie","F"
2007,110,1,2,3,38.3,8.85,FALSE,"corrib","ie","F"
2009,128,0,1,2,78.7,3,FALSE,"scorff","fr","M"
2007,137,1,1,1,54.4,1.16,FALSE,"nivelle","fr","F"
2017,96,1,1,2,78.7,5.12,FALSE,"corrib","ie","F"
2012,123,0,1,2,81,3.28,FALSE,"corrib","ie","F"
2009,145,0,1,2,94.5,5.51,FALSE,"corrib","ie","F"
2016,97,1,1,2,79.7,5.13,FALSE,"corrib","ie","F"
2017,156,1,1,1,64.3,2.24,FALSE,"corrib","ie","M"
2012,155,0,1,1,63.1,1.78,FALSE,"corrib","ie","M"
2006,116,0,1,2,91.1,5.27,FALSE,"moy","ie","M"
2012,169,1,1,1,64.7,2.04,FALSE,"moy","ie","M"
2006,88,1,2,2,76.1,3.21,FALSE,"nivelle","fr","F"
2006,171,0,1,1,62.4,1.73,FALSE,"corrib","ie","F"
2008,141,1,2,1,80.5,4.76,TRUE,"scorff","fr","M"
2003,86,1,2,2,84.1,4.7,FALSE,"moy","ie","F"
2009,119,0,2,2,88.5,5.22,FALSE,"moy","ie","F"
2008,165,0,2,1,72,2.63,FALSE,"nivelle","fr","F"
2006,120,0,1,2,86.9,4.52,FALSE,"moy","ie","M"
2005,98,1,2,2,81.2,4.78,FALSE,"scorff","fr","M"
2000,86,1,2,2,90.8,6.18,FALSE,"moy","ie","F"
2007,119,0,1,2,77.5,3.44,FALSE,"nivelle","fr","F"
2000,69,1,2,2,94.2,6.15,FALSE,"moy","ie","F"
2003,90,1,1,3,90.3,7.69,FALSE,"corrib","ie","F"
2001,84,1,2,2,73.4,3.9,FALSE,"scorff","fr","F"
2012,106,1,2,2,70.6,3.16,FALSE,"scorff","fr","F"
2003,149,1,2,1,70.8,2.73,FALSE,"scorff","fr","M"
2008,103,1,1,3,97.9,7.04,FALSE,"corrib","ie","F"
2012,115,0,2,2,72.4,2.61,FALSE,"scorff","fr","F"
2014,170,0,1,1,63.6,2.04,FALSE,"moy","ie","M"
2007,97,1,1,2,33.9,5.51,FALSE,"corrib","ie","F"
2007,86,1,2,2,33.7,4.8,FALSE,"corrib","ie","F"
2004,98,1,1,2,91.2,4.88,FALSE,"moy","ie","F"
2000,93,1,2,2,85.5,5.56,TRUE,"moy","ie","F"
2009,198,0,1,1,61.3,1.77,FALSE,"moy","ie","M"
2012,121,0,3,3,83.6,3.49,TRUE,"scorff","fr","F"
2002,147,0,1,1,69.1,2.06,FALSE,"nivelle","fr","M"
2003,108,0,1,4,87.5,4.28,FALSE,"nivelle","fr","M"
2017,141,0,1,2,73.5,2.9,TRUE,"moy","ie","F"
2002,83,1,1,4,91.3,5.03,FALSE,"scorff","fr","F"
2001,98,0,1,3,97.4,6.78,TRUE,"corrib","ie","F"
2000,97,0,2,2,89,4.84,FALSE,"moy","ie","F"
2004,142,0,1,1,66.5,1.69,FALSE,"scorff","fr","M"
2010,107,0,1,2,70.8,2.46,FALSE,"scorff","fr","F"
2007,161,0,1,1,26.1,2.06,FALSE,"corrib","ie","F"
2015,113,0,1,3,81.1,3.8,FALSE,"oir","fr","F"
2004,149,1,1,1,65.2,2,FALSE,"scorff","fr","F"
2016,178,0,1,1,64.6,2.04,FALSE,"scorff","fr","M"
2000,151,1,2,1,68.9,2.63,FALSE,"scorff","fr","M"
2007,106,0,1,3,87.2,5.24,FALSE,"nivelle","fr","F"
2008,153,1,3,1,61.3,1.98,FALSE,"nivelle","fr","M"
2004,149,1,2,1,68.7,2.79,FALSE,"moy","ie","M"
2011,142,1,2,1,77.5,3.42,FALSE,"moy","ie","M"
2004,111,0,1,2,78.3,2.79,FALSE,"oir","fr","F"
2004,156,0,1,1,65.8,1.92,FALSE,"nivelle","fr","M"
2010,139,1,1,1,78.8,3.91,FALSE,"corrib","ie","M"
2000,168,0,1,1,55.9,1.14,TRUE,"nivelle","fr","M"
2016,114,1,1,2,89,6.78,FALSE,"corrib","ie","F"
2000,73,1,2,2,73,3.35,FALSE,"nivelle","fr","M"
2004,84,1,3,2,88.8,5.42,FALSE,"corrib","ie","F"
2012,127,0,2,3,98.3,5.96,FALSE,"corrib","ie","F"
2010,122,0,2,2,83.8,4.57,FALSE,"scorff","fr","F"
2016,154,1,2,1,61.2,1.77,FALSE,"moy","ie","F"
2016,177,0,2,1,70.6,2.51,FALSE,"corrib","ie","M"
2000,93,0,2,3,95.3,5.51,TRUE,"nivelle","fr","F"
2011,144,0,1,2,83.1,3.18,FALSE,"nivelle","fr","F"
2009,165,0,1,1,76.9,3.05,FALSE,"corrib","ie","F"
2006,138,1,1,1,76,3.83,FALSE,"moy","ie","F"
2008,122,0,1,2,85.7,4.64,FALSE,"corrib","ie","F"
2015,151,1,2,1,67.9,2.74,FALSE,"moy","ie","F"
2005,142,1,2,1,60.4,1.83,FALSE,"nivelle","fr","F"
2007,151,1,2,1,27.7,3.01,FALSE,"corrib","ie","M"
2002,104,0,1,2,90.3,5.39,TRUE,"moy","ie","F"
2012,164,0,1,1,65.4,1.6,FALSE,"scorff","fr","M"
2007,113,0,2,2,78.9,3.8,FALSE,"nivelle","fr","F"
2006,144,1,1,1,68,2.95,TRUE,"moy","ie","M"
2004,124,0,1,3,92.9,5.13,FALSE,"corrib","ie","F"
2007,104,1,1,4,89.5,6.43,TRUE,"scorff","fr","F"
2010,156,1,1,1,66.2,2.18,FALSE,"corrib","ie","F"
2011,162,1,1,1,67.9,2.46,FALSE,"corrib","ie","F"
2004,115,0,1,2,86.3,3.96,TRUE,"oir","fr","M"
2003,101,0,1,2,80.7,3.12,FALSE,"scorff","fr","F"
2012,106,0,1,2,83.9,4.37,FALSE,"corrib","ie","F"
2009,114,0,1,2,78.4,3.45,FALSE,"moy","ie","F"
2011,162,0,1,1,70.9,2.24,FALSE,"moy","ie","M"
2009,177,0,1,1,64.5,1.75,FALSE,"oir","fr","M"
2007,135,1,2,1,25.8,2.16,FALSE,"moy","ie","M"
2017,162,1,2,1,70,3.36,FALSE,"moy","ie","M"
2011,81,1,1,2,77.3,3.97,TRUE,"nivelle","fr","M"
2003,108,0,1,2,82.8,3.65,FALSE,"scorff","fr","F"
2005,123,1,2,1,68.2,2.81,TRUE,"nivelle","fr","F"
2009,110,0,1,2,74.6,2.7,TRUE,"oir","fr","F"
2000,92,0,2,2,81.6,3.4,FALSE,"oir","fr","F"
2000,85,1,3,2,79.9,3.73,FALSE,"scorff","fr","F"
2001,88,1,1,3,91.1,5.52,TRUE,"nivelle","fr","M"
2001,131,1,1,1,70,3.16,FALSE,"corrib","ie","M"
2008,172,0,2,1,68.5,2.16,TRUE,"corrib","ie","F"
2001,78,0,1,2,95.7,5.04,TRUE,"corrib","ie","F"
2011,167,0,1,1,75.9,3.05,TRUE,"moy","ie","M"
2001,162,0,1,1,71.5,2.36,TRUE,"corrib","ie","M"
2005,142,1,1,1,81,4.74,FALSE,"corrib","ie","F"
2001,171,0,1,1,69.2,2.14,FALSE,"moy","ie","M"
2000,100,0,1,4,86.1,4.35,FALSE,"oir","fr","F"
2001,103,0,1,3,81.9,3.66,FALSE,"scorff","fr","F"
2001,147,0,2,1,74.8,2.83,FALSE,"moy","ie","M"
2013,126,0,2,2,73.3,2.54,FALSE,"scorff","fr","F"
2008,115,1,2,2,93.8,8.19,TRUE,"moy","ie","F"
2007,81,1,1,2,31.9,3.56,FALSE,"corrib","ie","M"
2016,105,1,3,2,77.4,3.83,TRUE,"nivelle","fr","F"
2006,97,0,1,2,81.9,3.75,FALSE,"moy","ie","F"
2014,165,0,1,1,49.8,0.79,FALSE,"oir","fr","F"
2003,99,0,1,3,82.3,3.63,FALSE,"scorff","fr","F"
2008,159,0,1,1,80.5,3.04,FALSE,"moy","ie","F"
2002,154,0,1,1,66.9,2,FALSE,"scorff","fr","M"
2003,81,1,2,3,90.8,6.41,TRUE,"scorff","fr","F"
2004,94,1,1,2,84.3,4.58,FALSE,"moy","ie","M"
2000,109,0,1,2,91.4,5,FALSE,"corrib","ie","F"
2003,106,0,1,3,94.5,6.02,FALSE,"moy","ie","F"
2010,171,0,1,1,65.6,1.74,FALSE,"oir","fr","F"
2005,113,1,2,2,78.7,4.64,FALSE,"nivelle","fr","F"
2012,104,1,2,2,82.1,4.61,FALSE,"oir","fr","F"
2013,122,1,2,2,82.8,4.35,FALSE,"corrib","ie","M"
2006,88,1,3,2,72.9,3.55,FALSE,"scorff","fr","F"
2011,182,0,1,1,61,1.74,FALSE,"corrib","ie","F"
2014,159,0,1,1,66.5,2.1,FALSE,"scorff","fr","F"
2008,97,1,2,2,75.1,3.72,FALSE,"nivelle","fr","M"
2007,145,0,1,1,27.9,2.5,FALSE,"moy","ie","M"
2004,142,1,2,1,67.2,2.1,FALSE,"nivelle","fr","M"
2004,157,0,1,1,77.7,3.23,FALSE,"scorff","fr","M"
2007,108,0,1,2,33.5,4.02,FALSE,"moy","ie","F"
2000,152,0,2,1,71.7,2.58,FALSE,"moy","ie","F"
2017,166,0,1,1,67.8,2.23,FALSE,"moy","ie","M"
2015,121,1,3,3,82.7,4.64,FALSE,"oir","fr","F"
2003,111,0,1,2,89.7,4.74,FALSE,"corrib","ie","F"
2017,177,0,1,1,60.6,1.34,FALSE,"moy","ie","F"
2006,154,1,2,1,65.8,2.03,FALSE,"corrib","ie","M"
2010,100,1,3,4,90.6,6.03,FALSE,"oir","fr","F"
2004,151,1,2,1,63.2,2.1,FALSE,"oir","fr","M"
2011,115,0,2,3,84.4,4.16,FALSE,"nivelle","fr","F"
2000,114,0,1,3,97.6,5.22,FALSE,"moy","ie","F"
2005,142,1,2,1,52.8,1.16,FALSE,"nivelle","fr","F"
2014,162,1,1,1,71.3,3.35,FALSE,"scorff","fr","M"
2012,171,0,2,1,56.4,1.15,FALSE,"nivelle","fr","M"
2011,97,1,2,2,74.8,3.66,FALSE,"scorff","fr","F"
2005,74,1,3,2,83.6,5.37,FALSE,"scorff","fr","F"
2008,160,1,1,1,64.7,2.21,FALSE,"nivelle","fr","M"
2010,117,0,1,3,98.3,6.21,TRUE,"corrib","ie","F"
2010,102,1,1,3,96.7,7.56,TRUE,"moy","ie","F"
2005,100,1,2,2,79.9,3.82,FALSE,"corrib","ie","F"
2001,86,1,2,2,90,7.82,FALSE,"corrib","ie","M"
2007,104,0,1,3,88.7,4.76,TRUE,"nivelle","fr","F"
2013,104,1,2,3,90.6,6.45,FALSE,"nivelle","fr","F"
2017,132,0,1,2,76.2,3.56,FALSE,"corrib","ie","M"
2007,95,1,2,2,36.8,6.67,TRUE,"moy","ie","F"
2002,108,1,2,2,78.4,3.96,FALSE,"oir","fr","F"
2011,100,0,1,2,83.4,4.97,TRUE,"corrib","ie","F"
2001,111,0,2,2,90.8,4.59,FALSE,"moy","ie","F"
2003,97,1,1,2,84.8,5.02,FALSE,"moy","ie","M"
2004,116,0,1,2,89.2,4.69,TRUE,"moy","ie","M"
2010,154,0,1,1,61.4,1.39,FALSE,"oir","fr","F"
2006,120,0,2,2,86.3,4.8,FALSE,"oir","fr","F"
2001,136,1,3,1,69.3,2.98,FALSE,"moy","ie","M"
2008,163,0,1,1,61.5,1.6,FALSE,"oir","fr","M"
2007,118,0,2,2,31.7,3.47,FALSE,"moy","ie","F"
2009,121,0,1,2,76.1,2.78,FALSE,"scorff","fr","M"
2007,149,0,1,1,27.2,2.27,FALSE,"corrib","ie","M"
2009,117,0,1,2,79.8,3.86,FALSE,"scorff","fr","F"
2015,180,0,1,1,66.1,1.77,FALSE,"scorff","fr","F"
2008,115,0,1,2,85.5,4.19,FALSE,"nivelle","fr","F"
2008,87,1,2,2,91,5.57,FALSE,"corrib","ie","F"
2009,166,0,1,1,67.8,1.88,FALSE,"corrib","ie","M"
2000,106,0,1,2,93,5.68,FALSE,"scorff","fr","F"
2001,97,0,1,2,84.1,4.21,FALSE,"corrib","ie","F"
2001,65,1,2,4,91.4,6.16,FALSE,"moy","ie","F"
2005,171,0,1,1,69.5,1.96,FALSE,"moy","ie","M"
