"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
"11" 5.61 6 4.13 2.84 1.24 3.83 4.08 6.19 5.99 6.33 6.31 7.59 3.98 4.42 5.22 2.74 3.65 3.54 9.21 5.17 5.87 2.61 7.38 6.48 3.73 4.58 2.59 5.24 4.75 4.27 3.43 5.99 4.12 6.08 6.7
"12" 5.58 7.82 7.15 3.01 3.52 3.75 7.09 3.22 7.48 4.37 6.78 4.78 2.44 8.51 5.1 8.08 6.32 9.66 3.89 3.03 4.3 7.23 5.93 4.43 2 2.67 7.39 5.23 6.3 7.83 4.11 2.97 8.56 5.02 3.73
"13" 1.55 2.41 0.54 7.68 4.97 3.72 8.97 8.02 5.11 8.29 4.43 5.1 2.54 4.96 -0.07 2.39 3.36 4.88 6.57 3.57 2.96 7.58 7.43 3.44 3.52 3.38 6.01 3.41 2.98 2.03 6.73 3.77 3.34 3.17 6.03
"14" 1.56 8.79 3.02 4.31 3.93 4.37 3.19 5.27 10.27 3.11 4.44 2.65 3.74 2.78 5.57 9.76 7.86 5.41 8.18 4.13 7.62 5.14 8.96 5.65 5.15 5.77 2.4 3.96 4.49 2.24 2.11 6.41 7.47 8.12 4.41
"15" 1.38 2.04 5.81 4.73 1.77 5.52 3.94 8.06 3.06 6.44 4.77 3.47 4.9 7.16 2.32 1.27 4.09 7.38 5.86 2.61 1.73 5.58 4.88 5.01 7.17 0.89 4.73 2.53 6.64 5.31 5.04 5.7 4.78 5.29 6.38
"16" 3.52 3.2 6.33 6.24 4.89 4.36 1.88 2.74 3.41 9.65 4.62 2.76 2.37 2.4 1.37 5.95 6.74 5.83 2.96 9 -0.22 1.93 1.27 5.13 5.68 4.2 2.98 5.02 8.38 6.39 5.04 4.04 6.12 7.18 2.82
"17" 5.74 4.74 5.49 3.65 6.79 2.92 2.78 2.53 4.42 2.43 6.83 1.6 5.17 6.55 9.9 3.9 3.53 5.83 4.99 7.28 3.12 7.86 5.68 5.71 5.49 5.33 4.02 2.56 9.95 3.51 9.79 6.36 8.73 4.65 6.53
"18" 4.66 5.72 3.79 9.28 3.86 5.08 2.15 4.96 5.86 7.74 7.69 0.68 8.33 8.03 8.51 5.91 6.66 7.38 7.73 4.06 5.33 3.32 6.3 4.47 5.09 5.54 7.65 3.53 8.31 4.63 7.8 3.59 6.13 4.84 3.5
"19" 6.83 4.84 0.25 5.15 5.94 8.9 2.76 6.48 6.55 5.4 4.7 3.06 9.17 6.13 4.74 5.31 5.49 4.81 7.17 2.3 3.5 3.26 -1.21 5.11 4.53 6.86 5.71 5.25 3.65 4.77 2.59 6.85 4.47 5.74 5.48
"20" 1.63 2.1 3.75 0.54 4.38 7.42 5.03 4.5 5.34 5.61 3.61 6.37 9.17 5.9 3 4.36 5.92 5.65 4.82 4.92 5.32 4.64 7.72 -0.4 5.85 5.23 8.12 8.77 5.97 1.31 1.89 5.94 5 2.15 6.27
"21" 3.12 3 6.82 8.92 6.26 5.06 5 6 7.44 4.92 7.98 6.4 4.63 7.21 4.05 5.34 1.93 4.63 5.95 3.69 5.2 1.02 4.02 5.83 6.74 5.8 8.34 6.47 5.95 4.81 0.08 4.63 4.95 5.73 6.13
"22" 2.22 9.33 8.65 2.46 3.2 2.58 2.9 4.59 5.43 6.16 6.73 5.67 3.08 4.06 3.52 6.28 1.07 5.8 7.24 6.63 -1.23 7.89 4.38 4.65 4.5 4.73 5.68 1.5 7.86 5.5 6.02 3.75 5.62 5.52 6.24
"23" 5.87 4.49 7.53 5.7 5.76 4.26 0.8 3.3 7.45 2.27 2.32 4.77 4.83 3.78 5.42 4.12 4.58 6.84 6.98 3.21 5.97 3.36 7.65 4.15 5.58 7.27 5.66 5.27 8.34 8.09 2.08 5.41 2.22 6.06 5.14
"24" 1.48 5.98 6.18 7.89 5.25 2.55 4.17 4.7 3.51 6.71 1.99 5.54 5.95 5.44 4.53 7.4 4.22 7.47 7.1 3.34 5.44 6.82 7.19 2.93 4.32 3.59 5.05 4.24 4.95 2.72 5.72 8.55 5.24 4.45 3.73
"25" 2.49 3.04 3.26 5.1 11.03 9.76 4.37 4.65 4.6 0.87 3.17 2.64 4.95 4.77 3.3 4.56 1.84 7.35 3.31 4.19 4.38 4.91 0.18 7.91 3.44 0.76 4.78 6.33 6.19 5.22 6.21 6.61 2.64 4.11 9.41
"26" 7.7 6.27 5.87 4.54 2.83 5.9 1.44 5.87 5.94 3.24 7.73 7.82 3.42 5.42 7.65 7.02 4.43 3.32 4.82 6.26 4.2 4.09 5.6 3.18 5.67 4.55 2.91 4.93 2.49 7.51 4.19 2.52 5.77 5.6 4.86
"27" 5.29 5.25 1.03 5.04 4.14 6.54 4.19 7.16 7.85 2.76 4.24 4.09 0.1 5.13 4.69 3.75 4.86 5.18 3.88 8.67 3.82 4.77 2.21 3.6 2.96 2.57 4 5.01 5.06 4.77 4.47 7.02 6.56 8.81 5.53
"28" 5.79 4.51 3.8 4.29 4.51 4.78 5.49 3.16 5.28 5.47 4.68 8.67 10.85 4.42 5.68 4.81 5.01 5.29 4.29 5.09 6.03 4.81 9.39 2.86 7.93 3.45 6.95 5.69 6.9 6.67 9.2 5.83 8.94 3.39 3.1
"29" 4.59 6.36 6.89 7.21 4.46 5.84 6.88 2.42 -0.18 4.01 6.18 3.74 3.95 5.11 4.38 3.78 5.59 6.85 2.81 8.96 2.29 4.77 1.14 5.16 4.08 4.77 3.81 3.07 5.12 3.81 5.54 6.4 3.7 3.64 7.34
"30" 3.81 6.04 3.14 4.96 4.26 7.06 6.83 8.43 7.11 6.45 2.8 7.94 3.33 3.63 7.2 0.35 2.29 5.56 6.3 4.75 4.75 6.67 4.85 4.56 4.16 4.67 1.49 4.92 2.24 5.62 6.74 3.72 7.08 1.88 5.5
"31" 3.82 3.08 3.57 7.72 5.88 3.11 7.76 9.15 6.95 3.28 4.75 3.04 8.69 5.61 7.49 4.97 8.44 5.12 5.08 5.64 2.21 4.51 3.64 8.45 4.71 4.54 2.82 4.35 3.77 1.99 5.81 5.76 4.16 3.79 4.72
"32" 3.7 4.65 4.68 7.23 5.01 4 1.79 4.77 5.81 4.91 5.17 4.64 4.47 9.35 7.22 5.44 4.4 3.54 1.77 1.99 5.37 5.81 5.99 9.88 3.81 6.44 4.44 7.42 3.55 5.05 5.28 6.65 8.34 4.48 2.31
"33" 3.07 5.25 2.66 7.92 5.57 1.97 3.73 3.25 5.46 7.19 4.63 6.73 5.54 7.85 2.21 4.32 4.34 2.15 2.66 5.44 1.54 6.41 5.96 3.83 4.04 7.48 5.91 5.28 4.34 3.19 6.29 6.92 6.48 5.39 5.67
"34" 1.86 5.35 2.04 4.69 2.75 6.2 6.9 6.88 5.05 3.62 4.09 1.51 6.37 4.15 10.14 4.71 5.42 1.27 6.38 5.51 8.52 7.84 6.48 4.5 2.75 4.44 4.16 9.47 6.09 5.65 4.93 5.71 7.65 2.27 4.12
"35" 7.5 3.15 4.67 4.35 4.46 5.03 3.01 7.59 6.27 4.44 7.03 6.3 3.67 6.9 9.79 6.73 1.39 2.1 5.28 3.24 3.38 5.72 5.51 6.7 7.64 1.89 2.88 6.56 5.18 6.35 4.34 5.68 6.37 5.88 2.22
"36" 6.67 6.02 4.65 1.47 3.55 4.79 6.51 2.19 6.77 4.06 8.75 1.77 6.87 4 5.88 5.09 5.85 5.48 7.01 5.44 2.32 8.76 4.2 3.43 1.69 5.73 9.19 4.94 9.43 5.76 4.65 3.47 4.63 6.35 7.19
"37" 5.84 6.19 5.26 2.57 4.2 3.8 6.46 4 5.18 3 4.05 7.03 4.79 4.01 5.21 3.05 5.94 10.69 2.74 5.97 8.95 7.3 5.23 5.08 6.63 5.42 2.28 6.07 6.78 2.31 2.38 6.65 6.4 6.88 6.45
"38" 1.78 4.72 2.49 6.83 6.08 6.06 1.75 7.68 3.22 4.35 3.15 4.66 4 1.07 2.01 10.58 5.08 7.53 6.06 5.61 5.95 6.48 4.55 3.4 6.3 6.78 3.47 3.7 1.66 2.86 5.14 5.24 5.11 1.5 6.02
"39" 5.66 6.11 4.77 4.08 4.2 1.94 3.2 5.4 5.7 4.48 2.97 4.31 0.61 7.81 1.92 7.92 1.81 7.1 6.84 6.92 1.16 3.27 5.48 3.69 7.31 2.24 3.82 6.98 0.38 3.9 5.44 5.9 7.14 6.31 2.77
"40" 1.68 4.07 7.88 2.6 2.57 6.24 6.93 5.46 3.13 6.63 8.48 7.04 3.41 5.46 7.74 7.27 4.93 3.67 4.76 5.79 5.38 4.47 7.55 3.25 2.87 4.27 7.65 7.8 3.84 5.05 4.86 5.48 3.29 4.94 7.11
"41" 8.48 0.79 2.27 4.57 6.66 3.14 4.06 3.8 4.5 7.65 -0.2 4.28 9.22 4.8 3.3 5.53 7.49 1.97 3.31 6.46 5.84 2.63 5.8 5.02 4.02 3.56 0.35 2.61 6.52 6.35 5.18 5.18 5.18 8.16 5.11
"42" 4.16 5.5 4.34 3.67 6.33 6.66 7.54 6.58 7.4 5.55 9.31 3.19 0.19 3.31 5.05 4.88 9.79 5.59 5.27 0.82 3.43 3.38 9.1 5.64 3.69 6.97 4.23 7.33 7.69 6.2 4.12 5.85 2.48 6.16 4.49
"43" 6.44 3.38 6.21 6.53 8.52 6.46 1.79 8.11 4.82 2.06 4.12 6.06 1.08 2.69 3.17 4.28 5.64 2.67 5.9 1.76 7.58 2.99 8.23 4.33 3.74 4.4 6.22 2.47 2.88 4.8 -1.15 5.42 4.25 3.83 4.14
"44" 4.63 4.16 2.16 4.11 8.91 3.65 3.97 6.19 6.15 5.69 6.13 5.79 3.75 6.57 0.99 6.23 6.89 5.65 2.13 9.97 7.57 1.36 6.26 5.08 4.5 7.9 4.68 4.04 3.8 5.25 5.27 6 7.15 3.4 7.82
"45" 7.91 3.92 5.39 6.94 4.82 2.2 6.94 4.49 6.59 4.26 4.83 3.53 5.9 3.67 3.13 2.48 4.16 7.42 8.14 4.44 3.8 4.62 7.58 3.63 7.41 3.59 4.51 7.08 4.69 5.4 4.8 5.63 4.78 3.5 9.32
"46" 7.12 7.32 6.16 5.43 3 4.54 6.86 3.87 4.23 3.15 5.23 5.83 5.16 4.21 5.55 8.35 4.23 7.91 4.79 2.97 6.54 4.15 3.54 7.24 6.13 3.13 4.68 9.61 2.46 6.44 0.61 5.37 7.65 0.81 2.57
"47" 8.22 3.78 5.23 4.2 4.62 5.81 4.24 4.49 8.23 4.16 6.76 3.93 4.73 6.94 10.44 4.64 6 5.15 5.97 5.43 4.33 6.03 6.75 4.96 5.76 5.15 3.22 5.54 6.35 3.75 5.21 5.1 4.96 3.4 7.39
"48" 6.27 5.38 5.62 5.9 5.11 4.64 3 3.32 6.43 6.26 4.39 5.64 4.63 4.24 4.08 6.26 2.38 4.63 1.86 1.99 4.09 8.02 11.28 5.11 6.05 4.32 6.3 3.79 5.72 8.18 5.91 6.11 7.46 2.14 6.8
"49" 2.2 3.62 3.81 7.57 3.42 6.78 5.25 5.04 6 3.39 3.87 4.34 6.65 2.17 2.52 5.87 7.08 5.95 6.56 2.64 7.05 3.4 6.21 3.34 2.43 6.56 7.86 6.71 4.09 4.91 6.12 4.42 2.75 -0.28 0.88
"50" 4.97 5.87 3.25 5.43 4.53 6.28 6.83 4.97 3.59 6.1 8.24 6.53 3.26 1.19 3.96 5.42 1.18 5.56 4.8 3.25 7.55 3.97 2.85 5.45 3.96 3.62 6.89 7.83 5.83 5.6 4.26 5.23 7.3 5.93 6.69
"51" 5.74 5.74 2.69 2.23 3.51 9.19 4.72 4.94 8.3 5.98 4.03 5.19 5.93 3.03 2.26 1.89 3.8 4.49 8.12 8.31 3.38 4.28 5.52 6.13 5.94 4.46 8 5.44 9.18 6.11 7.44 4.92 2.32 1.26 5.42
"52" 6.45 7.45 6.11 4.58 5.22 5.87 6.05 6.98 5.88 4.06 5.34 3.98 6.8 3.58 3.19 4.55 5.03 9.14 9.58 10.14 5.07 0.77 4.54 7.13 3.52 7.34 6.81 2.73 6.57 2.49 6.48 5.39 8.92 5.96 1.93
"53" 3.12 6.92 0.95 7.71 7.72 6.76 4.28 4.79 6.09 5.41 1.41 2.85 5.98 4.48 1.59 6.22 6.11 5.38 5.87 4.32 1.24 0.69 8.46 8.06 6.28 4.46 3.77 5.58 3.87 1.06 4.13 4.56 0.48 4.01 6
"54" 4.73 8.15 2.26 1.24 2.54 2.65 3 5.63 2.8 6.77 8.13 5.51 6.43 5.53 5.58 3.49 4.27 1.59 2.27 3.36 4.57 7.38 5.07 10.1 7.57 3.92 2.93 4.32 7.23 6.63 4.61 4.99 3.78 5.24 7.82
"55" 8.47 2.93 4.57 5.81 6.53 6.51 4.27 9.33 5.98 2.43 5.07 2.58 3.26 6.66 3.14 2.35 3.89 4.07 5.09 3.82 5.24 7.13 5.43 3.8 3.36 4.19 6.01 3.25 3.37 4.69 8.52 2.06 4.7 5.16 5.27
"56" 7.28 6.04 5.82 3.25 5.9 6.12 5.34 3.64 3.17 6.48 2 8.64 4.71 4.35 2.98 4.33 5.22 6.44 5.38 5.91 3.76 4.55 4.44 6.52 6.87 0.95 5.77 5.28 2.65 6.3 4.49 1.16 2.93 5.46 7.77
"57" 6.41 5.15 5.86 4.65 0.73 4.51 0.58 6.63 4.41 4.31 7.32 4.41 2.83 4.05 6.95 6.37 2.13 6.18 7.25 4.08 6.94 5.77 5.72 5.76 3.57 8.73 5.22 3.57 8.78 4.47 4.65 6.84 5.8 7.68 6.69
"58" 6.44 2.61 5.15 3.6 2.79 9.67 3.27 4.06 5.26 5.28 3.64 7.99 5.26 5.2 1.91 2.05 7.47 1.9 5.59 1.67 8.88 4.67 3.02 6.17 5.14 7.08 7.98 8.26 7.43 6.5 4.76 2.56 2.56 2.72 6.51
"59" 3.88 0.74 1.86 4.82 0.56 3.99 1.01 5.65 6.04 8.45 5.73 7.33 5.54 3.58 8.46 5.93 7.39 4.5 7.59 5.29 6 6.15 5.1 0.85 1.77 2.66 3.86 6.01 3.82 6.06 3.63 4.87 6.53 4.57 5.05
"60" 6.45 3.43 5.79 3.75 4 8.03 3.74 6.3 4.13 3.27 4.79 3.48 9.53 5.91 5.73 6.17 3.06 3.44 5.91 9.67 3.83 3.47 3.68 0.99 4.29 7.36 3.41 7.65 5.1 4.86 8.23 5.35 5.74 2.46 4.9
"61" 7.95 2 5.43 5.13 3.53 3.85 3.75 7.73 3.71 4.01 2.59 3.46 2.45 5.66 7.12 5.54 6.32 1.87 7.55 0.61 6 2.52 4.08 6.31 2.92 7.35 5.38 3.83 3.31 5.29 3.72 3.26 2.27 4.31 4.42
"62" 5.93 3.63 4.59 3.92 7.28 2.86 2.38 5.55 5.6 2.52 6.23 6.28 6.68 6.51 3.49 6.62 5.22 1.65 5.58 7.3 5.49 3.89 2.94 3.65 4.51 4.44 5.36 6.94 5.21 6.23 8.33 5.23 5.17 3.76 5.54
"63" 2.02 2.85 8.96 2.8 6.79 5.58 5.1 -0.87 6.3 7.51 6.57 6.95 2.18 4.54 5.73 4.37 5.7 6.34 0.89 2.59 3.39 6.83 4.94 3.67 5.95 6.13 3.8 1.07 3.82 8.82 7.15 4.38 7.32 5.19 3.22
"64" 7.89 1.23 6.06 1.6 8.82 6.65 3.54 3.54 5.58 3.5 4.49 2.59 5.89 5.45 2.36 6.18 6.06 3.31 3.49 5.08 8.83 7.03 3.26 3.67 4.36 1.94 3.72 6.27 5.06 4.88 4.65 5.85 5.42 5.18 6.5
"65" 9.57 6.71 3.64 4.41 4.99 6.47 8.18 4.45 4.05 1.54 6.05 1.15 3.55 3.76 3.77 5.54 6.23 6.42 6.44 4.99 1.64 5.15 3.99 6.89 5.83 4.75 3.58 4.85 5.2 2.17 4.65 4.16 2.42 6.02 5.68
"66" 6.33 7 4.37 4.09 5.66 5.5 5.33 5.86 2.55 6.04 5.06 5.49 5.26 7.05 3.73 3.44 7.52 1.51 3.38 5.12 6.69 10 2.53 4.08 6.79 2.7 5.22 5.63 5.3 6 2.9 2.92 6.34 2.38 3.69
"67" 6.53 4.57 3.89 5.11 3.11 1.92 7.39 4.93 5.89 4.26 1.92 4.18 4.69 5.52 3.31 5.55 8.08 4.51 4.72 5.42 5.5 8.2 4.43 4.33 3.95 6.18 6.28 1.04 4.61 4.24 4.39 1.04 5.53 3.22 6.33
"68" 8.57 5.61 5.39 1.02 4.28 5.89 4.8 -1.77 5.35 4.96 2.55 4.7 7.23 1.58 6.16 2.28 5.68 3.51 5.66 7.91 3.87 2.11 7.54 3.97 2.88 6.42 2.73 6.33 3.53 2.44 6.62 6.14 4.36 3.76 4.84
"69" 7.17 3.19 3.94 3.6 7.48 2.29 5.3 1.12 3.49 7.77 3 5.68 4.66 3.8 3.41 2.33 2.12 5.21 3.2 4.59 6.02 -0.99 7.12 3.04 6.44 4.27 4.09 2.68 3.11 7.76 6.21 1.71 7.43 6.34 4.67
"70" 5.18 6.95 4.19 6.03 6.85 2.08 3.73 6.54 5.76 4.91 5.87 6.45 3.43 5.07 8.58 5.42 4.09 7.42 4.51 6.26 6.1 9.21 4.7 4.12 4.21 5.53 1.6 4.6 7.51 3.13 7.31 8.97 2.69 7.75 2.02
"71" 5.26 1.86 3.54 4.58 6.44 6.6 5.11 5.21 6.57 3.61 4.93 0.22 4.84 3.1 4.91 5.93 8.16 7.45 3.19 6.16 9.95 4.47 8.8 5.79 2.3 5.6 5.01 2.64 4.72 6.41 2.92 3.35 5.85 6.86 5.26
"72" 3.43 5.09 4.74 5.38 7.01 9.82 1.9 4.46 5.32 6.03 7.12 4.51 7.21 2.25 6.74 5.54 5.11 3.63 8.36 5.34 10.29 6.46 6.18 1.88 9.31 5.05 4.92 5.16 1.1 4.05 5.64 6.24 6.62 5.08 6.04
"73" 4.67 1.94 6.93 4.84 4.64 4.92 7.39 2.97 3.75 8.07 4.9 2.76 3.79 4.04 4.6 5.84 2.69 3.04 5.21 3.81 1.38 1.87 5.25 6.94 3.97 9.12 3.44 3.01 3.39 5.59 4.18 7.93 2.64 8.52 5.85
"74" 6.54 4.22 2.13 6.46 8.68 2.92 2.28 2.37 1.58 2.44 8.81 8.74 4.43 3.26 0.86 7.36 7.16 5.05 4.81 6.88 5.81 6.58 5.16 4.69 7.61 2.68 9.01 6.11 2.69 6.51 7.14 8.92 2.93 3.85 8.09
"75" 3.64 6.9 5.31 4.88 6.99 3.53 5.33 2.13 1.54 5.44 1.81 3.53 7.63 9.4 7.53 3.05 4.76 2.3 6.14 5.25 3.93 6.77 7.86 1.31 4.55 4.99 5.33 3.78 3.81 5.68 4.6 5.42 6.57 4.16 7.3
"76" 5.6 8.31 2.85 3.26 4.01 5.42 3.41 4.52 6.2 5.75 5.34 2.88 3.02 3.73 6.21 4.97 4.27 6.63 3.79 3.49 4.9 7.69 3.81 5.42 3.77 4.1 6.84 3.31 4.07 3.29 5.44 2.36 2.42 8.53 6.07
"77" 7.73 3.14 7.85 2.94 6.36 5.37 5.46 5.29 7.04 4.67 5.53 3.21 7.54 3.27 4.78 4.86 2.12 11.55 2.13 2.83 5.92 4.4 5.98 4.67 7.69 3.04 1.16 5.53 3 3.25 -0.32 4.59 6.38 3.6 7.63
"78" 2.82 1.5 4.48 5.24 3.34 2.81 4.08 10.57 2.39 6.03 5.28 5.95 5.9 5.26 5.42 0.91 9.03 2.49 4.93 3.21 7.36 0.32 4.23 0.61 8.31 6.44 7.24 6.39 5.63 5.23 6.39 7.3 7.77 10.15 5.48
"79" 8.71 3.13 4.15 4.5 4.69 5.73 4.94 7.4 6.4 6.45 2.37 1.9 5.89 3.22 6.04 6.27 3.19 3.55 4.73 6.25 5.5 4.61 3.87 3.17 7.05 5.77 2.04 5.12 4.88 3.29 2.63 6.18 2.1 8.26 5.07
"80" 8.17 6.41 2.19 4.91 3.83 2.86 0.56 5.85 5.45 6.11 2.05 5.84 4.99 6.36 2.78 4.43 4.5 5.21 -0.22 6.4 7.2 5.98 3.76 4.58 5.89 3.15 2.74 8.67 6.31 4.24 9.11 2.19 2.97 4.45 4.51
"81" 5.58 7.12 4.99 4.21 6.29 4.78 4.9 4.47 5.63 2.5 7.6 6.37 7.93 8.14 4.63 5.68 1.4 3.69 6.94 5.16 7.28 3.97 3.23 3.06 5.21 6.84 2.57 4.77 5.39 0.68 3.85 4.82 8.1 2.64 6.65
"82" 3.13 6.3 5.48 6.05 3.63 4.13 5.5 6.93 4.49 7.62 3.17 1.39 8.39 1.68 7.45 5.24 6.64 2.71 6.61 1.37 4.89 6.57 5.42 7.43 5.4 4.96 2.45 1.92 7.95 3.19 4.99 6.64 5.48 4.09 3.56
"83" 7.31 5.98 3.97 -0.03 4.65 5.09 5.83 1.19 5.17 3.26 5.37 5.84 3.84 8.12 7.04 3.58 5.22 6.14 5.28 6.61 1.84 4.28 5.91 4.51 7.39 5.63 4.44 4.32 0.25 5.72 5.41 7.39 3.48 7.04 6.05
"84" 7.54 2.26 6.79 -0.97 8.65 5.58 1.94 7.81 7.59 3.78 3.48 8.31 7.08 3.44 7.18 6.63 3.84 5.44 4.78 3.78 4.04 3.74 5.49 2.73 1.89 4.66 4.33 8.42 3.65 5.14 7.75 6 5.33 4.36 6.37
"85" 2.63 1.6 3.67 6.78 7.77 4.42 5.18 6.51 6.03 5.8 5.89 6.22 6.17 5.99 4.72 3.69 1.51 5.49 6.28 5.19 5.52 3.99 5.64 11.23 4.92 4.83 4.54 3.55 5.65 3.1 5.74 3.66 2.81 5.58 3.63
"86" 4.79 5.58 3.91 5.46 4.32 3.77 5.11 5.7 9.6 4.88 4.78 5.25 4.81 4.2 7.56 3.32 7.04 3.82 4.17 5.14 5.42 5.52 8.44 3.54 3.87 4.03 4.79 3.01 -0.76 4.76 3.91 3.7 3.99 5.27 5.25
"87" 3.47 3.34 4.1 5.44 3.8 6.58 5.92 1.62 5.29 6.7 1.94 3.57 6.84 0.24 6.43 4.71 7.98 6.13 2.85 4.74 5.38 4.04 5.12 10.19 5.5 4.47 3.84 1.86 3.27 2.22 5.89 3.12 10.28 5.8 1.75
"88" 6.48 3.83 2.46 10.13 8.12 4.16 5.56 8.75 7.17 6.82 5.51 3.09 5.51 6.03 6.8 6.73 3.85 7.77 6.18 4.65 9.18 3.52 3.05 2.63 5.63 7.2 7.46 2.84 6.22 5.13 4.49 1.66 4.14 2.86 5.33
"89" 2.32 6.2 6.08 9.03 3.36 5.81 6.76 5.35 3.9 4.73 3.85 5.48 2.93 0.65 6.16 3.51 3.23 4.48 5.35 4.04 3.89 8.98 5.7 3.72 3.55 3.57 4.68 7.42 1.63 3.63 7.12 9.47 3.98 6.47 4.63
"90" 5.87 1.54 5.83 6.73 5.33 3.93 8.98 9.55 3.88 6.24 6 3.19 7.73 5.34 2.35 7.2 1.9 8.25 2.85 7.62 7.37 6.75 5.37 8.33 6.38 3.1 4.43 3.09 3.94 3.36 2.06 4.48 6.32 3.84 5.74
"91" 7.85 4.69 6.01 0.61 7.39 7.09 2.55 1.89 7.66 4.55 7.65 4.41 4.28 8.27 7.45 6.94 6.35 4.83 6.34 6.1 6.08 7.44 5.88 8.05 6.32 2.14 5.13 2.61 3.12 3.89 3.8 2.92 6.38 3.82 4.68
"92" 4.84 4.69 5.36 7.07 6.69 8.06 1.32 5.23 8.15 7.12 5.23 4.52 6.51 9.06 7.39 3.99 1.73 2.97 6.65 4.09 6.08 8.43 2.46 4.89 8.45 -0.75 6.22 4.64 4.06 5.16 3.25 4.77 5.47 6.19 5.31
"93" 5.21 6.63 5.97 5.96 10.11 5.26 9.17 1.18 5.66 5.81 0.32 2.49 5.8 4.11 5.33 6.09 6.93 5.61 6.11 9.73 1.86 5.58 5.39 7.28 6.05 7.21 3.83 4.27 1.97 7.73 3.23 6.16 7.04 8.88 6.31
"94" 9.28 7.17 5.49 1.59 6.82 6.67 4.58 5.84 5.65 5.58 9.67 5.29 8.11 4.34 5.79 2.69 4.78 6 3.93 2.73 2.86 2.52 1.83 3.19 4.74 3.4 7.23 5.36 1.88 2.72 4.17 6.68 5.79 4.33 5.09
"95" 4.78 3.12 4.57 9.46 5.58 4.32 5.04 4.88 7.89 7.16 6.28 7.62 6.68 3.38 3.54 2.98 1.31 4.15 7.47 4.23 5.32 3.69 8.82 7.4 5.51 7.74 6.18 6.14 3.12 5.77 3.59 4.6 5.76 7.5 -1.79
