"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"29" 5.03 3.81 4.12 7.8 5.44 4.01 2.15 6.51 2.36 5.23 4.98 1.34 3.28 2.1 5.34 7.13 5.98 5.31 6.48 3.69 0.27 6.75 2.42 3.88 5.74 2.76 4.06 2.96 4.11 5.73 4.73 7.46 7.09 5.42 4.05 3.23
"30" 5.37 4.24 5.73 5.6 4.74 6.8 2.55 5.31 7.47 5.45 4.03 6.3 5.21 4.57 3.81 8.37 6.86 7.06 3.87 3.04 4.54 0.32 3.01 4.88 5.44 3.74 4.39 6.6 3.82 6.54 6.5 -0.21 1.62 2.57 7.94 6.21
"31" 5.02 0.89 4.84 5.08 6.17 4.5 8.69 2.13 4.31 4.57 5.44 8.89 7.18 4.96 5.26 6.71 3.29 4.39 2.82 7.48 3.24 7.61 4.29 5.99 5.18 3.35 3.35 9.09 5.42 6.46 7.32 4.84 5.86 4.2 5.75 5.4
"32" 4.07 2.87 3.76 5.04 4.82 1.85 4.62 5.29 4.8 4.5 6.17 2.33 3.77 5.03 2.61 2.8 4.05 2.47 4.02 4.83 4.42 3.45 2.88 5.52 3.52 5.35 4.56 6.09 5.43 4.86 6.84 7.99 4 3.26 4.15 2.47
"33" 4.62 6.33 5.2 5.84 3.95 4.14 3.72 4.16 3.77 6.65 5.36 4.32 3.59 4.82 6.72 3.3 3.2 0.29 2.77 5.42 6.79 3.61 5.15 5.74 3.48 6.75 4.76 6.17 2.48 2.85 7.39 7.22 5.59 4.75 5.95 6.36
"34" 2.82 6.43 4.37 2.32 2.47 4.04 3.21 6.5 5.95 1.33 4.84 6.17 8.26 3.78 7.89 5.9 4.89 3.63 4.21 4.59 5.53 6.5 4.95 6.45 6.88 0.79 3.2 5.02 7.18 3.97 4.03 4.39 4.14 8.12 3.27 4.05
"35" 5.09 2.94 3.75 5.55 7.04 4.73 3.63 0.97 7.4 2.09 5.31 3.36 7.4 4.09 6.14 2.01 6.95 4.21 5.96 5.73 5.09 3.71 4.66 5.34 3.12 6.29 5.44 5.81 3.69 3.8 3.87 7.85 5.94 2.14 5.69 5.64
"36" 5.38 1.8 6.1 4.67 6.31 2.74 3.44 3.77 4.75 4.92 6.25 7.67 4.49 5.36 2.48 3.85 9.65 7.72 9.11 2.76 6.3 4.99 3.56 6.48 4.75 4.43 7.49 2.72 3.06 6.29 5.5 3.96 4.43 1.07 4.85 3
"37" 9.18 4.67 7.17 4.8 4.16 8.68 4.2 6.93 4.59 5.48 7.29 4.94 4.82 6.19 8.27 9.03 2.69 2.37 6.33 2.76 6.6 3.57 8.27 6.5 6.82 4.89 4.55 7.13 7.98 8 4.86 2.12 7.82 5.56 2.12 2.91
"38" 5.48 4.8 -0.11 8.54 7.58 4.73 5.23 5.62 8.47 2.22 5.98 4.71 5.76 2.58 5.52 5.26 4.07 3.7 5.5 7.46 2.01 3.65 2.8 3.72 4.78 2.32 7.57 5.62 2.25 4.66 4.17 1.53 5.08 4.75 5.86 7.46
"39" 5.78 3.52 4.59 5.31 1.41 5.2 5.65 5.42 -0.07 2.92 5.51 1.95 3.66 5.23 8.46 6.61 6.63 1.77 3.25 6.01 4.48 6.91 7.19 5.09 2.29 3.43 4.04 3.27 4.7 5.38 7.35 2.53 2.38 3.08 8.05 6.04
"40" 6.65 5.5 5.81 1.88 5.56 4.38 6.47 4.98 3.6 4.27 8.13 3.14 4.22 0.9 2.16 8.14 3.72 5.78 2.52 3.78 8.39 5.09 5.91 5 2.53 7.67 5.28 2.5 4.93 4.9 4.46 6.16 5.68 -0.62 2.62 2.91
"41" 3.08 8.85 5.49 4.21 2.39 4.82 4.39 8.14 4.85 3.69 2.65 8.12 6.75 5.18 6.09 5.39 1.99 6.29 6.41 4.17 6.15 3.11 3.37 4.43 5.59 4.42 4.69 3.02 6.73 5.95 5.02 6.11 4.33 4.06 4.26 2.7
"42" 6.02 6.01 5.23 2.73 5.2 2.91 4.53 3.96 7.58 7.03 6.37 7.96 4.37 3.87 2.95 2.51 7.73 3.28 8.39 2.68 6.66 3.9 4.43 0.66 2.31 3.87 5.84 3.42 8.42 5.33 5.04 6.29 4.75 4.66 7.33 0.75
"43" 5.83 7.34 1.56 5.31 5.16 5.03 5.56 5.07 5.37 6.76 3.09 7.35 3.08 5.19 9.19 2.99 6.75 7.1 3.55 2.57 1.43 7.72 4.15 6.78 6.47 4.11 3.89 7.33 5.39 3.31 6.71 5.14 5.6 4.45 2.12 6.95
"44" 4.18 5.75 3.52 0.49 7.35 4.93 0.8 9.33 2.39 3.2 3.1 4.31 7.33 2.43 7.25 4.98 4.9 6.86 5.31 2.74 6.21 5.68 8.28 5.03 6.28 5.02 1.49 1.66 4.43 3.43 5.53 4.33 7.34 4.47 0.79 8.71
"45" 6.58 4.51 3.85 5.18 10.36 2.61 5.26 6.04 2.42 4.83 3.55 6.87 3.53 6.58 4.35 7.97 9.72 4.05 4.48 2.8 6.51 5.55 4.19 4.26 4.78 4.31 4.33 7.35 3.24 7.64 5.38 5.52 5.76 4.14 5.29 4.78
"46" 5.33 7.6 7.31 5.42 2.84 2.19 4.2 2.62 0.1 3.98 0.07 5.57 2.32 5.05 5.94 3.92 3.37 1.36 4.73 7.53 1.98 5.94 6.65 4.94 3.02 1.82 5.86 1.41 3.22 5.71 4.65 3.16 5.02 4.7 7.19 5.36
"47" 0.27 5.26 5.22 2.93 4.85 3.76 6.42 3.55 6.98 6.48 12.26 7.7 5.75 7.77 5.76 4.23 2.03 9.48 5.04 7.98 5.68 6.15 3.49 4.57 4.16 3.4 5.34 1.65 6.67 5.16 5.14 3.28 6.21 5.6 4.85 2.27
"48" 5.68 3.97 5.66 2.55 4.28 5.58 6.6 6.32 3.3 4.55 3.57 10.16 7.72 2.16 5.07 2.19 5.76 5.66 4 8.81 0.32 7.16 2.89 7.02 3.84 5.93 7.33 7.19 7.03 3.74 4.26 5.82 4.85 5.02 6.5 4.11
"49" 1.42 6.85 5.58 8.14 5.02 2.37 6.49 8 2.95 6.35 6.64 1.1 6.22 3.33 2.93 8.14 7.55 6.05 5.96 3.8 5.04 6.47 2.15 4.66 6.43 3.7 6.41 6.41 8.52 5.94 6.95 5.98 0.09 3.45 3.97 7.32
"50" 6.59 4.72 5 6.32 5.3 8.94 9.2 7.68 2.33 7.23 5.3 2.57 6.59 3.77 6.45 5.23 6.15 3.63 4.05 3.6 5.83 8.03 6.19 4.2 3.88 6.44 5.07 1.55 7.21 4.52 7.94 3.44 1.76 3.82 3.7 11.62
"51" 3.52 4.67 8.91 6.97 2.48 3.73 1.58 3.91 7.9 4.53 4.89 4.78 3.75 5.2 6.5 6.65 3.64 5.01 2.42 3.24 7.16 7.48 5.11 3.91 4.65 -0.29 7.58 1.27 5.74 4.98 5.71 5.74 3.51 6.45 2.95 2.23
"52" 2.99 5.11 7.02 2.32 2.09 3.77 5.26 2.83 4.29 2.2 5.16 7.93 5.54 4.35 8.57 4.68 -1.28 6.58 6.96 3.76 1.71 6.42 3.81 6.31 3.61 3.28 5.19 4.04 3.05 1.79 4.91 7.31 3.99 5.26 3.84 3.85
"53" 2.27 6.36 8.46 4.62 7.75 3.52 2.35 6 1.82 5.27 6.47 1.05 5.1 5.22 1.58 6.07 8.23 5.59 6.81 8.07 2.22 4.04 3.96 5.28 4.75 4.91 6.27 2.44 5.47 4.21 2.34 4.2 2.03 3.17 2.64 9.19
"54" 4.09 8.6 3.82 7.34 5.03 2.98 3.54 8.05 3.71 6.55 6.06 7.23 7.44 7.62 3.54 2.95 1.55 4.47 4.94 2.63 6.73 4.76 3.88 3.54 9.32 5.98 4.78 4.87 5.55 7.43 3.92 5.28 10.83 4.78 7.93 4.92
"55" 5.13 6.44 4.1 3.9 6.19 2.4 5.86 3.19 2.93 2.22 3.32 1.56 4.72 3.43 1.84 5.23 5.34 7.97 5.02 2.83 5.71 2.14 2.12 5.87 3.89 4 5.86 4.94 1.97 8.25 4.26 4.6 4.81 4.38 7.82 6.68
"56" 4.95 10.18 8.3 4.45 6.33 2.57 7.11 5.82 5.14 4.13 4.82 4.05 3.44 6.9 7.7 5.92 7.7 6.44 1.71 6.24 5.15 4.67 4.22 3.91 12.11 6.45 4.6 5.13 3.31 3.06 6.25 5.84 4.71 3.4 3.42 4.59
"57" 6.64 3.07 6.93 5.97 2.56 5.32 3.3 7.91 3.24 4.44 7.99 4.52 4.72 5.49 5.07 3.79 5.38 5.21 4.61 4.77 1.12 2.95 3.69 4.71 6.4 7.43 6.96 2.34 3.55 2.58 9.82 6.67 4.74 5.11 2.67 5.28
"58" -0.62 6.91 5.34 6.69 7.09 5.57 3.91 6.15 9.16 6.24 6.08 7.28 4.65 4.02 3.54 7.3 3.21 7.23 4.87 5.4 5.29 2.17 5.84 5.09 1.15 5.31 5.91 2.89 4.28 6.25 5.25 3.34 6.09 3.26 3.41 4.33
"59" 2.67 3.52 6.16 0.59 1.93 6.39 1.1 2.81 4.25 7.11 1.19 8.18 2.15 5.32 7.53 5.66 6.55 4.56 1.36 0.84 5.2 6.14 7.38 4.55 4.45 3.84 7.33 5.46 1.64 5.17 4.11 1.68 4.31 3.12 5.01 4.81
"60" 4.79 4.34 4.22 5.14 6.34 5.95 6.06 5.25 2.69 5.7 5.44 6.94 5.84 4.18 4.6 3.8 3.93 5.56 5.79 4.01 2.86 6.27 4.78 5.91 9.18 6 7.11 8.58 3.89 6.97 5.6 3.62 7.7 8.04 7.17 5.91
"61" 4.83 3.55 6.04 4.07 4.67 2.87 5.66 5.25 5.04 6.96 7.69 7.65 6.76 3.34 5.37 7.52 2.91 2.92 5.09 1.85 4.97 8.61 3.75 6.62 5.13 6.85 -0.47 7.22 4.77 3.56 4.04 4.95 5.21 8.11 4.13 4.01
"62" 5.18 6.05 6.52 2.9 6.52 6.71 6.97 7.87 5.93 3.28 7.49 3.02 6.34 4.91 4.08 4.77 7.32 2.06 7.05 5.77 4.35 4.7 5.64 5.44 5.1 3.3 6.29 5.11 9.58 5.34 4.72 3.26 5.99 4.61 6.89 4.24
"63" 4.06 8.23 6.67 6.11 6.06 1.06 6.11 6.18 3.3 5.23 6.45 4.4 3.78 7.23 7.15 2.73 7.32 5.8 5.26 7.37 6.18 5.18 5.77 4.78 4.75 3.33 6.07 7.4 5.91 4.37 6.16 3.45 5.2 2.73 8.66 6.91
"64" 4.6 8.06 7.47 6.3 7.39 2.49 5.51 3.98 4.05 8.94 2.77 2.92 5.61 4.04 4.91 4.92 4.22 8.22 8.22 6.46 5.41 4.64 4.76 9.81 6.46 3.59 3.44 1.45 7.46 4.98 3.46 3.86 4.93 9.48 4.24 6.27
"65" 6.58 4.51 6.5 1.77 5.21 6.15 5.09 6.19 8.39 4.22 5.05 5.47 6.37 7.85 5.61 4.54 11.88 4.45 7.75 6.77 4.82 7.91 4.78 6.48 4.83 8.82 5.19 4.52 6.29 3.71 5.79 4.72 5.91 6.11 3.81 7.27
"66" 5.45 5.71 4.65 3.87 4.36 4.13 4.52 5.69 6.15 3.22 7.75 4.44 2.88 3.63 3.84 6.88 3.44 4.75 5.94 5.04 5.21 4.48 4.57 8.48 3.85 2.94 3.18 7.5 4.27 5.18 3.48 5.24 3.35 2.01 5.81 5.73
"67" 4.18 4.34 4.77 3.94 6.73 5.46 4.89 3.06 7.73 5.6 3.53 8.34 3.01 6.47 7.54 2.39 5.16 8.78 6.9 6.91 4.47 4.12 4.9 5.61 7.91 3.02 4.68 4.76 3.98 5.96 2.22 3.03 6.89 5.26 2.59 4.82
"68" 5.82 4.92 5.77 5.24 9.16 6.43 5.21 3.27 5.13 7.01 4.14 4.94 5.7 4.72 5.34 7.19 5.59 2.56 4.02 5.38 6.58 4.96 7.07 2.37 4.52 3.15 4.87 4.56 4.37 4.47 1.85 5.1 9.27 4.85 5.16 7.28
"69" 6.25 7.59 7.7 5.88 3.84 11.19 2.6 6.82 1.57 7.55 2.56 3.17 4.6 3.92 3.45 2.75 4.07 10.92 1.8 8.39 6.54 6.32 4.36 6.84 4.74 3.53 7.17 1.94 6 6.07 4.76 8.52 7.55 6.36 7.92 5.78
"70" 4.02 7.07 4.99 4.5 4.56 1.23 2.5 3.23 6.6 7.43 4.37 3.21 0.93 4.82 1.63 5.92 5.34 4.3 6.78 5.53 7.08 9.16 3.66 4.48 7.84 5.4 5.83 3.23 4.63 4.41 5.91 1.36 3.83 6.94 4.24 5.57
"71" 3.15 3.96 6.65 5.95 5.35 5.62 3.82 7.33 1.24 9 5.1 6.97 1.18 4.44 3.55 4.44 4.92 5.6 5.04 5.67 5.5 4.47 5.39 1.69 8.87 6.9 3.75 2.76 6.24 5.34 1.82 3.53 0.93 6.93 4.61 3.1
"72" 7.34 5.74 2.49 2.22 2.39 4.49 4.85 6.87 6.8 4.94 2.51 5.42 3.31 4.66 7.39 5.18 5.36 4.7 0.35 4.56 4.06 3.28 4.69 2.88 4.84 6.7 7.07 5.76 5.75 1.83 7.15 3.45 6.96 8.38 6.96 8.33
"73" 4.41 10.64 5.48 4.66 2.53 3.15 7.41 2.7 6.91 3.69 5.34 4.12 3.87 3.83 3.8 4.52 9 2.51 6.1 3.04 3.51 5.4 4.73 7.75 4.51 7 4.31 5.1 5.04 5.07 5.15 3.74 4.43 4.47 1.97 5.02
"74" 2.47 2.33 6.05 3.02 9.39 2.84 5.33 5.45 7.66 4.51 2.29 6.29 4.18 4.95 9.28 6.1 5.88 3.67 2.5 0.94 8.03 4.94 7.15 7.55 3.66 2.8 5.97 4.04 3.34 7.13 2.98 7.32 8.74 7.84 4.53 8.92
"75" 8.26 7.46 4.54 3.2 5.09 4.53 3.94 2.68 8.5 5.27 3.72 9.65 3.79 5.43 2.76 1.81 5.61 0.71 7.63 5.87 6.21 5.68 4.82 8.17 4.05 4 3.44 4.18 7.39 4.62 6.06 4.37 4.34 7.14 9.34 5.77
"76" 4.04 5.83 6.04 5.03 3.69 6.01 6.25 7.22 6.5 3.98 3.26 4.29 2.91 3.31 7.51 6.19 4.89 2.68 7.17 11.2 7.37 8.65 7.57 7.18 7.03 5.63 5.97 4.36 2.45 5.15 6.69 8.1 7.52 5.56 7.25 1.91
"77" 6.77 4.08 4.55 4.44 1.66 1.25 6.29 4.46 6.2 7.96 1.58 5.44 2.81 6.27 5.01 5.81 6.15 6.75 3.1 4.48 2.64 1.77 6.43 2.76 6.95 6.1 3.5 4.59 7.15 6.68 6.21 7.9 4.7 3.69 2.93 8.77
"78" 4.77 4.09 3.26 7.99 6.99 5.7 4.24 7.68 5.65 2.28 4.71 3.72 2.93 4.57 2.94 1.49 3.55 5.69 4.24 4.14 5.04 1.4 6.91 5.47 4.36 3.04 8.45 5.95 7.61 6.95 10.06 5.09 2.67 11.15 4.3 4.63
"79" 3.92 2.57 4.02 5.52 6.2 3.36 2.5 7.98 8.7 7.1 4.34 5.02 1.07 6.93 3.35 5.6 5.05 4.93 5.47 3.04 3.01 6.03 4.3 6.58 6.19 2.91 5.75 4.9 5.61 6.23 6.57 3.33 4.5 3.31 5.44 6.65
"80" 5.35 4.74 7.13 9.43 7.6 4.27 3.7 7.52 6.95 5.24 4 6.04 5.44 7.23 4.33 3.9 4.84 5.62 7.22 4.85 3.28 5.65 6.33 3.67 4.1 3.61 1.3 6.78 5.07 2.79 5.86 3.25 6.49 3.04 3.96 3.76
"81" 3.48 5.72 6.07 5.07 4.7 4.5 6.48 4.37 2.37 1.8 5.86 5.07 3.86 11.16 4.3 3.12 1.28 8.14 5.94 5.43 8.89 3.39 2.58 7.48 5.77 4.95 2.47 4.8 4.28 6.18 6.22 5.69 9.08 7.99 7.07 2.48
"82" 3.98 3.99 6.24 4.51 3.47 3.86 7.49 4.15 8.47 9.9 5.29 1.94 5.13 4.44 1.15 7.3 5.23 0.53 2.55 8.94 5.3 5.93 7.03 4.57 2.73 8 6.2 8.1 4.33 5.72 7.37 6.59 6.67 10.02 1.93 -0.41
"83" 7.01 5.31 2.96 4.8 4.29 -1.13 4.69 1.59 3.82 4.55 4.61 6.03 6.54 5.87 3.35 3.72 9.57 8.06 8.44 6.78 7.21 6.09 6.52 5.66 9.44 2.97 4.26 4.14 5.49 6.87 5.58 4.63 6.39 2.73 7.41 3.94
"84" 2.28 6.41 4.29 6.06 4.37 2.76 6.25 7.73 4.76 5.19 3.93 1.27 5.17 6.86 8.1 9.28 4.26 6.72 4.21 5.41 4.68 2.84 4.88 5.01 4.19 8.43 5.94 7.24 5.74 3.36 2.44 5.54 4.35 3.78 4.61 4.39
"85" 1.19 5.07 5.12 5.65 5 5.66 2.07 6.27 3.55 1.7 3.53 5.09 0.43 7.34 3.59 6.85 7.67 3.22 5.66 5.49 5.7 1.77 4.33 8.22 5.75 4.63 6.22 5.8 4.57 3.66 3.92 3.37 6.04 4.59 5.77 2.17
"86" 2.02 2.81 7.3 4.98 3.23 5.59 2.23 6.12 7.5 9.07 6.45 5.93 3.25 2.1 7.78 3.65 6.67 5.53 4.85 2.97 5.73 6.15 4.09 2.8 2.83 8.59 1.22 7.09 5.68 5.17 4.5 8.15 7.12 2.2 9.92 4.25
