"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"11" 7.23 5.78 4.79 0.06 5.53 7.33 4.88 8.31 6.53 0.95 4.57 0.42 3.26 4.71 4.6 11.12 5.83 4.65 3.9 3.43 3.33 7.43 6.05 5.61 3.05 5.81 4.34 7.89 6 6.49 3.98 5.46 4.63 4.74 0.63 3.44 4.77 5.36 4.44 6.3 3.2 5.09 4.88 8.08 8.36 8.95 5.65 5.02 5.37 5.93 5.98 3 5.81 5.71 3.67 2.08 8.29 6.26 1.65 6.91 4.76 6.27 2.43 6.17 3.39 6.72 7.12
"12" 5.03 3.11 7.71 5.31 4.82 6.58 4.81 4.11 6.11 4.58 6.23 7.43 4.69 5.3 6.76 1.71 5.51 3.6 4.72 6.71 5.68 5.45 5.14 6.19 4.32 11.1 5.64 4.73 -0.38 2.71 4.59 8.21 4.36 6.68 3.71 3.45 8.2 3.61 4.76 4.8 5.79 1.25 3.03 5.96 5.95 5.29 4.62 5.29 7.56 6.1 5.43 5.14 5.56 5.25 7.87 5.78 5.94 1.2 6.08 5.17 5.37 3.05 5.56 4.01 4.45 5.1 3.9
"13" 4.2 2.07 4.4 4.95 6.23 0.56 0.23 7.74 4.75 6.16 0.1 7.04 4.1 1.29 8.43 1.79 3.65 6.75 4.72 3.77 8.4 5.9 7.98 2.87 4.72 4.78 4.47 5.12 7.46 6.66 3.36 -0.03 3.81 5.51 4.65 6.04 4.05 5.45 2.37 4.25 4.18 8.68 5.33 9.58 3.61 3.77 4.11 6.47 7.27 7.29 5.54 2.69 8.67 5.05 5.56 6.02 3.1 6.54 7.58 7.05 5.75 2.32 8.06 1.33 8.74 5.23 7.9
"14" 2.71 6.03 7.55 6.61 8.96 6.65 5.92 5.65 3.7 4.39 8.54 3.34 6.15 7.03 6.61 7.02 1.47 3.09 5.39 7.68 5.74 3.25 5.76 5.72 3.37 1.73 6.08 3.25 7.47 8.04 6.1 2.63 3.24 6.7 4.74 1.18 5.51 6.72 5.49 3.86 3.88 4.55 6.93 2.54 4.17 8.32 4.2 7.24 2.03 3.89 4.23 1.69 9.66 5.64 3.96 4.88 8.67 7.58 4.24 5.11 5.38 7.25 7.51 2.61 5.55 5.06 9.51
"15" 7.6 8.01 5.77 4.46 2.34 5.35 4.19 3.92 6.66 5.1 5.32 7.67 7.72 6.39 5.63 4.82 2.97 9.15 2.46 4.41 5.78 1.8 7.96 5.56 6.12 0.85 5.14 1.98 5.19 2.96 7.23 5.29 3.63 3.55 4.31 5.42 0.81 9.51 4.64 2.37 5.24 3.37 8.85 5.1 1.39 5.56 6.91 3.15 4.53 6.67 6.91 6.89 2.87 5.46 3.57 6.27 5.92 5.55 4.25 8.31 3.57 2.95 4.68 7.38 0.58 2.4 2.06
"16" 7.56 2.68 5.36 5.26 5.26 2.92 3.33 2.7 4.18 3.59 5.88 2.68 5.18 4.93 3.46 4.27 4.89 4.18 5.53 6.67 7.27 2.88 5.62 1.98 4.76 7.07 8.9 6.2 5.06 5.3 5.95 7.96 6.19 4.87 6.33 7.18 7.29 7.77 5.18 2.27 4.91 4.63 2.8 6.34 4.3 9.05 5.29 8.56 2.71 3.48 5.58 3.1 4.85 6.16 6.54 4.26 9.35 6.16 6.15 6.57 4.08 2.32 3.55 -0.19 3.04 8.44 4.6
"17" 3.26 5.92 1.56 1.88 2.83 6.35 5.08 4.6 5.42 5 5.89 3.42 3.91 7.04 3.92 1.25 4.91 4.72 6.29 6.05 2.91 7.4 2.74 3.68 7.6 8.17 5.99 7.23 5 4.06 1.06 5.59 2.24 6.15 6.47 2.91 1.7 6.13 5.71 6.89 3.3 6.44 5.8 4.71 7.01 4.37 5.94 5.38 3.36 5.51 8.4 3.24 6.2 9.87 3.54 4.14 3.91 5.23 3.01 5.36 1.56 6.24 6.6 4.29 0.73 2.41 4.91
"18" 10.25 6.51 6.7 6 7.35 4.27 9.13 7.92 7.27 6.98 5.59 3.36 6.01 4.82 4.12 6.36 0.86 9.58 4.03 3.33 5.91 4.58 2.61 4.17 5.8 8.08 4.37 3.54 1.64 4.48 4.55 2.51 5.36 3.09 2 4.51 5.1 1.57 6.28 3.93 3.29 5.24 8.85 6 4.06 7.01 7.21 5.03 2.28 3.38 4.43 3.04 3.29 4.25 3.24 3.67 7.64 4.78 4.85 7.42 5.6 7.14 5.03 4.6 3.17 4.91 5.51
"19" 3.86 4.58 1.6 3.88 2.72 5.48 5.14 4.3 5.12 5.57 9.25 7.16 8.12 7.38 7.37 3.98 4.83 -0.85 5.93 2.64 4.65 4.72 3.33 4.29 6.08 4.92 5.09 6.71 1.8 0.41 5.87 6.6 3.07 8.18 3.76 5.6 6.29 1.84 2.59 1.75 4.08 3.23 4.04 4.8 6.19 3.77 9.54 3.72 6.99 5.54 4.52 4.68 4.36 1.55 2.62 3.3 5.43 5.58 2.09 4.34 3.58 6.61 2.94 7.62 4.64 2.12 8.76
"20" 3.08 3.75 6.5 7.34 -0.43 8.29 4.04 3.89 3.61 5.45 4.25 3.77 1.17 6.21 7.28 6.4 5.79 2.7 6.29 6.82 3.01 10.31 4.16 4.53 7.22 7.85 2.64 4.04 6.02 1.88 3.78 2.63 5.8 3.56 5.31 2.69 6.15 7.38 5.27 2.95 0.84 4.29 4.29 8.97 5.11 6.02 5.85 6.43 -0.71 1.66 6.52 4.95 2.61 7.42 4.41 0.52 5.39 3.2 5.98 5 7.6 8.43 4.91 3.14 1.95 7.16 2.76
"21" 7.61 6.8 5.05 7.17 5.5 4.89 5.87 7.14 3.43 8.15 4.36 3.17 3.44 6.63 0.26 5.69 6.42 4.68 5.68 1.85 6.65 5.85 6.86 6.91 6.62 5.84 5.12 7.37 10.1 3.31 3.43 3.76 1.02 4.82 5.82 4.49 7.6 4.56 6.22 5.06 5.66 3.67 3.73 4.32 8.55 6.41 0.64 4.82 2.95 2.44 4.71 6.51 5.62 0.45 6.78 1.44 9.22 5.66 2.84 6.38 7.75 4.8 4.01 2.14 3.23 6.28 4.7
"22" 8.71 2.24 1.49 2.57 5.15 6.35 3.38 5.76 4.46 5.06 9.68 6.59 3.59 6.87 5.58 6.69 2.55 4.2 4.53 4.24 6.29 6.1 5.04 4.9 4.84 3.19 2.22 6.08 4.79 5.75 6.27 7.11 3.82 4.17 4.58 1.71 3.63 3.79 2.36 4.95 5.11 2.57 4.65 6.18 9.81 6.76 8.09 3.44 6.77 5.84 5.83 6.44 4.07 3.49 7.79 5.28 5.42 6.7 2.81 5.14 3.75 3.91 2.99 3.83 6.71 7.41 2.86
"23" 8.89 8.4 3.16 6.52 5.86 6.09 2.99 6.28 4.37 4.31 -0.37 4.69 6.35 4.64 1.74 7 2.95 1.09 5.08 6.65 1.34 5.6 1.63 3.13 8.58 6.03 5.43 5.92 7.21 8.63 2.62 5.63 2.93 6.98 6.72 1.04 6.68 6.04 1.92 4.53 5.91 9.06 1.92 5.29 1.73 3.11 8.18 7.21 3.98 2.75 3.79 1.87 6.86 3.38 6.17 6.92 2.85 3.09 6.32 6.85 1.01 4.86 4.12 2.68 8.57 3.19 6.23
"24" 5.95 4.07 3.23 3.09 4.89 7.72 2.9 6.13 2.7 3.03 4.36 5.92 6.94 3.71 5.07 3.11 3.93 5.82 4.48 5.18 5.17 2.21 6.61 7.58 5.02 5.55 3.17 7.73 3.28 5.93 6.32 1.07 4.62 2.75 6.53 5.64 6.79 7.16 2.17 1.3 5.11 6.01 6.86 5.66 1.4 7.6 4.85 5.06 2.82 6.78 6.35 4.18 7 1.66 5.2 8.46 4.88 3.93 4.58 4.96 0.66 5.6 8.55 6.33 4.27 5.99 6.88
"25" 4.49 5.54 5.86 1.47 11.91 1.77 6.34 5.74 9.79 2.52 2.14 6.97 5.05 6.99 4.95 7.02 3.57 3.81 3.42 2.25 4.05 4.93 4.91 2.78 2.25 4.71 5.3 4.58 6.98 0.89 1.78 6.52 5.98 5.21 4.56 4.34 3.55 8.23 2.86 4.37 6.4 5.37 5.67 5.73 7.19 2.29 6.33 5.23 5.7 6 4.63 3.98 5.1 3.51 4.55 7.78 4.58 4.18 2.4 4.18 7.68 5.96 7.93 4.19 5.48 5.17 5.2
"26" 6.98 7.52 7.25 2.15 4.42 3.24 7.39 5.95 4.67 5.31 0.85 6.6 0.18 4.92 5.07 5.83 4.47 5.92 2.96 3.79 7.72 4.81 3.96 6.68 0.6 5.7 11.98 3.8 3.58 7.03 4.08 5.41 6.31 4.79 2.66 -0.34 7.01 5.98 2.47 4.7 5.77 5.96 3.42 7.45 4.47 4.92 6.83 7.58 6 4.45 7.09 4.2 4.94 7.56 7.72 6.76 4.94 4.02 4.12 1.67 4.9 5.71 3.19 7.69 3.96 5.24 4.16
"27" 4.35 5.92 1.03 8.31 2.86 5.81 5.33 5.32 5.07 3.97 6.42 1.31 4.44 2.86 8.26 6.57 8.92 6.15 4.55 1.02 2.2 6.23 5.34 5.38 5.08 6.79 5.16 6.78 2.68 8.32 4.75 4.29 4.63 7.53 5.83 5.54 5.34 5.18 5.43 6.63 6.47 4.46 5.89 5.19 6.64 1.97 5.69 9.63 5.92 3.18 1.58 9.3 3.18 6.39 3.31 4.15 3.44 4.55 6.84 4.67 5.07 4.56 3.77 3.12 2.05 6.2 5.1
"28" 4.64 0.24 5.8 4.68 4.36 6.01 4.46 5.27 4.78 1.34 4.96 5.82 6.65 5.46 2.97 3.14 3.27 7.12 8.55 3.63 8.03 3.98 4.99 7.31 2.79 4.09 4.57 4.86 9.27 7.16 4.13 6.32 4.56 3.99 4.78 5.75 4.18 3.83 3.69 4.84 6.46 2.17 4.87 2.49 4.72 5.64 7.03 7.41 6.27 4.98 6.82 3.16 5.37 4.25 0.97 6.42 2.1 3.67 5.79 6.43 7.82 6.68 3.15 6.26 3.61 6.95 6.88
"29" 10.62 3.15 5.96 1.61 5.08 7.83 4.33 2.24 4.03 3.26 5.15 3.19 5.2 3.12 4.75 2.5 5.56 5.15 5.39 4.62 3.35 6.5 4.69 6.33 6.78 4.44 3.15 5.78 3.39 5.76 1.51 1.46 8.9 4.04 3.4 6.54 5.88 6.28 3.53 5.15 4.52 5.26 5.69 4.16 4.1 1.88 1.94 4.87 9 2.9 8.09 5.84 4.73 7.51 2.58 7.13 5.31 9.77 4.21 4.17 5.19 5.8 3.93 6.94 4.13 3.86 4.48
"30" 6.47 0.64 5.79 6.95 2.68 4.64 -1 5.31 6.53 4.55 4.81 5.51 3.07 3.7 4.92 5.02 -0.12 9.18 8.42 4.59 3.09 5.26 3.26 4.14 4.64 7.1 2.28 6.93 5.79 1.31 6.3 4.49 8.08 7.3 3.36 4.25 5.94 4.81 6.15 6.54 8.22 5.78 7.29 8.65 4.96 3.71 8.4 6.83 5.73 6.09 5.33 6.2 7.53 4.57 4.32 0.96 5.55 1.41 7.86 2.74 4.89 1.7 2.47 5.59 7.02 5.01 1.59
"31" 12.11 6.96 4.02 8.09 1.83 5.02 9.13 5.59 5.43 6.7 6.05 6.34 5.27 2.66 5.42 4.84 8.49 8.73 6.45 4.66 7.82 6.15 4.48 7.22 3.12 1.08 3.52 3.42 8.34 6.6 6.45 5.17 5.61 1.86 7.53 3.8 7.29 3.62 2.5 4.49 3.44 8.69 3.9 8.06 3.71 6.25 5.38 4.49 3.93 6.99 3.75 4.34 7.59 5.27 4.26 5.66 6.62 7.73 4.64 4.59 7.52 2.17 8.3 5.59 5.13 5.47 4.19
"32" 5.09 2.36 7.02 3.07 3.92 4.05 5.5 6.63 5.77 8.65 5.43 6.03 3.75 -1.66 5.57 5.94 5.44 4.19 3.46 9.66 2.54 6.07 2.02 2.56 6.31 6.27 2.65 7.52 12.27 6.55 5.8 5.29 6.34 4.34 7.34 9.02 3.94 3.75 2.81 7.2 1.92 4.57 3.68 6.27 5.39 4.4 3.11 3.41 4.27 2.24 7.56 4.01 3.25 4.86 7.13 5.73 2.76 4.54 9.09 5.7 4.62 7.17 4.11 6.5 5.46 3.84 7.1
"33" 6.93 7.27 5.12 3.28 3.96 6.36 8.4 5.17 6.94 4.07 3.06 4.49 3.01 5.32 5.7 5.46 4.25 0.57 5.64 4.68 5.23 1.95 3.07 3.97 2.73 5.45 4.02 0.43 6.78 3.17 11.96 7.74 3.47 3.57 2.85 7.98 5.89 4.62 4.64 5.16 4.95 2.94 2.97 4.9 5.9 4.63 1.7 8.9 3.59 5.16 3.21 3.5 6.06 4.61 7 3.5 8.41 5.18 4.68 0.43 5.08 5.71 3.5 5.24 7.15 5.97 5.95
"34" 6.53 3.86 3.84 6.16 7.71 3.24 7.27 7.34 4.32 5.83 4.76 7.11 5.2 5.42 4.39 4.66 7.18 3.16 4.69 4.95 6.51 9.14 3.91 6.71 5.06 2.88 4.57 5.17 7.41 1.74 6.91 6.28 7.3 6.44 5.8 3.29 2.53 5.29 3 3.09 4.16 2.34 4.31 7.68 2.28 2.97 8.09 5.92 3.41 5.76 5.72 7.34 5.66 2.7 6.3 5.14 3.04 5.45 2.9 3.89 5.9 2.21 5.34 5.44 8.63 6.34 2.82
"35" 4.61 1.59 5.21 6.16 3.22 5.95 -1.82 2.91 3.72 9.37 4.65 4.97 4.55 2.83 5.59 6.81 6.86 3.89 0.06 6.77 6.47 3.13 7.49 6.64 0.85 5.44 5.71 6.13 7.1 7.35 6.87 5.61 8.3 4.35 7.24 4.56 1.11 3.51 8.34 2.15 5.09 7.01 4.29 2.26 7.52 5.23 1.26 6.75 4.86 4.84 1.56 1.38 0.9 5.72 4.01 5.14 5.87 5.18 3.95 2.48 5.4 6.64 5.09 4.86 4.41 6.93 6.33
"36" 5.14 5.17 6.79 5.48 4.73 6.13 5.64 3.48 4.11 4.15 5.9 5.2 3.35 7.43 8.9 3.08 5.34 5.27 5.31 4.48 6.99 5.32 7.97 5.88 5.21 6.43 1.01 6.66 3.93 7.05 6.13 5.24 6.03 -0.5 6.36 8.75 5.95 5.48 5.86 6.82 3.8 3.06 -0.17 3.36 4.38 7.26 5.5 5.61 3.15 9.41 -0.07 5.44 0.63 7.46 3.42 6.23 3.23 4.61 3.94 5.19 5.21 5.04 5.26 3.69 5 4.69 5.2
"37" 8.35 6.91 3.21 3.16 5.85 4.86 3.29 6.82 5.36 4.33 4.93 8.89 5.97 6.19 4.99 5.44 5.15 4.47 6.62 4.32 5.5 2.19 5.79 7.29 4.87 1.14 6.41 4.96 5.26 2.94 6.97 2.6 5.89 2.13 5.43 2.22 6.11 5.93 4.4 7.48 7.31 1.56 4.68 4.78 11.2 1.86 5.15 10.24 6.7 6.74 9.45 5.34 6.09 5.99 4.72 6.56 2.86 6.75 2.34 5.53 4.68 3.97 5.24 5.63 5.61 7.98 3.06
"38" 7.2 4.67 3.09 3.03 4.14 2.69 6.15 2.74 5.9 3.57 3.68 4.78 5.89 6.74 2.64 7.44 5.25 4.16 5.43 3.14 4.35 4.64 3.33 3.46 3.9 4.37 2.55 2.93 5.42 4.97 5.26 3.95 5.29 2.51 6.26 3.36 1.79 1.4 3.84 6.27 2.95 7.55 5.75 5.92 4.62 2.1 7.25 6.21 5.73 2.38 3.89 4 3.24 5.38 5.19 3.72 4.99 6.48 5.17 5.54 4.92 2.31 6.14 3.68 6.28 7.62 1.46
"39" 5.77 7.2 2.45 5.95 5.29 4.86 3.87 7.43 7.09 4.16 5.78 1.83 7.18 1.12 4.05 4.35 5.96 0.77 6.09 9.46 4.05 6.95 9.9 4.17 4.9 3.82 4.84 7.68 7.81 4.25 5.49 8.45 7.06 5.86 3.81 4.58 7.7 4.14 6.81 3.51 6.96 4.95 5.91 5.41 7.7 5.86 7.26 2.5 2.28 3.95 3.71 2.73 4.26 2.11 2.07 5.51 6.22 3.71 5.02 3.51 6.68 3.84 7.99 4.5 5.46 7.38 6.48
"40" 5.02 4.23 4.14 7.63 5.7 6.04 3.96 5.97 5.58 6.89 2.58 5.37 3.58 4.09 7.63 5.84 6.01 5.43 7.86 5.34 5.24 6.35 4.61 3.24 3.41 4.72 6.38 3.21 7.97 5.37 3.07 7.3 6.54 2.46 5.5 3.18 7.59 6.15 3.94 5.02 5.32 4.62 10.07 6.64 5.63 5.01 3.61 2.43 2.62 7.72 2.49 1.72 5.17 2.42 3.28 8.34 4.97 7.71 6.77 4.52 3.15 5.16 6.19 5.75 9.06 4.73 4.55
"41" 5.79 6.87 3.88 5.19 4.7 5.19 7.62 5.59 5.38 2.69 5.84 4.44 2.74 5.41 3.94 7.33 3.58 5.16 -0.02 3.8 5.8 3.29 6.72 6.44 3.56 3.3 3.53 5.58 2.47 4.12 3.38 6.33 1.85 4.62 3.87 6.92 6.93 7.72 6.43 5.04 5.06 8.56 7.15 1.27 3.26 2.55 4.71 4.96 4.08 4.56 2.45 8.68 5.13 2.81 7.06 5.29 2.27 4.12 5.28 5.76 5.87 3.55 4.44 4.13 5.16 4.26 8.34
"42" 3.1 2.4 4.28 3.55 6.77 5.05 8.59 3.71 4.67 5.88 5.85 3.24 6.13 4.32 5.27 6.02 2.23 5.49 3.59 6.05 1.74 7.11 3.94 3.3 7.22 3.59 5.28 8.87 10.57 6.84 2.65 5.21 4.83 4.89 4.04 6.47 1.61 1.38 6.94 7.03 5.34 4.35 4.58 5.57 3.79 4.59 4.47 3.31 3.4 7.56 4.66 1.67 5.2 7.22 7.86 3.66 5.74 2.86 -0.32 2.84 8.45 3.53 9.33 7.45 7.85 1.7 6.17
