"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"14" 5.43 9.53 3.53 5.95 6.61 3.75 6.21 7.51 7.47 2.87 8.6 3.52 4.14 10.28 3.72 3.95 9.99 7.28 5.39 5.06 6.98 7.9 -1.27 5.67 7.69 3.87 7.54 7.16 4.71 7.45 2.57 5
"15" 3.06 3.42 3.75 3.38 4.99 4.47 7.6 8.05 6.36 5.63 5.43 5.9 3.37 7.7 1.91 6.83 5.58 7.61 4.58 5.96 5.37 3.68 5.23 7.92 3.09 5.14 3.88 7.12 6.32 6.12 5.72 6.11
"16" 6.25 6.11 3.63 5.45 3.51 7.51 5.73 4.76 4.74 2.01 2.89 5.06 5.08 6.62 7.21 4.98 8.25 2.66 7.34 2.5 5 2.83 5.31 5.99 4.33 8.26 0.72 3.96 3.92 2.29 5.52 4.92
"17" 5.54 7.84 2.71 2.93 4.99 -0.8 5.48 5.14 6.49 6.16 5.5 5.01 5.39 5.59 4.2 3.99 4.89 2.99 7.08 6.73 3.53 2.75 7.38 3.47 7.39 5.47 4.57 5.9 6.91 7.75 4.68 5.9
"18" 7.51 4.57 6.16 8.99 5.1 3.23 6.08 5.54 4.58 3.13 6.32 3.65 5.26 7.8 10.04 5.01 7.1 5.5 8.75 0.75 5.24 7.82 5.07 7.73 5.04 3.97 3.84 8.35 4.05 1.85 6.18 5.28
"19" 3.57 8.69 2.5 6.29 4.65 6.39 7.44 1.77 5.18 5.35 3.03 7.67 7.45 3.62 9.91 5.61 7.32 7.11 4.45 3.07 1.64 6.19 4.17 1.92 5.23 3.44 7.21 5.86 1.48 6.39 3.79 6.62
"20" 5.4 7.09 4.87 3.43 7.04 7.42 3.73 8.28 2.8 9.48 4.85 4.19 3.33 3.02 4.39 6.1 7.22 1.94 3.67 3.36 4.17 2.93 7.44 6.33 4.38 5.49 5.49 8.16 6.61 8.69 6.12 5
"21" 3.15 5.22 6 6.34 4.64 2.09 3.84 4.7 5.18 8.06 5.67 5.33 5.85 6.88 2.89 4.42 7.58 2.37 6.48 5.97 6.17 5.05 1.56 2.54 7.59 5.63 7.76 5.1 7.59 4.9 5.97 6.42
"22" 4.43 4.04 7.1 3.82 6.01 1.72 7.25 1.45 6.02 7.14 5.27 8.02 4.21 3.55 3.87 4.9 5.74 6.64 6 3.34 7.87 4.51 5.26 2.44 5.61 -0.56 -0.1 7.27 6.91 7.09 5.21 4.39
"23" 6.82 8.87 4.75 3.68 4.89 5.07 6.01 3.06 5.77 6.63 5.8 8.54 6.31 1.5 4.34 3.71 7.77 5.81 6.15 5.73 3.36 6.48 6.79 2.51 8 8.74 4.18 8.41 5.82 7.15 6.8 5.53
"24" 3.98 5.46 6.19 9.03 2.97 5.05 6.79 4.24 5.62 3.43 5.25 7.96 7.81 2.21 5.18 3.66 1.98 4.64 6.71 4.13 11.58 5.87 5.61 4.58 6.83 3.34 3.18 4.12 6.15 3.25 3.17 4.03
"25" 4.37 4.61 4.17 7.09 7.13 4.03 5.61 4.7 6.59 5.03 6.27 4.92 4.66 5.17 6.49 6.2 6.85 6.69 3.26 5 6.23 2.72 4.09 2.9 7.74 2.5 3.31 4.08 5.87 4.6 4.35 0.93
"26" 4.76 6.3 4.05 3.86 4.31 3.61 4.76 4.14 6.54 5.29 6.13 7.09 3.56 5.6 9.64 6.38 5.45 6.88 2.1 3.39 1.86 -0.43 2.93 4.77 8.28 4.1 7.07 1.49 3.37 7.12 6.29 4.51
"27" 5.9 5.17 4.54 7.67 4.54 6.52 1.29 4.57 4.49 7.21 1 6.17 2.97 6.72 4.23 6.7 4.18 8.59 6.5 6.09 6.78 3.86 4.54 4.79 1.03 2.02 5.32 4.2 4.21 4.94 6.54 7.07
"28" 5.63 5.9 3.66 8.24 8.91 1.86 6.43 7.61 3.16 4.16 4.18 7.74 8.16 5.47 6.77 4.42 5.97 -1.69 5.88 4.39 3.62 3.98 8.11 7.17 7.42 2.63 7.87 3.99 6.08 8.48 5.96 6.83
"29" 8.37 7.86 4.27 7.58 2.19 4.57 3.93 3.66 5.7 5.33 4.63 5.4 5.87 5.44 4.12 5.74 3.98 5.74 4.91 3.77 1.74 8.89 4.18 6.51 5.86 3.28 4.83 1.9 7.39 4.83 7.61 2.74
"30" 3.09 10.65 7.51 4.96 5.11 3.61 7.67 5.03 3.95 4.46 7.15 1.98 6.65 8.01 4.69 2.09 0.36 2.09 4.83 5.13 2.2 6.96 6.81 2.12 5.66 6.16 7.65 5.86 6.79 4.3 5.9 7.19
"31" 5.81 2.37 5.98 3.91 8 3.15 7.18 2.72 8.17 2.62 9 7.93 7.01 7.79 7.24 4.02 8.02 1.79 5.14 5.12 3.11 6.29 5.77 3.05 3.91 4.87 8.62 4.75 4.01 5.88 5.36 5.25
"32" 2.3 3.37 4.27 1.07 5.85 4.47 6.33 2.64 5.92 9.32 7.26 4.05 4.19 7.21 8.64 5.72 4.3 6.9 4.15 5.87 4.31 4.52 2.64 6.81 2.5 2.47 1.94 8.53 6.56 4.55 2.68 4.35
"33" 9.32 3.34 2.53 8.68 4.91 4.11 6.41 7.55 3.61 6.11 5.78 6.64 5.76 5.56 2.31 4.51 4.67 3.12 6.94 5.9 5.04 4.8 3.94 5.59 7.48 2.56 5.13 5.33 5.37 6.8 6.17 9.04
"34" 6.28 4.42 5.05 0.89 6.8 5.19 2.85 8.82 4.1 6.67 4.1 2.74 0.82 6.64 2.68 7.16 2.98 3.32 8.18 3.86 5.06 4.61 3.45 5.96 6.91 2.27 0.51 6.93 4.75 6.2 2.9 3.96
"35" 6.12 3.84 7.8 3.88 2.69 7.89 7.36 3.14 4.74 5.26 5.6 6.13 3.43 3.53 3.28 5.91 5.42 5.65 5.44 5.14 4.36 2.83 3.86 5.52 5.42 2.84 7.16 5.75 5.89 4.81 7.2 7.93
"36" 5.54 4.21 6.81 8.26 2.13 7.16 6.11 6.83 5.73 3.83 6.02 8.51 1.65 4.67 4.08 6.74 4.96 2.84 6.25 6.07 6.24 4.38 1.12 9.58 5.91 5.75 7.36 3.7 7.21 -0.84 4.59 2.04
"37" 6.1 2.9 3.48 6.83 5.4 7.49 4.95 4.58 7.53 5.98 0.85 2.3 3.87 4.59 5.27 7.22 3.92 3.51 3.54 1.3 5.82 5.92 2.8 5.34 2.98 2.87 2.18 5.76 3.86 3.65 3.42 2.94
"38" 4.08 2.77 4.86 6.41 7.06 4.97 5.81 3.85 2.58 7.84 5.46 4.6 3.03 6.47 7.25 0.91 5.17 3.86 5.89 3.06 6.1 2.41 8.11 6.15 7.21 8.63 2.9 7.96 4.32 2.77 7.84 3.25
"39" 5.35 8.01 3.07 4.97 6.08 1.72 4.95 4.7 3.35 3.91 3.56 5.73 5.12 6.26 7.11 3.5 4.76 2.72 2.96 7.28 4.7 6.29 1.89 8.13 3.94 4.55 5.98 4.51 3.06 2.28 7.87 8.47
"40" 6.03 3.91 3.51 4.44 6.39 7.92 4.95 6.7 6.3 7.11 4.93 5.59 4.03 9.97 6.22 5.04 5.06 4.49 4.82 2.89 2.44 4.93 5.64 5.23 4.01 1.98 3.46 4.77 4.3 3.39 6.03 3.41
"41" 2.71 9.22 8.22 5.32 4.49 0.64 4.62 3.37 3.88 4.27 5.62 4.63 5.38 5.59 10.36 4.16 4.81 4.13 4.82 8.8 4.63 4.53 6.23 4.04 6.04 1.27 5.3 4.97 3.93 6.58 4.15 8.85
"42" 4.14 5.47 8.02 7.77 1.07 6.65 2.07 5.68 6.85 5.25 6.18 4.83 4.57 5.74 6.17 4.67 4.8 1.06 8.95 6.31 3.4 3.73 5.11 5.04 4.09 2.2 7.11 6.65 6.35 5.9 5.06 4.51
"43" 4.75 6.03 5.38 4.69 3.55 1.65 5.81 5.52 6.52 3.84 2.51 7.89 6.47 6.05 7.52 5.27 1.37 5.97 8.65 6.21 5.31 2.17 5.18 6.12 2.95 6.59 4.78 4.23 4.71 4.44 5.36 5.31
"44" 4.61 4.13 6.33 3.51 3.04 2.87 5.04 1.86 2.58 3.41 1.95 5.97 2.17 5.82 8.44 2.73 4.08 6.71 7.53 10.1 4.56 1.56 3.37 3.98 6.29 4.08 2.02 2.23 1.08 5.42 3.82 6.83
"45" 1.67 1.7 3.99 9.07 5.59 4.45 6.38 5.57 7.38 9.25 5.66 4.77 7.49 2.74 5.01 8.61 3.95 6.54 3.37 6.29 4.05 8.15 6.04 7.19 3.82 5.84 8.09 2.09 8.51 2.65 6.89 8.04
"46" 7.03 5.97 8.08 9.2 4.55 8.29 8.67 8.16 4.27 7 3.92 1.71 4.95 4.3 4.96 5.71 5.34 5.33 4.87 7.06 4.59 1.59 4.77 5.09 1.68 4.37 7.96 4.3 8.81 3 2.33 0.13
"47" 4.04 8.25 5.75 3.76 3.44 8.67 4.27 3.09 7.04 3.77 2.38 -0.07 4.61 7.27 4.2 4.72 7.03 2.82 5.01 1.79 2.43 8.9 3.29 7 3.93 6.03 4.2 6 1.09 8.06 8.27 5.46
"48" 2.9 7.45 6.06 1.77 6.49 1.68 0.87 3.5 5.18 3.12 8.98 1.69 5.29 8.46 5.03 4.32 3.89 5.66 7.41 4.95 6.37 3.94 4.95 5.34 3.87 2.81 8.61 5.76 6.77 7.44 4.68 5.71
"49" 4.41 4.51 3.94 5.5 2.96 3.98 3.66 2.49 3.2 6.42 2.94 2.07 6.31 3.09 4.76 7.1 3.18 8.63 4.98 1.51 4.61 4.39 5.61 5.14 7.75 6.88 1.99 8.38 3.21 7.62 4.17 5.35
"50" 4.14 6.58 4.28 3.72 2.23 4.18 3.89 4.45 5.39 3.76 4.48 4.79 3.76 4.22 3.28 3.69 6.53 8.44 4.99 4.19 6.95 6.56 1.54 2.63 5.83 7.17 5.93 6.8 6.07 6.01 4.78 1.87
"51" 6.94 6.83 3.28 3.58 2.61 9.53 6.5 2.69 4.48 3.19 6.55 2.09 1.34 6.02 6.16 5.63 1.31 9 3.46 7.54 6.09 3 7.67 6.58 -0.99 2.83 8.66 4.58 4.5 10.4 7.46 5.73
"52" 4.15 7.85 6.67 5.22 7.37 3.85 3.02 4.14 5.92 5.17 11.71 5.09 1.88 3.93 2.05 4.86 6.66 5.1 8.1 6.83 2.36 6.2 3.67 5.86 4.46 7.86 3.18 4.37 7.21 7.26 7.86 2.63
"53" 3.42 6.79 6.92 3.74 5.05 4.72 7.49 7.78 5.09 5.73 4.59 2.56 8.53 1.4 2.53 1.16 5.45 11.27 4.66 6.96 3.42 6.15 6.82 5.26 5.93 3.26 9.54 6.62 7.19 6.17 5.52 5.71
"54" 3.09 4.41 5.94 5.96 7.53 6.7 4.6 2.95 6.33 4.25 4.54 6.21 7.67 4.36 6.64 8.78 7.16 0.98 6.3 5.17 4.47 6.32 6.44 4.37 6.58 5.5 5.96 3.92 3.44 4 7 4.51
"55" 5.28 2.47 4.63 5.13 1.99 3.49 5.28 4.13 3.79 2.88 5.53 4.85 4.53 6.06 5.62 8.53 7.24 1.51 4.34 3.87 4.09 5.78 0.73 5.05 7.57 4.53 7.63 7.53 6.31 4.74 8.37 1.19
"56" 2.75 9.19 2.42 6.28 8.76 5.84 5.16 2.44 6.38 5.58 6.89 4.45 4.31 9.31 2.22 2.28 7.23 4.35 3.18 7.93 5.97 5.13 6.26 3.52 7.25 1.89 5.71 5.05 6.96 8.49 4.54 4.75
"57" 10.21 3.73 6.86 4.79 3.32 7.84 5.11 8.1 6.69 3.02 4.75 4.55 5.31 8.53 7.87 5.15 5.11 7.2 4.12 5.32 5.31 6.3 0.93 3.09 4.6 4.89 3.47 8.14 6.68 4.01 7.52 5.27
"58" 4.67 2.63 2.98 3.91 4.89 3.96 4.04 5.45 3.61 5.21 2.03 7.18 1.86 7.08 4.3 4.93 0.66 3.04 3.63 2 5.35 5.16 5.57 6.29 6.46 5.25 4.45 6.65 1.54 1.34 6 1.78
"59" 6.94 1.37 3.28 5.13 3.79 2.08 8.96 2.8 7.29 6.68 8.8 6.82 7.02 5.93 5.93 10.39 5.1 4.66 3.82 0.77 3.17 4.57 5.68 3.83 2.85 7.28 5.28 2.79 3.71 3.48 4.3 4.4
"60" 6.2 5.71 6.84 7.46 2.92 4.17 3.07 4.94 6.17 7.59 5.48 7.71 6.98 6.71 7.5 8.26 7.81 3.61 4.69 3.64 4.41 0.16 7.9 4.97 6.29 9.27 5.05 6.86 6.46 6.77 9.06 4.3
"61" 5.14 1.66 4.2 3.97 6.15 2.84 5.2 6.65 4.26 3.82 6.97 5.53 4.68 5.52 5.97 0.34 3.33 3.39 7.2 8.21 2.51 5.45 4.06 8.49 0.95 4.1 9.8 5.98 -1.01 6.36 3.58 1.83
"62" 2.66 6.51 6.64 6.55 4.36 5.31 7.95 4.11 3.3 10.23 3.09 8.61 5.63 3.48 5.74 3.92 5.42 5.57 8.59 7.96 7.15 3.35 4.62 1.71 4.22 4.29 5.5 3.13 4.1 2.52 5.36 4.89
"63" 7.31 3.53 7.31 7.03 2.97 1.96 6.75 5.58 4.17 4.35 3.5 1.44 6.68 2.22 8.95 5.28 4.76 3.53 5.85 6.31 6.35 5.1 4.86 7.06 5.8 2.95 6.84 6.04 6.11 9.39 5.42 7.42
"64" 7.16 2.26 4.27 -0.85 5.8 6.32 5.12 6.9 3.85 6.57 3.65 7.01 6.67 -0.4 3.4 6.69 4.35 7.43 5.24 3.93 6.45 8.94 3.9 8.73 5.53 6.74 3.95 6.28 3.55 6.96 4.48 4.18
"65" 5.07 5.81 6.11 1.98 6.06 5.55 4.84 5.2 8.55 5.91 6.2 9.13 6.16 5.65 4.25 5.32 3.67 4.72 3.88 5.73 5.16 7.76 4.18 7.08 7.09 4.75 2.33 6.41 5.12 1.85 7.72 7.19
"66" 5.48 7.14 4.03 5.33 4.3 5.08 5.51 4.73 6.88 3.22 6.73 1.81 4.85 4.59 5.88 7.04 2.94 7.67 3.94 5.26 5.37 4.01 6.26 4.19 3.49 9.06 -0.47 9.62 1.13 4.91 4.32 3.32
"67" 4.19 2.78 3.59 6.26 6.36 4.73 6.2 3.7 5.37 8.36 8.04 4.97 3.56 4.48 5.04 4.6 5.15 5.9 3.51 5.72 -0.35 7.15 5.7 5.76 8.03 2.39 6.27 3.28 7.25 4.46 6.68 5.17
"68" 6.91 5.94 4.87 2.38 5.35 0.45 6.9 4.95 7.27 7.04 7.01 9.2 3.95 6.98 5.11 6.97 3.33 5.17 0.87 4.57 4.55 6.82 4.92 4.86 4.86 4.92 5.45 2.54 6.04 3.26 6.11 4.14
"69" 3.46 5.08 7.59 3.89 4.02 3.78 2.16 4.98 5.13 4.64 5.52 2.69 4.41 4.48 4.21 0.77 5.95 4.11 6.77 1.29 5.79 2.48 2.15 5.01 3.78 5.33 7.15 4.64 3.98 0.58 5.2 5.52
"70" 4.54 3.81 4.37 3.29 5.06 3.13 5.34 4.86 6.67 5.3 4.45 4.66 6.97 4.02 6.06 3.26 3.58 4.3 3.51 5.53 6.49 5.91 4.2 4.64 4.23 3.09 4.34 4.94 3.87 7.12 5.61 5.5
"71" 6.42 3.45 4.3 5.75 3.14 7.17 0.05 3.22 6.01 1.92 2.89 6.61 5.55 6.39 7.76 7.8 6.68 2.92 1.54 6.41 3.1 3.42 3.69 7.06 5.58 4.27 5.09 5.1 7.78 5.08 7.01 5.94
"72" 7.45 3.64 4.76 5.28 7.67 7.48 3.2 5.74 2.81 7.07 7.12 3.62 7.53 6.36 4.63 4.33 -0.54 6.3 2.35 2.52 7.88 5.77 8.38 1.51 7.01 3.2 7.93 4.02 0.53 3.52 2.85 2.99
"73" 4.21 5.9 3.4 7.53 4.27 5.35 -0.34 4.53 6.97 4.34 7.85 4.79 4.71 4.34 7.9 7.16 4.79 4.9 6.85 7.64 5.91 5.25 5.74 1.04 6.97 1.72 3.47 5.37 6.69 3.34 8.31 6.18
"74" 3.16 4.71 2.71 8.51 0.09 5.63 5.61 3.14 5.12 8.49 3.72 5.28 9.1 6.95 2.44 5.05 1.97 7.08 5.21 2.13 4.24 5.78 3.05 4.99 0.95 3.31 5.85 8.28 4.24 3.9 4 5.77
"75" 4.86 4.04 0.74 3.21 5.31 6.16 7.03 5.87 3.7 5.34 8.16 3.11 4.57 3.03 3.9 3.3 7.6 4.06 7.37 3.1 -0.23 4.16 7.58 0.93 5.58 4.79 3.98 7.44 7.46 1.85 2.43 6.37
"76" 1.43 5.31 2.97 3.37 2.47 5.43 2.05 1.62 5.32 6.04 2.07 4.6 6.14 5.47 7.05 6.47 5.85 5.06 4.15 7.09 9.54 6.7 4.63 1.42 8.68 2.4 5.83 1.1 7.23 5.38 3.76 6.03
"77" 6.68 6.05 7.17 7.96 3.22 6.34 7.39 5.08 6.02 6.56 5.61 5.16 5.39 4.21 5.01 4.73 5.4 4.44 3.18 6.12 8.16 3.46 5.31 5.11 4.6 4.37 4.24 3.68 4 5.74 5.13 8.63
"78" 3.86 2.36 4.7 9.52 5.86 6.62 5.52 5.29 0.84 4.08 3.11 4.65 4.68 8.55 5.31 5.37 2.68 8.66 7.34 5.47 3.62 2.91 9.55 5.05 1.43 -0.86 4.13 4.7 4.45 8.31 8.22 3.8
"79" 10.32 5.63 1.25 3.1 2.35 6.72 5.02 4.43 2.54 2.74 4.67 4.44 2.24 1.72 1.66 4.12 4.48 6.32 -0.03 3.95 5.1 7.63 5.25 2.18 3.1 6.61 5.78 6.76 2.63 7.95 0.13 4.29
"80" 3.59 5.25 7.38 4.82 3.18 6.21 3.69 6.71 3.46 3.43 8.61 1.93 8.79 2.95 3.76 6.29 5.57 1.04 4.55 3.88 7.89 3.73 3.66 6.29 8.27 9.47 5.02 4.59 8.51 4.48 1.58 3.62
"81" 6.28 3.72 5.25 1.52 3.9 5.57 7.25 3.63 5.29 5.44 4.36 5.3 4.16 2.77 5.81 4.07 6.19 4.72 4.15 3.43 6.25 1.92 4.37 2.51 7.45 1.69 8.79 7.42 3.52 1.45 3.11 4.32
"82" 5.39 4.21 6.83 6.76 4.21 2.6 4.39 5 3.41 2.89 9.91 5.64 4.33 3.28 2.12 4.34 5.32 4.26 5.45 5.44 4.77 4.39 1.73 6.35 9.11 7.67 3.72 5.61 4.12 5.8 4.34 4.27
"83" 2.68 7.87 4.69 3.1 2.48 7.54 4.47 2.67 2.99 5.52 5.54 6.5 9.31 7.49 7.74 8.62 6.43 3.91 7.8 3.92 4.98 2.9 4.85 2.8 6.51 5.5 1.68 7.4 5.69 3.83 9.56 6.45
"84" 4.1 5.63 6.02 2.82 3.88 4.48 6.14 8.48 6.03 7.09 2.9 6.33 6.11 4.84 5.1 3.85 1.49 2.67 3.23 6.95 5.8 7.17 4.77 2.68 2.72 3.47 4.41 6.08 6.35 6.8 3.5 -0.44
"85" 6.31 6.06 7.22 3.07 4.39 3.94 6.37 1.95 6.68 5.37 5.02 4.96 3.35 4.9 6.62 4.67 7.97 1.76 9.93 5.94 8.62 7.65 6.01 1.71 3.81 2.23 6.51 6.96 4.12 5.44 3.65 2.28
"86" 9.04 5.94 7.39 2.63 5.13 7.13 7.1 2.99 2.94 7.68 4.79 7.52 5.42 5.51 7.42 4.27 4.89 4.16 4.22 5.01 5.78 2.66 6.77 4.04 2.03 4.81 7.01 5.48 5.48 3.75 5.44 7.57
"87" 4.06 3.54 3.66 3.27 4.85 4.69 5.81 1.15 5.15 0.11 -2.15 3.75 6.66 2.7 4.13 3.34 2.93 4.62 4.38 1.64 2.57 1.6 4.28 5.08 9.29 4.47 4.31 4.27 6.09 7.51 6.25 6.04
"88" 8.71 1.87 7.62 6.9 1.03 0.36 8.15 9.38 5.79 4.08 3.16 5.65 2.09 6.2 5.33 5.73 4.69 7.05 5.98 2.34 5.2 4.51 3.26 3.51 4.36 1.73 7.11 2.67 3.63 7.36 6.05 3.91
"89" 3.46 3.56 3.01 7.25 4.12 3.83 7.73 4.51 4.5 4.17 3.96 3.44 6.85 5.6 4.14 6.88 6.29 4.94 5.52 6.54 6.17 5.13 9.39 3.49 3.85 3.34 5.34 4.16 0.89 7.67 4.83 6.5
"90" 4.8 2.85 5.26 4.04 2.47 3.85 1.02 5.65 0.95 4.39 4.02 6.68 4.22 7.44 3.8 4.01 6.27 8.79 5.03 5.16 7.03 4.87 7.34 6.25 3.36 2.28 5.64 0.86 4.92 4.18 3.46 3.9
"91" 7.76 5.62 6.25 7.1 3.78 7.84 4.05 2.67 5.2 5.41 6.14 3.52 7.1 5.84 8.31 3.89 6.29 5.97 7.71 3.43 3.51 0.98 2.33 4.22 7.21 2.94 6.69 3.71 3.21 4.78 8.14 3.73
"92" 4.54 2.16 5.63 3.97 4.94 4 7.19 5.04 5.54 3.95 6.69 4.68 6.74 3.66 6.18 -1.14 1.61 5.1 5.93 5.7 3.8 7.39 4.55 5.71 5.45 6.78 7.1 6.97 6.64 6.92 6.46 5.16
"93" -0.22 6.64 4.4 5.04 3.71 4.88 7.72 7.4 7.71 6.18 3.66 10.08 5.08 0.58 7.65 0.75 3.98 7.39 6.42 3.86 3.21 6.81 5.08 4.85 3.8 4.58 4.63 3.91 4.46 4.82 4.49 3.97
"94" 6.71 5.92 6.22 3.81 6.21 1.46 5.71 6.48 2.82 -0.39 3.93 2.23 4.71 4.66 5.21 0.08 5.59 6.21 5.55 1.41 3.23 4.82 1 7.02 6.06 2.29 5.34 7.3 0.07 3.51 4.34 0.18
