"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41"
"11" 7.6 3.8 6.57 5.9 5.32 6.22 6.06 1.53 3.05 2.72 4.94 6.81 4.52 2.74 4.87 3.53 4.74 3.61 7.41 3.49 4.43 2.41 5.79 8.86 5.84 8.39 9.33 7.17 5.72 6.48 7.2 9.61 4.58 4.83 1.48 6.9 2.88 6.69 4.22 2.53 3.16
"12" 2.64 4.16 3.65 2.42 5.35 3.53 2 3.42 7.27 4.08 3.92 5.84 5.57 2.26 6.27 1.98 3.91 4.2 7.18 3.72 4.1 2.66 6.49 3.42 9.43 1.06 3.21 3.01 4.68 2.39 5.98 5.34 4.91 8.39 4.46 4.83 7.32 7.31 2.32 9.95 3.98
"13" 5.1 1.42 5.09 6.12 -0.22 5.2 3.78 1.52 3.76 6.73 6.27 6.06 6.72 2.77 9.8 3.75 7.76 6.75 7.34 3.75 3.56 6.09 3.93 6.82 8.07 4.68 3.47 3.75 4.77 3.45 2.19 7.25 5.43 6.75 7.67 6.02 4.64 5.72 2.76 5 2.96
"14" 6.67 5.43 5.22 6.29 4.25 4.19 6.25 5.35 4.37 4.56 2.91 4.68 9.56 9.63 4.98 9.15 4.15 4.34 5.43 7.58 6.06 5.69 5.94 6.2 6.46 9.82 5.12 6.35 4.02 3.68 7.36 1.95 5.25 5.19 5.79 3.71 5.95 6.85 6.9 6.56 0.95
"15" 3.17 4.03 6 6.75 6.01 7.04 5.1 7.18 5.86 6.16 3.6 4.49 2.44 3.58 5.96 3.72 5.52 3.4 2.54 5.41 6.15 4.86 6.21 5.65 6.66 6.75 6 3.98 7.17 7.87 5.61 5.63 3.61 4.37 4.17 3.27 7.01 7.67 5.88 4.41 7.79
"16" 6.51 4.16 5.61 0.3 4.12 3.19 6.2 5.08 5.66 5.69 6.62 4.54 2.36 4.4 2.75 2.51 5.56 3.27 8.18 8.45 5.73 5.74 3.88 3.95 4.37 4.33 5.85 6.13 5.9 5.3 3.23 5.51 5.2 6.56 5.3 7.79 3.83 6.96 3.78 7.2 3.49
"17" 4.25 4.59 6.66 5.83 7.71 3.06 5.73 3.74 4.53 4.86 5.64 8.01 5.53 2.18 6.82 5.38 4.95 9.09 4.86 5.07 6.81 4.56 3.46 4.73 3.13 5.61 5.72 5.63 4.7 4.39 4.52 3.19 3.46 3.33 3.91 3.78 0.56 2.96 7.61 7.15 2.97
"18" 0.03 5.4 4.9 5.02 3.49 5.45 3.5 4.02 7.6 6.22 7.67 3.7 5.62 4.21 5.34 2.84 5.84 1.93 7.15 4.2 3.72 2.68 4.94 3.8 3.43 3.98 6.94 5.34 4.23 6.98 4.1 5.8 6.09 4.71 3.05 6.27 5.22 2.82 1.67 4.66 2.82
"19" 8.85 4.42 7.49 4.27 6.93 1.82 2.38 6.71 4.95 2.4 4.8 7.59 6.53 7.88 5.16 1.85 5.15 3.96 5.81 8.03 3.7 7.58 2.6 4.88 5.22 3.56 5.22 1.59 4.89 6.14 9.7 7.89 4.74 5.71 4.13 4.64 6.23 10.04 4.61 8.25 0.89
"20" 2.34 2.92 7.07 4.68 4.14 5 4.33 5.86 5.56 6.48 8.3 0.4 1.95 3.78 5.52 3.86 4.63 3.1 1.32 2.42 5.91 6.33 4.94 4.72 5.41 6.26 7.56 4.41 3.69 6.2 8.1 5.49 6.92 3.97 3.16 6.57 4.61 3.84 6.2 8.61 4.51
"21" 4.75 5.38 3.46 3.66 6.88 7.06 4.58 7.25 6.47 6.75 5.35 1.66 7.61 5.26 5.49 2.58 3.09 4.57 4.46 3.74 6.41 10.69 3.27 4.73 2.74 1.62 4.11 4.6 4.01 4.06 6.35 2.99 5.91 7.02 4.42 4.29 5.71 1.96 4.39 8.21 4.69
"22" 3.65 -0.21 5.41 6.11 2.39 1.11 5.03 6.72 6.55 6.02 8.4 5.54 2.32 3.31 5.48 5.78 5.79 4.86 3.12 5.16 5.98 8.05 8.07 6.99 7.99 7.01 5.35 8.91 3.84 3.65 4.47 3.94 8.67 5.41 4.08 3.62 6.95 6.39 7.69 5.82 7.5
"23" 6.46 3.19 2.58 7.75 2.13 5.54 7.8 5.56 7.96 7.2 5.73 1.25 6.02 7.42 6.04 1.58 4.98 3.36 3 5.18 0.44 2.49 7.01 6.89 3.35 1.88 4.88 2.18 8 3.45 4.97 0.23 8.6 4.15 8.37 3.14 4.38 3.91 8.01 3.46 2.29
"24" 4.6 7.32 3.48 2.76 5.07 5.5 5.34 7.15 5.46 7.89 5.1 8.21 6.47 6.59 1.97 6.42 7.34 1.16 3.62 5.15 5.67 7.32 6.49 10.56 4.84 8.6 5.97 5.93 4.08 2.74 5.75 5.35 8.62 2.69 0.06 6.49 3.05 4.45 6.94 7.6 5.68
"25" 2.59 5.01 6.05 0.81 6.77 3.73 2.34 7.07 3.93 2.69 3.18 3.54 3.14 3.34 6.81 4.27 6.4 3.83 3.76 3.43 3.79 6.56 2.97 5.1 10.29 7.61 6.38 4.19 7.93 3.8 5.77 2.31 5.06 5.64 7.52 5.68 7.23 5.38 9.86 4.41 -0.22
"26" 4.57 5.63 5.9 5.54 3.52 5.05 3.98 6 5.8 6.65 3.95 2.73 2.25 8.04 4.01 2.41 9.58 4.87 5.46 7.78 3.3 5.33 3.46 4.95 7.31 6.86 7.57 4.9 2.35 5.91 5.92 3.16 4.67 3.11 3.74 3.79 8.11 3.29 7.2 5.53 4.68
"27" 5.93 10.03 2.85 5.79 5.49 6.85 8.28 2.78 4.45 6.44 4.29 6.55 3.41 4.34 3.63 6.9 4.15 7.61 4.95 6.64 4.33 3.79 4.65 11.62 6.08 1.67 7.27 5.6 5.07 3.22 5.78 6.4 0.3 5.34 5.67 5.04 4.53 7.12 4.63 7.79 4.2
"28" 5.9 9.07 4.22 5.28 3.22 4.59 3.6 3.18 7.61 2 5.23 5.42 4.18 5.24 5.42 0.8 4.28 3.18 5.07 6.15 4.94 7.36 7.09 5.95 1.44 6.55 3.27 6.34 7.44 4.05 0.58 6.31 7.76 5.89 4.26 4.75 7.56 2.38 2.15 1.05 6.27
"29" 4.32 5.19 4.36 8.51 4.46 4.5 3.48 3.11 4.77 -0.1 7.27 2.09 6.84 2 4.98 -0.36 2.09 2.96 4.64 7.24 9.87 7.9 7 4.12 7.51 0.41 4.08 5.22 4.53 5.02 6.42 5 5.22 4.61 3.74 6.64 3.16 5.69 3.14 -0.07 4.06
"30" 6.67 3.03 6.42 0.7 4.32 4.48 4.06 4.04 8.43 4.11 6.64 5.67 3.86 4.9 7.92 6.31 4.33 4.88 4.81 6.61 7.2 4.35 6.27 9.29 1.83 7.48 1.22 5.89 5.82 6.09 -1.09 4.43 3.12 4.91 6.77 7.4 3.71 3.54 4.31 5.13 5.85
"31" 3.35 5.38 6.32 5.7 3.42 4.75 1.74 5.11 8.11 4.88 5.95 7.05 4.89 2.34 7.62 6.33 3.89 3.91 8.96 3.95 3.56 7.62 5.45 4.52 4.63 7.31 2.75 2.33 6.2 7.21 6.36 5.06 5.15 3.79 3.76 5.7 4.95 1.36 3.8 3.51 3.14
"32" 7.68 5.85 2.26 5.2 4.03 2.85 1.48 4.29 5.28 5.16 4.71 4.08 4.27 6.62 6.2 2.17 4.5 2.45 5.58 4.14 8.46 6.3 4.44 1.44 3.22 3.72 6.43 6.43 6.15 6.01 6.26 6.19 7.43 4.25 8.29 6.91 5.44 4.36 4.98 10.08 5.13
"33" 5.26 2.83 7.03 3.99 5.66 2.57 2.27 5.07 6.11 3.97 4.79 4.99 6.86 4.36 5.94 8.28 3.99 7.25 5.96 3.84 2.24 5 6.27 6.47 3.41 6.43 3.82 2.61 6.21 5.15 5.51 0.5 7.1 4.12 3.16 4.89 3.48 9.08 4.65 10.18 7.37
"34" 2.39 5.01 8.56 8.44 6.25 8.98 5.27 5.51 3.86 6.06 8.22 5.25 5.32 4.35 3.47 3.12 3.48 7.81 7.57 2.26 6.05 4.67 7.82 8.42 5.44 1.96 3.97 6.97 3.13 9.28 5.94 6.19 2.75 5.91 6.55 6.72 5.08 6.57 4.65 6.32 4.79
"35" 7.22 6.28 5.7 10.11 8.16 2.42 3.64 -0.47 6.2 3.83 4.99 2.35 6.9 4.71 6.74 -0.37 4 5.86 3.28 2.85 6.59 6.08 5.34 9.42 4.51 8.43 2.83 11.36 3.57 6.96 4.19 0.96 5.41 4.89 5.59 3.4 2.46 2.23 4.54 6.61 4.59
"36" 7.67 6.8 4.75 5.32 5.87 4.82 5.27 3.56 6.63 9.46 5.56 4.79 5.91 7.23 6.65 3.75 4.32 4.79 5.06 3 5 4.07 6.18 3.68 3.17 2.39 5.08 1.49 5.37 4.13 4.13 10.16 6.23 5.98 5.38 4.89 9.07 1.98 3.5 3.47 5
"37" 5.5 7.01 6.67 6.24 3.89 6.19 2.11 0.36 7.05 6.58 4.28 6.37 6.69 6.14 8.24 5.54 6.34 7.23 7.08 5.38 7.47 2.71 6.59 3.47 8.64 6.36 6.96 1.6 4.88 4.44 3.87 1.09 7.74 1.95 4.29 2.65 6.66 6.26 6.97 2.51 4.42
"38" 6.65 5.86 7.22 7.42 2.58 3.27 7.89 2.78 2.09 9.54 3.03 6.61 3.32 7.86 8.38 4.17 3.37 8.85 5.43 2.18 3.07 6.58 2.14 4.95 4.07 3.21 5.38 4.4 4.93 4.63 2.77 5.58 2.77 4.55 6.01 6.06 6.08 5.51 2.85 7.56 7.31
"39" 6.06 2.74 1.38 2.35 3.35 4.12 5.17 3.46 5.72 2.67 7.06 3.28 5.4 1.19 10.39 8.42 7.47 4.91 5.33 6.88 4.54 5.11 8.28 2.1 6.52 7.21 6.25 9.25 6.73 6.37 6.17 6.59 5.6 4.38 7.12 6.05 3.27 2.98 7.86 5.54 2.83
"40" 3.21 2.98 5.11 3.55 7.63 3.12 5.09 3.59 5.13 3.72 4.56 2.79 2.74 4.08 4.28 7.49 6.45 3.14 6.48 3.32 4.19 3.16 7.58 7.68 7.57 4.22 2.02 3.38 6.93 6.18 7.63 7.53 8.16 4.57 4.1 4.49 3.42 7.49 7.33 4.38 2.07
"41" 5.33 1.19 3.99 5.65 6.06 1.59 3.59 2.84 3.36 1.09 4.63 6.82 7.43 8.4 1.66 4.57 5.29 0.92 5.3 7 4.78 2.91 2.8 3.45 7.43 6.51 7.73 4.59 5.95 5.29 4.09 6.55 4.48 8.2 5.99 6.55 7.17 2.35 7.6 1.29 4.47
"42" 3.74 2.35 6.1 3.28 4 5.73 5.49 7.15 4.01 2.78 5.47 5.59 3.33 7.68 4.1 5.43 0.96 4.97 4.46 4.1 6.04 3.7 2.96 2.05 2.94 7.29 6.86 4.4 5.11 6.25 8.25 8.78 3.74 6.47 7.09 4.66 5.33 4.76 7.48 5.45 6.19
"43" 5.68 3.49 1.92 3.56 4.85 5.99 6 3.44 2.34 4.66 7.1 2.93 3.75 4.58 5.46 6.96 5.96 6.72 2.88 3.84 5.36 7.93 5.72 1.63 3.36 3.76 7.48 6.86 1.74 3.8 2.46 6.13 3.61 7.87 9.52 4.77 4.61 4.28 6.78 3.49 3.89
"44" 6.44 4.5 2.13 2.16 5.43 3.64 2.77 5.64 3.56 0.69 6.87 3.06 7.63 1.83 9.24 8.25 3.85 5.02 4.3 4.89 6.33 -0.6 3.54 4.08 3.48 6.64 6.54 5.66 3.74 5.15 3.27 6.52 5.38 2.9 2.94 6.21 2.73 5.67 8.38 6.35 5.47
"45" 8.53 3.4 3.92 6.46 4.79 4.46 5.13 4.11 9.27 4.52 7.34 10.72 3.41 4.94 6.74 4.66 9.17 6.2 7.4 6.34 3.87 4.13 6.64 6.16 4.99 7.66 5.42 3.07 5.48 5.9 3.91 6.92 2.74 2.56 5.86 2.99 4.1 4 6.23 4.15 2.55
"46" 6.34 4.81 6 3.46 4.75 4.54 4.54 3.53 3.52 5.19 1.07 8.27 4.97 6.19 2.87 3.8 3.73 2.31 2.92 8.5 5.63 7.52 6.13 5.44 1.75 4.61 3.88 4.06 4.87 5.97 8.46 3.02 5.02 7.45 5.69 7.55 6.07 5.24 3.91 1.36 7.3
"47" 4.09 4.93 3.63 5.27 6.86 8.19 5.32 7.98 5.07 7.28 3.75 6.75 4.96 4.44 7.03 5.98 7.85 5.91 4.91 6 2.24 5.08 6.9 3.92 6.36 3.86 2.39 5.24 1.72 6.77 5.18 1.56 9.06 7.55 7.24 5.18 7.16 5.69 6.13 4.55 5.1
"48" 2.73 3.58 6.61 1.57 6.48 6.25 5.17 5.48 5.87 6.2 4 4.35 3.77 7.68 3.03 1.7 3.28 10.07 3.94 4.7 4.78 7.82 3.23 6.1 4.89 5.08 5.25 4.23 6.8 4.24 5.37 5.39 5.62 9.39 4.63 5.15 6.92 5.72 10.94 3.11 3.04
"49" 7.59 5.96 6.09 4.43 5.33 4.28 3.43 6.35 5.14 6.19 5.3 2.61 1.42 8.57 7.96 4.52 2.99 7.75 6.48 7.86 3.58 1.98 3.92 4.13 4.55 3.36 3.16 5.5 4.49 5.37 7.49 4.02 6.1 5.17 5.86 2.87 5.46 7.09 7.84 4.21 7.6
"50" 3.76 8.46 2.24 2.89 5.98 7.56 5.41 6.59 5.76 7.1 2.24 4.75 7.88 5.81 4.67 4.48 4.55 7.8 5.33 3.71 5.02 4.12 9.76 2.21 3.96 4.54 3.92 4.49 5.23 4.56 2.17 6.97 4.5 6.95 3.45 6.26 5.94 4.29 6.13 5.03 6.5
"51" 6.18 5.24 4.15 7.46 6.73 2.55 2.14 6.16 7.69 2.41 6.63 5.4 4.2 7.33 4.71 3.01 7.4 5.71 9.07 4.49 1.94 7.83 5.6 2.43 6.17 6.17 6.29 4.38 10.11 5.12 3.91 4.75 6.32 3.07 7.23 5.2 4.35 6.01 5.92 3.69 1.15
"52" 2.57 6.38 4.65 9.3 5.45 6.25 3.06 4.21 2.23 3.95 5.6 4.63 2.73 5.74 1.91 6.74 2.33 4.72 4.53 2.23 5.01 5.15 4.85 5.28 4.27 8.95 5.91 6.43 5.72 7.16 4.92 4.13 7.74 6.83 6.67 5.46 6.1 2.45 3.49 5.26 5.19
"53" 6.27 4.45 4.39 4.82 5 3.4 5.87 5.28 5.45 4.95 4.74 -0.54 3.94 5.22 4.18 5.41 3.97 8.86 3.37 8.17 4.97 3.25 11.54 5.18 -1.26 6.43 7.67 5.07 3.52 3.65 4.34 4.62 5.19 6.46 6.24 4.43 4.8 5.83 6.67 6.01 2.23
"54" 7.8 4.15 3.3 6.25 4.97 6.9 4.03 2.43 7.33 7.18 3.95 5.84 5.99 3.91 6.52 2.9 6.78 8.38 1.96 6 6.31 3.1 5.72 4.19 6.18 6.66 4.64 4.36 6.92 4.7 5.11 5.31 4.69 7.78 3.67 0.83 5.22 5.14 4.61 7.61 6.21
"55" 4.39 -1.89 7.31 4.57 4.37 5.66 5.67 5.68 4.9 5.23 3.13 3.67 4.27 3.44 4.4 7.72 5.86 6.34 2.95 4.29 6.14 6.18 3.06 7.47 2.88 6.44 3.19 6.06 5.4 6.52 5.23 5.19 7.41 7.01 5.95 1.55 5.47 6.51 7.38 5.49 8.4
"56" 1.2 5.72 3.87 2.58 3.95 4.81 4.39 6.29 5.3 3.22 -0.45 3.66 3.44 3.98 4.36 6.44 2.8 5.35 5.72 4.71 3.92 4.19 3.13 5.38 2.84 3.64 2.87 5.15 4.96 2.78 4.74 7.07 3.39 4.45 0.74 2.06 3.55 4.64 3.79 4.14 6.49
"57" 0.23 8.64 4.93 5.52 3.88 6.56 3.37 3.45 3.51 4.92 6.41 1.54 6.29 0.97 5.74 5.99 7.42 9.84 7.2 4.43 2.84 1.7 4.71 5.39 7.32 3.24 6.2 2.18 5.46 8.79 4.89 3.21 4.63 7.44 4.83 8.07 3.61 7.07 4.15 4.1 5.09
"58" 5.52 7.06 2.36 7.2 7.12 8.28 5.11 6 7.76 3.76 5.6 5.27 6.93 3.6 6.89 3.62 7.04 0.94 7.9 4.09 5.02 4.54 3.88 8.14 5.16 2.87 1.64 3.22 4.73 1.86 9.06 5.79 0.99 4.21 5.52 2.78 7.52 4.76 6.33 3.32 5.02
"59" 6.45 5.53 7.44 3.42 7.54 6.31 5.82 6.2 6.49 1.47 3.87 3.68 5.91 3.71 5.99 4.98 3.17 3.84 8.74 1.75 3.18 7.21 6.45 4.96 8.88 6.19 5.84 4.72 6.94 7.4 7.84 3.75 6.52 3.21 9.47 7.03 5.32 8.33 1.21 3.9 3.77
"60" 4.4 4.83 9.81 2.49 1.54 4.54 4.27 5.1 5.87 7.86 5.51 6.73 4.82 6.53 3.54 2.81 4.31 1.15 8.36 6.4 5.58 2.87 6.95 7.95 5.11 4.83 2.35 6.04 4.31 6.83 3.7 7.95 4.89 2.04 10.32 2.82 3.79 3.81 6.85 2.59 2.73
"61" 6.44 5.07 6.68 6.38 4.73 9.82 5.99 6.31 6.5 7.34 8.16 4.55 3.38 1.59 5.63 5.93 5.98 1.41 7.38 2.96 5.28 3.69 3.5 2.35 4.76 2.2 2.64 6.63 3.41 6 5.08 9.39 7.83 6.04 5.84 4.52 6.17 7.16 1.39 -0.73 0.04
"62" 4.43 5.22 2.67 1.95 3.49 3.24 -0.54 3.21 7.54 6.58 2.07 5.88 8.03 3.63 7.68 5.21 5.38 9.29 3.74 2.78 8.91 5.68 4.38 5.21 7.93 6.75 1.35 7.29 4.43 4.51 5.63 4.17 6.87 4.07 8.08 2.69 3.25 1.56 8.37 2.75 6.85
"63" 5.46 5.11 6.86 3.85 3.33 5.86 4.91 -1.33 6.33 6.99 5.15 1.72 3.81 7.17 4.31 3.72 6.03 3.14 1.99 1.68 2.83 6.83 4.4 5.02 0.59 3.12 8.39 4.39 4.16 6.78 5.1 6.37 4.42 1.48 1.71 6.12 6.07 5.44 5.84 4.88 4.89
"64" 3.04 5.58 8.06 4.27 3.78 8.98 5.21 3.19 6.25 2.48 7.08 6.11 2.93 3.24 5.17 4.2 6.77 4.4 5.56 2.56 2.45 4.09 5.9 4.61 3.64 3.24 3.25 5.67 3.92 5.29 5.77 9.15 7.67 3.7 4.35 4.44 5.28 6.99 2.73 7.12 5.65
"65" 5.51 5.96 6.94 4.23 3.1 4.87 6.15 7.95 6.78 9.18 5.96 6.37 5.1 3.03 5.95 2.48 2.85 5.79 4.55 2.94 2.88 8.6 4.19 4.36 5.85 6.41 4.57 1.83 5.04 5.12 4.86 4.53 4.72 5.86 7.79 4.77 3 4.51 3.76 3.8 3.32
"66" 3.74 5.01 3.6 4.43 4.22 2.62 3.31 6.97 5.03 4.63 4.9 4.03 2.54 4.75 3.47 7.24 4.29 3.65 5.46 4.33 7.99 7.21 4.87 5.49 7.32 4.48 6.74 5.02 7.32 6.82 4.73 4.99 1.99 4.28 3.96 2.94 6.44 4.23 4.5 4.92 7.2
"67" 1.5 5.74 3.12 4.2 6.28 6.73 5.15 4.67 8.77 7.83 5.01 5.22 3.68 4.82 5.37 4.12 6.19 6.6 5.35 6.62 6.07 8.04 2.75 5.8 3.51 3.12 6.55 2.43 3.33 3.73 8.49 4.51 4.55 8.12 8.42 2.12 3.53 8.87 5.34 6.5 1.1
"68" 4.28 3.12 -0.13 2.15 4.77 3.37 6.99 6.26 2.9 3.67 2.68 5.86 5.3 4.66 7.4 7.3 4.42 7.9 7.22 6.89 1 4.45 5.33 6.15 3.98 3.51 5.89 7.14 1 6.1 3.18 5.46 4.21 5.07 4.91 3.42 4.94 5.41 3.5 5.48 7.41
"69" 6.96 5.83 5.36 4.28 4.36 6.82 7.39 7.25 2.72 4.53 3.12 5.9 3.36 5.58 2.77 5.82 1.74 4.86 8.09 5.94 6.21 7.36 3.75 4.54 7.38 3.51 1.37 4.11 7.1 5.34 4.46 6 5.18 6.83 2.56 3.79 3.95 3.02 3.39 2.66 4.48
