"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38"
"36" 5.97 4.59 5.93 5.93 7.57 4.39 5.82 5.98 2.47 3.87 6.76 5.71 7.02 4.16 4.22 5.05 4.75 8.13 3.24 6.45 5.34 5.53 2.8 4.69 4.29 8.38 5.83 4.4 3.63 8.62 5.35 7.51 6.78 4.37 7.23 4.86 2.53 4.21
"37" 5.57 5.93 0.94 0.39 5.37 5.27 3.11 5.11 -0.23 3.93 6.9 2.7 3.36 8.08 3.93 6.99 2.63 4.63 4.08 4.23 2.02 1.29 2.83 5.36 5.84 5.93 6.59 1.98 7.3 3.42 4.29 7.38 6.15 5.21 4.59 8.19 5.94 7.69
"38" 6.47 6.13 6.82 3.73 3.61 5.93 7.81 6.21 5.65 4.14 5.6 3.66 5.59 3.34 7.28 6.46 4.78 3.99 1.81 5.43 3.44 7.05 5.95 7.28 3.14 5.11 4.6 10.22 4.98 7.46 5.85 6.8 5.41 6.21 2.9 4.41 5.3 6.71
"39" 5.31 2.3 2.47 3.33 7.2 5.43 3.33 7.07 4.36 3.73 4.03 4.32 4.51 7.4 3.17 2.88 1.79 5.16 5.06 3.4 4.72 5.22 8.46 5.79 5.11 8.59 4.83 6.94 4.7 2.09 3.46 3.09 5.69 3.93 4.59 7.61 4.46 3.11
"40" 3.12 6.52 3.91 2.42 3.92 2.32 2.73 5.86 2.92 4.16 0.04 3.88 7.27 5.2 4.03 4.01 3.67 3.96 0.82 3.97 4.81 6.89 3.53 5.51 4.24 6.63 2.85 3.35 4.08 7.09 5.05 5.76 8.14 6.24 5.5 5.56 3.51 4.17
"41" 0.41 5.75 3.79 4.96 2.43 6.96 4.6 4.88 4.9 4.85 5.79 4.31 1.59 3.58 7.79 2.3 7.48 4.75 10.02 5.72 0.76 6.33 7.31 1.74 5.48 6.89 6.38 6.07 4.48 2.79 4.63 5.08 4.77 3.69 7.8 6.63 4.81 4.97
"42" 4.99 7.32 6.79 4.29 1.77 4.97 7.2 5.35 1.92 3.48 4.8 1.63 6.43 4.46 5.91 8.14 3.39 6.21 5.67 -0.58 7.91 5.54 5.21 5.14 8.17 4.14 5.35 4.86 3.94 3.06 9.68 3.99 4.16 4.91 4.77 6.91 4.03 3.49
"43" 3.43 3.6 0.61 6.3 3.61 2.59 4.39 2.76 3.53 2.76 4.08 5.88 2.53 2.76 2.41 2.48 2.59 4.55 8.44 4.55 4.38 3.09 4.7 7.17 4.47 6.33 7.94 5.04 3.04 5.76 7.31 3.77 4.19 2.11 3.54 6.68 5.41 3.03
"44" 4.7 3.99 9.47 6.01 2.59 5.24 5.74 0.76 4.68 10.13 4.2 4.82 6.32 3.35 4.39 6.54 3.9 6.66 5.45 4.29 4.88 3.33 8.09 8.77 8.43 6.88 5.96 5.7 6.95 4.09 4.76 7.26 7.53 3.99 1.39 8.46 8.52 7.31
"45" 8.04 6.04 3.71 7.29 1.58 1.7 3.38 7.39 3.68 4.56 4.06 4.47 5.65 4.77 6.48 5.66 5.67 3.9 3.52 7.92 3.18 8.77 5.91 2.07 6.98 4.35 0.43 5.51 8.14 3.37 3.66 1.58 6.66 2.61 4.97 6.12 7.84 5.12
"46" 3.17 7.25 5.79 6.32 7.25 5.42 5.39 3.56 2.91 8.73 4.85 3.55 4.56 3.24 5.04 2.15 3.79 7.9 3.31 4.85 0.56 5.1 8.7 3.93 4.97 3.45 6.63 5.82 2.1 4.7 3.89 8.26 6.8 4.6 7.35 5.07 8.29 5.14
"47" 3.69 3.45 2.94 3.45 5.13 2.56 4.62 9.58 3.22 1.95 8.09 1.05 6.57 5.42 4.93 2.01 5.5 5.7 5.68 4.96 9.54 7.29 7.02 9.31 6.63 4.97 7.91 5.05 4.32 2.98 3.71 6.52 9.73 5.8 6.08 6.12 3.5 3.84
"48" 6.08 6.73 6.59 1.68 8.05 5.66 4.82 9.06 7.43 5.94 4.42 8.73 3.26 0.74 7.01 4.5 5.7 4.4 3.57 3.5 4.89 2.34 3.42 3.63 4.32 4.94 6.42 6.87 1.97 5.33 5.09 6.48 7.72 6.09 7.26 4.37 5.94 3.52
"49" 7.74 5.06 5.81 4.47 5.67 4.46 9 3.73 4.91 3.07 5.71 6.33 4.61 2.43 4.37 7.15 4.78 2.92 3.98 1.71 8.21 4.05 4.05 4.08 6.58 2.63 6.6 6.14 7.51 7.25 4.45 4.69 3.05 7.45 4.45 4.84 5.27 3.62
"50" 3.15 5.66 7.33 5.2 2.92 8.95 3.94 2.49 10.41 2.98 8.44 6.94 7.12 2.74 8.28 5.95 7.59 7.1 1.87 4.9 3.08 5.45 3.5 5.01 2.92 6.32 8.34 4.19 2.8 6.09 7.68 4.99 1.34 4.11 5.93 5.83 3.71 6.92
"51" 5.95 8.28 2.2 5.36 1.12 4.81 4.86 1.83 3.33 8.68 6.6 6.11 7.53 6.31 0.78 3.68 2.33 1.71 5.68 5.61 3.96 6.63 5.33 2.93 3.35 4.73 5.01 7.12 1.32 5.77 3.96 1.18 5.17 5.86 4.22 9.35 6.1 3.56
"52" 1.91 6.01 7.39 4.3 5.57 4.18 5.31 1.87 3.46 7.16 1.29 4.97 2.74 3.21 5.53 4.11 4.27 4.08 7.55 2.51 6.46 6.72 8.35 3.75 7.76 4.47 6.21 3.04 4.7 6.47 5.22 7.65 8.82 4.65 7.41 4.35 5.57 -1.99
"53" 3.68 3.36 8.06 5.66 4.36 2.77 2.99 7.04 6.82 4.79 7.51 6.68 4.38 1.4 6.24 5.04 7.11 5.02 5.03 9.74 10.5 7.48 2.63 6.92 3.92 1.49 3.45 2.11 2.63 7.32 6.1 8.12 5.1 3.72 4.25 5.22 5.76 3.35
"54" 8.42 3.29 7.99 5.66 2.95 2.43 7.87 4.3 2.9 2.67 5.87 2.28 5.03 7.79 3.35 3.77 5.45 5.11 4.83 8.55 7.08 5.3 5.08 5.45 7.22 3.76 3.03 4.78 4.09 5.48 -1.3 4.93 2.37 3.23 5.54 5.41 4.53 5.88
"55" 8.1 3 5.96 6.09 7.9 6.54 5.01 6.84 7.16 3.38 5.05 5.04 8.34 4.06 6.4 5.29 4.14 2.44 7.65 5.26 4.22 4.61 8.09 3.76 3.07 3.4 2.58 5.53 9.16 1.49 7.06 8.61 5.11 5.7 1.39 2.65 6.85 6.28
"56" 7.01 4.79 2.38 5.18 6.71 4.27 6.86 5.02 3.19 7.06 4.84 4.02 6.8 5.36 5.44 7.27 2.95 7.78 9.26 6.44 4.05 5.89 4.54 3.31 3.21 0.97 3.09 5.16 6.29 5.03 6.58 0.07 4.89 8.47 3.58 6 4.86 8.26
"57" 7.28 5.79 6.31 10.31 6.39 4.88 5.34 7.29 4.25 6.9 5.36 6.62 4.82 4.72 8.09 2.68 6.61 3.95 4.63 9.29 2.56 4.84 3.87 4.7 5.05 1.36 4.28 5.71 4.59 2.56 4.62 6.03 7.18 2.9 4.78 7.13 2.9 2.82
"58" 3.16 4.79 3.99 7.12 7.67 2.78 6.83 5.99 5.76 3.07 3.88 3.6 5.64 3.69 3.12 5.73 5.69 7.19 2.86 6.46 2.23 1.79 5.66 5.64 7.17 5.93 4.3 3.95 6.22 3.86 8.33 6.11 4.75 8.9 7.16 6.3 2.73 4.34
"59" 6.91 3.16 3.65 6.3 1.14 3.68 3.95 1.77 2.56 7.4 4.45 5.95 2.85 5.12 3.52 4.54 3.23 3.4 3.35 5.35 2.65 4.18 5.24 5.27 2.6 7.26 4.75 6.62 5.67 5.07 3.04 4.92 1.23 2.85 5.12 7.77 7.08 3.48
"60" 4.86 7.41 5.51 2.35 3.34 10.18 3.01 6.85 4.52 0.57 4.8 6.53 5.7 2.65 6.94 6 5.45 3.31 6.13 6.73 7.46 5.73 -0.67 6.46 8.16 7.29 5.61 6.79 1.41 5.3 3.66 2.54 8.98 6.18 5.86 6.35 5.68 2.92
