"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"19" 8.61 2.86 5.98 5.26 9.03 3.94 2.47 4.6 4.43 2.36 3.28 5.44 4.96 1.88 2.86 5.42 -0.24 9.72 6.52 3.46 4.53 7.09 7.07 4.46 6.18 5 4.68 2.32 8.47 3.08 5.13 0.84 3.99 6.48 7.19 5.03 5.82 5.34 5.6 3.25 3.79 1.53 3.31 6.73 3.49 5.81 2.78 5.01 7.36 4.84
"20" 3.43 6.03 5.25 2.89 5.75 1.83 8.27 9.36 1.82 6.64 6.06 3.04 6.48 5.23 6.29 5.73 5.43 4.92 8.62 2.82 4.54 4.16 0.78 2.27 5.9 1.65 8.91 2.09 3.17 5.05 6.47 3.48 6.8 2.32 3.98 5.67 8.99 7.4 5.68 5.56 4.1 5.78 4.96 6.03 2.67 3.95 4.54 4.33 5.06 3.86
"21" 1.9 4.83 4.72 3.55 1.65 6.45 6.43 3.86 6.23 6.45 4.79 0.99 6.5 6.89 6.04 2.82 5.42 4.65 8.81 5.45 9.24 3.9 3.04 6.31 8.42 6.75 3.07 5.7 5.3 6.48 4.16 8.09 3.52 4.09 3.49 6.77 9.6 3.72 6.06 3.51 5.85 3.35 1.77 5.53 8.31 7.89 6.22 7.78 4.49 4.95
"22" 4.82 2.02 2.46 6.79 3.46 6.56 5.33 1.57 4.24 4.08 3.72 5.42 2.72 4.94 7.28 4.76 6.32 4.1 6.58 3.36 6.53 5.34 4.36 3.37 4.85 8.29 3 3.68 4.79 7.83 0.53 5.7 4.24 6.53 6.21 2.87 6.28 3.83 3.09 1.68 7.8 5.86 3.39 3.42 5.28 3.14 4.38 8.9 1.34 6.16
"23" 4.31 6.56 3.67 8.19 4.95 6 4.01 5.05 4.03 4.21 6.19 2.4 5.8 5.85 4.95 3.29 8.31 0.42 1.65 5.63 7.64 2.63 3.22 4.27 10.33 5.19 3.74 5.9 3.87 4.46 3.94 6.92 2.87 2.65 3.82 6.98 4.31 7.32 4.49 8.03 6.13 5.99 5.1 5.05 3.85 7.86 6.45 5.12 3.05 3.43
"24" 7.03 5.68 5.53 10.01 7.69 8.04 6.24 0.5 6.21 5.08 1.23 5.57 1.95 1.65 4.6 8.23 5.24 4.49 4.64 6.41 5.71 2.08 8 7.38 7.16 3.07 8.89 7.58 7.46 7.45 3.85 0.18 5.31 8.84 4.02 5.26 6.65 6.22 3.73 8.2 6.15 4.6 4.54 7.4 3.24 5.6 5.75 3.68 2.76 0.68
"25" 0.81 5.58 4.97 -0.01 3.99 3.54 4.08 2.72 -0.59 5.91 5.38 5.3 3.25 5.14 5.35 3.47 2.26 4.91 4.85 1.73 4.5 4.66 5.31 5.74 4.52 7.25 7.5 3.01 5.52 0.85 1.08 5.27 10.32 7.93 5.72 5.27 2.87 7.43 4.73 5.77 4.49 7.23 2.18 5.05 7.37 9.05 5.87 4.28 4.05 5.86
"26" 8.23 4.02 1.86 6.14 7.33 4.61 4.92 4.97 2.24 5.3 2.94 6.92 4.97 11.04 6.73 4.27 4.41 2.27 6.91 5.97 4.25 9.59 3.12 3.57 1.91 4.56 5.29 5.84 5.85 5.01 1.8 3.42 5.17 4.89 5.49 6.33 10.06 6.09 6.68 2.95 4.94 3.82 6.31 5.68 2.14 10.01 7.72 4.68 1.13 2.8
"27" 3.65 4.67 7.66 2.13 5.24 5.84 7.5 5.65 4.37 1.87 9.07 5.07 0.77 2.95 5.79 5.91 6.9 6.82 6.56 4.72 4.85 2.27 6.25 5.72 3.49 4.73 5.09 4.3 3.7 0.38 2.02 5.43 5.06 5.53 7.55 4.91 2.24 6.41 6.09 6.44 7.59 5.03 4.55 6 5.54 3.76 6.42 6.38 2.99 4.48
"28" 6.08 3.37 8.12 4.24 6.53 2 4.9 6.28 3.67 7.38 4.29 6.69 2.95 3.91 7.96 5.81 3.27 4.55 7.48 4.14 6.19 4.32 4.99 5.05 5.46 3.45 1.36 0.59 5.69 6.97 2.79 8.74 0.94 5.72 5.07 0.52 7.88 5.01 5.23 2.83 8 5.82 6.59 6.79 10.68 6.83 5.47 5.87 7.36 4.13
"29" 8.99 2.32 6.1 7.57 3.59 2.38 4.07 1.33 3.73 2.29 7.53 3.69 1.33 0.84 9.81 7.45 6.9 5.83 4.14 2.14 6.84 4.16 7.35 3.64 0.89 5.55 5.35 6.24 3.49 1.34 5.75 7.18 6.34 3.84 5.83 2.6 3.81 5.86 7.81 6.77 9.28 5.84 5.21 5.07 4.5 2.92 5.69 5.85 2.28 4.94
"30" 5.14 5.16 4.35 7.36 3.2 4.23 4.57 6.23 5.01 5.49 6.97 6.51 7.67 3.33 6.78 6.14 6.17 10.05 4.99 7.77 6.11 1.57 4.18 4.33 4.53 8.67 5.74 5.46 5.79 4.24 5.85 2.71 5.72 4.53 4.15 6.68 2.39 7.78 3.77 5.39 5.51 2.76 4.92 8.46 5.75 4.18 5.57 5.46 5.52 3.69
"31" 4.68 2.26 4.98 4.21 2.82 7.1 5.07 7.27 3 2.8 4.83 3.35 4.08 4.81 9.07 4.63 3.99 7.3 4.61 -0.18 5.08 4.1 7.78 1.08 4.71 3.06 5.37 8.81 4.97 6.26 5.91 7.17 7.18 4.38 7.06 2.97 4.67 7.14 3.89 6.38 6.49 4.78 4.97 2.35 5.61 7 5.46 0.78 8.5 4.74
"32" 3.12 3.54 6.94 2.8 6.95 4.29 6.49 5.68 4.53 5.71 6.04 3.43 6.23 4.73 6.39 6.16 4.8 5.62 1.93 3.53 6.08 7.44 6.21 10.17 6.61 4.68 4.24 4.89 4.77 9.21 4.12 4.1 6.72 6.43 8.34 5.65 8.43 7.34 9.39 3.89 9.49 5.42 6.09 7.71 2.84 5.99 10.26 3.68 5.16 5.97
"33" 6.12 5.49 4.91 4.35 6.81 4.07 5.35 7.25 8.24 7.51 9.78 2.73 3.08 7.98 8.17 7.61 4.81 6.32 5.24 5.72 2.82 4.22 -0.93 4.99 2.13 4.72 7.78 6.67 7.53 4.97 2.87 2.73 2.66 5.88 6.37 3.45 4.53 1.04 3.61 5.69 2.39 2.82 4.42 4.75 7.43 6.35 6.1 4.53 7.33 0.78
"34" 5.93 8.37 3.75 5.88 4 4.7 4.57 5.27 8.32 6.85 7.56 3.25 6.84 7.49 0.3 7.7 4.8 3.37 3.82 1.84 4.79 4.25 5.23 4.92 4.25 8.32 6.37 2.93 4.76 6.24 7.17 7.1 2.15 0.89 4.1 1.64 3.82 7.16 4.54 6.46 4.44 4.5 4.72 3.83 5.76 6.78 0.22 5.8 4.96 5.68
"35" 6.31 2.34 4.1 1.71 6.32 4.55 5.76 6.68 4.52 0.1 7.04 3.29 7.26 1.83 4.97 6.06 5.29 6.36 3.9 5.39 5.62 6.42 6.41 2.42 3.56 6.46 5.43 4.67 8.16 4.57 1.38 0.88 2.87 6.86 4.69 4.26 1.86 5.27 5.67 5.67 6.68 6.37 3.88 8.01 4.9 3.72 4.43 6.4 4.34 7.12
"36" 5.69 4.73 2.33 2.49 4.54 4.75 4.56 3.8 5.53 2.97 3.67 8.51 3.87 6.02 8.17 4.68 2.16 7.07 5.52 10.5 6.68 5.16 2.51 9.06 6 4.97 4.05 7.46 8.98 5.12 8.15 1.02 5.53 7.3 3.43 5.16 5.23 4.52 4.12 4.3 4.93 3.87 6.05 5.26 3.25 5.95 7.48 6.86 6.61 4.04
"37" 8.87 3.08 3.95 5.64 6.66 3.73 7.39 5.61 5.69 4.95 10.38 4.8 7.92 4.04 4.26 3.62 5.55 1.07 4.25 3.31 4.1 6.21 2.55 3.02 2.48 0.48 9.68 7.85 7.74 3.06 6.75 4.14 5.67 5.63 3.5 2.35 7.56 4.14 5.07 2.62 2.41 6.73 3.83 4.82 1.87 2.84 5.43 3.95 5.45 5.19
