"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
"11" 4.59 5.44 5.73 6.81 8.07 5.06 2.6 5.76 6.19 6.06 5.23 4.03 3.01 6.44 5.75 3.97 5.88 6.36 7.09 2.26 4.28 7.43 2.9 3.31 2.59 3.3 4.83 6.25 5.35 6.13 3.02 6.65 3.75 7.47 7.53 3.41 3.54 6.47 4.08 6.04 2.81 5.65 2.98 5.56 4.75 2.26 3.38 7.02 7.51 6.89 1.11 5.05 4.77 4.3 5.92 0.53 5.26 5.08 5.27 5.18 7.81 3.49
"12" 4.22 9.69 6.62 5.33 4.08 2.32 3.14 7.7 2 3.62 4.36 2.92 2.4 6.81 5.7 0.88 11.36 8.83 7.55 6.35 4.09 6.59 3.3 2.11 7.36 4.13 3.58 5.67 5.53 5.22 8.89 4.28 0.88 0.68 5.19 3.17 4.99 4.92 4.75 4.84 4.61 1.35 7.6 1.62 5.5 3.29 8.32 6.3 7.16 3.32 3.35 3.34 7.01 5.43 7.6 7.62 2.67 5.97 6.13 5.08 1.2 6.3
"13" 4.34 4.01 5.47 5.33 4.83 5.45 4.14 3.43 4.21 5.77 2.49 6.03 6.54 6.32 4.1 4.96 5.47 5.4 1.6 3.88 1.48 9.16 7.15 3.81 2.39 6.1 6.79 6.88 6.65 3.26 6.41 8.15 6.01 5.94 2.91 4.92 4.34 7.5 2.24 7.65 5.99 7.87 3.81 3.47 2.94 4.64 8.26 4.72 0.53 2.6 5.47 7.39 7.87 6.33 6.43 2.93 3.38 6.26 6.36 7.67 6.51 4.16
"14" 5.04 3.34 4.83 7.11 3.3 5.95 4.1 4.64 3.86 0.48 8.29 4.48 5.32 6.8 5.12 9.43 5.62 3.02 3.57 1.93 4.19 4.78 9.62 6.3 2.11 4.78 6.52 4.44 4.71 2.89 1.79 3.87 5.33 4.44 5.01 5.41 4.55 3.49 6.13 7.82 7.61 6.63 2.18 5.64 6.48 5.19 6.06 4.67 5.03 0.73 0.81 7.75 5.37 4.44 5.72 4.46 8.28 6.59 3.35 3.36 3.84 4.35
"15" 2.62 4.84 4.4 5.86 4.51 4.88 8.03 5.58 3.19 3.34 2.52 2.93 2.57 5.75 8.91 6.03 4.96 5.99 5.86 3.24 3.45 5.73 2.95 7.66 4.58 3.36 4.24 6.37 2.92 2.27 3.6 8.04 4.1 2.44 5.97 4.35 3.53 0.17 9.11 6.5 3.54 4.43 6.14 5.66 3.78 7.74 2.74 6.12 4.59 7.01 3.85 7.4 5.26 4.76 3.95 3.63 5.38 6.76 2.77 5.38 5.65 10.61
"16" 2.13 5.06 3.06 4.67 5.91 2.56 6.35 5.94 4.48 9.83 5.27 5.17 5.08 4.67 4.93 3.91 6.39 9.57 3.99 5.25 5.21 6.34 2.88 5.68 6.11 3.8 5.71 8.02 2.5 4.91 6.73 4.69 4.56 4.26 8.23 4.24 6.47 5.16 4.76 4.28 6.74 2.86 8.17 1.97 6.36 5.03 5.44 4.54 7.06 6.13 4.99 4.49 8.45 6.23 7.47 1.83 2.24 4.56 4.42 6.15 3.49 6.75
"17" 7.96 3.58 2.88 1.83 8.07 2.24 3.44 3.29 2.59 1.34 1.03 -0.47 3.64 5.18 4.34 3.85 5.47 4.88 4.82 2.37 2.99 6.35 7.14 6.97 6.64 6.92 0.15 0.14 3.05 4.25 3.52 5.39 5.79 2.1 5.41 2.66 5.65 4.32 1.68 3.36 4.86 6.28 6.88 5.55 5.13 0.81 6.09 4 6.68 4.69 2.23 4.86 4.92 2.19 2.6 6.43 4.83 2.89 1.25 3.27 6 2.45
"18" 4.32 4.83 1.81 1.31 4.67 8.08 7.25 3.26 4.1 6.76 5.5 4.08 9.45 6.25 3.19 2.9 2.89 8.44 4.37 3.06 5.09 7.16 5.17 4.62 4.99 6.23 2.71 6.94 6.78 -0.86 4.98 3.51 1.88 3.63 3.69 6.14 9.2 4.11 4.97 5.76 5.58 5.72 3.8 3.18 6.49 3.66 6.04 5.1 4.53 2.67 1.56 4.26 4.33 5.86 7.57 1.18 0 8.15 7.47 2.52 6.21 3.61
"19" 4.66 7.85 4.85 6.26 4.38 4.12 1.3 8.01 6.19 5.05 6.79 4.16 4.26 5.7 4.39 7 5.77 5.6 7.36 5.5 5.71 5.65 5.86 3.1 9.12 6.46 3.4 7.44 10.15 7.87 8.35 4.23 5.76 5.1 7.01 5.64 1.62 7.36 5.54 4.15 2.83 3.89 7.9 5.62 6.62 5.75 2.43 3.21 2.88 6.37 2.2 4.79 6.44 4.27 5.95 6.89 4.36 3.24 5.5 7.22 5.13 1.69
"20" 6 7.08 1.6 5.94 7.13 7.48 3.98 4.37 1.99 6.12 5.38 6.64 7.97 4.66 2.3 3.22 6.68 5.43 7.57 5.41 8 3.04 3.97 7.45 8.52 4.22 6.29 4.82 5.11 7.66 4.15 3.04 4.19 4.6 -3.43 4.17 4.2 6.99 4.92 1.88 1.53 5.03 5.86 5.38 2.21 5.41 0.87 4.45 6.79 3.31 2.68 6.61 1.32 4.82 5.46 2.69 2.61 2.89 6.1 3.73 4.63 9.52
"21" 3.65 1.86 4.87 1.07 8.89 4.84 3.87 6.38 1.84 4.96 5.49 4.45 4.71 5.36 4.83 5.9 1.98 3.25 8.05 3.5 8.36 3.68 6.36 6.11 5.06 4.25 0.95 6.93 5.68 2.49 4.82 10.3 2.54 3.43 5.69 7.97 10.66 4.67 11.02 4.97 4.15 3.29 6.85 5.43 6.45 10.09 8.14 7.58 2.96 5.48 4.75 4.6 3.66 3.99 4.09 2.76 7.55 4.49 3.44 4.36 3 5.77
"22" 4.78 3.32 4.6 5.66 0.19 5.26 5.57 6.16 2.31 2.45 3.8 6.96 7.9 5.02 5.41 5.86 3.22 7.43 2.76 5.37 4.86 1.67 8.34 4.15 3.66 6.33 6.87 3.03 8 5.47 4.68 8.31 5.44 5.78 0.51 5.96 1.14 7.81 5.62 5.37 2 2.19 2.63 2.66 3.58 4.64 3.43 2.54 2.33 0.82 6.5 6.71 3.02 3.82 8.77 7.5 5.1 6.87 1.84 8.45 2.3 4.84
"23" 1.31 4.76 4.8 3.72 2.83 1.53 4.22 6.89 0.46 0.36 5.93 3.46 5.08 4.71 1.69 2.97 4.1 4.22 5.82 3.36 4.29 4.42 3.83 3.9 6.09 3.55 6.46 4.09 3.33 6.31 5.5 2.16 6.4 5.61 6.48 3.63 5.03 6.62 5.31 4.93 2.7 4.79 9.39 2.99 1.89 2.13 9.41 4.45 4.35 6.86 2.97 3.47 3.65 6.35 3.45 3.14 5.28 4.85 4.81 3.31 5.46 2.75
"24" 6.1 4.99 6.7 4.82 6.23 7.37 4.44 -1.93 2.01 7.42 5.54 6.52 3.29 3.05 2.82 5.39 2.97 5.02 3.85 4.55 6.77 4.45 5.58 5.61 7.59 3.97 3.85 2.32 6.53 6.57 6.98 5.06 1.97 4.81 6.4 6.83 0.95 3.57 3.22 5.19 4.23 4.59 3.54 5.74 5.14 3.92 6.72 3.27 6.34 4.71 6.04 1.72 4.22 5.71 1.04 3.02 4.48 3.29 4.65 4.06 6.62 6.84
"25" 3.74 7.54 4.21 4.79 6.98 9.41 4.68 3.85 5.66 1.74 6.27 5.04 4.43 5.39 3.36 7.04 5.44 5.62 5.98 5.39 2.78 4.85 6.54 4.15 3.71 4.98 3.48 4.81 5.72 5.04 7.02 2.25 8.65 5.21 6.03 8.09 9.42 6.67 3.71 4.4 5.67 6.77 8.63 4.13 5.79 5.61 5.62 2.53 7.48 4.71 4.19 3.33 4.48 1.51 5.34 5.65 3.86 8.41 8.95 5.5 7.76 6.93
"26" 6.18 5.07 7.61 4.59 4.61 9.41 7.21 4.32 4.01 5.81 6.78 3.89 5.07 3.66 2.16 2.52 5.97 5.9 3.05 5.13 4.5 1.64 6.74 2.3 -0.67 4.8 4.95 6.76 6.28 5.11 2.37 6.39 9.02 4.17 5.37 4.81 3.01 3.76 3.18 7.28 10.02 7.68 6.17 3.88 5.75 4.99 4.74 5.73 6.69 8.64 4.85 4.96 6.32 3.68 4.67 6.16 1.95 6.15 1.94 4.36 3.47 3.1
"27" 5.06 3.57 3.7 5.26 2.26 2.8 4.67 5.58 5.95 3.8 5.32 7.9 5.02 1.69 5.01 3.57 3.05 4.74 7.19 7.23 4.7 4.57 1.56 3.75 6.2 3.17 6.54 6.61 4.44 7.68 5.12 4.84 4.71 6.42 5.75 3.22 7.89 4.3 7.01 6.09 3.94 2.55 4.04 7.47 0.7 8.39 2.65 7.18 7.36 4.83 4 4.23 -1.07 7.58 6.28 7.14 4.71 3.28 3.96 2.15 6.54 4.28
"28" 3.3 7.74 3.78 3.65 2.77 5.26 7.24 2.23 6.59 4.25 0.55 3.11 7.68 7.41 3.82 8.01 -2.07 4.98 6.54 5.43 3.53 6.56 9.94 4.31 5.07 6.64 4.61 6.76 4.88 5.38 5.91 6.67 7.2 7.39 4.37 8.8 4.42 6.77 4.58 1.21 6.65 5.18 6.51 6.08 3.65 0.97 5.28 0.85 3.69 2.71 6.23 5.17 8.11 6.26 3.73 1.85 5.36 2.9 2.98 6.15 3.84 6.15
"29" 6 3.08 2.72 4.15 1.7 6.72 3.31 4.24 3.31 3.73 4.22 5.26 6.37 2.42 5.49 6.11 6.3 5.18 7.43 2.96 7.33 0.47 9.04 6.74 1.58 4.91 3.95 9.55 2.98 2.25 4.88 4.44 4.28 0.08 4.97 6.21 4.34 6.72 5.91 7.78 1.77 6.13 6.35 4.87 2.3 3.84 3.44 5.73 4.55 4.1 3.65 6.17 3.96 1.09 8.45 2.79 2.68 3.99 8.48 3.98 7.8 5.81
"30" 6.96 3.78 3.59 6.9 5.44 5.5 7.36 4.9 2.37 5.93 5.68 5.69 5.41 6.95 8.25 5.43 7.01 3.7 2.7 6.65 3.27 2.25 5.87 -0.26 8.4 3.8 5.92 3.1 4.53 2.04 5.29 3.33 3.06 3.21 5.6 4.17 1.95 5.32 6.85 5.97 2.69 5.33 6.5 6.68 2.98 8.7 3.91 5.09 4.91 4.24 2.71 2.83 2.71 0.62 6.3 7.65 6.3 2.76 7.67 5.71 9.62 6.05
"31" 4.63 5.65 2.85 5.44 4.08 1.02 2.22 5.33 4.72 5.45 7.03 4.62 6.48 4.56 6.97 5.56 3.84 3.19 5.99 6.54 4.44 5.09 3.25 5.5 5.31 6.35 6.87 4.72 9.67 3.68 2.56 1.77 2.54 5 4.78 3.93 2.99 7.03 6.63 4 5.96 2.18 4.29 6.11 4.72 2.21 2.09 6.11 6 3.12 4.08 1.01 9.48 9.57 7.54 7.23 4.42 6.17 4.33 6.93 10.86 6.41
"32" 4.53 10.83 4.08 9.83 2.24 7 5.54 3.46 2.26 2.54 7.31 8.29 3.15 4.92 4.34 4.42 8.35 4.61 1.88 4.3 5.7 6.83 3.68 7.45 6.35 5.51 4.17 6.11 0.45 5.41 6.95 1.23 6.96 7.65 8.78 4.11 2.31 2.03 5.21 2.48 7.7 0.41 6.16 6.04 7.2 3.7 6.65 2.23 2.61 6.66 4.58 3.01 2.25 5.53 6.01 2.28 5.61 6.83 4.97 4.37 6.68 4.38
"33" 3.76 6.96 5.59 5.66 6.28 7.25 2.76 2.7 5.73 6.74 4.59 7.99 3.24 8.66 3.69 3.7 4.11 0.79 5.14 4.14 4.67 6.47 3.8 1.63 3.35 -0.67 0.61 3.97 6.8 4.48 6.57 5.38 4.17 6.11 5.48 3.84 1.95 4.58 1.92 9.8 4.72 4.82 6.09 6.15 4.22 8.03 4.89 5.15 6.77 4.11 8.2 4.08 0.45 7.4 -0.11 3.7 4.93 3.42 4.8 7.53 4.3 2.97
"34" 5.1 3.28 2.57 3.63 6.9 6.06 3.34 5.97 3 5.09 4.62 5.21 4.89 6.55 3.09 8.4 4.09 6.58 6.7 5.33 5.38 5.51 4.08 3.72 6.3 2.12 7.25 5.71 3.74 10.7 7.14 4.98 7.48 4.66 3.17 -0.09 3.12 6.48 5.39 4.28 6.46 6.15 4.12 10.53 4.24 6.17 3.44 3.37 7.91 1.87 0.1 4.92 3.42 5.59 6.3 4.28 4.1 3.56 3.4 1.18 1.85 2.36
"35" 6.04 6.37 5.56 7.67 0.82 4.47 0.22 7.3 4.96 6.55 3.72 7.86 5.31 4.04 7.38 2.83 4.02 0.6 5.84 5.95 3.97 4.17 5.61 8.06 3.81 6.98 5.26 4.78 5.62 5.6 8.12 3.01 7.34 8.22 4.88 6.4 2.78 1.65 7.84 3.03 6.9 6.97 7.8 4.57 1.12 4.99 4.8 8.14 7.41 5.57 3.08 5.45 9.83 6.54 2.8 7.92 6.15 2.92 5.05 5.33 6.54 8
"36" 6.77 6.29 3.45 7.61 1.39 4.32 2.73 0.94 6.36 2.8 3.86 6.88 5.37 6.91 4.41 5.69 2.54 6.6 3.2 3.9 3.62 4.53 3.31 4.92 1.86 6.49 4.55 6.05 1.61 3.28 5.34 8.31 6.94 7.85 0.19 3.39 2.09 3.78 11.2 7.93 1.24 3.67 5.12 3.78 4.59 2.21 6.33 3.15 5.04 1.04 4.32 6.75 2.06 3.7 5.99 7.84 2.88 3.76 4.16 1.3 7.11 6.74
"37" 7.46 6.53 5.19 -0.66 1.83 1.6 4.36 2.87 5.61 4.09 3.17 5.72 7.4 4.52 5.75 6.25 5.62 4.66 6.55 6.46 -1.44 2.18 3.83 3.9 1.13 4.54 0.69 6.52 4.5 3.76 6.62 5.91 2.18 4.7 6.09 5.28 6.17 5.95 3.13 4.39 5.64 7.47 7.71 5.46 4.19 2.12 3.67 6.28 6.89 3.63 4.8 5.89 7.72 5.22 5.17 3.08 3.29 5.3 5.67 9.92 6.59 10.33
"38" 4.22 6.43 4.41 4.01 6.05 3.82 6.05 2.82 1.51 4.86 5.13 5.5 2.49 1.84 5.14 4.82 5.72 6.93 2.93 5.54 5.46 2.56 7.15 4.37 6.61 4.3 5.88 5.93 5.64 2.45 5.45 7.95 5.8 1.93 6.16 5.64 5.34 9.29 4.18 8.66 7.22 7.38 3.61 2.9 7.45 5.21 1.73 4.28 5.58 1.79 7.35 2.93 5.25 5.37 3.95 4.47 5 6.98 2.16 3.35 4.41 5.43
"39" 5.53 8 3.72 5.87 7.9 3.51 3.31 4.19 5.08 4.37 3.8 6.49 2.67 2.81 1.99 5.59 4.16 4.39 4 4.39 2.59 2.16 3.58 3.53 4.6 4.07 4.96 6.51 5.28 7.11 8.65 2.52 3.93 5.49 4.05 3.42 1.09 1.02 3.25 5.65 6.32 8.11 5.88 3.9 3.61 4.32 1.13 7.57 5.59 3.68 9.84 3.38 4.56 6.17 6.27 2.74 8.21 6.68 5.22 2.28 4.43 5.92
"40" 5.36 1.54 4.49 6.71 3.91 3.61 3.91 6.02 5.13 1.89 5.39 9.41 4.88 8.15 3.37 1.08 8.19 2.84 5.88 3.46 3.88 3.15 3.33 3.13 5.9 5.43 6.33 7.9 3.77 2.11 1.48 5.11 3.99 5.34 3.07 3.11 6.81 5.18 8.29 5.86 4.09 2.89 6.43 5.22 3.82 3.7 5.42 3.31 6.76 5.71 5.82 5.17 6.42 3.85 6.95 4.82 7.64 3.45 4.27 1.55 7.25 5.47
"41" 5.5 6.01 7.46 8.36 5.44 1.48 1.27 5.54 5.69 7.3 5.42 5 2.83 4.68 3.94 7.52 5.82 5.06 7.71 4.35 9.73 4.83 1.05 6.14 5.5 6.16 5.66 5.15 3.16 9.43 7.57 9.13 7.35 6.5 8.58 8.98 6.35 5.54 8.43 4.85 4.51 2.45 4.2 6.6 5.38 6.05 4.97 5.41 4.06 2.55 4.16 5.14 5.32 7.24 4.89 6.53 3.87 4.17 5.18 3.86 3.2 3.41
"42" 4.03 0.38 12.26 4.1 4.65 1.88 1.55 5.08 4.39 6.59 5.09 3.19 5.04 5.25 1.55 3.3 4.27 5.71 7.13 6.31 5.61 5.95 7.59 3.4 3.45 5.45 7.15 3.12 5.91 2.24 5.86 5.16 3.98 4.88 3.31 7.16 2.81 4.39 5.05 1.94 5.16 6.85 5.06 5.14 3.85 6.16 5.88 2.64 1.82 5.23 6.57 4.5 1.46 4.88 5.45 4.66 3.51 0.6 2.86 5.22 4.87 4.66
"43" 4.12 5.45 5.42 3.5 1.93 6.94 8.1 3.07 4.07 8.07 4.63 5.77 4.19 3.03 5.26 7.48 7.23 8.9 3.91 6.15 5.17 8.57 4.76 4.44 4.12 4.59 5.22 5.36 6.59 6.61 4.66 6.87 4.71 8.4 4.66 4.93 6.05 5.45 8.22 1.77 1.02 5.03 3.98 7.24 3.75 6.74 6.73 5.49 6.53 4.13 6.44 4.03 5.5 7.72 7.07 4.47 5.59 6.3 2.94 5.86 7.62 3.34
"44" 5.91 3.9 5.39 2.2 4.41 4.51 3.28 6.37 5.51 6.22 3.29 3.66 5.59 3.11 7.24 3.32 7.52 6.6 3.46 6.92 7.64 3.21 5.37 5 5.51 4.2 4.87 3.64 4.68 7.4 4.31 2.48 7.72 5.5 6.48 8.35 5.02 6.14 6.3 6.88 6.58 5.93 4.33 8.04 0.92 4.28 6.5 5.89 5.13 1.72 4.38 6.18 7.3 2.96 5.01 4.61 3.86 3.75 4.86 5.22 6.17 4.63
"45" 3.3 4.11 8.48 5.54 6.27 4.16 2.99 -0.61 4.8 7.99 5.85 6.34 9.84 2.12 3.7 8.57 3.44 3.47 3.93 4.23 4.11 7.64 4.99 7.48 6.84 7.73 4.55 8.08 6.32 8.25 9.65 1.36 3.79 5.09 4.14 2.5 4.23 4.69 5.37 3.54 5 3.01 9.23 5.39 3.51 3.65 2.6 3.8 9 7.84 4.68 7.99 4.71 4.79 5.56 3.38 3.69 7.05 7.74 4.27 3.84 5.56
"46" 1.71 4.71 3.74 4.86 6.22 2.52 5.39 4.26 2.52 6.33 5.65 9.16 4.85 3.11 7.25 2.19 4.91 3.44 7.11 4.61 7.03 6.07 3.37 7.34 2.13 4.29 3.8 5.84 4.97 4.71 3.17 7.75 4 0.85 4.04 7.16 0.51 3.28 5.05 4.79 4.79 2.83 8.26 8.11 7.63 4.8 4.59 2.67 6.15 5.01 5 3.71 4.67 9.17 4.25 1.67 1.81 3.59 4.24 5.14 3.51 6.75
"47" 4.13 4.86 3.34 5.99 7.01 5.69 1.55 3.41 5.4 9.16 3.77 -0.74 4.69 3.23 6.67 5.52 7.36 6.37 3.97 2.6 5.31 3.05 6.16 5.14 4.45 3.28 4.94 7.13 2.57 5.04 6.3 6.94 3.86 5.93 4.94 8.38 3.48 6.31 3.37 7.96 3.56 5.21 4.32 5.19 11.21 3.14 7.63 3 4.37 5.17 6.82 5.37 4.93 5.97 4.63 4.77 5.21 6.39 3.88 5.46 7.8 4.25
"48" 4.6 6.92 3.69 2.07 6.12 3.98 7.14 7.73 7.65 6.77 7.97 4.2 4.58 3.31 5.56 4.58 2.84 -0.1 3.24 5.02 7.84 3.8 6.24 6.6 4.11 6.02 1.13 1.43 5 3.81 5.44 4.91 6.23 3.07 6.94 3.49 6.6 6.68 6.18 3.4 4.87 1.36 5.06 7.79 3.59 5.53 8.96 4.92 5.53 5.19 3.13 4.88 -1.47 7.05 1.41 2.15 5 6.37 4.34 4.17 0.68 6.35
"49" 3.46 5.56 4.46 5.64 3.32 5.1 4.24 4.69 4.09 3.63 5.15 6.92 4.23 3.78 3.72 2.39 6.9 4.67 4.43 2.68 9.02 0.97 5.43 9.02 5.95 6.97 8.95 4.49 2.95 4.6 5.27 3.28 4.9 5.36 7.4 3.58 3.26 4.98 5.69 1.01 3.25 5.68 7.51 6.36 3.89 4.21 8.82 8.25 7.23 4.75 3.97 -1.09 3.22 3.87 5.65 5.11 6.21 5.31 5.6 7.62 5.89 5.56
"50" 2.93 4.44 6.94 5.46 6.74 4.45 8.43 3.22 8.04 4.12 3.45 3.49 0.37 5.96 10.41 6.73 4.14 4.19 3.23 5.13 7.32 4.63 4.28 3.69 7.45 5.65 3.81 4.17 2.14 4.71 3.65 5.24 5.91 7.49 3.28 5.38 4.77 5.02 2.43 5.38 6.87 3.04 3.43 6.06 4.27 5.98 8.22 5.3 4.6 5.25 4.11 10.33 1.7 4.82 3.99 4.7 5.56 6.29 3.68 6.7 6.43 3.56
"51" 6.02 5.11 2.35 1.77 5.81 2.26 4 4.18 7.05 5.86 4.51 7.53 6.96 1 5.39 2.75 6.45 6.15 3.74 4.26 4.35 5.26 6.35 3.68 2.18 3.39 5.03 4.29 4.27 5.24 5.55 4.84 8.58 9.06 6.93 3.41 4.68 3.7 1.83 4.33 2.07 8.21 4.01 4.18 2.91 5.9 5.08 4.74 2.42 5.97 10.12 8.89 5.46 4.52 4.52 5.21 4.17 0.02 6.13 4.65 4.96 8.54
"52" 6.19 3.12 6.72 5.17 0.95 5.78 2.86 5.57 6.26 2.66 5.66 6.58 6 3.73 3.97 3.93 6.22 3.93 2.98 6.25 5.39 7.36 4.7 6.68 7.63 5.89 4.84 2.39 6.74 6.29 2.87 6.77 7.42 7.19 2.92 7.61 6.97 1.85 5.61 4.71 5.34 5.63 7.3 0.85 6.53 9.21 4.86 5.45 6.75 4.83 8.73 4.98 4.42 4.25 8.07 7.68 4.27 6.44 4.03 8.58 2.8 2.35
"53" 6.95 6.03 6.3 4.35 4.04 3.02 4.92 3.32 3.66 4.96 4.56 6.52 4.66 6.66 3.61 5.37 3.32 5.24 5.81 7.96 4.77 4.18 2.53 1.69 3.95 3.56 5.28 2.14 5.58 5.34 5.8 8.98 3.79 4.81 3.65 7.65 7.21 4.25 3.29 6.51 2.56 7.54 1.29 3.95 6.11 7.32 4.72 0.49 2.14 5.64 2.93 1.78 5.65 4.84 4.74 2.63 4.2 4.09 1.77 5.46 5.18 3.24
