"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"11" 5.43 3.96 6.72 5.94 7.24 4.03 6.17 2.1 7.85 9.13 5.36 3.28 6.43 4.44 4.81 2.6 7.56 4.42 7.39 7.14 5.81 2.22 7.14 1.44 4.31 5.28 4.05 9.8 1.55 6.35 7.07 3.51 5.87 2.95 3.91 4.43 2.29 7.09 6.65 3.67 6.22 4.38 7.55 5.22 1.56
"12" 3.51 3.66 6.36 3.26 7.64 3.69 3.34 3.93 1.83 9.36 6.84 4.19 3.24 -1.06 3.47 6.13 4.32 7.53 8.04 5.43 5.71 3.04 4.69 5.33 6.3 2.47 7.06 7.16 4.83 1.44 3.4 6.69 6.84 3.05 6.09 1.65 8.14 3.8 5.57 6.88 7.01 5.25 5.99 8.22 2.57
"13" 0.77 4.27 8.28 4.44 4.58 5.96 7.41 5.29 1.53 5.39 3.26 1.69 5.69 4.53 3.69 1.99 3.03 4.35 6.12 4.79 4.19 3.43 11.41 1.44 5.02 1.78 6.29 3.68 4.51 2.76 5.57 2.14 4.49 6.84 6.56 3.56 4.19 4.66 3.15 5.67 4.29 3.17 3.91 6.79 4.91
"14" 8.06 3.48 6.05 5.31 5.15 6.65 5.57 3.63 5.33 6.48 5.67 8.96 3.57 4.63 1.98 7.03 4.52 6.18 4.8 4.21 3.29 3.2 5.49 10.84 2.53 4.25 3.1 5.58 8.48 3.59 1.06 -0.23 2.73 5.36 3.59 4.94 2.41 7.96 1.12 6.56 4.49 5.23 3.96 3.88 6.33
"15" 3.74 5.24 7.22 7.79 7.08 7.88 4.9 4.08 6.04 2.31 4.92 5.3 1.74 8.16 5.01 4.73 8.74 5.05 6.12 6.15 2.98 7.57 7.08 2.53 3.92 6.07 2.4 3.38 0.76 9.37 5.8 5.33 9.63 6.5 5.59 3.43 6.17 5.64 6.77 8.39 6.51 5.99 7.82 3.26 4.87
"16" 6.25 3.56 5.72 4.16 5.54 1.82 5.72 7.61 2.18 3.11 5.33 3.54 4.38 5.32 3.92 4.52 2.52 3.26 4.85 3.98 8.18 4.39 1.94 1.13 6.17 6.36 5.91 4.96 10.69 3.99 5.94 3.28 6.08 6.67 6.2 6.88 4.89 5.7 3.49 4.78 5.66 3.18 4.94 3.39 4.07
"17" 8.31 3.07 5.27 5.49 4.61 6.81 5.15 3.31 6.48 6.29 5.39 5.53 3.09 8.04 7.37 6.78 4.3 2.11 6.92 6.71 5.08 4.19 6.02 3.51 3.69 4.57 3.58 4.96 9.11 8.46 2.99 7.33 5.4 5.25 1.79 7.27 5.46 2.29 4.27 6.18 9.26 1.84 4.42 6.09 1.37
"18" 8.18 3.49 5.18 3.9 3.21 6.17 2.94 4.28 4.76 5.98 3.81 2.27 5.33 7.36 5.92 8.78 2.54 3.87 6.06 3.27 2.73 5.73 7.02 5.85 3.5 5.98 3.58 1.32 5.4 5.26 6.04 5.2 1.5 2.77 4.77 3.26 3.55 2.04 6.28 3.46 4.49 6.07 6.18 5.91 3.96
"19" 6.49 5.93 5.76 4.86 3.32 7.77 4.41 9.45 2.99 6.25 4.04 7.02 0.82 6.21 3.87 2.5 3.6 3.92 5.31 3.01 4.87 5.95 2.88 7.65 6.21 3.04 5.98 7.98 8.27 6.32 4.61 4.28 6.57 3.99 4.29 5.5 6.24 4.34 3.83 4.15 4.68 2.92 5.29 4.06 6.63
"20" 6.76 6.56 6.27 5.88 5.78 3.57 5.05 3.6 3.23 0.73 3.32 2.36 7.63 3.92 5.15 9.8 6.45 4.99 4.6 6.71 5.01 6.37 4.05 4.57 2.72 4.09 4.7 4.7 6.29 4.1 4.52 6.05 5.76 3.13 3.09 1.24 2.2 2.95 4.94 5.49 1.49 3.52 5.34 7.31 7.71
"21" 5.51 3.2 9.9 4.14 2.67 6.42 5.91 2.7 5.61 6.3 3.12 4.78 0.58 2.64 4.15 4.05 3.27 5.94 1.42 5.5 6.71 3.77 5.07 3.1 5.07 1.94 7.67 4.29 2.69 5.94 6.91 3.32 4.25 5.99 6.03 4.51 4.15 4.46 7.24 3.65 7.04 7.18 2.63 4.51 3.78
"22" 5.95 4 3.94 5.74 6.14 0.78 6.73 7.21 2.03 1.69 9.58 5.43 6.67 4.94 6.22 5.12 1.27 4.1 2.25 1.35 4.78 3.12 4.34 4.1 3.89 2.28 4.07 6.64 4.18 5.12 6.47 4.49 4.59 5.8 4.43 4.67 5.54 4.23 5.59 4.95 4.23 6.37 2.62 8.41 6.44
"23" 3.41 4.17 5.18 4.07 4.04 5.3 3.89 5.21 6.97 8.12 3.04 7.04 6.14 5.11 5.55 -0.33 5.09 5.87 5.46 5.03 2.38 5.92 6.31 0.77 5.52 4.15 -0.62 5.23 3.55 7.71 3.13 5.91 -1.14 5.54 2.69 3.08 3.88 4.13 8.08 5.74 3.44 3.73 5.39 4.09 5.26
"24" 8.19 7.82 2.32 4.27 1.43 3.21 3.61 6.7 3.12 4.13 5.83 1.6 9.19 8.42 6.06 5.54 2.87 4.24 2.48 4.32 4.38 5.27 7.14 4.67 8.79 4.34 6.66 5.05 5.27 3.53 7.6 6.99 5.92 6.38 6.42 3.72 2.36 0.65 7.72 3.5 5.06 4.34 4.64 1.56 6.67
