"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"47" 4.95 5.1 7.37 6.56 1.61 3.62 5.15 5.92 4.9 6.03 6.72
"48" 5.3 5.33 8.17 8 4.76 4.23 0.14 4.54 5.66 5.24 -0.78
"49" 5.15 5.14 7.16 5.36 6.45 6.98 3.78 5.09 7.34 4.7 5.96
"50" 0.64 6.74 3.82 5.87 2.97 3.64 8.34 4.9 4.3 6.54 6.11
"51" 3.29 1.47 11.3 5.01 6.12 5.08 3 6.76 6.59 2.55 -0.2
"52" 5.98 7.22 3 6.27 4.25 6.49 7.98 5.22 8.13 3.98 5.03
"53" 5.65 2 5.39 5.03 4.12 4.3 4.16 4.68 2.59 5.48 4.22
"54" 2.59 4.99 2.38 5.49 3.97 5.93 0.84 3.96 6.73 5.02 5.13
"55" 3.43 3.52 5.23 1.71 6.77 6.51 2.73 5.62 6.73 6.86 1.87
"56" 3.42 5.43 5.89 5.56 5.06 4.31 3.07 6.64 5.7 1.51 6.98
"57" 6.77 6.8 3.46 6.94 2.55 5.84 4.13 2.04 6.91 6.61 2.65
"58" 2.67 7.63 6.31 4.42 3.21 2.96 8.8 6.54 3.8 8.74 6.55
"59" 9.98 2.87 3.68 6.74 3.89 3.72 4.97 5.58 5.91 6.39 5.09
"60" 4.22 6.93 6.91 7.32 6.43 5.24 8.44 9.52 3.93 6.13 4.28
"61" 8.76 4.89 3 6.28 2.76 6.75 4.31 5.74 4.43 1.81 9.62
"62" 4.33 4.55 6.24 7.75 5.43 6.63 6.71 4.97 3.28 1.71 5.69
"63" 1.56 6.59 7.22 3.48 8.97 7.07 9.49 3.21 3.13 6.36 8.12
"64" 6.49 4.98 1.32 4 8.89 4.42 4.78 5.75 8.44 6.24 4.44
"65" 1.46 6.95 6.78 5.48 5.86 6.65 6.6 2.47 5.64 5.25 4.49
"66" 3.97 7.32 4.95 5.87 5.24 4.16 5 1.99 7.03 5.48 7.67
"67" 2.84 4.3 4.44 6.04 4.22 7.99 5.98 6.75 2.52 4.7 2.48
"68" 0.78 3.87 4.14 5.35 6.21 6.19 3.56 0.55 6.94 5.25 2.84
"69" 1.8 4.03 4.7 8.01 7.92 6.32 9.77 4.59 5.09 6.55 7.58
"70" 5.4 7.3 7.91 5.93 6.01 0.08 4.13 7.57 6.8 8.3 2.02
"71" 3.66 6.9 10.45 6.39 8.4 -1.4 4 5.67 7.79 8.47 3.46
"72" 6.88 3.26 4.2 6.9 5.66 1.42 3.36 4.98 6.9 2.25 2.28
