"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"18" 5.35 2.63 3.46 3.45 8.51 7.05 1.34 4.5 8.8 1.81 2.87 8.16 3.55 6.36 4.41 6.85 0.3
"19" 5.72 9.19 4.32 3.53 7.15 3.6 7.02 6.88 6.51 6.95 5.57 3.77 4.72 5.7 0.89 6.93 5.68
"20" 5.76 6.18 5.98 7.02 5.68 8.44 4.14 3.39 8.9 5 6.62 7.92 5.49 4.46 5.54 6.67 6.58
"21" 3.66 3.2 4.21 5.56 6.67 2.39 3.16 8.36 7.21 3.5 4.53 2.38 4.01 5.32 4.22 7.68 7.17
"22" 4.26 7.11 5.79 4.62 8.21 2.68 5.45 3.09 6.03 7.96 6.58 6.43 0.03 5.82 8.37 4.7 5.2
"23" 6.74 3.26 8.03 8.16 7.08 7.29 6.45 4.91 6.08 8.92 6.16 3.66 2.4 1.68 5.91 9.14 4.8
"24" 3.89 4.58 5.2 4.27 2.78 7.03 5.4 1.23 4.29 4.65 4.21 6.46 4.44 5.88 2.23 4.79 6.4
"25" 4.17 2.53 4.69 9.22 6.81 1.72 6.87 9.42 3.85 5.06 5.4 4.87 3.68 5.1 10.42 7.79 4.97
"26" 3.61 5.63 4.98 0.53 3.25 2.63 5.8 3.88 6.18 6.89 2.52 5.67 3.78 3.08 5.01 6.53 5.11
"27" 6.4 2.35 6.08 7.84 5.06 0.98 4.44 4.29 6.42 2.29 4.19 3.73 5.1 5.61 1.96 3.21 8.99
"28" 2.75 2.22 4.79 5.09 4.6 5.12 7.22 7.06 2.71 3.78 5.47 7.91 1.97 2.17 7.35 8.34 3.79
"29" 2.82 6.82 3.49 1.88 5.44 5.75 2.68 3.95 6.93 2.04 5.53 3.26 4.64 6.16 2.83 3.71 5.67
"30" 7.75 7.27 3.92 4.83 4.47 4.52 4.9 5.69 5.42 4.7 6.11 2.32 4.18 2.97 9.71 5.78 5.5
"31" 5.03 6.99 4.95 5.55 2.04 5.06 3 6.67 5.15 6.21 8.3 3.76 1.81 4.43 6.26 8.66 8.34
"32" 4.67 4.3 5.03 4.76 5.35 2.12 7.61 6.77 5.7 4.23 3.77 5.56 6.31 7.07 6.46 6.7 8.6
"33" 4.08 6.14 3.27 4.11 5.9 2.35 4.33 -0.17 4.5 6.93 4.84 1.46 5.47 4.36 9.39 8 7.39
"34" 4.92 6.03 5.05 5.33 4.48 5.55 10.2 5.86 2.92 7.81 5.06 0.22 4.68 7.94 4.12 6.6 4.96
"35" 4.98 6.75 6.13 4.59 3.23 0.85 7.9 8.17 4.9 4.21 5.25 5.48 5.71 6.91 7.67 4.28 2.92
"36" 6.36 5.49 6.41 7.57 5.19 5 5.69 1.61 5.06 4.73 6.61 4.09 6.41 5.49 8.37 8.37 3.69
"37" 3.8 3.1 4.08 4.02 5.3 5.34 4 6.03 5.94 5.05 4.33 -0.35 2.41 5.34 6.26 3.93 6.57
"38" 5.95 5.14 6.94 2.86 2.98 0.68 5.62 3.47 2.68 4.67 5.83 5.32 7.24 7.35 5.97 7.47 4.93
"39" 4.09 5.01 5.55 5.7 6.81 7.08 3.14 5.16 5.83 1.93 6.75 1.6 6.55 1.7 4.94 2.19 2.69
"40" 4.42 6.31 4.78 4.2 3.89 4.66 6.32 5.74 4.34 8.6 1.77 6.39 8.47 6.84 7.13 5.95 8.89
"41" 8.07 2.93 3.59 7.81 9.21 4.09 3.15 4.66 4.35 8.21 4.35 4.4 1.62 5.6 4.37 6.92 2.17
"42" 5.26 3.98 5.79 3.15 2.66 8.53 3.92 7.17 3.88 5.82 6.38 -0.64 6.84 5.51 6.43 5.54 5.27
"43" 5.21 5.17 4.24 8.73 1.92 5.99 4.32 3.7 8.75 5.58 8.47 4.42 3.26 4.89 4.25 6.04 4.14
