"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54"
"11" 3.85 2.25 5.29 6.08 5.81 3.03 1.84 8.41 7.63 3.85 8.03 5.16 6.83 4.02 6.76 9.8 3.52 3.75 4.87 5.57 5.49 3.74 3.1 3.7 3.55 4.16 3.66 4.94 8.2 0.76 5.88 9.31 3.67 3.46 7.17 3.67 5.68 6.74 5.96 6.57 2.51 4.36 2.92 4.63 10.51 0.55 5.6 2.3 4.28 3.62 7.94 3.91 2.58 4.33
"12" 2.61 5.06 6.8 6.14 7.87 5.27 3.33 2.32 3.67 7.33 1.49 2.96 7.51 7.21 6.64 5.35 7.69 4.92 6.47 3.16 5.8 6.88 5.53 4.84 4.6 7.37 4.32 5.68 5.06 5.8 2.72 5.55 2.63 5.3 3.15 5.6 4.03 1.66 1.79 2.18 4.33 3.57 6.04 5.99 4.41 4.8 4.74 5.42 2.82 7.16 3.86 2.07 6.8 3.61
"13" 2.27 7.31 1.77 5.96 4.45 5.5 4.88 3.3 5.26 5.66 8.43 1.71 5.43 7.73 9.26 4.37 5.58 3.22 3.57 1.95 5.99 6.08 2.44 3.73 3.72 7.15 4.25 2.66 6.5 8.06 3.67 4.18 7.37 4.6 7.27 2.17 5.69 6.73 6.72 4.93 5.61 8.65 4.2 4.19 3.51 5.36 5.28 5.12 5.8 5.52 2.33 6.15 4.95 5.22
"14" 4.54 6.01 3.65 5.67 5.01 3.42 4.85 4.03 3.05 5.23 4.65 4.02 6.22 3.81 4.57 6.78 4.58 6.42 5.24 2.75 5.34 4.63 2.08 3.47 1.4 1.18 2.92 3.37 3.22 2.11 4.15 6.36 6.38 4.77 5.21 3.95 7.97 3.97 1.05 8.83 1.92 5.23 7.27 6.32 8.38 4.23 3.8 5.29 5.06 0.74 5.01 3.64 5.79 5.53
"15" 3.54 4.32 6.17 5.02 4.93 6.29 5.17 4.58 6.55 4.59 5.85 6.42 4.28 3.3 4.74 3.81 4.16 4.44 3.01 1.65 3.46 4.63 5.71 8.21 -0.29 4.97 5.37 6.68 6.97 5.61 2.76 8.58 6.87 2.98 4.69 5.14 4.77 4.04 5.47 1.01 4.72 5.63 8.9 3.99 6.53 6.75 4 4.14 8.28 6 8.8 3.84 8.17 2.27
"16" 2.62 2.35 3.29 8.3 7.03 5.76 3.43 6.33 1.52 5.74 6.21 8.91 5.71 3.54 5.09 5.33 6.78 4.19 1.95 1.05 5.77 6.69 9.34 5.51 5.35 4 3.25 5.41 5.33 0.7 0.03 4.11 3.55 3.09 8.7 2.94 2.85 1.49 5.05 4.97 3.41 4.36 3.98 6.96 4.17 2.71 1.54 5.55 0.5 3.14 8.02 9.91 6.35 4.07
"17" 3.55 4.05 3.24 7.83 4.83 5.6 3.91 6.38 6.79 5.15 4.26 7.08 6.69 4.86 4.33 5.08 5.48 6.85 7.38 5.76 3.21 6.33 5.92 2.07 5.15 5.17 6.7 2.3 4.53 2.34 3.25 8.84 2.24 4.33 4.87 7.08 4.66 2.8 4.23 4.98 4.36 7.29 1.19 4.33 1.93 4.43 3.4 5.53 3.16 7.76 7.92 8.48 4.76 5.48
"18" 4.58 4.49 8.1 5.18 3.57 5.33 5.59 4.09 5.91 6.4 7.92 3.63 2.61 3.42 7.85 9.42 7.04 3.17 6.71 5.78 1.94 5.21 2.71 5.52 5.55 2.22 5.04 1.49 5.7 6.48 4.13 6.03 4.5 6.49 2.68 4.85 1.98 7.09 2.52 4.73 3.71 4.44 4.61 1.94 6.89 6.27 5.89 3.27 6.17 4.71 7.39 6.02 2.83 4.52
"19" 6.89 7.94 5.46 5.49 -0.4 7.68 5.61 4.28 4.25 4.82 3.91 3.94 2.88 3.18 2.29 3.56 8.58 3.83 0.68 10.14 5.42 5.11 6.95 2.14 2.42 3.49 0.95 6.52 5.93 2.69 0.76 1.88 6.94 5.61 4.35 6.03 4.78 4.82 6.36 5.16 4.15 2.3 2.89 7.35 3.03 6.43 6.66 3.68 7.71 4.74 7.51 4.52 6.68 3.57
"20" 4.31 5.67 2.58 6.07 5.91 8.69 7.02 4.7 4.4 8.09 6.92 8.63 2.88 3.43 3.64 5.36 3.46 6.09 5.93 6.14 3.54 4.16 6.64 1.71 5.68 7.07 5.39 6.73 2.18 4.54 6.44 8.82 1.84 1.19 5.22 5.57 5.47 5.97 6.78 6.27 1.97 8.38 4.27 3.5 3.64 4.36 6.65 4.47 0.15 4.25 3.9 5.26 5.83 7.7
"21" 4.43 3.59 4.28 8.03 2.36 2.56 5.25 1.61 2.89 5.2 0.83 5.15 6.31 3.78 4.55 5.65 7.78 4.14 4.65 5.69 6.73 3.22 6.61 3.15 7.19 3.72 6.59 4.32 5.83 8.27 7.27 4.4 0.41 6.75 4.19 4.84 5.21 4.09 4.86 3.11 7.64 3.39 7.75 5.16 8.01 2.29 6.15 5.37 6.29 7.37 2.31 5.18 5.35 5.03
"22" 6.37 1.42 3.6 4.53 2.8 7.69 5.66 6.61 3.45 4.76 7.35 1.12 3.21 4.55 5.07 6.88 3.23 5.28 5.15 5.85 6.45 3.63 6.7 6 8.02 2.7 7.3 6.17 2.57 6.76 2.07 5.1 9.15 8.3 7.84 3.49 3.37 6.94 9.14 8.46 5.17 2.84 5.17 5.67 6.22 4.39 5.06 3.8 4.2 7.37 5.96 3.98 3.96 7.43
"23" 4.56 3.77 6.39 7.09 8.67 3.89 4.74 6.68 4.95 7.24 3.43 4.25 4.22 3.78 6.33 5.71 7.22 5.16 7.99 6.36 4.44 3.96 6.18 6.64 3.54 5.1 4.81 3.87 8.12 4.95 5.28 5.09 4.03 8.93 6.75 1.16 4.42 1.66 1.61 4.43 5.79 3.35 7.78 1.14 7.91 6.01 4.01 9.08 4.42 4.12 2.74 7.24 4.84 3.05
"24" 6.04 3.58 5.44 10.15 4.47 3.89 3.86 6.58 3.6 4.63 6.66 3.83 4.11 7.19 4.63 5.12 4.24 1.9 2.45 7.05 2.31 6.56 8.38 8.05 4.55 5.9 8.06 6.56 9.16 3.6 3.31 3.15 4.52 8.37 1.42 6.25 5.74 1.72 4.57 1.53 6.12 6.86 5.82 7.1 5.96 5.91 5.73 3.87 4.56 7.66 5.65 2.82 4.23 7.23
"25" 6.87 7.54 5.18 4.01 7.99 3.5 3.4 5.83 4.29 1.2 4.27 5.53 3.9 4.55 7.49 2.56 2.49 3.78 7.18 3.71 4.86 4.23 5.15 6.63 5.79 6.32 6.82 4.41 1.24 4.85 8.3 1.14 5.55 8.73 4.81 5.52 6.87 8.42 4.52 7.39 4.78 3.21 3.81 6.18 6.07 4.11 4.57 8.09 4.95 3.66 4.37 5.77 5.32 5.87
"26" 4.01 7.18 1.77 3.49 6.51 5.03 2.72 2.13 3.69 5.68 6.39 4.14 0.8 8.04 4.1 5.39 6.91 2.53 5.34 8.07 8.94 7.78 3.92 7.33 4.28 1.2 4.53 5.66 2.24 5.05 6.39 4.51 3.57 5.95 7.41 3.36 6.74 6.71 5.19 7.21 2.43 4.61 5.79 9.26 4.7 3.25 4.89 8.03 2.2 7.04 7.98 6.69 4.68 5.79
"27" 0.4 5.08 5.39 7.11 5.16 5.29 5.09 1.14 3.05 3.22 3.28 5.94 2.17 3.3 6.1 2.41 0.87 2.92 6.79 5.07 3.39 4.97 5.96 4.18 6.12 7.51 6.27 2.65 6.84 8.75 3.4 6.49 5.1 0.38 7.45 4.95 6.54 5.35 4.62 3.24 5.74 8.07 3.97 4.96 5.61 4.06 3.59 3.7 4.09 7.65 4.53 6.05 9.74 5.52
"28" 5.61 6.3 4.25 5.46 6.27 4.27 9.82 4.74 1.6 0.94 5.62 4.42 5.2 6.32 6.83 5.19 10.97 6.56 5.55 5.69 8.39 4.82 3.43 2.31 9.7 6.02 7.73 3.7 4.04 4.31 5.22 2.96 6.73 7.1 4.92 7.09 3.01 4.26 4.47 6.77 6.34 8.98 4 6.62 6.93 4.97 6.48 3.61 4.81 3.52 3.6 7.24 9.21 7.49
"29" 4.17 2.2 3.79 6.36 6.2 7.59 9.62 4.81 8.97 3.15 5.91 5.93 2.87 8.13 4.75 5.36 2.26 2.29 5.53 7.67 2.19 3.57 6.53 3 7.95 5.47 2.32 3.62 4.31 6.34 1.69 4.9 9.2 3.48 7.82 6.39 2.17 5.47 2.81 7.54 6.99 7.5 6.99 4.39 3.87 5.02 0.98 5.24 3.44 3.41 4.24 2.15 2.15 6.39
"30" 4.86 2.88 4.86 6.73 6.71 2.31 4.62 3.85 5.92 3.29 3.31 8.15 5 7.15 8.17 6.8 2.86 5.05 5.12 2.21 7.63 5.96 6.47 5.81 10.07 4.65 3.04 7.83 6.54 4.9 10 2.83 9.62 7.28 3.24 4.27 1.97 4.49 6.08 3.99 4.11 8.42 8.97 2.55 5.26 4.67 6.42 11.9 5.35 7.4 7.85 4.12 1.73 5.99
"31" 2.9 6.14 6.14 6.58 6.67 6.24 4.63 11.79 5.26 7 4.87 3.2 5.29 6.42 4.75 5.62 8.04 8.76 6.97 2.8 5.36 5.47 5.91 9.59 8.93 3.84 3.39 5.42 5.76 0.44 5.46 2.2 3.84 4.5 5.59 4.84 4.21 2.2 2.82 7.18 5.31 2.27 2.69 3.09 5.78 3.24 4.82 3.93 6.81 5.84 2.62 3.5 5.77 7.47
"32" 3.01 6.28 5.73 -1.33 5.63 5.72 8.37 2.61 6.67 2.86 4.36 3.21 5.87 5.13 2.97 7.88 4.2 6.1 6.72 7.67 5.87 8.07 7.84 6.98 3.59 2.87 2.95 4.71 5.06 9.39 6.25 6.02 3.17 5.08 3.46 5.35 6.71 1.76 11.55 3.65 5.73 3.52 3.58 4.26 4.39 7.16 3.55 3.05 7.94 5.35 4.57 5.92 4.72 7.23
"33" 6.42 7.33 7.32 5.43 5.49 5.3 6.19 2.74 4.85 4.19 5.82 2.11 5.6 2.24 5.04 6.38 4.59 2.51 3.5 7.32 3.23 3.36 3.62 7.3 9.14 7.63 5.06 2 4.42 2.27 3.42 7.1 7 2.9 3.3 3.05 3.5 2.41 7.33 4.53 7.21 6.32 4.3 3.53 3.14 2.4 6.12 1.71 4.83 8.09 5.94 1.76 4.98 2.77
"34" 6.68 4.94 4.93 3.1 4.98 6.37 3.35 2.28 5.19 3.34 4.23 4.04 3.81 4.66 2.97 5.04 5.75 7.91 3.41 4.31 0.12 4.79 6.17 6.59 2.31 6.6 7.34 5.4 8.54 5.02 6.2 9.94 4.7 3.21 4.15 7 8.21 4.08 7.34 3.66 6.31 7.87 7.19 6.54 8.77 5.81 8.52 3.82 5.82 10.07 5.54 6.83 8.77 5.54
"35" 6.53 4.56 4.35 6.93 2 5.08 3.72 8.69 4.39 5.73 5.94 7.95 6.86 2.63 6.3 5.37 8.48 7.56 8.69 4.44 9.29 7.92 5.19 9.49 4.75 5.04 2.47 3.29 5.59 5.69 2.3 1.98 2.11 5.72 2.56 6.93 5.11 7.57 7.03 4.67 4.06 2.89 6.99 4.6 6.5 9.18 6.7 8.19 4.73 2.98 8.03 5.04 6.05 5.26
"36" 7.92 8.14 2.67 9.03 7.64 5.79 9.93 4.91 7.1 1.12 2.52 5.31 4.8 6.08 9.22 5.19 3.59 0.35 8.02 2.98 6.17 8.21 4.89 -0.03 3.87 3.51 7.72 6.73 1.43 6.39 3.33 6.53 6 5.15 6.17 6.21 3.95 10.39 4.87 8.14 4.44 4.51 4.2 3.67 1.48 6.57 4.96 3.65 2.44 5.16 5.79 3.58 3.5 3.68
"37" 7.38 5.91 3.26 6.57 8.44 5.14 5.13 3.73 4.9 6.46 4.55 8.37 2.15 5.06 4.3 4.71 8.85 4.5 6.23 7.86 3.56 4.47 6.19 6.92 6.59 7.87 6.53 9.69 5.74 0.17 2.16 4.18 2.95 6.63 4.2 5.01 5.99 4.42 7.51 2.3 2.02 6.7 3.86 5.15 4.1 7.88 3.65 4.61 4.85 2.35 2.19 4.38 3.74 2.7
"38" 4.07 4.58 2.46 5.84 2.13 5.75 4.66 4.5 4.64 6.48 5.03 2.47 2.93 5.13 8.19 5.21 5.7 5.55 5.2 7.94 5.83 5.66 7.41 0.43 3.67 5.1 6.54 2.54 5.45 3.35 5.59 0.11 3.34 2.24 3.97 5.61 10.29 6.7 6.48 4.57 3.88 5.6 6.02 7.06 4.24 2.9 5.16 7.46 8.14 4.26 3.57 8.13 3.92 3.39
"39" 3.71 4.48 1.03 4.1 2.04 2.81 7.05 3.5 7.69 1.34 1.05 0.96 5.25 6.97 3.82 6.99 4.03 4.22 10.32 4.81 2.67 2.42 4.61 3.79 3.04 4.55 4.6 3.46 5.57 4.75 5.07 5.65 6.19 4.88 4.66 2.84 1.98 8.49 9.88 6.05 1.18 7.85 5.33 4.99 4.33 2.72 5.19 5.25 4.26 7.32 8.44 3.7 3.66 5.34
"40" 5.64 4.95 5.79 7.19 4.48 2.09 4.34 1.91 5.14 6.32 4.22 3.44 6.09 5.89 7.07 4.07 4.16 3.78 4.51 8.22 4.88 6.82 7.76 3.38 3.02 7.54 5.41 5.9 4.85 6.98 4.66 8.74 6.45 4.01 2.1 5.06 2.55 6.24 0 6.65 2.85 4.25 9.82 3.93 6.61 9.34 6.31 4.19 5.18 9.23 5.65 5.37 7.1 8.36
"41" 7.07 5.5 7.43 7.58 2.47 6.29 4.21 3.44 6.18 4.53 5.11 4.93 8.66 6.74 3.15 4.29 5.8 5.35 6.89 3.19 4.02 7.08 5.58 6.27 8.78 1.2 2.78 8.84 4.94 5.63 5.73 5.73 5.42 3.29 4.09 8.23 2.66 6.62 3.45 6.82 5.16 3.73 5.66 4.13 5.24 5.05 3.83 5.09 3.19 5.57 0.12 6.96 3.39 6.39
"42" 3.13 6.92 -0.45 1.7 4.78 6.01 5.86 6.27 4.23 4.26 5.37 3.99 8.9 8.09 5.14 3.06 4.77 4.22 3.49 5.04 2.55 3.75 4.56 6.79 4.83 7.69 3.03 2.16 3.96 2.34 9.16 2.65 4.43 1.02 7.39 2.81 1.98 4.33 3.98 3.41 5.59 4.09 1.61 8.37 4.79 4.26 4.67 4.73 2.79 6.73 10.64 5.79 6.66 4.11
"43" 4.38 0.76 4.29 3.83 5.16 4.53 6.6 8.4 3.96 2.64 4.8 5.97 4.97 3.15 5.3 5.3 3.49 7.83 3.79 -1.38 2.73 5.39 3.43 3.54 7.28 6.94 3.92 3.47 4.62 7.71 5.9 7.99 2.52 5.65 5.8 4.83 7.61 5.93 6.74 6.32 6.5 3.06 5.24 5.39 7.25 6.69 7.94 5.54 2.78 8 4.67 3.64 3.17 4.66
"44" 2.23 6.35 3.51 4.57 8.36 2.25 5.39 5.87 1.02 3.69 7.54 2.37 2.98 6.32 2.95 1.34 5.63 5.98 5.09 5.36 5.59 4.4 8.81 6.26 9.07 7.21 6.31 2.73 5.89 9.91 2.76 5.48 2.7 4.6 6.08 2.05 7.34 5.24 4.16 5.62 4.01 4.74 5.66 6.23 7.33 3.71 4.51 4.03 4.32 1.35 4.89 4.14 1.9 4.81
"45" 7.13 1.32 5.84 4.82 7.02 3.36 7.28 3.71 7.14 3.71 6.11 4.3 4.64 -0.42 4.33 3.03 7.47 5.03 3.87 6.43 5.15 3.09 8.49 2.8 8.84 4.91 2.98 1.23 2.58 4.83 3.26 1.52 4.09 6.57 3.35 1.23 6.11 3.86 6.62 0.86 6.25 3.61 4.45 5.36 6.9 5.71 6.22 6.37 7.49 1.81 3.19 4.56 3.44 7.47
"46" 4.34 3.22 2 8.01 3.33 4.58 5.14 5.05 1.46 8.92 6.24 4.37 7.67 3.15 3.89 5.31 7.01 1.58 1.64 4.91 7.22 1.49 8.22 0.97 5.15 6.26 7.87 9.71 7.87 6.37 2.13 4.18 7.34 1.72 3.16 1.92 4.35 5.09 4.18 2.27 4.49 8.44 6.55 5.69 5.72 9.6 4.36 8.19 5.45 4.27 3.84 2.43 3.65 4.99
"47" 6.2 4.67 6.27 3.47 1.77 3.83 9.39 4.24 7.86 4.48 6.29 2.92 5.08 5.85 5.03 3.98 2.26 5.05 4.17 6.12 1.3 6.76 4.13 5.47 3.17 4.64 4.03 8.63 3.43 1.72 8.43 2.8 5.44 2.47 4.11 6.5 4.21 7.13 1.68 1.72 3.81 5.46 6.63 3.87 5.64 6.37 6.2 3.47 2.61 11.3 6.13 5.99 3.9 5.28
"48" 7.17 4.04 2.9 4.78 7.41 4.11 4.97 4.87 5.21 6.95 5.1 5.03 2.81 3.77 3.71 5.86 7.57 4.15 6.85 8.27 4.06 6.87 4.26 3.34 5.79 4.85 3.71 4.46 9.43 6.17 9.7 2.76 7.08 6.06 3.23 4.94 5.67 10.51 -0.19 3.34 3.14 2.45 5.55 2.39 4.26 9.43 6.63 3.94 5.23 5.46 4.53 4.96 2.86 1.97
"49" 6.9 2.68 4.29 7.96 7.17 3.38 7.65 7.24 5.49 7.19 0.8 -0.21 2.54 4.63 3.06 1.14 7.49 3.34 5.08 0.57 6.8 3.63 5.72 6.71 5.63 4.68 3.42 4.47 2.4 6.3 7.4 5.32 4.61 2.58 6.55 9.35 4.54 2.87 6.4 3.2 4.25 3.28 1.84 0.39 6.63 3.74 9.04 4.65 6.77 1.47 6.24 2.63 4.66 5.72
"50" 5.11 7.53 4.29 7.54 7.64 3.5 6.05 6.79 7.64 5.04 3.08 4.97 8.51 6.81 4.15 2.26 6.89 4.07 4.55 4.69 4.7 5.35 2.05 5.67 3.73 8.18 6.18 5.19 3.82 0.84 8.22 3.44 8.74 6.39 0.7 5.54 5.7 2.96 4.38 -0.83 5.71 7.16 5.07 6.38 5.2 3.78 4.34 3.41 3.56 6.98 7.48 5.48 4.28 5.55
"51" 2.35 1.71 4.09 0.97 7.56 2.34 2.75 6.39 4.01 8.31 5.74 4.63 6 7.35 8.83 3.24 4.16 5.55 5.36 4.67 5.71 6.34 5.77 4.97 2.16 12.22 3 2.55 5.11 5.48 6.15 2.59 7.21 8.16 5.11 6.67 5 5.59 5.27 5.24 7.63 4.5 5.03 3.75 4.3 4.97 5.78 6.68 6.09 8.86 6.37 1.82 9.63 7.14
"52" 1.07 8.21 7.85 5.04 1.02 6.65 8 7.89 1.57 2.87 2.76 5.38 6.78 2.91 6.24 4.14 5.12 5.5 2.62 3.81 4.5 3.6 4.61 8.96 1.69 6.09 4.15 4.72 3.11 4.52 4.91 7.56 6.08 5.04 5.88 8.26 2.48 6.94 8.88 2.51 5.41 5.29 2.1 4.7 8.35 5.14 2.78 5.79 2.45 2.89 2.96 6.15 4.8 1.69
"53" 2.03 6.41 6.1 5.5 4.15 8.05 6.74 4.09 6.87 0.24 1.95 5.39 3.82 2.47 4.51 5.25 2.59 2.48 3.11 0.24 3.26 4.78 3.15 5.08 7.65 4.86 6.69 8 5.23 6.69 6.64 5.41 5.08 6.9 5.78 7.71 6.67 8.73 3.27 5.29 3.57 6.98 5.91 3.14 3.77 2.51 3.66 5.76 3.87 4.35 4.87 4.62 3.09 6.36
"54" 5.27 3.48 2.11 0.65 2.94 7.85 2.58 7.98 9.93 4.63 6.93 4.41 2.12 3.55 6.24 3.81 5.37 4.26 3.53 5.53 6.19 5.47 3.57 4.37 5.92 9.53 6.01 7.83 5.9 5.55 7.36 9.34 2.62 1.55 2.92 4.47 4.23 7.99 1.52 11.88 4.62 4.36 3.31 3.5 5.15 2.81 3.93 5.47 2.76 5.15 2 6.18 2.48 2.22
"55" 7.48 2.83 6.58 4.67 5.19 7.77 5.01 7.22 4.61 6.01 5.53 4.87 4.55 4.6 6.42 2.72 5.01 3.97 2.71 3.49 4.66 6.89 5.34 4.77 4.1 1.64 5.57 6.62 4.15 -0.44 5.03 0.12 8.47 3.31 2.67 6.9 6.97 2.54 3.96 5.48 5.67 8.81 7.6 2.75 6.71 4.21 2.59 4.18 7.36 3.71 3.68 5.75 6.07 2.02
"56" 7.45 4.4 2.61 2.92 2.49 4.78 3.04 7.32 5.94 2.32 6.58 4.4 8.7 5.17 3.22 6.61 5.66 2.46 5.59 8.63 3.25 6.58 4.44 3.54 2.75 4.72 8.77 7.9 6.06 6 6.26 4.36 3.62 2.09 7.13 6.96 4.69 6.76 4.78 6.58 4.68 4.17 5.25 5.64 4.35 5.93 3.4 4.26 9.51 2.79 6.98 3.87 4.82 9.68
"57" 3.2 7.16 7.47 4.99 9.62 5.82 6.5 4.81 3.62 5.4 4.15 6.91 3.03 6.34 6.86 5.93 6.77 3.14 3.69 5.5 2.91 3.73 6.67 5.88 2.34 6.26 8.06 6.3 9.01 6.34 2.61 2.27 3.92 4.87 5.45 7.75 2.75 4.17 3.56 6.77 4.53 5.82 4.66 2.99 5.77 7.73 4.68 3.31 5.61 4.73 8.61 0.37 4.64 1.43
"58" 6.72 5.1 5.12 5.59 3.13 5.53 5.21 5.65 9.22 3.89 5.66 4.34 1.51 9.4 5.16 4.43 0.8 2.12 6.56 5.22 5.09 6.91 10.02 5.77 5.8 4.4 4.12 1.94 6.17 3.63 6.45 7.43 7.72 2.93 3.03 1.62 6.77 6.76 3.92 3.27 3.43 6.03 3.08 6.39 5.29 6.81 7.4 4.86 2.23 6.11 4.7 4.4 3.71 1.59
"59" 5.56 6.3 6.45 5.44 4.87 7.36 3.62 5.94 6.52 5.97 6.15 1.42 6.72 4.5 2.6 1.82 4.46 7.72 2.02 7.81 9.3 6.49 5.14 4.68 4 3.37 6.53 3.12 4.03 4 6.44 5.25 5.83 5.19 3.33 5.13 7.45 5.91 6.85 3.81 6.27 9 6.5 4.1 4.63 3.74 6.37 3.49 8.49 3.26 4.8 3.03 4.49 6.35
"60" 6.93 3.2 5.93 6.54 4.34 6.55 3.85 4.31 7.23 3.56 1.41 7.57 6.65 4.04 6.33 6.62 5.9 2.04 4.21 5.46 4.12 6.54 6.05 3.85 5.16 6.33 0.8 1.44 3.34 4.98 3.26 7.53 2.06 1.77 3.2 6.46 7.52 4.96 0.38 5.63 5.73 2.05 5.2 -0.32 7.29 5 4.72 4.78 6.96 2 6.42 11.27 3.97 3.24
"61" 4.53 5.14 1.75 8.01 5.33 7.67 1.85 9.14 1.2 4.74 7.55 1.48 3.18 4.91 8.11 7.55 4.54 7.54 5.15 2.05 3.17 3.43 5.59 7.4 7.37 2.04 4.59 9.91 2.87 6.89 6.3 3.79 1.73 7.06 4.67 9.11 2.93 4.26 3.55 3.3 4.79 5.62 3.7 7.98 6.82 2.43 2.5 2.52 5.24 3.89 8.42 4.87 5.52 7.81
