"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"16" 5.08 5.47 8.06 3.51 4.01 4.05 6.63 6.27 6.69 5.77 5.54 5.39 2.46 5.17 6.51 4.9 3.13 4.87
"17" 5.86 6.2 6.02 6.73 3.82 8.27 2.97 6.35 6.19 6.02 6.84 4.52 4.63 2.19 6.35 7.47 5.84 3.75
"18" 3.89 8.12 2.08 6.53 4.75 4.72 4.39 3.54 4.36 1.99 6.13 3.26 0.69 5.86 5.57 7.05 5.29 2.9
"19" 2.61 7.36 9.44 4.61 10.12 6.38 4.86 6.81 5.17 5.88 6.82 6.25 5.73 7.39 4.86 5.29 5.11 3.94
"20" 3.32 0.99 6.73 5.61 3.13 3.91 2.39 3.57 4.02 3.82 6.7 4.57 8.91 2.88 5.02 7.09 6.26 4.46
"21" 6.6 3.92 4.64 6.61 5.46 2.58 4.77 2.66 9.71 6.9 5.77 6.89 6.36 6.3 3.59 4.54 7.29 4.55
"22" 5.52 6.86 9.4 1.98 3.17 4.65 2.88 4.88 7.04 7.95 4.35 5.33 5.94 6.89 3.17 4.69 7.33 5.03
"23" 4.31 9.08 2.74 7.41 6.96 3.82 2.69 7.48 2.59 4.93 1.95 2.61 -0.74 4.62 4.92 6.23 4.81 7.39
"24" 6.48 8.98 4.67 4.4 6.07 6.19 5.81 5.82 5.53 5.24 3.96 0.73 7.08 7.78 6.91 4.74 3.45 5.64
"25" 5.6 3.39 8.12 2.47 8.16 4.14 3.63 4.89 8.18 6.2 7.03 4.32 7.91 6.26 9.51 6.73 4.34 2.65
"26" 1.47 5.44 0.3 2.46 4.61 6.3 5.4 4.32 6.64 5.75 4.54 6.21 6.66 2.55 7.92 4.71 5.79 0.78
"27" 10.1 3.42 5.03 5.1 5.37 6.86 0.69 1.91 2.35 4.24 4.51 4.93 5.76 2.63 3.99 5.35 3.3 5.6
"28" 4.58 5.41 6.4 3.2 2.5 0.29 6.35 6.37 6.89 8.48 5.97 4.63 9.22 6.12 8.08 1.88 4.18 6.15
"29" 7.32 3.12 9.95 9.05 5.96 6.94 7.06 2.42 5.03 0.39 2.21 4.22 6.17 5.35 3.69 5.69 6.59 3.12
"30" 2.24 8.74 7.53 3.49 2.79 5.28 5.72 5.46 4.34 6.66 5.02 5.15 3.63 3.99 3.64 7.7 5.5 6.11
"31" 5.95 5.74 2.49 9.97 2.87 -0.16 7.86 5.78 4.43 6.6 4.99 7.61 6.1 3.28 8.61 5.59 3.08 2.07
"32" 2.69 7.11 6.7 7.56 4.73 3.06 7.18 5.2 2.12 5.95 5.17 5.69 4.78 4.41 2.58 0.64 8.37 3.84
"33" 6.4 9.03 4.19 3.84 4.05 3.02 4.09 3.6 5.5 -0.85 6.91 6.32 6.48 6.07 5.55 5.82 7.55 6.37
"34" 1.28 5.58 10.15 3.04 0.47 3.79 5.28 2.82 8.37 4.29 4.84 3.13 2.88 6.23 6.9 5.28 4.49 3.44
"35" 7.17 6.81 4.75 7.67 5.2 1.79 2.12 4.48 2.06 1.58 4.93 7.64 4.21 5.69 2.62 1.98 3.22 4.25
"36" 7.05 6.52 6.56 6.94 2.48 2.13 3.26 9.12 3.53 5.18 3.56 8.17 9.79 0.94 6.42 5.9 7.88 4.85
"37" 3.74 6.49 8.35 6.05 6.71 8.29 6.77 4.48 5.3 5.27 7.68 3.67 6.52 5.71 2.29 4.23 1.97 2.78
"38" 5.71 5.38 4.29 7.56 6.89 6.5 4.45 8.07 6.94 5.11 2.8 4.85 4.34 2.77 1.92 7.31 3.8 6.82
"39" 5.57 5.3 4.53 7.24 5.67 5.48 2.55 -1.59 5.07 9.93 6.92 5.03 3.74 6.22 1.68 7.01 7.18 5.98
"40" 6.21 7.3 5.57 6.38 5.27 6.52 2.66 7.29 3.16 7.36 6.85 4.65 9.26 7.02 4.02 8.32 2.42 5.98
"41" 8.54 8.23 4.45 7.5 7.48 8.33 7.85 2.84 3.38 4.4 7.94 5.97 1.49 3.87 5.2 4.68 4.65 2.91
"42" 1.1 6.71 3.95 5.95 7 6.76 1.69 4.69 1.79 1.91 4.97 3.81 3.1 5.35 5.74 6.06 3.31 4.53
"43" 3.1 5.53 5.58 4.52 7.68 5.33 7 5.55 5.85 9.65 2.71 4.61 6.76 7.68 6.49 6 3.52 2.76
"44" 4.34 1.5 5.96 3.77 5.45 1.95 4.73 2.56 4.14 9.09 7.48 6.42 3.46 2.33 1.78 3.45 4.08 2.89
"45" 3.21 1.91 5.31 4.4 5.36 4.4 5.32 3.86 8.16 -0.69 6.96 2.66 3.37 4.56 8.41 2.35 1.58 4.68
"46" 4.52 7.28 5.22 6.19 2.38 5.27 6.75 5.17 6.02 9.03 4.63 7.48 7.49 3.73 3.87 6.03 3.61 6.75
"47" 3.96 5.52 3.04 9.26 2.31 4.7 5.9 5.65 2.58 6.3 4.55 6.33 3.54 8.14 1.24 0.19 3.3 4.29
"48" 4.9 3.28 4.07 5.12 3.3 6.49 5.04 6.1 3.75 1.59 4.77 7.72 3.51 3.86 2.59 3.36 4.93 3.95
"49" 3.17 2.6 9.55 6.28 4.38 6.73 5.14 5.34 7.19 4.07 3.78 3.43 7.12 4.65 9.26 3.42 4.36 3.23
"50" 3.6 7.55 9.02 6.32 2.99 4.84 8.49 2.99 5.14 4.62 2.63 4.9 3.81 3.86 4.38 7.4 6.41 3.57
"51" 3.9 5.27 5.43 5.56 2.34 2.83 9.26 5.92 5.24 3.42 2.6 7.06 6.19 6.44 3.05 6.32 3.78 5.42
"52" 5.11 7.77 6.03 5.3 2.8 6.61 5.44 5.46 6.33 2.52 3.48 2.93 3.53 3.92 6.26 6.87 5.35 6.28
"53" 6.92 4.58 4.49 3.44 7.73 4.07 1.89 6.23 0.96 4.67 3.58 2.88 4.9 6.38 6.24 4.41 1.46 5.99
"54" 4.97 4.65 3.03 6.17 9.43 5.04 8.17 9.9 0.77 5.1 5.12 5.28 4.07 6.19 1.6 2.93 6.13 5.35
"55" 5.1 6.85 4.93 1.29 7.53 6.7 8.81 2.33 6.52 5.33 6.35 8.07 4.81 4.71 4.98 3.62 3.38 6.13
"56" 8.36 5.3 0.75 5.3 5.44 6.43 5.81 4.55 2.63 3.37 5.36 2.46 6.96 4.36 7.69 6.14 3.98 7.75
"57" 2.07 5.09 8.21 8.38 -0.23 6.41 2.72 7.8 6.44 4.13 8 4.98 7.71 4.27 3.35 3.7 4.13 4.07
"58" 4.45 6.17 4.05 4.25 4.63 9.29 8.65 5.07 3.07 4.09 5.17 6.47 4.26 6.79 -0.01 5.18 5.59 6.51
"59" 6.85 4.29 6.3 5.65 5.79 3.4 3.77 2.9 8.98 4.68 5.55 4.72 5.22 6.71 3.42 9.63 6.17 6.8
"60" 5.54 5.07 5.02 7.96 6.04 2.2 6.54 6.78 3.94 6.36 3.38 4.06 2.55 3.8 3.37 4.28 4.88 6.95
"61" 2.46 5.97 2.92 1.87 1.95 5.13 2.49 4.01 1.37 3.4 5.2 4.59 4.07 3.18 6.88 6 3.48 3.92
"62" 4.75 7.16 6.02 4.58 3.25 4.05 1.96 5.96 4.12 6.53 4.32 4.89 4.62 3.2 5.52 0.69 5.85 4.46
"63" 3.33 3.28 11.57 5.71 5.03 4.74 6.22 1.78 2.84 9.93 0.72 6.5 2.34 8.29 3.56 4.44 6.85 2.9
"64" 5.53 3.63 2.35 0.7 2.97 3.92 7.17 8.93 5.92 5.43 4.22 6.88 6.49 1.76 1.52 6.35 4.91 6.77
"65" 6.82 7.93 6.99 3.11 5.69 5.75 3.8 4.34 7.14 4.41 5.01 5.71 5.75 3.23 0.28 6.52 3.1 9.12
"66" 9.01 7.56 2.55 3.75 4.49 2.39 7.34 6.16 6.51 4.82 7.29 6.24 4.8 5.83 5.63 5.62 7.36 0.31
"67" 3.77 3.6 5.66 4.18 6.4 4.59 6.47 5.51 6.92 7.36 6.66 5.24 5.38 6.53 2.85 6.61 10.09 3.57
"68" 4.03 3.83 3.67 7.29 5.91 3.5 6.59 8.55 -1.11 4.44 5.9 6.41 3.89 6.63 5.04 7.7 6.24 7.29
"69" 1.74 3.08 8.74 3.43 3.83 2.32 6.37 3.2 1.92 3.4 3.69 1.03 5.14 3.29 6.91 4.52 7.98 7.96
"70" 4.31 5.75 1.48 5.01 4.27 6.41 4.49 7.73 4.63 7.09 6.61 3.9 8.82 4.09 6.17 3.48 3.66 7.93
"71" 4.51 3.45 1.59 5.12 5.8 4.08 6.43 6.15 4.13 6.08 6.73 6.21 2.23 3.4 4.28 3.24 6.74 2.75
"72" 4.58 5.31 5.45 1.31 4.14 5.4 2.64 4.93 4.13 6.39 8.78 6.47 6.44 3.91 4.62 5.51 4.38 4.71
"73" 6.04 4.19 3.71 4.89 3.94 6.64 4.46 2.39 4.03 2.76 3.25 5.82 4.66 5.12 6.29 8.26 6.07 4
"74" 5.85 8.5 6.37 7.89 0.44 6.73 4.44 2.59 3.63 9.56 5.74 6.7 4.08 -0.63 8.28 3.48 3.98 9.51
"75" 4.95 6.17 3.52 7.34 1.48 4.58 8.11 2.5 5.48 7.65 4.63 5.97 5.84 4.16 7.88 4.32 5.52 1.25
"76" 1.76 3.43 7.01 2.5 3.25 3.91 3.04 3.68 8.23 1.52 6.61 5.28 5.46 3.98 4.78 5.35 6.22 5.87
"77" 1.24 4.05 7.4 5.07 3.63 4.17 5.47 5.44 6.37 7.52 4.41 2.74 4.95 6.79 8.87 3.71 6.88 4.71
"78" 7.73 2.2 2.29 6.36 3.81 6.2 6.44 6.3 4.43 2.77 6.42 5.12 5.68 2.06 7.78 7.34 5.57 6.58
"79" 3.81 6.98 3.63 4.74 6.36 4.23 4.66 5.58 2.74 1.48 6.87 2.89 7.06 5.81 3.36 1.63 5.69 2.4
"80" 4.63 2.44 3.99 5.93 3.93 1.71 5.57 3.7 6.88 3.73 4.68 4.99 4.79 3.5 5.31 6.17 5.49 1.07
"81" 5.97 2.76 8.21 6.6 2.99 4.86 7.93 4.21 6.37 6.14 5.07 5.45 5.49 3.86 1.02 0.27 7 6.31
"82" 8.27 5.36 8.33 3.35 4.94 4.98 5.81 6.42 5.44 6.15 5.49 5.87 6.44 4.24 4.02 3.51 2.3 2.32
"83" 3.35 4.96 7.08 5.54 8.78 7.1 1.56 4.13 2.79 5.19 4.83 5.04 0.33 4.36 6.15 3.11 7.12 7.83
"84" 7.5 3.97 5.31 4.86 7.51 8.58 7.42 6.14 3.72 2.94 2.5 6.55 6 4.58 3.66 3.83 2.57 5.03
"85" 6 9.01 4.67 5.87 9.66 7.65 2.85 2.09 7.17 7.45 1.23 7.16 4.67 8.14 3.48 1.64 5.92 6.41
"86" 4.95 4.96 7.52 3.76 3.61 5.13 6.52 8.05 4.66 8.65 1.47 6.31 4.49 8.45 5.45 7.07 4.72 4.81
"87" 2.03 1.13 4.79 7.62 8.1 2.91 6.65 5.38 5.25 5.54 5.21 4.15 5.46 6.74 3.07 4.35 3.25 4.25
"88" 7.45 6.52 6.79 10.47 5.29 8.52 3.4 7.32 5.51 4.94 4.28 3.15 7.31 7.48 6.05 2.76 6.87 5.62
"89" 6.2 6.66 3.98 8.16 7.05 7.04 6.63 4.76 4.27 7.35 4.98 6.66 3.02 3.18 6.74 4.52 3.97 1.95
"90" 4.46 7.17 7.37 3.97 4.81 5.93 2.75 2.68 2.47 6.91 8.54 4.83 3.69 4.53 5.82 5.55 7.84 5.59
"91" 2.05 4.27 5.78 3.33 10.46 0.98 6.66 4.08 2.07 6.6 8.92 6.67 3.88 9.11 5 4.76 4.12 2.75
"92" 4.07 7 4.96 2.35 4.41 5.75 2.26 5.44 5.33 7.53 6.59 3.67 2.2 3.21 3.71 8.02 3.82 5.36
"93" 3.32 7.44 4.7 2.3 1.64 4.66 6.07 2.45 4.67 2.04 3.18 7.2 3.04 3.41 4.65 3.15 4.65 1.62
"94" 8.38 6.62 2.71 3.21 2.18 4.45 4.72 4.2 4.59 10.85 4.58 7.17 1.49 8.24 8.78 7.66 1.61 6.87
"95" 3.1 6.87 4.65 1.89 7.31 5.68 2.82 6.2 5.89 5.13 5.18 5.05 6.99 4.28 4.62 5.17 5.72 2.43
"96" 3.99 6.76 3.21 2.84 5.31 6.42 2.3 3.35 3.52 7.31 8.44 4.7 4.84 2.89 6.4 7.87 4.17 3.2
"97" 3.48 4.78 5.56 5.33 3.27 6.84 5.99 5.38 5.6 5.44 6.47 5.11 4.4 4.37 5.63 6.65 2.43 1.89
