"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"35" 9.92 7.8 2.15 4.97 4.8 5.27 5.6 3.19 7.52 7.79 5.27 1.87 10.8 6.34 4.24 2.2 2.43 8.42 2.29 8.47 7.49 6.52 5.42 5.14
"36" 5.59 5.87 9.23 2.63 5.12 8.17 8.45 5.57 6.76 2.93 2.61 11.64 7.16 5.21 5.63 3.29 6 5.49 2.56 4.11 4.61 2.06 7.08 9.25
"37" 5.26 4.31 6.93 8.5 4.06 5.64 6.36 3.55 6.55 5.54 0.95 2.51 1.41 5.03 8.91 3.04 9.07 5.23 5.06 4.38 3.06 4.94 4.13 8.73
"38" 5.2 6.44 6.43 7.29 5.28 6.46 3.8 5.74 7.65 3.78 2.84 1.79 7.05 3.84 5.69 4.02 7.84 7.01 8.13 3.45 4.25 7.67 4.98 10.14
"39" 2.64 2.2 7.42 5 2.98 6.67 2.7 2.53 2.31 5.71 6.61 3.26 4.28 8 6.26 5.05 8.07 5.89 7.31 5.34 5.21 4.54 5.83 3.46
"40" 3.26 3.21 7.18 4.09 1.62 6.55 4.37 8.02 6.14 4.76 5.05 4.62 7.28 2.95 4.31 6.2 1.59 5.21 5.24 8.61 2.78 2.02 3.43 4.07
"41" 0.53 4.7 2.14 7.57 2.5 3.97 4.55 5.17 3.69 4.95 -0.2 6.61 3.89 0.09 3.88 4.73 2.2 5.8 5.89 3.95 7.71 3.36 7.28 4.81
"42" 5.03 7.64 4.49 5.97 5.54 3.44 1.45 3.34 2.93 2.91 5.21 4.73 3.87 4.1 5.55 6.23 6.45 5.93 5.7 3.14 5.07 3.74 3.29 6.72
"43" 5.1 5.14 8.35 0.45 3.44 8.67 7.16 6.47 10.43 7.13 8.49 2.05 3.53 3.57 9.06 3.08 7.12 4.55 5.08 3.43 7.39 4.74 4.04 9.92
"44" 3.61 5.97 4.58 6.67 4.77 5.42 8.06 4.88 0.82 6.33 8.04 4.53 8.19 5.69 4.07 10.28 5.02 6.21 5.56 3.24 5.53 4.93 4.98 6.92
"45" 5.79 6.89 7.09 2.5 9.96 6.07 3.98 3.79 2.8 7.77 5.02 5.19 3.42 4.28 6.09 6.12 6.24 6.78 5.96 6.15 4.63 3.86 6.48 7.13
"46" 3.91 6.56 3.07 4.4 6.84 7.1 5.13 4.95 6.31 4 9.44 5.55 3.91 4.68 5.32 -0.18 4.62 5.41 6.98 3.24 4.84 6.1 3.88 3.3
"47" 5.44 0.34 6.94 4.33 7.04 5.07 7.55 5.34 3.67 3.92 4.74 4.33 3.04 6.5 4.8 4.17 4.34 3.45 5.04 2.78 4.36 7.24 5.99 1.89
"48" 6.99 7.17 7.68 4.8 3.86 8.04 6.19 6.02 9.5 3.68 4.93 3.67 5.72 2.07 3.19 7.23 5.67 4.76 3.12 5.25 2.89 5.27 5.75 5.92
"49" 3.63 2.64 4.14 0.87 6.73 2.76 8.32 6.53 7.97 4.61 6.65 6.25 6.62 8.03 7.08 4.33 1.98 7.91 7.17 7.31 3.38 4.33 3.87 4.55
"50" 4.91 4.06 4.45 7.19 4.91 3.09 7.35 4.4 4.69 4.72 4.91 7.73 4.72 3.08 8.14 7.37 2.93 4.73 3.67 4.93 7.32 4.08 7.64 3.35
"51" 5.48 3.45 5.33 3.26 6.08 3.12 2.86 5.38 4.73 3.81 6.7 5.19 4.64 3.86 7.42 7.83 1.85 5.26 4.11 5.87 2.38 1.84 4.62 1.46
"52" 6.24 5.58 4.33 1.59 2.82 5.57 6.73 4.12 6.02 4.38 6.22 3.65 7.47 5.86 5.49 3.92 4.09 7.16 5.44 3.95 5.11 3.75 8.56 2.68
"53" 6.42 4.91 7 1.73 5.7 2.58 4.55 5.49 5.92 3.95 2.34 4.64 2.46 10.28 7.27 3.91 7.22 2.5 3.27 4.29 6.83 3.56 5.61 5.71
"54" 5.56 7.32 2.54 3.18 5.66 3.69 4.34 6.82 4.63 4.19 7.77 3.04 3.22 3.01 6.62 1.68 2.43 2.89 6.89 5.01 5.43 2.91 3.22 4.4
"55" 3.79 2.8 7.25 7.24 2.39 5.68 7.82 3.26 6.27 2.92 5.16 4.93 4.27 6.53 3.1 6.61 5.29 4.95 3.45 2.43 6.04 5.24 6.04 3.36
"56" 8.54 8.08 5.75 4.87 2.6 4.36 5.19 6.14 1.98 8.5 2.55 0.7 4.53 2.33 6.77 8.23 11.28 5.44 5.98 7.28 1.89 1.84 3 5.64
"57" 5.07 4.79 6.29 0.67 2.54 5.48 8.87 6.24 5.26 7.5 3.18 3.38 5.78 2.58 4.01 6.11 7.04 6.99 5.61 4.81 6.24 3.36 4.09 3.94
"58" 0.58 3.81 4.81 6.34 4.04 5.03 9.59 4.76 5.21 4.77 4.74 5.46 3.61 6.27 5.97 4.55 1.81 6.93 0.14 7.38 6.51 1.86 4.53 5.71
"59" 4.66 3.13 4.49 7.99 6.98 5.92 3.42 4.85 4.03 2.49 9.38 4.71 3.38 3.88 5.91 3.83 6.09 4.44 3.72 0.5 4.19 7.32 3.86 4.66
"60" 4.74 5.69 3.61 7.39 6.47 5.44 5.46 6 4.48 7.32 5.68 8.17 5.18 3.79 7.93 5.77 7.1 -0.19 5.38 6.08 2.68 2.75 7.95 3.38
"61" 4.35 4.74 6.29 6.62 2.48 4.23 8.63 6.03 5.13 6.57 6.02 6.57 5.44 4.55 3.39 3.55 6.65 6.31 7.59 0.66 6.71 5.02 2.78 4.55
"62" 8.6 5.71 3.92 2.95 4.96 4.53 3.08 3.37 3.28 4.48 5.04 3.1 5.47 1.88 5.66 7.08 3.76 6.02 4.95 5.15 4.86 4.05 1.32 4.84
"63" 5.62 2.1 5.72 4.97 3.93 3.62 6.67 4.92 7.03 3.65 3.53 1.93 4.26 2.23 4.82 6.1 5.67 4.35 2.47 2.63 4.92 2.97 6.67 5.51
"64" 3.67 2.93 5.58 1.81 6.72 7.06 6.64 6.47 7.71 5.7 6.91 5.01 6.26 3.02 5.58 4.45 2.45 5.76 2.15 4.34 3.83 8.29 5.49 2.45
"65" 3.04 10.64 8.95 3.66 2.91 4.56 3.14 3.2 3.25 7.73 3.9 3.98 4.83 5.65 4.2 4.22 6.36 4.82 2.52 6.3 3.19 3.91 7.67 8.67
"66" 3.42 5.16 6.12 4.4 1.28 3.47 -0.74 5.37 3.13 3.83 3.17 3.3 3.36 4.46 6.16 5.21 7.23 6.16 5.82 3.72 3.12 5.45 1.71 6.4
"67" 4.87 3.02 3.31 6.69 6.13 5.53 6.38 5.77 5.36 2.67 4.46 5.1 5.82 3.36 3.51 3.91 2.48 5.55 6.85 7.67 5.62 5.76 3.7 4.12
"68" 4.37 4.8 5.23 3.61 5.27 2.06 7.74 7.9 3.32 5.84 5.48 4.64 6.06 5.38 10.24 7.5 6.24 4.25 4.38 4.11 5.88 6.82 9.81 3.17
"69" -0.94 4.05 1.25 6.15 4.83 4.52 2.37 5.12 5.73 6.31 7.81 9.53 2.17 4.09 -0.01 3.56 6.95 5.12 8.13 5.59 5.45 1.81 5.9 6.13
"70" 3.71 6.18 2.12 3.58 6.92 4.66 3.41 6.37 3.93 7.24 3.41 2.37 4.14 3.95 3.08 2.48 3.97 4.52 6.16 3.83 7.02 2.9 4.05 5.1
"71" 7.18 5.2 7.14 4.9 7.63 4.22 4.85 0.4 6.41 5.82 3.1 6.09 3.67 3.54 -0.07 4.67 5.39 1.19 3.16 4.57 5.66 4.87 7.03 2.4
"72" 9.59 8.65 4.52 4.82 4.18 5.2 5.74 10.9 3.67 5.9 6.02 4.17 3.71 6.84 0.25 3.37 5.41 3.22 6.04 4.7 6.1 5.72 6.96 4.51
"73" 6.32 2.23 3.78 6.88 2.79 1.63 3.59 4.36 8.28 4.23 3.06 5.96 4.26 6.18 7.38 1.93 5.68 3.79 7.86 7.02 2.74 4.9 6.01 5
"74" 3.87 3.9 7.67 4.76 6.95 2.54 8.65 5.1 5.92 3.71 7.09 5.2 6.86 4.11 7 3.05 6 4.2 3.38 2.21 4.68 6.99 7.39 8.74
"75" 4.58 5.42 2.38 5.42 1.67 5.74 1.2 3.8 5.88 4.81 5.5 2.16 3.9 1.79 8.44 5.85 5.4 7.44 5.25 3.58 5.4 3.79 6.9 2.51
"76" 3.26 8.73 7.41 6.57 3.9 3.7 6.99 2.28 2.37 5.09 3.67 1.06 5.01 5.76 0.9 4.97 4.53 7.08 5.06 6.52 4.18 4.7 5.43 4.65
"77" 1.5 5.49 6.54 5.2 4.98 6.48 5 3.88 4.18 5.6 7.13 5.47 4.75 3.7 2.89 3.47 5.82 2.92 2.58 5 5.67 5.69 0.94 6.28
"78" 6.79 10.16 3.75 5.09 2.04 3.6 4.57 2.89 5.9 4.12 8.1 5.6 5.24 8.48 6.53 2.34 7.6 5.53 6.58 1.22 1.81 9 4.7 9.36
"79" 7.74 4.57 2.79 4.02 6.88 4.15 6.8 2.54 3.72 2.53 6.57 1.95 4.86 5.69 5.23 5.83 4.66 8.64 6.97 6.84 7.61 4.46 10.94 5.38
"80" 5.09 3.51 3.29 6.46 6.31 2.23 6.72 5.05 8.84 3.59 1.42 7.25 4.18 8.64 5.07 5.24 2.73 2.39 5.97 8.49 2.44 2.87 3.38 2.69
"81" 3.75 5.99 3.94 7.08 7.55 5.96 1.88 4.73 5.71 3.22 8.77 0.46 3.92 5.6 4.98 6.5 2.66 7.18 5.03 1.94 5.96 6.61 8.54 3.09
"82" 5.75 4.88 10.77 4.32 9.14 1.99 7.28 4.25 5.81 6.64 5.08 4.39 5.82 9.09 3.07 2.45 4.12 1.83 4.25 6.36 5.7 6.36 5.4 7.17
"83" 7.29 4.33 5.48 6.67 5.17 7.03 2.41 7.71 5.39 5.26 6.51 5.75 4.73 4.67 6.31 6.3 5.01 5.75 3.04 3.31 6.82 5.75 6.41 2.33
