"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"39" 5.22 2.83 5.56 8.41 9.08 5.55 4.15 6 9.44 5.4 3.75 1.59 9.33 5.61 8.34 2.9
"40" 4.56 2.33 7.27 5.08 1.02 7.81 7.08 3.4 5.71 3.95 8.69 5.62 1.87 6.04 4.59 6.01
"41" 1.04 7.2 3.87 6.35 2.28 8.34 8.71 3.68 4.43 3.02 6.22 7.48 4.6 4.89 4.44 5.18
"42" 6.27 6.53 6.74 5.57 9.24 3.71 4.28 3.77 5.23 5.43 4.73 2.48 6.55 3.08 9.27 4.9
"43" 3.03 3.09 5.15 4.23 2.18 2.85 5.7 3.77 6.01 4.21 8.22 4.75 6.46 3.71 2.74 6.64
"44" 4.15 2.53 5.12 3.04 4.11 5.95 5.55 7.01 5.89 8.08 5.52 3.84 5.33 3.55 6.24 4.47
"45" 3.88 4.07 7.62 4.22 4.98 4.9 3.59 6.8 3.98 4.87 6.39 7.64 4.53 3.38 5.38 5.97
"46" 7.11 2.21 7.03 5.81 3.5 2.32 5.48 8.72 6.06 5.27 5.18 4.1 7.77 6.41 4.95 5.69
"47" 5.22 5.39 4.84 4.8 5.28 7.01 4 3.29 5.6 6.4 2.15 2.32 7.27 5.41 4.88 4.41
"48" 0.49 5.62 5.43 6.54 7.36 8.24 4.18 7.16 7.36 3.47 6.6 4.35 6.65 0.9 4.08 0.35
"49" 1.16 4.8 3.63 5.55 6.2 3.83 5.51 4.87 5.21 5.25 3.9 3.09 7.29 3.27 4.24 4.59
"50" 7.38 5.18 3.97 6.2 6.43 3.95 4.38 5.46 4.96 5.68 4.82 3.24 7.59 3.22 2.68 2.4
"51" 3.19 5.74 8.56 5.07 6.34 2.54 5.69 5.31 6.26 6.27 8.63 4.13 3.29 3.57 5.71 7.11
"52" 6.71 4.36 4.59 8.45 4.8 4.96 5.35 1.82 7.16 3.94 5.92 6.07 5.32 3.48 5.04 4.96
"53" 4.64 6.58 6.12 0.27 5 3.92 3.14 9.65 3.11 3.17 5.67 4.74 7.32 4.11 3.83 7.06
"54" 8.43 2.57 8.66 4.25 2.87 4.95 2.78 4.83 5.44 3.63 3.99 4.71 6.49 5.11 5.28 4.48
"55" 2.95 4.69 6.7 5.72 3.29 6.64 2.61 3.82 8.26 2.95 1.18 7.93 6.15 4.26 6.29 3.86
"56" 5.94 7.05 3.59 2.11 2.79 3.07 2.54 4.65 6.8 4.76 6.32 1.1 5.8 5.38 3.57 8.04
"57" 6.55 2.04 3.2 5.18 4.08 2.71 6.36 4.38 4.8 5.02 2.01 2.98 7.75 5.29 8.15 8.08
"58" 4.51 3.88 4.34 5.06 3.59 7.74 0.76 6.66 4.72 2.49 2.54 4.91 4.11 3.28 4.28 1.58
"59" 2.64 5.55 7.07 9.38 4.04 8.19 5.63 5 5.85 0.94 4.25 6.28 6.18 1.88 4.13 5.7
"60" 5.2 3.07 3.55 5.83 5.29 5.72 3.7 2.94 4.35 3.83 5.6 5.61 4.6 4.14 8.82 3.96
"61" 4.91 3.12 4.71 5.69 4.94 8.67 4.44 6.39 11.51 6.38 8.37 7.23 2.44 7.07 6.53 4.28
"62" 5.6 5.17 5.08 3.02 3.87 6.03 8.13 5.96 6.94 0.1 4.83 4.13 -0.9 2.7 5.92 8.58
"63" 4.08 4.93 6.02 6.4 6.69 4.64 3.07 5.44 2.98 2.09 5.08 3.2 2.3 7.42 3.61 9.01
"64" 5.31 5.57 2.85 4.36 2.76 4.6 3.63 6.1 0.32 6.72 2.26 7.8 2.73 6.86 4.71 3.15
"65" 0.89 4.93 4.72 8.05 4 5.82 1.1 3.79 2.48 4.19 7.3 4.19 6.48 3.3 5.97 8.01
"66" 3.57 4.24 4.83 2.94 1.31 2.38 5.96 6.43 1.87 7.07 4.5 5.13 2.81 4.36 7.14 5.53
"67" 4.31 2.3 4.71 7.35 3.85 2.35 4.92 3.95 2.64 4.3 3.27 3.4 5.07 1.19 7.04 3.39
"68" 5.07 2.97 3.96 4.96 2.13 4.11 6.34 6.23 0.85 5.96 5.36 8.85 2.69 3.82 5.05 2.54
"69" 5.71 6.14 8.24 4.21 4.36 5.32 4.48 1.65 7.6 2.63 3.78 3.81 6.14 3.53 6.91 4.07
"70" 4.98 1 3.69 6.4 0.98 6.85 0.16 2.53 -0.11 3.25 2.99 4.6 3.18 2.14 6.32 1.87
"71" 6.73 3.49 5.49 5.54 5.53 8.91 7.15 0.31 4.87 2.21 7.04 4.66 9.13 4.52 1.42 3.75
"72" 2.73 2.64 2.89 3.78 8.34 4.3 5.13 3.35 6.89 2.34 3.71 6.56 8.52 3.82 2.86 9.43
"73" 1.32 6.18 3.29 3.47 4.62 3.61 3.45 4.62 6.26 7.43 5.04 5.07 5.88 3.38 6.15 3.96
"74" 5.86 10.18 5.92 4.24 1.38 5.69 5.2 1.27 8.03 6.2 4.07 6.71 7.04 2.5 4.56 4.71
"75" 4.77 4.91 2.79 3.89 5.86 4.26 7.37 5.55 8.16 8.3 0.73 0.65 3.27 5.33 3.92 3.08
"76" 6.82 4.24 3.83 8.63 4.21 6.49 6.4 6.68 8.93 2.78 5.22 4.32 3 7.36 4.2 6.86
"77" 7.6 8.09 9.23 5.64 6.28 2.04 7.15 6.22 5.81 5.19 5.86 6.25 4.27 6.65 5.87 2.78
"78" 1.09 4.93 4.3 1.86 5.79 3.5 9.25 6.73 7.2 6.98 7.01 2.37 7.37 3.27 2.96 4.91
"79" 2.55 4.35 4.09 8.21 4.68 4.61 7.77 7.57 7.36 6.26 6.71 7.11 9.18 5.79 4.34 2.96
