"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64"
"11" 3.6 4.8 6.95 4.57 8.02 5.44 5 5.76 3.47 4.11 6.74 8.4 1.69 6.63 6.52 4.19 5.36 7.69 6.67 5.6 4.29 3.66 6.57 4.68 2.65 4.05 6.98 3.6 5.08 5.14 5.63 3.78 4.88 4.07 5.75 5.16 4.8 4 1.67 7.15 5.2 4.35 2.75 7.05 2.96 2.73 6.15 1.01 4.09 7.18 7.94 2.97 4.04 0.7 2.57 3.85 7.27 4.48 5.85 5.85 4.81 5.12 8.42 2.89
"12" 7.38 9.98 3.46 4.66 4.61 3.78 8.08 7.51 5.44 4.44 7 4.24 2.1 0.73 2.17 2.8 1.25 2.92 4.39 6.33 5 6.82 6.59 1.33 4.41 8.05 4.58 2.97 5.89 7.72 3.33 6.3 4.96 8.08 2.29 2.2 6.63 5.04 7.09 6.46 1.89 5.82 6.15 5.21 8.3 7.01 3.41 7.77 5.27 7.79 6.66 6.12 8.04 6.67 7.03 4.16 1.66 5.67 5.81 2.13 8.27 7.59 7.04 6.04
"13" 3.41 6.65 1.22 5.82 8.82 8.2 5.32 4.07 7.11 4.69 7.57 3.17 6.43 3.78 1.7 2.05 7.45 4.73 2.4 9.37 8.01 5.05 6.94 5.86 8.35 3.8 1.99 4.87 8.46 5.54 7.07 5.46 4.17 2.39 3.44 3.38 7.87 6.52 4.15 4.34 7.19 6.3 4.8 4.16 0.87 2.99 7.09 7.51 7.97 3.1 9.37 7.27 4.77 0.57 6.26 5.53 3.79 6.69 6.85 5.27 2.08 8.3 6.91 3.34
"14" 2.56 6.42 2.37 11.54 3.77 1.05 5.33 1.68 4.55 3.23 4.17 6.44 5.46 5.19 8.74 5.87 4.11 5.84 2.81 6.86 5.98 3.96 2.15 6.99 7.34 6.83 2.99 7.87 5.07 1.22 3.82 3.16 3.88 5.29 5.44 2.13 6.39 9 7.3 7.95 4.77 6.19 4.48 4.34 6.72 4.7 4.37 4.99 6.21 6.53 7.26 6.26 6.48 7.68 5.21 1.88 3.8 5.32 6.38 2.56 4.11 7.99 3.62 6.82
"15" 3.31 4.01 3.62 5.82 3.67 6.74 4.08 4.77 8.04 5.47 7.24 4.49 6.44 3.43 7.52 1.5 6.17 7.1 4.5 0.69 5.23 2.67 7.18 4.24 -0.32 5.53 3.7 6.57 3.49 9.16 1.16 4.13 5.51 3.76 6.97 2.94 6.12 4.2 2.67 4 7.03 6.97 1.38 4.19 6.34 1.95 5.94 5.02 3.65 6.32 8.11 3.64 4.53 6.45 4.67 2.61 6.29 3.67 1.88 4.7 5.95 3.07 0.65 7.54
"16" 3.18 5.06 5.45 4.15 7.48 6.69 7.74 6.8 6.6 6.83 7.5 2.66 4.24 5.35 5.54 5.64 5.58 2.74 4.74 2.05 4.99 6.27 5.59 8.29 2.3 5.45 5.64 5.29 1.82 4.56 3.89 7.15 0.7 4.79 4.62 6.54 5.27 6.07 4.98 2.65 1.4 7.13 6.02 4.93 4.7 5.75 5.4 5.64 2.63 3.71 2.26 7.39 7.54 4.73 4.72 2.65 4.18 4.75 3.18 8.58 1.24 3.88 3.78 2.33
"17" 1.83 3.74 6.63 2.91 3.31 -0.34 5.47 4.18 7.93 4.37 3.85 3.21 5.17 5.54 7.69 6.25 5.92 4.61 4.63 7.51 6.6 5.84 3.33 2.08 2.2 4.61 4.35 6.29 5.61 5.12 3.48 6.61 7.19 4.16 6.6 2.37 7.63 2.68 4.23 2.7 2.73 2.66 6.84 5.64 7.38 6.59 3.19 3.36 5.29 5.8 3.42 5.73 7.53 7.41 5.48 7.03 7.77 6.33 2.77 5.28 5.4 2.97 2.72 5.23
"18" 6.41 7.68 5.13 3.71 5.5 5.57 6.53 5.02 3.44 4.33 7.23 3.25 3.84 4.33 5.22 5.22 3.31 1.43 3.42 7.41 6.57 5.19 7.86 7.72 6.62 4.21 5.62 5.43 4.6 6.44 5.27 4.56 6.18 3.5 5.87 6.24 7.45 6.95 4.26 2.34 6.91 7.12 3.71 4.21 4.14 1.82 5.07 6.21 5.79 8.01 3.29 3.52 9.4 3.81 4.89 9.2 5.01 3.97 5.43 2.32 6.38 8.02 3.55 4.73
"19" 3.6 3.39 3.94 7.25 5.97 6.27 7.14 6.51 6.05 8.67 3.76 2.98 7.14 2.99 1.42 3.49 4.6 4.3 6.18 6.17 3.55 9.22 5.41 4.32 4.01 4.42 6.63 6.59 4.91 7.05 7.38 4.29 4.04 3.58 5.3 4.83 4.92 4.53 5.95 5.02 5.53 6.62 6.85 2.54 7.94 3.87 6.55 8.45 7.6 6.06 6.47 3.69 4.43 0.25 9.63 7.27 4.23 4.57 4.63 7.32 0.77 7.09 5.12 3.53
"20" 8.47 6.7 1.95 7.24 5.32 0.81 1.84 2.18 8.35 6.8 5.6 3.37 1.27 3.97 3.38 6.91 4.27 2.59 2.94 2.2 7.27 8.64 7.33 4.67 4.28 6.64 8.85 4.14 6.68 4.54 3.59 1.67 6.28 6.73 5.59 4.76 7.49 7.11 4.61 5.22 4.63 5.22 4.58 2.17 8.13 4.87 9.78 6 5.28 5.09 1.92 6.57 5.35 8.39 4.45 6.38 4.74 4 5.55 4.61 2.35 4.94 3.3 4.42
"21" 4.64 6.46 4.93 5.97 5.62 2.56 2.37 0.7 7.32 2.62 5.55 9.6 5.82 2.56 4.87 3.99 4.4 5.46 5.32 4.4 5.44 3.8 3.61 6.11 1.61 5.32 7.73 2.22 2.96 1.45 6.32 3.96 1.12 3.13 5.52 5.72 1.94 5.77 6.19 4.72 6.57 5.85 4.77 5.66 3.36 2.25 4.45 4.93 3.84 2.15 5.05 -0.6 5.49 6.47 8.24 7.48 2.3 5.42 9.6 6.96 4 4.13 1.66 6.14
"22" 3.54 2.77 3.88 2.93 5.97 4.38 2 6.55 6.42 2.28 8.95 2.83 2.38 1.29 4.29 -0.32 1.91 5.65 3.44 4.47 1.15 4.4 1.95 4.08 7.35 5.29 3.77 4.21 3.43 10.05 1.08 4.09 5.55 7.02 6.76 7.1 4.31 4.4 5.92 9.83 4.35 3.64 4.8 4.56 6.33 5.95 1.3 6.37 8.09 5.69 0.19 6.73 6.64 4.26 5.54 6.59 1.64 2.27 8.44 6.87 2.73 6.56 6.61 5.09
"23" 1.37 6.94 5.22 3 2.4 5.06 2.98 7.32 4.09 4.62 3.49 4.56 5.1 4.88 4.83 3.17 9.05 7.62 5.42 5.5 8.89 5.29 8.11 4.97 4.93 5.49 3.08 6.28 3.2 -0.59 3.78 3.77 6.46 7.28 1.92 6.96 4.51 2.33 6.31 9.72 8.27 4.19 10.32 3.92 7.53 3.18 -0.05 7.67 3.68 0.54 2.2 2.27 7.54 3.37 7.64 1.99 6.29 4.65 4.51 3.6 2.66 5.82 6.21 5.21
"24" 3.77 1.91 6.89 4.7 5.47 7.98 5.73 4.77 7.11 8.12 5.44 1.76 5.65 4.03 4.83 2.86 4.5 6.88 6.74 6.69 7.11 2.89 5.33 4.78 4.45 4.92 1.78 5.67 5.64 5.72 5.04 4.14 3.18 8.59 6.04 4.5 5.83 5.67 3.22 6.63 3.5 8.23 2.74 8.11 7.88 4.13 6.59 2.69 5.47 6.28 1.49 2.83 6.59 4.69 -0.03 2.26 5.27 3.43 6.91 3.84 7.31 5.35 5.89 5.97
"25" 3.36 2.49 5.64 3.85 3.75 2.85 6.6 0.37 5.23 3.76 6.79 4.52 4.33 4.45 5.36 6.62 6.53 5.27 5.11 8.32 2.02 5.55 6.45 1.01 6.12 -0.48 4.83 1.2 0.58 5.61 7.3 8.17 5.66 5.71 5.11 1.78 4.66 2.6 5.32 5.5 7.2 3.83 9.45 3.6 6.33 2.07 4.6 2 7.29 1.06 5.69 3.28 7.04 4.85 4.3 5.77 4.62 1.36 5.65 4.44 4.96 3.82 3.21 7.06
"26" 3.72 3.9 4.24 7.65 3.86 2.61 5.6 9.23 4.71 6.35 5.12 3.8 2.55 4.79 6.28 5.71 7.35 4.53 6.11 6.7 7.58 6.01 4.56 8.25 5.97 4.58 4.83 4.71 2.98 11.19 7.52 5.15 2.17 4.36 5.47 4.68 1.73 6.24 5.2 3.53 1.79 4.9 1.86 3 5.26 5.73 5.61 4.62 8.71 4.39 6.11 6.52 4.19 4.64 7.66 5.15 9.23 4.43 4.59 2.62 5.59 6 7.06 2.73
"27" 6.32 1.68 3.19 6.99 4.03 3.11 -0.35 2.57 4.57 1.63 4.35 6.11 4.71 1.2 6.6 2.77 5.43 4.24 2.19 2.83 6.96 3.04 1.11 3.03 5.08 6.29 6.45 6.59 8.02 7.48 4.93 5.59 3.73 5.97 4.98 2.25 1.67 8.44 4 4.32 4.52 3.9 1.95 3.95 3.22 2.23 5.11 3.8 6.62 3.58 5.02 5.88 3.77 6.4 5.28 4.2 3.53 4.97 6.07 3.28 2.05 3.13 8.49 3.8
