"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48"
"20" 1.93 7.23 3.58 4.4 2.16 6.81 6.49 6.98 7.28 5.52 5.82 8.68 5.97 0.53 0.33 3.14 3.85 3.86 8.94 -0.19 1.21 3.29 7.15 5.08 5.54 4.48 6.08 4.67 4.24 4.93 4.04 4.79 5.76 5.56 7.23 5.12 7.6 7.51 7.57 2.11 4.7 2.23 6.53 5.76 7.18 5.88 3.16 0.99
"21" 2.31 3.57 9.54 8.05 7.01 5.93 6.62 4.06 2.91 7.17 4.63 6.85 4.51 5.5 7 5.34 4.04 2 4.61 5.93 4.43 5 5.35 7.39 3.29 6.82 3.42 4.24 4.22 5.08 5.83 3.44 3.77 7.32 4.23 6.47 5.51 5.82 7.94 4.79 5.59 3.24 5.52 8.99 4.72 5.79 5.55 6.42
"22" 4.04 7.38 8.16 4.74 2.6 2.93 7.95 5.71 5.07 6.21 3.23 6.01 6.15 3.73 3.32 7.8 2.97 6.51 9.54 5.68 3.14 2.28 5.66 4.03 4.61 7.54 5.27 3.29 1.32 4.52 3.68 2.71 5.87 7.85 7.55 6.95 1.77 4.82 5.16 6.63 3.55 4.65 2.9 5.6 3.23 3.03 5.75 2.47
"23" 1.64 6.55 -0.28 3.89 5.08 8.42 3.36 5.96 3.56 4 2.19 5.03 4.76 5.35 2.47 1.35 6.73 5.01 6.39 5.1 4.24 4.17 7.82 5.26 6.53 3.05 6.36 4.65 3.53 2.69 6.69 2.03 5.34 4.71 3.89 7.89 5.93 6.41 6.78 5.82 6.32 4.62 4.14 8.46 7.16 1.05 3.63 7.5
"24" 1.66 6.19 0.44 4.39 5.7 5.78 3.99 4.01 5.23 1.02 4.78 3.42 4.88 -0.36 3.85 7.21 1.13 2.57 3.38 5.84 4.45 4.7 3.91 5.23 1.36 3.23 6 3.04 6.47 1.56 5.63 2.43 6.83 2.28 3.38 5.53 7.39 3.92 4.79 3.84 5.38 1.93 1.34 7.62 7.19 3.69 3.83 4.22
"25" 8.73 5.34 7.55 4.45 6.91 5.26 3.39 3.73 10.07 4.85 0.58 2.76 2.37 2.48 10.4 4.91 5.76 4.96 4.19 5.65 2.34 5.05 6.4 2.83 4.94 5.31 5.6 5.87 4.91 9 5.17 8.58 7.11 3.91 5.28 2.45 5.21 5.6 7.36 7.55 6.92 2.96 3.5 4.48 6.98 4 0.03 4.32
"26" 2.85 4.28 5.65 5.79 8.3 6.41 6.09 3.01 7.13 5.53 6.81 3.49 3.13 8.26 3.66 6.43 4.74 6.87 9.98 2.29 7.31 6.56 8.41 3.11 3.6 6.63 3.18 6.26 2.69 5.72 2.13 3.92 4.5 10.09 8.04 5.1 6.64 3.54 3.33 6.88 4.93 3.56 5.21 5.66 3.34 4.41 2.89 10.24
"27" 2.69 5.39 3.84 4.05 6.94 4.28 4.82 6.6 3.01 6.92 1.65 4.06 7.05 5.02 7.23 8.52 2.45 7.23 4.82 7.77 4.87 2.65 3.46 9.24 4.38 5.32 0.95 3.62 7.55 9.99 4.75 3.63 5.33 3.87 3.03 8.96 3.27 8.2 6.37 4.68 10.28 2.33 5.52 2.17 4.61 3.66 5.13 4.52
"28" 9.11 3.63 6.95 2.07 6.12 7.5 7.8 5.41 6.84 4.45 4.13 5.14 7.18 1.87 3.79 5 3.83 6.15 5.12 8.11 6.41 2.26 4.47 5.3 1.82 2.56 3.76 4.84 6.58 1.17 6.1 7.7 7.91 6.96 3.86 9.31 2.33 3.91 4.12 5.77 1.21 6.57 6.35 3.94 3.86 5.29 6.87 6.09
"29" 3.38 4.82 4.08 5.56 5.96 2.98 4.55 5.13 7.4 7.35 6.28 4.93 6.07 4.48 5.89 0.48 5.36 4.77 1.46 5.49 4.65 0.95 4.39 3.67 8.17 4.07 10 4.69 7.87 7.59 5.4 5.76 7.57 4.89 2.77 8.24 1.7 5.55 5.95 7.61 4.24 4.84 6 2.31 10.02 5.03 4.16 4.62
"30" 5.29 3.15 5.3 1.97 8.67 3.45 4.84 3.92 5.4 8.49 4.33 5.49 4.49 6.2 8.65 4.88 7.16 3.14 2.5 7.17 4.18 5.67 8.11 5.16 3.44 3.76 7.92 4.36 1.78 2.66 4.87 4.52 6.08 6.08 5.47 6.09 2.66 3.91 7.57 2.5 6.83 7.53 5.1 4.7 7.36 6.28 6.21 6.88
"31" 7.07 7.53 1.88 -0.25 4.27 3.83 7.49 8.37 2.32 4.29 7.08 5.62 6.53 4.42 6.34 5.66 5.33 6.8 3.56 3.85 6.58 1.22 4.96 6.78 2.69 7.06 3.23 9.42 4.24 6.74 4.33 5.49 7.07 5.99 6.19 2.8 -1.14 4.17 3.39 8.85 4.5 7.2 0.21 3.29 5.02 5.58 4.81 5.93
"32" 4.92 7.97 6.37 5.45 7.11 9.04 4.99 5.39 2.44 4.18 5.36 2.13 4.12 4.11 3.53 2.85 2.85 6.48 6.97 8.69 3.78 5.3 7.43 3.98 4.18 5.14 3.85 6.22 5.1 3.34 7.42 5.57 3.92 -0.43 6.57 5.61 5.55 1.08 7.96 5.48 1.14 5.02 3.77 4.18 3.92 4.15 3.22 5.51
"33" 8.55 3.84 3.97 3.3 3.47 2.9 3.7 2.4 6.76 5.1 2.53 5.51 5.47 5.7 7.08 6.98 7.97 5.35 3.78 5.72 4.79 6.45 4.92 3.38 4.03 8.48 4.56 2.78 3.42 3.62 4.9 2.59 5.67 4.98 5.34 4.99 1.11 2.93 8.21 2.26 4.75 1.87 4.38 5.41 7.47 3.57 -0.04 5.57
"34" 4.27 6.6 5.03 6.37 1.7 4.53 4.73 7.36 3.51 4.61 2.19 4.9 4.95 5 4.45 5.91 5.11 5.11 7.6 5.62 4.84 4.26 4.42 6.26 3.76 9.62 7.04 2.6 3.38 1.85 9.48 3.49 4.57 3.5 6.46 3.85 2.88 3.06 5.63 5.3 5.46 4.22 6.41 4.35 3.3 3.68 5.33 6.08
"35" 8.25 5.44 2.43 5.13 4.02 7.4 6.53 4.55 5.63 5.14 3.66 7.26 2.83 4.57 3.58 8.01 2.14 4.19 3.94 5.17 2.1 3.95 1.71 6.08 4.1 4.44 5.49 3.95 4.6 7.94 6.24 4.55 2.81 6.88 7.27 7.69 4.79 3.74 5.36 5 2.78 4.26 4.54 8.38 6.94 5.41 4.74 6.3
"36" 2.9 8.91 7.61 0.96 0.71 1.81 5.8 5.16 5.61 4.43 5.29 6.36 4.72 3.82 5.12 3.7 4.18 6.87 8.29 7.54 2.13 4.28 6.6 4.38 5.84 5.3 8.6 8.46 6.3 4.7 2.87 5.23 4.32 0.93 3.88 5.94 6.96 2.61 8.22 5.02 8.08 5.31 5.08 6.74 3.77 2.1 6.24 1.3
"37" 3.85 4.14 3.68 6.4 5.84 2.91 6.37 2.26 7.04 3.09 4.13 4.66 5.2 4.78 5.13 4.26 5.14 8.41 5.54 4.63 5.05 4.38 5.45 3.43 3.36 8.28 5.8 3.78 1.56 5.65 6.89 7.04 1.6 7.91 6.45 4.77 3.45 6.87 7 9.03 4.84 8.73 7.52 1.32 5.82 5.45 6.33 3.64
"38" 5.95 7.69 1.82 6.7 4.18 6.3 4.87 7.34 8.28 5.7 3.9 3.01 4.2 6.22 6.52 5.17 4.43 2.73 0.26 6.01 4.87 5.34 5.89 4.75 6.88 6.42 9.52 5.42 5.95 5.49 6.36 6.98 5.15 5.76 5.68 8.77 8.08 3.82 8.23 5.51 3.61 6.44 4.42 6.41 3.8 5.23 3.19 7.24
"39" 6.57 7.44 5.6 4.74 6.33 5.94 5.43 1.07 5.52 8.1 3.56 8.98 0.35 5.34 2.12 4.71 6.71 7.7 8.59 7.48 8.5 6.26 7.64 2.52 4.86 7.35 4.8 9.52 6.33 5.46 5.63 8.28 8.42 2.01 4.64 4.97 5.06 4.4 6.8 5.95 7.92 1.96 5.92 6.49 6.16 2.39 2.44 4.77
"40" 7.98 7.31 2.33 4.41 10.43 4.26 3.73 5.48 2.91 5.2 2.56 4.41 2.2 1.23 3.87 2.36 4.29 0.55 5.21 7.82 2 4.67 4.92 0.44 6.84 2.54 4.68 2.22 6.37 7.59 7.46 8.69 9.23 4.93 4.8 2.45 5.45 4.31 3.4 5.35 6.78 3.03 6.57 -2.98 4.33 4.09 2.06 6.91
"41" 3.9 3.07 4.47 5.49 5.97 6.53 5.04 2.08 6.06 5.79 6.79 0.33 6.39 4.51 4.07 4.07 5.43 7.46 6.95 6.29 4.13 1.86 8.18 7.63 6.37 1.74 6.12 6.38 2.3 6.89 3.7 2.15 4.95 5.66 4.6 8.76 5.88 6.31 6.2 1.65 3.79 9.53 8.09 7.55 4.58 5.85 8.14 4.19
"42" 4.88 2.01 7.3 4.45 6.29 7.1 9.73 6.1 5.38 3.04 6.7 3.02 4.48 3.44 3.7 2.45 3.58 8.54 0.96 6.1 3.79 6.96 6.46 6.99 1.68 4.52 2.63 5.96 7.75 4.77 4.89 3.38 5.7 7.1 5.72 4.3 7.09 3.94 1.38 7.52 5.54 4.34 5.93 7.4 -0.08 4.02 4.87 6.42
"43" 4.74 5.63 8.72 8.02 6.66 4.81 4.08 7.2 2.4 4.11 6.66 5.89 4.71 9.35 9.49 3.47 3.87 3.4 6.26 5.26 -0.64 2.35 5.67 6.36 5.98 2.68 3.83 3.78 4.19 5.24 5.27 6.61 4.08 2.88 3.13 6.37 5.92 4.21 6.04 4.67 3.71 2.28 3.36 4.57 8.18 8.63 5.44 5.23
"44" 5.39 4.19 1.54 5.92 4.06 4.81 5.13 7.53 6.42 3.33 7.26 9.07 4.23 6.36 5.63 2.48 7.03 9.81 6.68 4.1 3.11 1.43 8.7 4.89 -0.59 5.79 5.85 2.94 7.99 7.86 7.41 3.31 3.96 4.69 5.08 4.02 5.93 6.97 5.03 5.85 3.71 9.22 4.68 5.45 4.96 4.99 5.18 6.8
"45" 2.49 4.1 8.42 1.91 4.39 4.8 7.85 8.25 6.12 6.69 1.15 1.01 5.01 4.66 4.05 6.6 7.03 5.92 4.89 2.52 6.62 8.42 4.69 0.56 6.46 0.33 7.23 5.12 5.58 4.34 5.72 8.05 3.26 7.19 4.75 6.19 1.99 4.44 7.71 5.05 5.06 5.39 5.19 6.9 6.16 6.4 7.85 2.94
"46" 5.88 6.19 6.23 3.28 5.22 4.18 2.05 4.54 9.31 5.01 6.47 5.71 6.47 6.28 4 5.21 4.92 4.94 4.95 6.36 3.32 3.68 2.62 3.79 5.75 6.3 5.91 7.54 1.74 4.87 6.54 6.54 3.94 4.67 1.68 3.93 3.5 6.87 1.98 9.37 5.49 8.92 2.9 5.52 8.75 6.24 5.24 5.8
"47" 6.69 7.38 1.59 1.25 6.37 5.3 3.37 3.89 6.61 2.93 4 3.8 3.47 5.25 6.13 6.04 3.81 3.08 3.69 4.4 2.4 0.98 1.95 2.7 5.17 2.05 3.83 4.78 4.39 4.63 1.73 2.28 6.03 8.55 4.06 5.56 6.57 5.5 6.35 1.94 4.77 6.53 5.72 7.25 4.18 6.86 3.62 4.36
"48" 5.8 5.93 2.08 7.08 5.28 4.35 8.4 3.85 5.97 5.74 7.29 6.84 0.01 5.46 2.21 1 4.04 5.89 3.88 3.23 4.41 3.45 5.61 7.34 4.32 5.9 6.12 3.55 6.49 5.63 4.25 0.45 7.58 5.9 8.82 6.03 3.01 2.18 4.79 4.25 5.5 6.81 2.87 9.75 3.87 5.87 4.01 3.55
"49" 3.26 7.37 7.53 5.03 5.55 3.89 4.29 5.78 6.67 4.61 7.17 2.34 3.77 4.98 3.74 1.53 5.7 2.21 3.75 2.7 4.23 5.75 6.5 1.52 4.21 4.77 5.43 3.8 4.18 1.02 6.7 6.41 5.36 -0.76 4.84 7.24 5.06 3.25 2.4 3.83 6.81 9.3 4.18 3.99 7.09 5.74 3.89 3.48
"50" 3.76 6.97 3.02 2.92 2.5 6.19 10.31 4.07 4.24 3.34 1.79 5.2 2.1 4.96 5.97 5.55 8.67 0.83 7.08 5.5 5.27 5.22 6.28 6.99 7.1 6.51 4.08 5.46 4.18 6.88 3.23 2.26 5.92 2.98 7.87 4.02 5.1 1.83 5.68 6.92 4.13 2.72 4.28 5.76 6.28 -1.73 4.71 5.93
"51" 2.99 5.5 2.19 5.28 3.15 6.3 8.43 -1.78 6.54 7.21 3.04 6.71 4.43 5.3 5.23 1.78 4.84 4.56 2.98 6.42 5.56 3.5 4.31 3.62 4.57 3.14 5.29 4.71 6.89 -1.19 4.26 5.82 5.77 2.92 2.99 4 1.67 4.58 6.96 6.88 4.82 6.53 5.69 6.78 2.8 7.28 5.96 5.59
"52" 6.43 3.52 3.89 8.39 1.6 4.48 5.98 8.33 5.72 7.5 3.54 3.24 6.36 3.21 3.38 6.26 3.6 4.35 4.47 7.7 6.14 6.68 2.94 7.58 4.04 9.68 7.73 2.46 6.12 4.38 7.46 6.64 5.02 4.18 8.78 9.82 5.36 4.42 5.29 4.57 4.53 4.71 3.08 4.66 4.69 7.3 2.4 3.73
"53" 3.05 5.73 7.54 2.54 2.75 6.03 2.09 3.99 7.23 7.76 5.58 5.62 6.25 0.7 6.13 3.16 6.28 3.77 3.21 4.62 6.02 4.06 6.99 8.26 1.38 5.2 5.14 5.58 5.14 4.04 6.56 0.95 5.42 6 6.96 6.63 3.79 5.45 2.71 2.46 4.41 5.78 2.38 2.4 2.69 4.74 7.47 1.91
"54" 6.75 6.73 5.26 2.2 6.4 6.3 7.11 2.54 6.79 6.44 6.41 5.87 4.94 6.12 3.82 2.01 5.46 3.25 5.42 3.18 2.61 2.7 6.23 1.02 6.05 4.93 5.2 6.93 3.15 5.44 5.54 4.31 4.14 5.22 2.97 3.92 6.71 3.36 5.41 2.71 3.56 2.21 5.05 1.74 6.96 7.33 3.43 1.66
"55" -0.11 6.47 4.82 5.57 6.4 5.83 4.38 3.27 4.68 2.22 8.74 4.33 3.29 7.91 4.96 10.68 4.09 4.17 4.67 3.59 4.11 6.19 3.63 3.81 7.11 3.2 0.75 3.06 6.23 5.03 2.06 3.25 3.28 5.05 5.64 7.67 1.13 7.12 6.89 5.78 5.4 5.17 3.09 4.92 1.27 3.6 6.84 3.14
"56" 5.13 8.81 1.51 5.16 4.47 3.93 5.79 5.03 4.97 0.72 3.57 3.29 4.47 8.35 7.1 3.99 1.91 4.69 5.45 1.85 6.63 3.34 -0.2 2.92 2.65 6.73 6.98 4.6 3.21 7.38 6.52 4.4 6.11 2.76 3.74 1.21 5.13 3.67 1.77 6.8 2.84 5.33 7.58 8.77 4.1 5.83 7.45 5.83
"57" 1.9 6.79 2.46 5.45 5.46 5.72 5.92 5 7.01 5.5 1.59 6.15 6.6 5.51 7.27 2.83 6.81 6.05 4.83 1.87 6.83 5.16 8.67 6.74 9.68 4.17 5.46 4.39 5.08 9.57 6.43 4.52 4.43 2.6 3.7 -0.06 5.64 5.92 5.47 2.82 7.91 8.81 0.07 4.88 6.6 7.24 3.95 4.8
"58" 4.45 7.55 5.65 5.78 4.56 8.75 6.98 2.23 5.43 5.4 4.42 5 7.09 5.87 7.76 3.82 3.99 2.03 5.65 9.25 4.04 3.71 3.94 2.23 5.2 2.57 2.97 3.69 0.59 2.17 1.95 4.2 4.68 4.89 4.47 4.28 4.46 1.32 5.98 2.42 4.16 3.74 3.43 0.86 6.75 4.98 7.86 4.37
"59" 1.07 7.76 3.34 4.71 6.99 6.65 8.28 3.98 3.81 6.81 4.86 3.29 6.84 4.83 6.06 3.82 3.4 5.27 7.6 5.85 5.68 6.5 8.56 3.64 6.93 2.79 7.83 8.45 3.75 6.33 2.9 2.82 7.01 5.35 6.83 8.03 4.12 5 -0.2 4.75 8.6 4.94 4.89 5.51 9.07 -1.39 4.71 2.49
"60" 4.51 3.9 4.18 8.2 5.22 6.91 3.51 1.66 5.81 9.39 4.02 4.87 6.85 6.05 4.09 5.66 7.37 5.89 6 4.36 3.68 1.26 6.27 7 4.53 7.85 1.93 5.02 4.84 2.49 6.43 5.36 7.21 6.25 0.91 2.93 5.27 6.75 2.56 2.94 -0.04 6.18 5.22 1.54 3.98 2.75 4.29 3.03
"61" 4.83 5.24 2.96 4.91 3.92 2.02 4.88 6.18 -0.09 6.36 6.42 6.96 4.17 5.85 5.67 2.17 6.88 5.56 4.55 8.03 10.38 6.59 9.91 6.51 6.1 3.16 3.13 3.67 3.54 4.23 5.33 3.45 3.17 3.05 5.68 4.42 4.62 4.42 2.65 8.07 5.99 0.68 3.9 8.03 4.89 4.64 3.5 7.3
"62" 2.81 1.7 5.13 5.52 2.57 6.88 4.2 3.08 8.49 8.3 9.82 2.82 6.06 2.32 7.28 1.83 1.93 4.04 2.53 4.65 6.79 8.79 4.04 4.91 7.71 5.26 7.1 4.31 0.41 4.61 4.56 3.57 6.65 4.11 6.8 6.35 1.2 4.15 6.88 1.19 6.16 3.41 6.32 5.32 3.89 6.39 8.71 4.31
"63" 6.49 6.48 7.74 6.52 4.38 1.62 4.13 3.38 6.05 6.97 4.2 2.94 4.89 8.56 3.46 3.94 6.61 5.54 3.04 5.35 2.05 3.56 3.42 2.66 7.6 7.08 7.97 5.08 3.71 5.08 5.73 4.21 4.66 3.08 2.23 2.12 7.51 8.39 5.62 4.15 5.41 3.54 8.41 5.78 4.47 4.94 3.85 4.02
"64" 8.59 5.02 5.39 3.55 6.69 2.54 4.51 2.04 6.46 2.61 4.7 7.4 6.01 4.75 4.3 5.76 5.61 5.15 2.62 3.78 5.24 3.54 2.82 5.38 3.85 5.94 5.47 8.08 2.89 3.16 7 5.29 7.03 4.3 4.83 2.92 5.85 6.51 6.93 3.11 5.49 3.43 4.85 4.96 2.19 3.79 4.68 2.23
"65" 3.84 5.7 5.65 8.52 5.1 6.64 7.04 6.26 2.68 4.88 2.08 1.63 6.66 2.74 6.47 1.54 2.96 7.82 3.48 1.69 6.68 5.42 5.62 5.89 3.15 8.05 5.15 2.27 3.96 4.48 4.5 3.03 8.36 4.49 5.03 3.04 3.54 7.38 8.56 4.59 6.61 3.95 5.03 10.06 5.74 4.37 4.86 6.17
"66" 6.23 6.42 5.32 3.46 6.87 7.7 -0.87 6.85 5.06 3.41 5.53 4.27 6.16 5.4 9.34 2.61 5.7 6.33 6.7 0.03 3.61 5.48 5.14 7.73 3.28 2.17 6.31 5.68 6.45 2.93 4.45 3.79 2.28 3.53 2.95 4.22 2.98 3.97 2.81 3.68 0.93 2.3 8.12 8.36 6.5 7.06 2.79 7.4
"67" 2.85 5.08 5.44 7.95 7.12 7.4 7.21 4.19 4.52 6.32 7.61 5.82 2.31 5.46 5.03 5.27 5.03 7.15 3.6 0.43 6.41 5.2 5.44 7.93 9.91 7.89 1.7 4.58 5.67 3.83 8.74 4.29 7.77 4.73 3.2 4.92 4.55 6.22 3.23 3.16 6.98 4.52 10.53 7.09 7.25 5.06 7.18 3.3
"68" 6.55 4.28 5.54 1.76 7.3 5.63 2.88 5.75 2.6 5.23 3.97 5.04 4.13 3.7 7.19 7.97 4.33 4.97 5.81 5.1 4.48 5.11 3.73 2.82 5.74 5.46 4.76 3.2 3.47 3.42 5.25 7.32 4.42 3.04 3.68 2.87 5.11 4.49 2.58 10.06 5.03 8.7 2.82 6.89 6.38 6.17 3.08 4.45
"69" 3.83 4.84 2.47 9.35 4.56 5.12 4.36 7.09 5.26 4.31 3.9 6.6 10.61 -0.17 6.33 3.98 1.52 4.48 2.26 4.19 4.5 7.7 7.67 3.31 3.27 5.48 3.67 2.37 4.55 4.41 2.36 8.88 5.3 2.57 3.91 4.83 4.64 5.34 7.25 4.41 6.17 7.81 6.25 4.61 4.63 4.73 7 2.38
