"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"15" 3.87 3.99 7 4.68 1.04 3.99 1.9 3.14 7.13 3.08 6.14 4.75 5.01 4.55 4.62 6.5 4.41 4.91 4.48 2.99 2.8 4.82 3.35 2.45 5.24 4.69
"16" 2.79 8.46 6.04 8.5 3.11 6.16 2.48 7.97 2.66 5.37 2.53 8.55 1.55 5.03 7.98 4.65 3.5 5.67 3.3 6.52 2.83 3.12 7.13 7.15 4.28 8.51
"17" 6.23 7.32 6.5 -0.94 3.15 3.5 6.66 5.36 5.38 5 5.58 4.27 5.54 0.75 5.29 3.46 4.18 3.65 5.74 7.99 6.72 3.71 10.29 1.59 6.76 2.65
"18" 2.81 7.28 5.36 7.94 5.22 4.28 6.36 2.43 6.27 3.34 0.83 5.26 5.28 -0.04 6.54 6.86 6.92 6.39 7.84 4.82 4.82 5.39 2.87 3.57 6.19 3.54
"19" 5.58 1.51 4.61 2.48 2.85 4.72 4.79 2.53 3.29 5.99 0.52 4.21 5.16 5.73 7.83 4.64 4.26 5.15 3.85 0.73 0.23 7.45 5.85 6.49 6.83 5.79
"20" 2.07 3.29 3.1 3.81 4.12 8.18 5.69 2.88 7.55 5.28 7.77 0.74 2.41 7.76 3.41 5.33 5.23 5.75 2.86 3.45 3.54 3.45 3.96 7.92 5.31 4.13
"21" 0.91 3.89 4.46 3.76 7.52 1.76 3.33 2.4 2.14 6.4 4.41 4.92 4.8 3.95 3.15 7.11 5.27 6.28 6.09 5.66 2.15 5.6 3.46 4.65 5.01 4.51
"22" 4.39 5.27 4.96 5.56 5.7 5.59 2.34 5.66 3.06 6.25 2.93 7.15 8.63 6.14 3.06 5.02 7.49 4.47 -1.27 2.08 4.67 5.67 6.55 7.32 4.46 6.08
"23" 3.24 3.14 7.45 5.56 4.1 6.11 7.28 6.18 4.22 3.5 2.54 3.04 8.36 8.99 6.39 7.94 2.45 5.31 7.96 2.18 5.38 5.11 6.78 6.72 2.65 3.59
"24" 6.59 5.12 4.88 8.77 7.94 5.21 6.17 4.67 7.78 3.36 4.96 7.51 5.12 2.99 2.82 1.02 6.42 3.32 5.28 3.58 2.43 2.7 2.54 5.9 7.4 2.24
"25" 6.64 5.16 4.12 5.82 9.71 5 5.41 2.44 4.72 4.64 6.1 6.69 4.52 5.19 4.9 7.04 3.26 3.3 6.34 5.65 4.9 3.81 2.51 5.27 7.21 6.08
"26" 5.54 8.59 5.25 3.24 3.96 1.78 7.44 7.52 0.4 2.61 7.14 1.87 6.02 4.35 6.39 4.41 2.48 5.05 1.97 5.72 9.02 3.86 5.28 3.06 6.53 2.77
"27" 2.34 6.69 5.53 2.68 6.47 7.59 5.97 6.16 5.19 7.24 7.4 7.11 4.33 2.41 3.08 8.54 5.15 8.07 4.78 2.94 3.09 2.64 2.58 4.06 3.47 3.78
"28" 6.32 0.57 1.79 5.43 4.15 0.72 3.75 3.3 9.12 6.29 4.45 7.45 3.79 6.74 0.88 6.67 6.94 3.76 4.13 3.94 5.05 4.44 3.73 5.37 4.95 5.38
"29" 6.33 6.72 8.55 5.95 6.48 0.06 6.17 3.27 10.12 5 5.93 6.31 6.67 8.84 3.51 6.66 7.48 1.99 2.76 1.11 4.25 5.28 6.49 -0.32 2.84 6.94
"30" 4.38 4.51 2.6 4.39 5.32 4.04 3.92 4.19 7.6 5.7 4.57 4.93 4.01 2.13 3.82 4.23 1.25 5.12 6.87 2.42 8.11 3.49 3.96 4.97 7.72 4.32
"31" 2.28 6.37 5.01 4.13 3.26 8.55 5.2 3.84 6.28 2.19 4.5 5.28 2.82 3.48 9.6 5.94 5.96 3.66 5.99 7.38 6.69 3.26 6.32 5.34 7.04 6.46
"32" 2.47 5.6 9.88 3.06 4.01 4.68 3.75 5.79 8.27 6.76 4.94 4.24 3.37 4.74 6.65 8.34 7.73 3.34 0.95 6.92 4.31 7.15 3.61 3.82 4.3 2.83
"33" 6.38 4.34 4.47 5.29 2.16 3.48 7.29 8.39 0.7 4.45 5.49 4.64 5.48 4.36 7.41 4.38 7.91 3.15 9.73 3.72 6.61 5.81 5.76 5.92 7.56 2.4
"34" 5.35 5.38 5.72 1.8 5.38 5.67 5.94 2.67 3.81 2.84 6.73 2.46 5.86 4.08 7.23 4.25 7.81 2.13 7.42 5.7 4.11 4.69 7.38 7.47 6.23 7.16
"35" 6.5 4.23 5.17 3.1 6.42 6.34 4.37 4.74 5.56 5.43 6.72 1.87 4.61 5.12 6.64 4.02 4.37 6.18 5.59 2.19 7.17 0.25 5.2 6.52 5.37 3.79
"36" 9.65 5.37 7.7 5.88 1.9 1.34 3.41 6.62 5.44 7.79 4.59 3.34 4.06 3.97 6.93 7.9 2.33 8.69 6.46 2.75 4.41 5.81 2.48 3.84 4.97 6.7
"37" 2.03 6.43 4.73 3.48 5.87 5.84 5.36 7.01 1.37 7.9 6.67 5.42 5.45 4 6.63 3.5 4.06 3.34 4.38 2.45 0.66 4.04 7.75 5.89 3.64 6.36
"38" 6.63 5.54 7.66 3.4 8.94 7.57 4.66 3.75 1.21 5.48 6.22 3.39 5.28 -0.28 10.71 1.18 6.49 5.21 4.86 6.81 10.12 4.54 4.02 2.54 6.9 3.63
"39" 5.2 5.14 5.63 6.94 2.04 7.39 5.32 9.38 6.4 7.31 5.9 4.57 6.9 10.14 3.2 7.33 6.28 5.11 4.52 3.08 6.26 5.21 8.45 3.08 3.28 4.75
"40" 5.71 3.53 3.37 5.19 7.15 5.34 6.44 6.81 4.7 5.61 4.65 5.85 5.04 6.9 3.71 2.89 6.05 4.99 9.56 6.53 4.58 6.31 2.33 4.11 3.22 5.26
"41" 0.75 6.47 4.76 4.44 6.38 6.11 8.29 3.05 4.13 8.76 4.66 2.55 3.97 4.09 3.3 7.99 7.2 0.69 11.19 -0.47 1.89 5.46 1.96 6.78 1.11 2.53
"42" 4.18 4.94 3.68 3.96 6.06 5.22 2.53 7.56 3.17 6.66 3.16 3.43 4.4 6.47 3.24 2.97 4.58 6.3 3.51 6.33 8.72 4.05 2.14 4.47 5.3 3.46
"43" 6 4.09 4.42 3.61 6.21 1.39 7.08 3.96 7.76 3.7 5.41 4.9 7.55 1.36 4.14 6.17 2.9 2.99 5.16 5.69 3.32 4.79 3.32 3.25 5.57 4.88
"44" 0.04 9.15 4.04 2.42 5.55 5.19 6.13 6.21 1.6 6 6.77 4.72 6.76 5.59 3.76 6.6 6.89 5.84 4.49 7.89 4.04 4.91 4.96 6.15 4.31 6.55
"45" 3.88 3.24 4.52 4.85 1.06 4.37 4.22 5.73 2.49 0.73 1.71 0.84 -0.25 7.94 3.88 1.26 10.08 6.71 5.87 5 7.32 4.63 5.32 -0.23 4.39 5.92
"46" 3.18 6.09 7.24 5.52 5.22 6.26 5.18 4.07 9.9 3.08 1.79 3.8 7.37 5.63 2.44 4.52 6.04 4.69 7.29 4.08 8.33 1.65 4.93 7.67 2.06 2.71
"47" 2.5 2.68 8.68 10.28 3.98 3.07 5.02 4.87 2.87 1.91 6.64 4.9 6.27 3.18 9.98 3.79 5.69 5.07 4.69 3.3 6.83 6.99 6.85 4.58 5.02 5.46
"48" 4.25 2.78 5.94 4.15 5.37 5.29 4.42 5.92 5 1.16 5.01 5.86 3.25 2.16 0.71 2.35 5.57 4.91 6.14 7.93 2.45 7.41 3.97 1.02 3.44 9.37
"49" 5.33 5.83 1.03 3.27 5.61 2.93 2.14 2.42 -0.56 2.39 5.33 5.29 3.06 5.88 2.27 6.38 9.09 6.36 4.44 5.93 5.62 6.36 4.63 4.32 9.21 6.26
"50" 2.66 8.87 2.55 1.2 1.9 5.4 5.95 6.51 5.13 4.46 9.34 6.86 3.07 2.33 5.06 4.95 5.1 6.62 7.66 4.26 8.31 3.23 2.19 3.59 4.25 1.81
"51" 6.54 9.63 3.39 4.63 4.3 8.97 5.83 2.27 3.19 7.59 4.08 3.05 6.36 6.08 5.22 4.71 2.54 4.75 3.79 3.92 2.26 3.82 6.68 8.27 5.32 5.76
"52" 4.25 3.71 4.88 3.71 4.11 6.69 4.14 4.64 6.55 5.82 3.64 9.48 6.3 7.61 10.65 7.21 7.67 2.66 2.04 7.59 7.97 4.68 3.51 5.81 8.08 3.34
"53" 4.07 3.46 4.74 3.67 5.98 8.87 5.57 7.76 6.01 4.18 1.93 3.98 5.67 2.61 4.36 7.28 4.27 6.87 3.59 7.05 2.32 2.05 6.27 3.59 5.94 9.05
"54" 2.66 3.61 3.44 3.63 4.05 9.26 2.76 6.48 8.53 6.36 4.2 5.12 3.89 3.05 5.35 3.34 8.58 9 8.41 5.34 5.34 0.72 4.42 5.33 5.71 5.32
"55" 4.77 4.22 8.69 6 7.12 3.33 7.15 5.21 2.33 6.71 7.28 4.71 7.04 4.77 5.01 3.74 6.97 6.46 2.76 4.65 6.96 3.21 4.74 8.89 4.79 3.94
"56" 6.9 2.82 2.49 3.23 4.45 3.11 2.2 4.8 7.26 6.42 5.03 4.1 8.29 4.81 5.7 3.89 5.33 4.32 5.68 7.36 6.72 10.04 4.03 6.43 2.99 1.51
"57" 7.27 8.37 3.48 4.97 5.06 3.44 4.68 2.88 6.51 2.19 3.65 6.56 3.67 4.84 2.31 6.85 6.72 5.37 1.05 5.28 5.56 0.06 5.17 2.32 4.79 4.3
"58" 5.99 8.32 6.14 4.53 7.63 3.58 2.1 8.53 7.84 5.01 5.14 3.02 8.2 7.37 4.74 1.53 9.42 2.63 10.6 2.56 6.76 7.76 6.47 6.02 5.68 5.72
"59" 4.86 4.14 4.31 4.69 6.47 6.06 3.96 1.73 3.12 0.87 8.98 1.62 3.25 3.85 0.76 4.78 5.27 6 5.22 2.94 4.07 5.17 3.98 3.22 7.99 3.72
"60" 6.22 5.83 3.76 5.97 5.31 4.09 6.16 8.63 5.91 5.71 6.31 6.13 4.36 7.01 5.42 3.38 5.61 5.32 6.83 3.14 6.27 5.15 7.06 5.9 1.43 1.94
"61" 8.47 4.27 2.43 2.65 4.07 5.9 2.67 6.05 5.11 7.27 2.63 5.37 4.43 6.45 6.42 6.14 6.71 3.62 8.73 3.56 5.29 5.48 3.88 4.78 8.14 4.99
"62" 2.91 4 6.65 6.11 3.56 5.3 5.63 6.27 5.75 1.68 3.1 5.02 4.45 8.98 3.64 6.92 6.14 7.57 0.07 2.58 3.13 1.9 5.99 6.5 4.9 4.54
"63" 4.31 4.96 6.18 3.43 4.16 2.79 3.61 5.69 5.92 5.85 4.97 4.17 5.68 8.22 6.15 1.74 4.33 4.54 3.67 3.52 6.28 6.47 1.16 4.99 4.99 5.65
"64" 2.52 4.61 5.92 3.65 2.02 4.27 5.66 5.33 2.66 4.67 4.27 7.41 2.13 3.73 5.08 4.46 3.64 7.3 8.63 4.15 4.84 4.9 5.04 7.56 3.31 5.27
"65" 4.69 2.8 7.34 6.26 3.85 3.04 6.55 1.98 5.22 5.03 5.72 5.93 2.24 7.23 5.44 4.83 3.41 3.08 3.92 2.36 6.86 5.49 0.35 4.87 2 3.72
"66" 2.34 3.35 4.64 4.78 1.99 7.26 3.1 6.24 6.48 3.47 3.64 1.87 4.46 3.06 6.98 6.58 4.67 4.9 6.94 5.18 4.47 2 2.6 6.79 6.57 3.35
"67" 3.42 5.38 7.89 5.99 4.86 5.19 3.4 6.5 1.96 8.21 5.31 6.12 6.18 4.52 6 5.35 3.84 3.37 6.07 2.09 5.61 7.77 3.67 7.02 7.47 5.81
"68" 5.17 3.5 3.54 7.08 7.35 6.54 5.84 5.52 7.12 3.59 2.08 1.99 4.12 6.5 7.16 6.16 5.87 2.57 3.18 4.59 2.26 5.74 4.93 8.74 6.96 7.24
"69" 3.17 5.29 2.3 2.39 3.89 5.48 3.55 1.13 3.1 6.77 3.88 4.59 7.91 3.18 3.8 2.05 8 8.01 7.6 6.12 3.12 5.88 3.66 4.49 6.74 4.1
"70" 7.14 0 6.23 5.58 5.47 2.77 6.31 0.71 4.92 4.99 4.31 6.04 2.61 2.42 3 7.16 4.06 3.17 2.45 7.34 6.58 8.49 5.89 1.44 9.31 10.47
"71" 2.81 2.68 3.71 6.42 5.48 -0.36 6.4 1.79 6.7 5.75 8.72 5.4 7.57 2.31 6.04 9.43 1.4 5.37 3.91 4.8 6.52 4.52 2.96 4.56 5.27 10.34
"72" 2.19 2.78 3.78 3.95 4.93 6.3 5.82 4.67 2.17 5.72 3.68 2.04 9.43 4.49 7.03 7.14 8.01 4 4.2 5.06 7.65 4.68 3.17 6.39 4.94 7.37
"73" 8.26 3.99 7.73 4.16 5.09 2.44 1.37 4.54 7.74 2.04 6.51 2.09 3.19 7.56 6.69 3.84 4.66 3.92 5.14 5.68 6.92 4.99 6.48 6.69 6.46 7.14
"74" 3.52 5.58 3.48 6.28 4.37 2.89 7.2 7.25 4.01 4.15 -0.18 7.36 5.18 8.11 6.02 2.63 6.66 4.55 7.94 3.77 5.5 4.31 5.21 6.97 5.28 2.59
"75" 7.12 6.39 1.76 6.24 7.01 3.62 2.37 2.08 2.37 4.8 4.39 6.7 6.38 5.91 3.79 4.23 7.31 4.85 6.63 6.86 3.35 2.72 3.59 5.85 7.79 3.91
"76" 6.63 2.76 4.68 7.09 4.04 7.28 6.67 5.26 1.16 3.71 3.73 6.01 2.57 6.24 2.15 2.61 6.49 4.23 3.73 5.73 3.15 5.38 3.39 2.55 5.12 4.25
"77" 4.3 5.81 7.14 5.22 5.34 8.2 -0.29 6.41 8.17 3.73 2.82 5.3 5.77 2.98 6.88 3.4 6.2 3.53 6.53 4.97 6.67 2.07 6.26 6.41 3.72 3.59
"78" 3.82 4.07 10.01 5.73 4.65 6.67 4.22 6.27 4.59 4.05 3.41 2.62 5.04 3.87 2.63 5.35 2.49 5.22 7.94 7.5 6.68 1.38 1.33 5.43 0.42 8.55
"79" 3.9 6.59 3.7 7.43 3.6 2.57 5.16 1.78 4.61 7.91 2.31 3.22 8.45 4.4 4.3 -0.83 1.83 5.68 3.68 2.03 6.92 4.48 3.39 5.77 4.04 4.6
"80" 6.18 3.67 0.84 9.96 3.71 4.64 4.69 3.86 0.81 6.32 0.82 7.43 7.2 1.83 5.19 4.1 2.15 8.49 5.26 1.23 2.49 3.9 2.76 7.55 2.89 5.78
"81" 4.8 3.12 3.64 6.55 3.77 4.06 9.32 4.45 4.52 5.99 3.92 6.29 5.45 8.75 7.32 2.79 4.75 4.75 3.34 3.45 5.96 8.97 3.54 5.73 6.45 4.49
"82" 8.62 4.99 4.15 5.88 3.92 6.63 1.83 2.01 5.93 4.45 4.08 3.34 5.52 6.35 3.91 7.57 3.9 5.79 6.32 5.91 3.37 7.87 3.39 2.08 6.91 4.59
"83" 6.86 4.43 3.3 5.05 6.42 6.01 4.65 4.58 8.26 6.4 3.11 6.25 5.94 5.35 6.63 5.3 6.81 3.44 5.59 1.32 6.51 4.42 2.11 4.52 4.23 3.67
"84" 5.16 5.74 8.42 2.78 1 2.55 2.73 6.75 2.16 4.5 6.96 4.11 3.88 6.03 4.67 5.69 5.53 5.35 4.9 5.39 3.92 3.81 4.85 3.51 8.1 6.89
"85" 4.55 6.69 5.68 1.85 4.17 5.45 2.23 7.73 6.73 4.96 6.8 4.97 5.83 2.12 4.46 6.58 2.67 5.04 1.86 2.22 4.15 7.39 1.78 4.24 0.52 9.66
"86" 1.01 4.54 8.95 5.47 3.34 4.79 3.76 6.69 5.47 4.63 6.64 4.38 8.94 3.78 5.79 4.6 3.8 4.73 6.12 7.2 5.25 8.07 6 4.76 -0.12 5.13
"87" 2.19 5.17 5.66 6.31 6.29 5.5 8.13 5.28 4.68 7.75 3.75 4.63 5.15 5.43 4.09 7.41 2.7 5.42 4.07 8 5.66 3.57 1.96 4.99 2.36 4.45
"88" 5.9 3.61 4.6 7.66 5.9 7.89 4.96 3.27 6.82 7.74 6.2 6.52 5.44 4.09 8.64 4.17 3.82 5.19 1.69 4.33 1.77 4.85 4.03 4.17 1.12 2.05
"89" 3.48 3.95 6.34 5.84 9.37 8.61 2.64 6.39 3.03 2.64 5.16 9.12 2.73 4.96 4.74 6.57 3.03 4.93 6.03 4.37 6.16 7.11 5.26 2.81 6.62 5.9
"90" 3.25 6.48 6.24 8.12 3.71 3.36 5.11 4.35 3.78 7.03 2.61 0.54 5.15 6.16 1.96 4.16 2.89 3.57 5.34 6.6 5.37 5.83 3.61 4.99 3.89 5.46
"91" 3.61 5.38 4.74 3.11 2.78 3.58 4.46 2.66 5.31 4.34 6.57 3.63 2.83 9.4 8.3 2.03 4.52 6.43 1.75 2.63 3.65 2.43 1.3 3.45 5.26 5.25
"92" -0.19 2.28 4.63 5.18 6.16 2.41 8.49 7.25 8.7 5.31 3.91 6.7 5.96 5.75 9.89 8.63 2.38 3.61 3.07 6.36 2.27 6.39 3.7 3.12 6.99 3.71
"93" 3.75 7.27 7.64 3.63 5.23 2.87 2.85 5.71 1.21 5.41 5.1 4.44 5.51 6.78 4.96 5.81 8.56 7.77 4.9 4.26 0.32 3.88 6.01 0.39 4.44 2.74
"94" 3.21 5.82 5.54 8.62 4.87 2.94 5.12 3.92 2.2 10.46 7.05 3.97 3.66 7.76 7.77 4.31 6.45 6.78 1.94 2.92 6.92 8.14 0.74 3.53 3.95 4.6
"95" 5.58 4.81 5.28 2.56 0.87 5.97 3.16 4.29 4.46 8.14 5.99 6.72 9.1 6.85 2.26 3.16 2.48 8 5.53 4.17 3.16 5.32 4.25 8.01 4 5.84
"96" 6.91 5.46 3.62 6.61 4.08 3.4 4.01 1.78 7.46 3.14 5.06 5.77 1.11 3.76 3.76 8.89 6.51 6.68 3.89 10.19 -0.37 3.97 5.73 3.44 4.95 5.8
"97" 7.16 2.92 5.5 6.36 5.77 2.91 4.71 5.86 5.11 1.51 3.3 4.87 3.32 3.41 6.71 4.41 4.48 4.54 5.85 6.4 -0.18 5.49 5.15 2.22 3.5 3.51
"98" 8.2 4.71 5.21 7.41 4.45 5.72 4.07 4.13 6.39 8.69 4.59 2.84 0.52 6.94 5 5.29 8.39 5.12 6.15 5.03 4.78 3.23 5.4 3.38 8.12 3.39
