"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"22" -2.2 5.41 3.78 8.23 7.71 5.48 5.26 6.1 4.47 2.41 10.25 5.46 6.79 2.35 3.84 2.51 5.81 1.03 4.09 6.68 7.46 7.41 6.22 8.54 3.94 5.31 4.6 4.79 7.26
"23" 4.77 2.27 7.85 6.05 6.8 2.68 2.54 7.79 2.27 8.92 2.31 4.15 4.77 1.39 4.88 7.23 4.12 5.39 2.38 2.86 2.74 5.41 8.24 1.14 3.26 4.66 5.6 6.2 -0.83
"24" 6.93 7.15 4.11 5.68 6.78 2.54 5.7 4.09 5.3 4.78 2.02 2.2 5.05 9.64 2.13 5.54 2.27 5.5 3.02 5.79 1.08 6.44 6.93 4.67 4.16 3.15 3.41 6.82 3.06
"25" 7.71 5.04 3.77 2.28 7.4 2.21 7.72 2.22 5.76 6.07 4.18 0.66 7.44 7.12 2.23 3.89 5.41 1.75 5.14 7.71 5.84 3.42 3.49 4.86 4.94 1.09 4.47 4.46 6.3
"26" 5.49 1.69 5.15 6.63 6.36 3.85 3.59 2.54 7.74 4.45 1.16 5.32 12.59 0.92 7.52 3.09 1.7 7.21 5.69 7.23 7.23 2.87 7.37 7.23 6.75 5.45 7.85 5.62 8.71
"27" 6.51 4.7 7.16 7.44 2.94 2.32 6.73 4.51 4.79 3.23 6.22 4.38 3.53 3.96 2.25 6.56 1.9 7.01 4.08 4.32 7.9 6.44 5.44 5.79 5.91 5.43 7.55 4.57 3.6
"28" 4.6 3.24 5.88 3.2 5.37 2.47 3.29 4.76 4.57 1.79 3.94 3.91 8.42 5.69 5.65 5 7.49 4.87 0 2.7 6.65 5.39 5.91 3.72 4.32 2.37 5.59 1.8 7.4
"29" 1.91 5.86 4.89 3.25 5.32 6.99 4.08 4.66 4.17 3.47 5.58 6.83 0.87 5.24 6.7 5.15 5.29 4.2 6.64 1.11 5.15 2.61 4.84 4.57 -0.57 3.98 3.38 3.39 5.9
"30" 4.66 4.23 10.24 6.9 1.94 3.69 0.35 7.26 4.31 9 3.13 9.86 4.96 4.33 8.44 5.09 3.09 5.25 8.81 5.59 2.3 1.22 4.83 3.89 8.88 2.54 5.23 4.17 5.31
"31" 4.5 3.78 3.05 6.47 5.73 2.99 5.44 3.68 7.58 4.44 4.35 0.2 5.5 5.81 6.65 3.63 5.88 5.68 5.74 1.94 3.18 3.15 4.18 -1.5 4.38 2.74 3.51 2.71 5.9
"32" 5.71 3.6 4.93 6.9 5.6 6.75 3.6 2.32 6.58 2.81 5.11 5.04 4.17 4.82 4.47 4.12 3.97 7.42 2.57 2.65 4.45 4.29 4 6.82 6.45 6.86 1.74 2.95 4.14
"33" 5.62 10.4 6.08 5.56 8.36 4.76 1.77 7.46 3.17 3.07 6.19 2.27 7.12 3.63 4.58 6.88 5.92 6.37 5.13 4.68 5.55 7.82 3.35 5.01 4.67 4.64 3.4 3.37 7.85
"34" 5.08 5.71 6.19 4.22 5.65 4.24 1.31 5.81 3.55 6.4 1.18 6.31 2.89 2.64 3.5 3.23 6.32 7.09 8.06 4.53 10.73 5.8 4.24 2.11 7.54 3.72 2.17 5.06 5.91
"35" 5.35 6.77 8.59 5.08 3.19 5.12 5.26 1.92 6.95 5.06 7.12 6.8 8.42 6.39 2.83 3.31 4.21 7.52 2.32 2.1 8.39 7.49 1.75 6 8.21 5.27 3.76 5.42 3.97
"36" 3.88 2.87 7.22 5.68 5.9 7.12 4.21 4.65 5.66 5.94 9.83 7.05 8.72 7.24 5.01 3.91 5.51 7.79 4.19 4.77 4.13 5.73 5.67 8.73 5.9 4.9 5.09 1.14 6.26
"37" 4.58 9.61 5.33 6.05 2.5 3.09 4.42 7.22 6.1 3.35 3.48 5.26 5.89 1.56 6 8.51 4.68 6.08 5.66 2.01 7.35 4.19 5.53 5.74 8.46 7.89 6.85 2.21 2.25
"38" 5.78 6.03 3.92 3.7 7.53 6.25 6.84 9.25 4.27 1.56 4.03 2.05 1.89 3.92 3.93 4.34 4.01 4.56 2.39 4.35 3.52 4.19 5.94 6.46 5.05 6.71 5.66 4.14 3.4
"39" 4.42 4.31 4.23 7.12 3.25 5.33 5.58 2.93 3.18 9.71 1.79 4.18 6.41 2.64 4.55 1.68 3.57 3.24 3.22 5.4 5.65 4.38 6.14 6.47 5.52 6.01 4.16 4.81 6.02
"40" 4.73 8.37 8.36 3.34 4.27 5.88 5.57 6.11 3.73 4.16 6.01 5.75 6.66 4.64 5.19 3.43 1.87 3.08 5.52 3.52 2.81 7.47 4.44 7.13 1.96 2.01 7.49 5.87 7.95
"41" 4.62 4.82 4.93 8.79 3.08 3.58 6.34 8.41 9.53 5.68 8.7 4.78 6.94 9.48 5.11 2.87 3.81 3.47 1.2 6.35 9.07 1.72 7.49 5.3 2.52 4.01 4.06 6.91 7.43
"42" 1.58 7.36 4.75 2.72 4.57 5.46 3.15 5.74 6.39 5.64 2.73 4.58 8.58 4.15 -0.19 7.07 4.78 2.69 5.79 6.33 8.53 5.58 4.13 8.07 4.99 4.24 2.72 3.24 3.52
"43" 8.52 3.3 3.81 0.77 2.23 4.71 5.76 4.26 3.39 6.06 4.25 6.31 6.81 6.25 4.89 2.22 5.13 7.32 9.07 4.33 6.58 1.57 5.4 3.68 8.21 0.5 4.51 3.62 3.32
"44" 6.56 5.45 5.73 4.72 3.01 4.33 5.69 5.13 3.3 9.7 3.36 4.45 4.47 7.16 7.79 4.38 5.08 5.79 5.34 3.96 4.95 5.44 6.5 1.73 5.44 5.29 3.28 5.69 4.44
"45" 5.2 5.6 4.19 4.83 7.83 8.18 2.93 1.31 4.2 4.87 6.83 4.18 7.41 2.31 7.08 6.83 7.52 3.87 6.65 -0.12 2.95 5.28 5.45 6.35 6.31 3.72 3.96 8.04 4.45
