"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"11" 2.73 4.89 6.09 5.9 7.26 3.52 3.13 5.34 3.53 3.29 3.09 6.04 3.12 4.41 4.77 6.1 8.37 3.1 3.67 4.41 2.33 5.25 4.68 5.3 6.75 9.28 5.04 4.75 5.28 5.98 5.84 3.91 4.95
"12" 4.75 5.62 5.41 4.11 6.69 5.86 3.11 5.23 5.86 2 4.29 7.44 7.27 3.17 1.61 3.93 4.43 3.99 7.69 3.23 8.82 7.07 9.47 4.3 6.21 1.74 3.18 1.82 1.2 7.27 2.61 0.9 2.83
"13" 6.82 4.24 2.77 7.42 2.09 4.35 7.44 3.63 5.38 3.72 3.35 3.14 4.16 4.6 3.32 7.41 5.09 3.5 3.74 6.58 3.14 5.73 3.83 4.2 5.57 7.5 2.53 1.91 7.08 5.24 4.93 3.95 0.7
"14" 2.29 1.01 7.04 7.05 5.62 6.12 2.68 2.74 4.97 8.34 3.64 -0.26 8 3.32 4.72 7.87 6.42 3.06 4.47 4.66 6.92 3.9 3.41 4.36 5.73 7.41 3.94 2.52 4.29 7.44 4.97 5.17 3.56
"15" 7.15 7.88 5.51 3.58 1.62 9.43 8.55 3.59 7.42 4.51 4.05 6.37 2.05 8.21 5.56 6.75 6.31 6.96 5.06 4.38 8.44 4.87 5.26 5.42 3.41 4.61 5.45 7.73 2.59 3.31 5.2 3.91 6.97
"16" 3.67 3.13 1.07 3.23 7.2 3.28 6.35 6.71 6.1 2.46 6.11 3.39 8.47 6.83 7.85 2.94 2.57 4.57 5.52 2.99 4.62 6.2 3.25 2.49 4.25 5.03 3.84 4.45 5.37 3.52 6.18 8.86 5.74
"17" 4.2 6.44 3.73 5.52 3.77 5.19 4.44 1.1 1.27 4.8 0.28 6.1 4.66 6.67 2.29 3.51 6.11 2.5 2.42 5.35 4.07 6.94 4.71 5.42 8 4.7 0.19 5.44 6.37 4.67 3.17 5.2 5.23
"18" 6.18 8.66 6.61 4.9 2.55 3.96 4.4 4.87 5.33 12.2 3.31 2.82 9.65 4.48 6.9 6.27 8.21 4.11 3.07 5.25 4.7 5.5 7.06 2.5 5.16 6.36 5.42 1.91 4.3 6.68 3.95 6.49 3.03
"19" 4.12 3.15 7.29 4.71 5.51 4.37 8.11 4.88 2.27 4.6 6.39 4.33 3.98 7.35 6.06 5.29 5.65 4.5 6.44 3.27 6.18 6.98 8.62 4.73 3.24 5.41 5.35 5.08 6.72 3.04 5.86 8.35 0.67
"20" 6.59 6.66 5.21 4.56 3.69 8.27 6.42 5.02 5.95 1.42 6.54 4.09 3.78 7.02 6.78 5.73 3.99 4.62 6.18 6.78 3.54 2.36 4.01 7.48 8.69 3.76 3.54 2.16 3.12 6.69 5.26 4.78 5.27
"21" 5.03 2.68 5.21 7.76 3.14 4.42 4.64 3.94 2.99 5.23 5.77 5.89 7.56 6.48 5.22 6.01 9.99 5.76 3.36 4.43 4.69 7.9 3.13 4.9 2.57 1.76 6.7 6.94 4.1 6.36 5.73 6.21 4.51
"22" 1.13 4.44 3.26 0.09 6.8 3.02 2.95 8.29 3.29 3.55 4.01 4.67 6.57 6.87 3.41 1.86 9.56 10.79 3.53 5.88 2.81 2.26 4.69 6.95 5.28 5.34 3.67 3.56 5.93 3.47 3.28 4.98 5.42
"23" 6.84 1.67 6.04 2.89 5.5 4.89 8.44 9.35 8.87 6.08 7.91 8.45 2.96 6.88 1.39 0.76 6.72 6.38 6.11 3.52 7.4 6.76 2.58 6.9 3.06 3.17 8.55 2.79 8.75 5.49 6.39 4.13 9.08
"24" 5.4 4.28 8.15 4.41 3.26 5.41 5.1 4.72 5.92 5.56 5.49 4.76 3.72 2.84 7.04 1.34 3.3 7.69 5.07 4.55 5.77 4.02 6.95 7.2 4.29 7.34 5.15 6.45 4.47 5 4.94 4.84 4.76
"25" 3.49 2.73 6.95 4.19 4.71 5.44 4.25 6.12 8.48 5.57 5.04 8.75 2.05 1.84 3.7 5.79 4.69 4.1 1.86 7.82 5.7 4.06 3.1 3.1 7.54 3.03 3.06 3.7 9.33 3.69 7.48 4.98 6.25
"26" 5.83 3.27 5.59 2.54 4.69 9.47 4.09 5.38 2.68 6.59 3.45 5.99 7.84 4.47 6.03 4.51 2.85 1.12 3.44 4.59 5.36 5.23 7.78 2.85 4.94 7.27 2.23 5.79 4.73 3.21 5.23 6.61 3.79
"27" 4.48 5.24 1.27 5.99 3.28 4.53 4.61 7.24 1.73 8.58 2.17 4.7 4.99 1.65 4.72 5.97 2.69 3.19 7.48 5.97 8.42 5.98 4.57 1.82 8.76 3.88 8.82 0.53 3.6 5.29 4.38 1.62 -0.3
"28" 5.38 6.84 9.28 5.95 7.21 1.89 1.03 8.47 4.08 5.36 2.63 5.51 4.03 1.62 3.76 3.4 8.97 8.34 3.96 3.54 3.79 4.22 5.29 5.79 3.82 5.69 6.61 5.65 9.36 4.28 2.67 4.2 6.14
"29" 8.04 5.09 7.19 3.64 1.04 3.37 4.15 4.45 5.26 5.26 2.83 3.49 3.86 3.35 5.53 5.74 8.58 5.65 3.87 4.15 6.45 8.33 2.75 4.93 5.09 4.97 3.99 5.77 4.67 8.25 5.32 3.92 2.47
"30" 7.01 5.14 5.68 6.6 8.2 4.69 2.28 4.14 5.25 4.85 5.68 2.19 6.26 3.6 7.95 4.65 0.07 7.56 4.86 3.49 3.11 4.82 7.94 6.88 3.69 5.36 7.51 3.85 7.98 5.88 5.35 10.19 5.01
"31" 3.5 5.91 7.42 7.72 4.27 3.31 5.94 6.47 4.55 4.55 6.37 2.71 6.76 3.45 5.58 3.2 6.7 3.56 2.06 7.67 4.03 6.62 5.72 3.14 5.06 6.56 3.27 6.29 4.21 4.62 5.68 9.66 5.07
"32" 5.29 0.04 2.33 2.08 7.85 4.6 6.84 5.57 7.29 6.37 6.12 5.26 6.99 5.45 2.55 9.28 4.76 4.27 3.73 5.69 3.73 6.26 5.7 4.71 7.56 5.55 5.35 5.61 3.71 6.08 6.17 6.47 2.7
"33" 4.86 4.1 4.02 2.86 4.52 7.16 4.75 6.02 2.96 1.45 4.05 2.78 3.7 4.89 5.17 5.69 4.35 3.33 8.38 7.57 5.25 1.61 5.9 3.47 5.88 4.64 8.28 6 5.06 5.2 3.64 4.37 3.56
"34" 1.32 6.82 6.65 3.16 7.55 5.73 5.85 4.78 7.78 2.62 4.13 1.91 4.3 5.53 3.71 3.9 3.57 3.03 6.48 2.85 4.41 3.59 7.73 5.75 5.48 5.31 6.78 1.37 7.26 6.78 5.22 6.37 4.64
"35" 5.05 0.4 3.89 6.53 5.31 4.46 5.54 1.04 3.61 5.1 4.83 4.09 3.38 5.24 6.41 3.61 6.4 1.65 3.16 7.99 5.28 1.96 7.85 6.97 6.3 3.15 6.37 4.55 6.49 6.16 3.64 3.38 5.93
"36" 6.02 6.34 5.04 2.92 8.07 3.1 3.85 8.71 5.51 5.36 5.98 3.64 6.91 5.46 5.16 7.68 1.17 5.58 3.42 3.59 3.76 4.76 5.58 5.16 7.19 3.74 6.72 3.68 2.2 2.18 1.48 4.82 4.95
"37" 7.8 4.56 3.47 1.23 4.22 6.26 4.64 4.9 2.85 2.74 7.33 3.54 3.78 7.01 4.9 5.36 3.66 6.92 4.71 1.78 3.41 2.43 2.32 4.77 3.8 7.23 3.91 6.3 7.87 3.92 6.03 3.82 5.72
"38" 7.06 3.48 4.79 4.47 5.83 6.53 2.94 3.04 1.24 2.48 2.25 2.66 3.63 4.94 5.02 5.17 7.58 3.11 5 4.82 5.56 5.09 7.38 4.78 4.29 4.45 4.71 6.69 4.45 2.08 4.11 4.53 7.39
