"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43"
"11" 6.91 1.6 3.6 3.33 3.75 4.57 4.12 2.45 3.89 6.56 6.2 8.29 3.19 5.09 7.05 6.21 2.6 6.53 6.16 7.57 6.15 4.22 7.33 4.1 5.94 5.14 8.11 9.17 4.86 4.24 6.6 4.47 3.87 5.94 5.34 4.42 1.12 4.6 7.66 4.77 5.82 6.09 4.57
"12" 6.2 6.36 6.78 5.2 8.62 2.13 5.22 5.41 5.43 5.44 6.13 2.41 5.88 3.19 5.54 4.96 3.22 6.96 3.91 5.78 4.58 0.79 2.57 5.52 1.7 10.11 3.22 6.84 10.2 3.65 3.92 3.4 4.68 1.98 8.08 9.48 3.57 5.35 3.22 4.15 4.56 4.01 4.49
"13" 1.41 5.58 8.13 4.45 8.03 2.85 6.54 1.11 5.34 7.33 1.78 6.94 6.96 5.37 4.31 5.06 7.24 3.43 6.47 0.64 3.97 6.12 3.96 5.38 3.03 3.23 8.04 7.46 5.44 9.31 4.41 8.55 8.82 4.74 4.62 5.47 5.41 7.63 4.99 5.45 4.85 4.12 9.05
"14" 9.55 2.7 7.3 5.98 6.42 4.35 4.41 4.13 4.82 3.02 2.22 9.16 6.99 5.63 2.94 2.88 5.81 5.07 5.06 3.34 6.36 4.35 2.66 4.07 2.01 4.38 -0.6 9.72 6.79 1.76 6.23 4.6 4.3 5.57 7.53 2.86 4.34 4.83 2 6.79 5.04 3.24 6.57
"15" 6.32 4.45 5.62 5.6 4.69 3.53 6.4 4.32 8.06 5.92 2.78 7.52 5.13 2.82 8.08 4.33 3.61 6.79 4.31 1.85 6.43 5.19 5.57 7.37 -0.25 7.12 5.28 5.52 7.7 4.84 6.11 3.11 5.63 3.83 5.16 7.7 2.75 4.96 0.64 6.38 4.22 6.31 5.61
"16" 5.08 8.39 0.43 7.79 5.78 5.87 1.42 4.3 7.64 3.89 6.24 6.65 6.37 3.25 6.21 8.92 7.62 3.66 7.68 6.14 6.91 5.31 9.21 5.49 2.95 5.99 4.28 1.85 2.71 7.18 3.51 8.86 3.71 5.43 7.97 3.1 3.94 7.25 7.82 5.6 7.18 5.71 2.51
"17" -0.28 2.8 3.46 2.39 -1.54 6.48 6.23 8.35 6.41 5.44 9.88 4.05 6.91 4.7 7.47 3.54 4.12 2.71 6.81 4.45 5.44 7.44 3.53 2.41 5.65 5.06 6.54 6.19 7.68 2.63 2.87 7.87 3.51 5.31 3.9 6.04 1.91 5.96 4.07 5.19 6.2 8.11 5.51
"18" 2.46 6.02 5.89 6.1 4.99 10.19 4 8.52 5.79 5.55 1.43 6.82 -0.01 3.39 6.92 6.19 3.3 4.8 4.1 5.98 3.86 6.89 3.71 6.56 7.04 5.91 4.87 5.13 4.38 5.01 2.88 7.05 5.07 6.86 3.21 3.97 3.07 6.12 1.81 6.3 7.27 4.65 5.63
"19" 4.53 5.32 5.25 2.42 1.24 7.83 8.09 5.07 5.8 6.92 2.73 6.84 4.68 3.22 2.56 7.69 3.96 4.79 3.82 5.37 6.34 7.69 7.04 5.02 7.72 5.37 1.46 4.7 5.5 3.83 6 7.54 4.11 6.16 3.26 7.44 3.2 6.08 4.86 4.77 3.5 3.96 2.19
"20" 5.8 6.01 9.39 7.13 5.67 -0.23 8.24 3.8 3.6 5.54 7.01 4.23 0.33 3.76 6.58 8.01 4.07 5.63 5.41 6.05 5.85 6.48 0.45 6.9 8.07 3.93 5.32 4.33 6.22 3.81 7.63 5.33 4.82 2.79 7.91 3.59 5.4 4.37 3.09 8.76 8.58 8.59 4.03
"21" 4.98 3.87 3.32 5.79 4.32 6.29 5.21 7.99 2.28 6.02 6.29 1.63 7.1 2.95 4.55 5 6.83 7.96 4.4 5.29 4.8 4.93 7.47 4.5 5.4 4.81 2.11 3.76 9.86 5.58 4.12 3.48 4.08 6.18 3.29 8.19 3.9 7.35 5.26 4.95 8.06 2.97 7.51
"22" 6.07 4.15 5.09 5.32 2.6 4.61 1.91 5.37 2.4 2.98 4.57 3.53 9.22 4.37 7.31 7.05 3.84 5.51 3.9 3.54 4.54 3.84 3.6 2.81 3.44 3.4 6.02 0.85 4.67 4.74 5.73 5.53 10.33 9.05 0.21 4.11 4.72 5.18 4.75 4.42 1.93 5.76 4.4
"23" 3.43 4.28 4.14 6.05 5.81 4.28 2.39 5.51 4.24 3.37 5.86 8.23 2.6 9 5.96 5.63 6.5 4.37 4.21 6.26 6.14 5.93 2.19 3.48 3.99 5.83 4.99 6.39 9.64 5.66 3.84 2.1 7.9 3.76 6.1 4.83 7.26 5.68 7.48 4.92 0.52 5.52 2.58
"24" 7.11 8.15 3.65 7.52 4.77 4.96 5.68 5.08 8.39 2.1 3.22 4.79 4.44 2.19 6.14 7.69 4.03 -1.42 5.87 6.15 5.78 6.24 6.6 5.03 6.15 7.76 9.42 8.71 5.87 6.25 3.59 6.91 2.13 3.39 4.24 4.07 6.76 5.04 5.36 2.58 2.88 8.39 7.19
"25" 1.14 6.02 6.84 5.91 2.2 5.22 10.29 2.7 3.33 6.48 6.64 6.95 4.39 4.86 4.94 4.79 4.21 3.91 8.11 3.2 1.36 3.88 5.8 6.71 8.75 2.83 3.6 8.95 5.04 6.36 7.5 4.5 0.33 3.94 5.4 6.83 5.93 8.14 5.39 5.16 7.17 5.76 5.53
"26" 4.83 8.93 6.11 7.22 6.65 7.99 6.69 3.16 2.35 -0.01 2.56 2.97 4.41 4.01 6.89 7.04 11.73 3.62 3.27 4.19 6.43 2.65 5.64 6.35 4.11 8.7 8.49 4.44 4.66 6.12 6.32 6.19 6.4 3.7 7.98 8.03 3.56 6.36 6.14 3 2.28 8.96 5.63
"27" 7.29 6.4 3.03 7.5 5.2 5.54 4.97 8.99 3.14 4.32 4.71 6.04 8.37 2.2 5.19 4.07 4.99 7.48 4.52 4.48 8.95 0.61 8.12 4.49 7.4 5.57 5.42 3.54 7.52 6.74 6.65 4.7 7.22 9.08 1.27 8.4 4.09 5.03 8.83 1.71 5.59 2.84 5.28
"28" 4.52 7.98 1.91 2.93 1.92 6.34 1.38 6.32 2.84 4.93 8.11 5.64 7.15 3.22 5.5 4.23 10.22 9.22 4.28 7.56 5.82 6.34 7.28 3.7 7.9 6.11 3.31 3.56 5.23 2.42 5.29 4.69 3.58 6.59 3.62 6.66 7.47 5.16 8.68 9.01 4.92 4.56 3.59
"29" 4.67 7.91 5.43 5.6 5.92 5.87 6.39 4.99 7.73 7.71 3.05 4.95 4.49 3.21 2.68 3.89 6.2 8.51 7.1 2.73 6.87 6.18 4.23 2.92 4.53 4.63 6.51 5.2 4.44 4.53 4.03 7.68 2.46 1 1.07 4.08 2.97 4.65 4.65 7.1 7.69 3.74 4.59
"30" 3.4 1.75 5.86 4.93 4.75 6.98 4.02 5.29 5.9 6.21 3.79 5.6 5.83 2.05 2.7 5.57 4.98 2.69 5.91 6.15 5.03 5.85 4.44 5.86 8.36 7.52 7.85 6.5 7.04 0.85 4.02 4.47 5.28 -2.56 2.29 6.99 3.82 6.38 5.54 2.95 3.87 4.05 4.69
"31" 5.93 3.97 3.47 5.36 5.17 2.92 2.08 4.65 4.43 6.25 6.74 3.15 5.38 2.26 0.37 5.47 4.35 5.84 4.43 2.91 6.22 4.29 8.44 5.84 2.25 5.7 2.76 3.99 5.25 6.7 9.34 5.9 4.89 5.02 5.74 7.16 6.2 3.51 2.68 2.66 8.22 9.56 4.98
"32" 4.06 7 7.81 5.71 5.19 6.87 2.83 6.82 6.65 7.87 1.25 3.25 3.18 6.52 5.18 5.17 5.67 6.2 6.3 4.29 5.23 3.9 6.47 3.32 5.65 5.7 1.76 3 4.45 3.18 3.1 3.98 4.71 5.02 7.45 5.2 7.66 5.14 2.92 8.55 2.65 3.05 5.78
"33" 5.83 0.79 6.88 6.87 7.67 3.7 5.66 1.9 2.49 4.2 7.59 3.63 6.47 6.08 5.23 7.7 5.5 5.85 3.41 5.12 0.68 4.79 4.8 7.23 4.64 4.34 3.82 1.5 7.6 4.34 1.21 4.56 5.23 3.54 3.07 7.29 9.1 6.22 7.08 1.81 5.07 4.73 5.48
"34" 4.49 3.44 5.93 4.28 7.74 4.13 5.88 5.53 4.81 6.62 4.67 7.86 7.8 5.72 4.56 5.21 6.94 4.58 7.46 6.19 3.06 2.82 2.59 1.51 5.13 5.02 5.14 3.5 2.89 6.7 6.65 5.66 6.09 7.81 7.21 7.62 4.35 1.8 3.64 5.46 6.37 4.06 7.37
"35" 2.75 6.85 3.58 6.31 2.6 7.36 4.14 6.09 4.52 5.18 5.49 7.1 6.46 6.85 5.62 4.76 2.29 6.09 3.43 5.4 7.47 3.02 5.03 3.38 5.58 4.54 2 6.49 7.54 5.76 8.46 4.76 4.67 5.49 6.93 7.26 7.89 9.25 3.31 3.63 6.22 7.77 3.05
"36" 5.33 6.31 5.64 8.54 6.13 7.38 8.15 7.04 7.12 7.9 8.14 5.36 9.84 4.21 3.88 5.11 3.1 4.74 1.29 3.7 6.19 8.96 7.39 7.83 6.9 5.71 4.3 3.73 2.33 4.44 6.6 2.75 4.44 6.28 5.16 5.8 2.2 5.82 6.22 1.99 3.38 2.41 4.87
"37" 4.92 8.27 9.72 6.87 2.89 2.66 4.28 4.19 5.41 7 4.63 7.34 2.85 6.63 5.83 6.59 5.8 4.94 8.15 3.21 6.71 6.07 4.9 5.38 5.16 5.33 6.8 6.63 5.1 4.6 3.61 1.31 6.36 3 5.33 6.42 3.38 6.49 2.69 9.56 4.28 4.41 4.74
"38" 7.03 2.86 4.85 3.73 6.35 6.94 6.12 3.48 1.86 5.41 7.78 5.38 6.05 3.63 4.74 4.98 8.92 5.11 2.83 3.95 2.08 4.09 5.59 5.43 6.54 -1.34 8.09 3.18 6.13 1.99 7.7 4.92 0.69 3.63 4.63 7.24 6.04 6.82 3.12 5.13 5.71 6.1 5.74
"39" 6.2 6.28 4.72 9.57 2.76 5.46 4.16 2.51 7.04 5.11 8.05 4.53 3.31 4.22 3.74 9.83 5.17 2.59 7.25 8.09 6.1 4.13 4.01 7.2 4.86 7.91 4.22 4.74 5.24 7.46 3.91 5.25 8.15 5.44 6.13 2.71 2.03 5.96 5.18 3.8 7.38 4.39 6.95
"40" 2.06 3.71 6.85 6.7 0.48 2.24 3.42 6.47 5.16 7.06 5.1 3.25 7.01 1.54 3.62 6.74 2.91 4.11 7.32 6.13 3.24 3.16 7.11 6.01 5.91 7.92 2.89 5.97 5.13 5.42 5.72 4.42 4.44 5.23 4.46 4.19 4.84 3.83 3.31 6.2 5.78 5.07 6.54
"41" 3.69 4.17 5.1 8.54 3.84 6.09 6.97 2.01 6.7 4.76 3.9 7.74 5.84 8.36 4.8 4.82 4.57 7.06 6.48 4.7 3.16 4.35 6.38 3.36 5.46 3.2 4.72 7.65 3.6 1.76 4.95 6.59 4.85 7.42 2.61 8.35 5.79 6.72 5.38 7.94 4.44 4.37 6.16
"42" 5.32 6.06 6.5 6.98 6.26 7.59 6.46 7.49 6.84 6.63 7.32 5.56 2.36 7.92 4.34 5.9 3.82 4.66 3.66 4.92 4.4 3.93 4.15 5.86 5.85 4.58 5.72 5.59 5.42 6.92 2.65 4.05 5.29 2.91 3.12 2.68 6.02 0.69 3.32 7.79 4.74 3.3 0.51
"43" 3.23 3.25 4.47 4.31 3.52 5.79 6.63 4.71 7.33 5.78 3.91 5.42 6.66 10.48 1.72 6.26 3.09 3.42 3.93 7.4 6.82 3.87 4.38 4.13 7.63 6.8 5.1 7.14 6.75 4.38 0.96 3.91 4.52 4.34 6.66 6.95 4.53 1.89 4.44 7.61 6.26 6.28 4.02
"44" 4.1 4.49 6.91 5.11 4.65 6.24 3.48 5.75 0.26 3.78 1.3 6.99 5.11 4.03 2.08 2.44 2.53 3.15 6.42 7.02 4.58 5.45 8.58 6.87 3.02 5.18 5.88 3.89 7.18 4.32 4.98 4.86 1.44 5.49 4.62 0.24 5.01 6.38 10.54 5.32 7.78 4.26 4.5
"45" 2.61 8.43 6.71 4.19 4.71 6.36 1.26 5.14 5.3 4.63 3.97 6.93 7.86 4.87 7.63 6.49 11.26 7.51 4.75 8 4.77 4.31 3.82 3.29 6.64 4.97 5.25 4.78 5.57 2.04 7.35 7.58 6.53 6.86 7.42 8.99 9.17 3.74 5.95 4.94 1.44 6.17 0.87
"46" 6.45 6.67 1.94 4.44 3.35 0.44 6.89 6.54 6.7 3.33 4.71 5.27 5.98 3.07 2 6.87 6.97 6.77 5.01 5.91 3.52 3.67 2.72 4.15 1.8 6.07 5.19 4.67 9.14 1.35 4.75 7.19 5.07 3.1 4.81 6.15 2.37 7.43 4.83 3.79 8.07 7.96 5.02
"47" 6.95 0.47 2.39 5.27 6.82 2.8 5.35 1.1 3.81 0.9 3.67 8.46 6.11 7.06 7.7 6.04 3.36 2.99 3.11 5.76 5.92 4.75 5.4 1.69 4.31 6.7 4.64 2.57 7.26 8.6 1.71 6.17 5.58 2.56 2.81 1.89 4.01 0.68 5.4 6.98 7.12 4.83 5.63
"48" 7.84 4.24 3.43 5.36 5.59 5.98 7.96 4.1 3.79 3.32 2.99 6.96 3.61 5.94 2.23 5.38 6.51 3.6 7.06 3.09 4.8 9.45 5.62 5.65 3.6 5.5 5.95 1 5.15 7.47 3.31 9.1 2.69 7.75 6.51 5.08 5.13 1.62 6.73 5.56 5.25 6.64 3.55
"49" 7.4 3.62 8.21 4.79 5.28 2.75 6.93 6.27 3.15 2.54 6.54 7.31 7.33 5.2 6.77 8.04 5.16 8.6 6.34 4.45 5.05 3.83 5.57 6.05 2.23 3.55 3.39 5.11 5.25 2.82 3.02 3.69 4.01 7.6 3.62 5.61 2.88 4.39 5.29 2.24 4.92 2.99 4.32
"50" 4.49 5.88 7.83 5.46 7.48 4.75 5.38 6.2 4.57 3.91 6.43 8.96 5.15 2.79 6.9 3.94 9.05 6.45 4.26 1.72 5.68 5.27 6.37 4.17 5.65 5.07 8.22 6.43 6.78 1.26 5.89 6.93 6.74 8.57 2.79 3.08 2.61 3.12 4.59 9.74 6.35 2.84 3.78
"51" 2.53 5.59 11.6 4.64 3.54 8.51 2.47 3 4.82 5.67 5.28 3.71 7.34 4.37 5.85 5.23 3.57 3.13 4.82 4.2 4 5.1 5.42 4.74 3.05 3.51 2.69 7.04 0.84 6.01 5.02 8.86 5 0.87 6.09 4.96 3.32 6.25 7.46 4.64 4.93 4.49 4.85
"52" 5.9 3.94 2.1 2.21 3.97 8.21 2.46 6.26 6.12 3.04 9.89 4.27 7.54 0.53 3.36 5.09 3.7 6.35 3.93 3.7 8.8 3.7 5.58 1.73 6.2 4.34 4.13 3.38 8.39 3.91 8.46 3.87 6.61 2.68 3.99 4.46 6.37 1.8 5.62 2.18 5.89 3.51 5.67
"53" 6.25 4.23 5.23 4.78 6.32 4.01 4.07 1.87 7.31 3.58 4.91 6.82 6.79 2.88 2.61 3.6 3.53 1.71 4.16 5.09 5.84 3.13 6.23 2.57 5.31 5.9 5.31 7.78 4.48 1.5 5.12 3.59 2.79 4.94 3.59 6.41 1.47 1.7 5.5 0.22 2.81 5.33 3.66
"54" 7.5 3.41 4.95 4.49 8.75 3.78 6.09 5.15 4.4 9.22 4.59 5.17 1.18 4.49 4.99 3.96 3.1 4.81 2.72 3.65 4.58 1.38 2.72 4.2 1.78 6.03 6.63 7.3 7.65 6.76 2.93 2.73 7.53 5.38 3.84 2.15 0.64 6.45 6.09 4.9 5.1 3.96 4.03
"55" 6.06 3.72 5.32 5.57 5.9 5.75 6.1 4.09 3.79 2.8 5 6.67 2.94 5.16 5 3.75 6.59 4.75 6.7 3.83 3.01 7.1 4.74 5.17 1.28 5.15 6.55 4.01 4.77 5.48 4.95 6.99 0.11 1.18 5.74 6.44 2.49 9.08 3.62 3.37 5.93 8.01 2.36
"56" 4.39 3.49 5.65 5.03 6.25 6.27 5.1 2.06 4.31 6.79 1.93 3.03 4.5 5.04 5.26 3.62 5.32 6.31 3.68 2.97 4.42 6.12 6.16 5.28 2.62 3.92 6.22 2.45 5.9 5.14 3.86 1.5 4.09 5.67 5.02 9.4 8.19 3.82 4.3 7.21 4.83 3.13 6.17
"57" 7.06 1.83 4.55 4.47 4.45 7.71 2.88 6.08 6.54 2.74 3.23 3.22 3.72 7.99 6.9 5.61 7.03 6.29 1.62 6.92 7.1 4.79 2.38 4.75 2.84 4.96 5.79 5.65 7.7 1.76 5.05 4.84 4.56 5.13 5.31 2.92 1.95 4.62 8.51 5.36 5.46 4.75 2.47
"58" 3.51 5.38 0.23 6.63 5.66 6.93 6.25 7.76 3.97 5.03 4.62 3.17 2.86 7.36 1.63 5.59 4.15 5.23 -0.57 6.64 3.74 5.49 2.98 7.31 8.57 5.82 2.05 3.77 5.15 4.34 5.72 2.56 5.3 7.18 4.55 4.85 4.99 3.54 4.09 5.79 3.39 5.14 4.13
"59" 5.44 7.12 2.48 7.33 8.07 5.05 8.88 3.55 7.96 2.71 3.91 8.39 5.49 7.42 8.99 2.63 3.33 5.56 6.75 5.16 6.12 3.45 5.36 3.17 3.18 7.15 6.94 6.25 6.15 4.93 0.86 6.47 4.5 4.15 5.69 5.93 6.17 3.28 9.34 8.84 9.05 7.68 -0.87
"60" 5.54 4.3 6.36 6.81 4.92 4.32 -0.38 3.06 6.25 5.92 1.71 5.99 5.28 2.29 3.25 4.51 3.78 5.35 2.77 0.82 2.35 2.15 5.55 5.64 3.88 6.2 2.91 4.7 6.86 4.5 3.56 6.38 1.52 5.48 6.14 1.17 1.25 2.65 8.2 4.46 8.26 9.86 5.9
"61" 7.04 4.01 5.75 4.42 9.32 4.31 5.62 4.49 6.74 4.99 2.17 3.26 4.99 7.4 4.02 4.55 5.77 7.47 5.22 9.1 4.03 3.87 3.78 5.01 2.49 2.91 4.23 5.09 3.68 2.25 4.05 5.27 6.32 2.79 5.86 5.19 7.43 5.23 0.31 8.11 6.11 8.21 2.77
"62" 6.51 3.05 4.68 5.93 4.82 3.75 6.62 4.35 8.65 2.22 5.44 6.1 4 6.78 4.72 4.59 6.11 2.16 7.3 7.38 6.1 6.74 5.47 2.8 2.36 6.92 4.64 3.84 4.36 0.28 4.82 3.08 1.77 1.45 5.67 3.06 4.87 3.13 6.95 5.22 0.87 5.56 6.41
"63" 4.48 4.08 8.81 5.57 3.12 6.9 6.24 6.6 5.96 6.69 9.16 2.41 9.19 5.1 10.86 7.91 4.15 3.81 3.44 1.96 4.14 4.72 8.86 4.93 5.67 7.02 -0.72 4.77 6.07 4.59 3.77 6.93 6.22 6.62 2.83 5.76 2.14 6.53 7.99 5.02 1.5 8.08 4.75
"64" 4.94 6.82 4.87 8.14 5.26 7.87 7.24 3.69 7.27 6.92 6.34 4.43 7.81 4.93 6.05 2.84 3.77 2.5 1.61 1.91 3.4 6.5 4.64 4.64 2.9 2.13 4.38 5.16 2.94 4.19 8.24 3.51 1.96 4.23 2.38 5.91 7.62 1.18 7.35 3.59 6.59 5.94 8.19
"65" 2.3 6.11 3.02 9.3 3.2 2.1 1.9 2.55 3.97 3.68 3.87 4.19 4.61 6.74 5.54 7.19 7.03 7.76 4.48 4.51 6.06 5.65 2.34 5.15 3.97 5.88 3.57 7.69 6.18 7.26 2.52 6.01 3.58 6.26 8.59 4.88 4.09 2.13 5.11 5.83 1.35 7.37 3.69
"66" 3.22 6.93 4.79 3.95 5.42 3.71 6.55 4.81 4.42 4.33 5.04 3.61 4.37 6.42 8.7 4.22 6.19 7.43 8.03 5.09 3.47 2.72 4.23 5.36 4.89 3.19 6.97 4.25 6.15 -0.41 7.49 7.02 5.94 4.82 6.06 5.79 2.9 4.43 3.91 4.69 4.85 3.36 4.1
"67" 6.21 6.81 4.47 4.48 7.66 4.07 6.48 4.68 6.12 7.09 2.78 5.85 6.81 7.17 5.28 3.69 7.17 5.21 5.39 1.26 3.51 5.19 3.37 8.52 3.62 1.02 4.85 6.26 3.94 5.25 4.22 2.62 6.39 3.48 5.8 4.74 6.26 6.69 6.39 4.34 8.51 7.99 3.7
"68" 2.43 3.18 3.88 7.35 3.41 4.72 7.22 1.64 4.28 8.32 4.52 7.97 3.24 5.99 3.13 5.59 3.67 4.57 5.15 4.93 9.06 6.24 7.19 2.82 3.49 5.85 5.26 4.78 3.7 6.46 0.98 1.84 2.92 6.17 2.56 5 5.98 4.63 2.64 -0.35 5.72 3.33 7.14
"69" 4.25 5.3 4.98 4.66 8.13 3.07 5.8 3.57 4.76 3.28 6.06 5.48 2.45 4.74 7.89 3.82 4.06 3.47 3.84 4.58 5.51 2.35 2.91 2.87 4.55 5.3 5.57 3.5 5.76 4.22 6.54 3.32 2.96 1.58 3.52 1.78 3.54 7.34 3.45 5.53 4.29 4.01 3.83
"70" 3.9 7.32 5.17 5.42 4.29 4.22 3.83 3.96 6.34 8.43 5.38 5.32 4.85 2.35 6.77 5.52 5.32 7.55 6.2 -1.1 4.6 4.97 6.88 10.03 4.38 4.29 4.28 5.77 6.96 6.02 7.29 4.85 7.74 5.33 5.39 2 5.61 3.81 5.02 6.08 3.24 6.31 7.18
"71" 4.16 3.45 3.93 6.69 9.12 3.65 3.88 6.64 -0.4 6.58 4.7 5.25 8.12 7.37 5.93 5.12 5.27 5.97 4.1 1.82 4.93 3.81 7.82 3.86 7.37 6.07 5.13 12.42 6.23 5.69 1.78 6.29 6.08 6.34 7.95 1.9 5.11 2.43 5 6.62 3.76 6.58 2.84
"72" 8.18 4.52 7.67 2.85 4.76 5.56 6.56 4.03 6.42 2.42 4.07 5.2 5.19 6.24 3.44 3.66 5.17 2.82 6.32 3.81 4.83 -0.21 1.27 6.02 0.84 5.54 6.35 5.39 3.56 2.31 5.51 6.66 5.53 3.09 2.59 3.61 3.25 5.48 6.66 3.81 6.75 8.65 7.19
"73" 3.32 3.4 8.07 7.24 5.34 3.77 2.68 0.7 8.45 2.24 8 6.31 5.32 4.56 5.44 5.8 4.92 3.53 3.32 5.14 6.35 6.52 6.18 3.33 7.29 3.7 3.75 3.37 0.88 4.67 4.3 2.89 7.21 5.18 7.46 3.55 6.16 2.26 3.02 4.34 3.78 4.26 4.96
"74" 3.21 4.97 4.09 9.53 2.95 5.54 5.13 3.72 2.11 4.08 6.51 4.34 3.9 4.65 7.87 7.26 7.26 9.46 4.01 5.79 3.34 4.8 3.16 9.39 4.96 4.69 5.48 5.55 7.34 3.33 4.27 3.17 7.37 2.97 5.11 5.61 5.3 4.56 5.41 5.22 -0.38 7.4 6.85
"75" 6.81 2.16 5.52 9.03 5.29 4.12 5.78 7.06 4.63 6.2 5.31 4.3 3.01 5.41 7.74 5.86 5.43 6.69 7.16 3.17 4.67 1.74 6.88 1.23 4.39 1.49 7.11 5.23 8.89 5.21 9.19 4.77 7.45 6.27 8.61 4.21 5.57 4.04 4.84 7.72 2.15 5.73 5
"76" 8.8 8 4.7 4.89 7.17 9.86 6.33 3.49 5.21 4.46 5.48 3.19 6.19 3.58 4.6 5.55 5.91 4.55 3.03 3.81 3.65 4.4 2.23 4.79 2.81 0.48 8.11 3.77 5.42 5.55 4.69 1.99 4.49 0.98 6.14 5.83 5.49 8.24 5.47 4.99 2.82 6.39 4.75
"77" 6.86 0.68 4.46 9.49 9.51 2.2 4.03 5.92 2.29 4.78 4.97 8.05 4.33 4.85 4.24 3.29 5.8 2.5 6.09 7.06 1.63 7.65 1.26 3.97 5.46 7.21 8.59 4.56 5.35 4.91 6.96 6.48 4.49 3.33 5.32 0.21 0.38 2.08 5.62 3.98 3.86 6.51 3.71
