"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"11" 6.66 1.01 6.13 6.56 1.24 7.48 6.59 4.13 5.88 3.21 4.86 5.64 5.43 4.08 4.33 1.56 2.12 2.48 4.84 6.9 3.91 3.39 3.66 2.85 6 7.83 7.28 4.28 7.22 4.83 6.93 5.02 5.05 7.08 7.08 3.23 6.76 4.6 5.82 5.28 5.31 3.53 5.82 4.15 3.85 2.76 1.9 1.91 2.93 8.31 6.47 6.63 5.78 7.17 5.62 3.78 7.02 4.94 9.2 5.91 6.43 7.64 4.95
"12" 5.65 7.33 3.62 5.35 5.57 5.47 2.09 2.03 0.72 4.64 8.55 0.61 7.48 3.98 4.56 0.86 3.19 5.82 3.9 7.33 9.33 7.07 4.65 6.89 3.64 8.37 0.6 4.5 5.5 1.22 1.47 8.49 5.4 3.87 7.43 5.87 7.31 3.85 7.94 6.13 6.16 2.19 4.21 1.88 5.48 6.03 3.44 6.31 5.23 3.5 1.68 5.64 5.83 6.38 6.02 1.28 6.45 4.45 5.67 5.37 3.62 6.3 4.44
"13" 3.23 3.99 4.44 5.08 6.16 6.4 3.54 4.17 6.63 6.58 5.99 6.77 4.88 3.62 2.59 7.36 4.88 3.96 5.08 6.09 6.92 2.55 8.27 2.89 4.72 5.5 4.9 3.35 3.31 6.23 5.36 1.94 0.64 8.67 6.38 9.75 7.83 4.43 5.87 4.33 4.85 7.63 5.16 6.85 2.04 4.85 4.4 5.89 1.97 6.25 6.1 6.44 6.7 2.09 7.98 4.45 5.01 4.8 2.03 6.58 3.66 7.77 5.29
"14" 5.93 6.12 5.17 5.75 2.78 6.39 7.38 5.94 5.73 4.8 5.04 2.6 6.37 4.32 6.83 6.4 5.05 5.94 3.98 5.55 5.63 2.37 7.18 2.48 1.67 5.83 4.05 1.36 6.68 9.83 4.81 5.3 4.68 2.77 4.45 10.73 5.02 6.57 0.96 3.66 9.06 1.69 6.16 7.27 4.59 2.54 5.36 5.4 3.64 3.57 1.02 9.21 9.92 3.47 6.88 4.51 4.16 2.32 8.74 0.88 6.41 4.37 4.38
"15" 7.04 0.52 4.26 2.41 6.04 9.12 2.57 5.75 6.76 4.49 2.15 3.33 5.36 3.8 4.07 5.44 4.71 4.68 8 3.21 7.91 2.41 5.04 6.54 5.19 4.32 4.88 7.11 3.63 5.68 8.12 5.06 3.2 5.33 1.7 5.42 5.52 4.61 8.64 3.3 2.55 3.44 9.28 2.87 6.16 3.37 3.9 8.35 3.19 1.71 6.62 7.42 1.44 4.23 3.92 4.18 4.09 4.31 3.83 4.67 4.38 4.5 3.16
"16" 4.8 4.11 5.61 10.31 5.15 7.81 7.31 5.17 1.95 5.67 4.14 4.26 2.08 6.39 7.01 5.76 3.88 7.04 3.03 6.38 6.54 9.6 6.17 5.58 5.58 4.42 3.02 5.1 6.41 7.08 2.01 6.71 5.65 6.61 7.71 3.05 2.93 5.2 3.72 6.18 6.55 5.55 2.69 6.33 2.02 4.49 3 4.08 3.18 6.62 6.29 5.26 5.52 6.33 5.52 6.35 6.82 5.45 7.61 3.77 4.96 5.27 7.31
"17" 4.99 1.34 6.43 2.49 3.56 6.33 3.16 2.05 6.38 3.9 5.8 6.19 2.66 3.78 5.94 3.61 4.91 6.33 4.41 7.93 4.43 2.31 5.51 4.14 5.7 4.3 4.92 5.19 1.39 7.2 3.34 4.49 1.71 5.46 3.08 2.6 7.43 6.6 3.58 4.65 5.93 8.19 6.57 2.85 8.02 6.78 5.96 5.35 4.09 4.45 2.35 4.21 6.68 5.76 7.63 2.63 7.36 5.54 7.52 5.6 7.11 5.97 6.65
"18" 3.15 5.96 6.94 6.4 6.32 6.28 4.97 6.53 6.14 3.97 4.55 5.24 5.63 5.33 5.1 4.04 3.07 1.67 4.14 7.08 5.53 6 -0.02 2.78 5.77 4.43 2.95 8.27 2.71 4.64 4.53 3.14 7.31 4.92 2.21 4.15 5.93 5.75 4.05 8.01 6.48 5.29 6.28 5.8 3.84 2.7 8.45 9.54 7.07 -1.22 3.31 5.58 5.88 2.93 1.73 9.33 2.44 4.09 4.57 3.87 4.15 4.02 1.83
"19" 6.17 5.3 6.32 2.75 5.03 6.12 5.89 9.17 6.55 1.3 3.87 5 5.61 4.25 4.21 5.55 7.27 6.67 6.44 4.64 4.51 5.95 5.68 3.89 6.2 9.02 4.25 4.4 5.93 4.4 4.55 2.12 4.49 2.27 2.51 3.94 9.25 4.85 1.73 3.85 4.6 2.74 5.97 4.92 3.32 0.97 8.47 4.27 5.49 3.5 1.08 5.73 4.98 2.79 0.31 5.97 6.36 7.78 4.8 6.94 10.84 2.86 3.22
"20" 5.29 4.86 7.66 5.43 5.22 4.79 6.1 4.44 2.81 4.47 6.07 0.34 5.61 5.83 4.3 4.34 6.89 7.16 3.8 4.06 1.51 7.22 3.32 0.89 2.16 6.31 8.04 5.25 7.82 5.55 3.02 0.12 5.49 6.07 3.99 3.54 5.62 4.73 6.39 5.79 6.75 7.55 4.79 6.2 2.16 5.24 5.7 7.19 4.18 4.9 7.71 6.11 4.31 4.69 3.51 4.86 4.77 5.19 5.51 5.18 4.65 4.56 4.67
"21" 5.92 4.79 4.68 3.31 3.95 4.71 0.2 10.23 4.42 6.99 7.18 0.69 4.03 1.68 4.25 8.49 0.99 7.77 3.56 -1.64 5.55 4.4 6.86 6.04 5.55 3.33 3.74 1.88 9.18 5.98 5.26 5.15 7.65 4.01 1.32 4.87 8.08 6.83 4.14 8.23 6.4 5.37 1.31 3.38 4.87 5.38 3.88 3.38 5.94 6.98 5.9 4.6 4.39 7.77 5.34 2.63 7.22 8.18 4.74 0.76 4.66 7.54 2.95
"22" 5.87 5.01 2.72 4.62 5.84 4.6 5.01 4.83 3.94 4.49 6.29 9.42 5.26 2.79 2.54 2.94 4.31 3.36 7.53 2.61 4.16 5.45 5.74 7.14 3.57 4.59 4.07 2.31 7.7 4.87 5.75 5.39 2.47 3.37 3.48 6.66 5.01 6.07 5.25 4.62 3.08 5.08 7.97 6.25 -0.15 2.3 7.5 3.85 3.89 4.24 6.9 6.83 3.52 6.26 7.2 7.19 -0.3 6.26 2.54 3.96 6.52 5.83 4.85
"23" 4.9 3.91 4.35 4.86 3.95 6.28 4.31 3.91 4.74 7.32 2.27 2.18 1.8 4.54 8.35 3.02 5.88 4.58 8.87 6.52 5.84 4.95 5.8 3.28 2.48 3.91 6.99 6.93 6.1 8.66 5.55 4.6 4.44 2.28 5.88 5.36 5.3 7.34 3.2 2.98 4.08 1.19 6.77 2.16 9.16 4.61 6.23 5.03 7.83 5.31 2.08 5.39 4.15 6.05 5.1 7.86 4.76 2.51 4.07 6.88 8.06 1.75 6.88
"24" 5.32 6.35 6.69 7.71 4.01 6.05 6.52 6.51 5.11 5.39 5.3 3.35 7.66 4.06 5.1 4.89 6.01 3.79 2.41 6.56 6.23 7.05 8.2 0.94 4.01 3.32 4.88 2.73 3.98 4.97 1.94 5.92 7.19 6.89 6.08 3.15 2.45 7.66 5.99 5.48 6.87 2.9 7.28 5.5 3.07 3.81 5.93 2.44 5.81 3.43 9.74 2.1 4.76 4.22 4.45 2.99 4.48 3.23 2.92 2.55 6.23 7.02 4.3
"25" 5.32 6.29 5.75 4.84 1.95 6.63 6.21 6.07 1.97 6.61 5.09 6.58 4.87 5.55 4.41 2.02 9.84 1.93 6.18 6.54 6.84 3.22 7.1 5.94 7.05 5.88 5.22 4.22 5.29 4.42 3.42 8.61 7.3 0.89 5.92 0.64 5.59 0.28 2.91 4.33 3.81 5.84 3.68 7.37 3.36 6.45 4.06 4.49 6.43 3.76 1.9 3.74 4.28 3.43 3.19 6.08 8.26 5.48 7.22 5.08 3.41 6.31 7.7
"26" 6.8 8.47 3.93 4.52 3.82 5.72 3.34 5.86 3.78 4.98 6.63 2.89 8.21 4.94 6.09 6.94 6.78 5.45 6.23 4.25 3.68 3.38 8.67 6.03 6.03 3.44 9.34 9.12 4.94 3.97 4.47 3.38 6.64 6 0.05 6.29 5.14 1.3 5.92 4.36 9.64 2.94 6.1 4.91 5.87 7.76 5.04 2.58 4.87 3.04 9.21 1.78 4.95 3.38 2.91 9.47 5.37 9.88 5.37 6.53 4.61 7.12 6.78
"27" 6.78 5.92 8.53 3.18 5.39 8.28 4.53 6.65 6.52 3.78 5.67 4.82 4.81 2.8 4.92 4.91 7.06 3.22 0.48 6.89 5.55 5.49 1.26 4.52 7.89 4.56 2.85 7.13 4.33 3.08 7.06 6 3.38 5.41 6.76 0.76 4.44 9.11 6.25 5.63 4.9 4.76 3.25 6.55 5.62 4.67 8.47 6.75 5.56 3.43 8 5.18 8.16 5.87 6.03 3.4 4.36 3.93 8.16 2.65 9.35 5.21 8.32
"28" 8.8 3.99 1.64 7.06 2.45 6.8 7.19 6.39 7.86 7.1 2.78 0.55 5.52 6.07 4.18 2.61 6.07 7.28 5.67 1.81 7.78 4.71 6.5 5.84 7.93 7.58 7.87 7.7 0.86 3.44 3.97 7.78 1.98 4.35 4.25 3.27 6.09 5.56 5.06 7.69 2.73 4.39 7.33 7.67 4.19 4.3 4.18 5.11 6.27 5.38 7.99 6.43 0.89 6.65 5.72 5.76 6.2 5.34 8.79 3.76 9.49 4.96 2.31
"29" 4.69 6.32 3.75 3.44 2.87 4.15 4.2 4.48 6.92 7.06 1.59 4.21 3.16 9.53 5.49 5.81 4.02 5.18 5.5 3.69 5.28 4.63 7.49 4.8 7.4 4.24 4.27 4.71 6.3 2.66 7.33 1.64 10.77 6.02 5.11 5.67 5.86 2.2 5.59 3.18 2.59 7.79 4.83 1.26 5.94 5.67 4.19 5.72 5.94 0.79 8.66 5.28 2.43 2.4 4.66 4.3 2.51 1.85 4 9.91 4.53 3.55 5.61
"30" 1.12 8.43 6.97 2.15 7.61 4.57 5.96 2.54 6.45 2.18 8.25 4.08 3.92 2.07 5.45 4.75 7.36 4.88 3.46 4.57 4.14 4.3 6.62 7.93 6.26 5.94 4.78 2.13 3.17 5.36 5.59 5.59 8.43 6.13 3.34 9.59 5.29 5.35 4.51 4.35 9.1 7.08 4.56 9.58 3.17 5.84 2.53 9.14 6.42 2.8 4.4 4.88 4.37 5.17 6.96 5.59 7.56 8.16 5.14 6.69 9.27 3.1 6.47
"31" 5.86 2.43 4.22 5.11 4.48 5.23 5.73 6.31 1.99 4.59 3.32 4.74 5.23 4.61 8 2.51 0.16 6.97 3.34 9.28 5.67 3.21 7.19 3.67 3.83 6.1 6.79 7.26 3.47 3.48 5.75 3.15 6.64 5.54 2.81 5.56 3.65 5 3.71 5.23 5.86 5.83 4.81 5.29 6.22 6 3.56 5.09 6.12 4.44 4.29 7.48 5.58 5.83 4.94 3.96 4.97 3.87 4.34 6.93 4.82 6.56 7.35
"32" 6.33 2.32 7.85 5.39 3.03 4.13 7.41 4.21 3.65 0.67 6.15 7.77 5.85 5.49 3.87 4.66 4.73 7.22 1.43 7.07 9.53 6.43 4.36 5.61 4.23 1.35 8.28 3.57 5.95 6.7 4.73 0.7 8.29 5.18 6.03 4.19 4.78 1.22 5.52 3.9 2.32 2.92 4.36 6.87 0.84 6.29 4.18 7.06 4.57 5 3.01 4.99 4.87 6.91 4.2 2.49 4.16 6.34 3.68 8.68 3.09 4.85 7.83
"33" 3.01 4.63 5.82 1.89 8.31 2.84 6.45 1.39 4.91 4.16 7.55 7.34 4.21 5.18 1.99 2.85 5.88 5.83 8.01 4.41 4.91 2.82 8.2 4.37 2.79 2.62 5.17 5.92 6.93 6.9 4.07 6.74 2.62 4.46 4.09 4.04 6.53 3.75 3.43 5.47 3.74 5.66 6.58 5.87 1.95 2.87 5.99 4.77 7.6 6.07 3.07 3.64 6.21 0.7 5.73 2.31 3.66 7.33 5.21 3.56 5.89 3.78 5.45
"34" 4.12 3.93 9.31 4.89 2.78 7.82 3.71 2.56 4 5.53 4.82 3.42 5.92 1.77 5.69 4.32 4.5 8.3 4.84 4.38 2.67 6.84 5.64 8.36 6.83 2.33 4.66 7.46 4.52 4.28 3.05 6.18 5.11 2.97 3.32 5.46 2.18 4.63 1.05 6.08 5.1 6.35 4.89 5.19 3.97 6.56 5.46 4.84 8.21 3.61 8.64 5.64 6.31 5.93 6.49 2.65 5.26 6.95 6.67 7.4 5.85 5.08 7.61
"35" 8.14 6.75 4.28 3.91 6.49 3.23 6.41 5.39 5.49 7.84 7.36 1.9 6.49 3.98 5.94 10.19 6.83 4.66 -0.12 6.51 3.8 5.75 3.92 5.09 -0.28 5.81 7.09 4.97 6.51 6.49 0.9 5.65 6.31 7.32 6.52 5.47 2.4 5.36 7.41 7.49 5.07 6.86 8.88 3.52 3.29 8.86 2.19 6.33 4.5 4.29 3.69 4.52 4.87 7.01 5.61 5.31 4.81 4.64 4.26 7.04 4.34 3.55 6.97
"36" -0.15 5.72 7.33 6.61 4.31 6.82 5.61 5.52 6.44 4.12 5.49 6.31 8.49 1.59 3.5 3.81 3.85 6.7 4.75 3.69 4.38 3.46 2.7 9.64 5.46 4.09 9.41 4.03 3.18 6.68 2.1 6.17 5.43 4.68 1.71 4.76 3.15 3.76 2.46 4.32 6.11 2.49 5.98 1.51 3.06 4.01 3.92 5.83 4.13 5.83 6.8 4.81 6.71 3.76 3.15 5.13 4.62 4.71 2.5 3.62 1.34 4.96 7.13
"37" 7.13 4.23 12.71 7.35 3.15 7.34 6.16 3.06 7.14 8.83 5.91 7.89 6.21 6.41 6.52 5.39 2.85 4.9 8.11 3.32 5.83 3.62 4.92 7.91 5.17 2.9 4.48 8.75 4.27 6.87 8.6 2.8 7.37 2.72 5.15 4.88 6.04 1.39 3.15 6.07 6.05 6.5 5.69 5.64 7.77 6.49 5 3.4 4.73 2.95 0.69 3.6 9.32 5.54 5.99 3.81 6.99 4.22 2.88 3.02 7.5 5.25 1.24
"38" 7.79 4.24 6.88 5.64 2.54 10.13 4.61 7.17 4.38 1.5 6.56 6.27 6.98 6.97 4.18 7.49 0.55 6.45 5.44 3.85 6.11 7.51 5.09 5.96 4.11 6.78 8.63 7.82 7.8 4.52 4.73 1.08 2.94 4.88 2.59 4.04 2.28 6.68 4.49 3.95 3.27 1.7 4.13 7.16 7.67 6.18 5.1 4.2 8.04 6.11 3.43 9.26 4.25 -0.13 5.29 4.52 4.99 7.25 7.59 3.05 5.43 5.15 4.44
"39" 2.4 -1.11 9.76 3.86 4.55 3.8 6.18 6.78 6.44 7.23 4.89 5.98 4.12 5.75 4.27 2.68 2.9 5.1 9.29 3.7 3.76 8.01 7.58 5.5 6.04 7.58 6.16 6.17 3.72 7.57 6.51 3.75 6.49 2.56 5.68 6.8 2.07 4.01 3.48 5.71 7.2 3.76 4.2 3.7 2.23 5.28 8.06 4.69 6.08 1.11 4.83 1.88 4.71 6.03 2.23 7.13 8.36 1.94 1.24 11.15 5.49 5.47 4.23
"40" 6.01 7.21 4.46 3.99 5.5 4.13 6.06 5.16 6.39 7.63 4.77 4.75 8.04 3.87 3.1 9.6 0.97 7.72 5.08 6.06 3.83 4.44 5.75 3.45 6.01 3.81 3.89 6.24 8.33 4.65 5.86 6.25 4.47 4.27 7.04 2.09 4.44 5.73 6.88 6.01 4.42 6.54 6.29 3.92 5.13 10.19 6.52 4.75 6.13 7.01 1.56 7.64 6.5 5.72 1.88 6.24 3.6 3.18 5.72 7.17 7.26 2.62 6.43
"41" 5.59 8.17 5.04 4.62 3.59 2.3 4.72 4.66 5.24 4.25 6.53 2.93 5.73 4.99 2.75 5.52 7.52 0 4.64 3.68 3.35 4.99 6.62 7.91 2.97 5.96 4.62 2.7 4.81 3.02 2.96 5.6 4.68 0 2.37 4.82 4.74 5.72 4.74 3.73 5.97 6.86 8.61 3.63 6.4 6.36 5.36 5.64 3.83 6.42 5.19 5.05 11.59 6.14 8.72 8 7.33 7.78 8.58 4.38 2.04 4.57 7.52
"42" 6.45 6.42 5.34 4.63 5.76 6.13 5.71 5.29 3.68 7.55 3.46 4.91 8.41 6 3.38 3.02 1.97 6.82 6.94 3.41 4.1 9.91 5.87 7.93 6.4 5.28 3.24 2.4 5.47 7.05 5.66 6.05 3.03 5.8 5.82 5.98 5.98 5.05 4.41 6.42 6.5 5.21 2.59 5.36 4.98 2.71 5.02 4.2 9.3 2.97 4.51 5.96 4.7 5.46 5.33 3.06 4.9 2.27 4.59 5.39 -0.35 5.96 3.06
"43" 4.86 5.08 8.18 5.43 4.22 4.45 2.3 0.84 4.85 7.19 4.24 6.05 3.62 2.1 3.19 8.76 7.88 2.62 5.1 6.04 6.3 3.11 9.57 4.13 8.06 2.56 7.35 6.67 7.31 2.9 5.15 3.47 7.49 2.39 2.53 4.31 4.81 5.93 1.25 3.68 5.68 1.96 2.53 6.33 6.61 3.59 4.68 3.82 8.46 1.33 3.77 5.55 4.86 1.56 5.6 5.6 8.18 6.88 8.62 3.63 4.92 4.76 -2.85
"44" 5.97 5.06 2.87 7.5 6.37 6.87 2.35 6.52 2.32 2.1 6.8 5.48 5.28 9.12 6.13 5.12 8.23 4.98 6.27 10.1 4.67 8.09 6.12 9.96 1.41 3.22 4.21 5.52 3.07 6.61 3.86 6.3 0.8 6.62 3.78 5.71 4.29 5.52 2.76 2.16 1.13 1.71 4.23 6.31 4.11 4.35 6.83 6.61 6.78 5.73 8.98 6.73 1.23 4.56 6.79 5.61 5.66 5.43 4.34 5.68 7.54 3.04 5.7
"45" 1.81 7.01 8.92 6.23 7.08 8.65 9.97 5.95 8.93 3.84 3.12 7.37 2.53 7.24 2.88 5.83 2.7 3.47 4.34 6.71 6.3 5.54 6.76 3.54 3.31 6 4.42 4.43 4.48 2.66 5.91 5.76 6.27 7.29 1.62 3.65 6.76 5.51 4.01 4.11 8.1 3.46 9.44 7.49 3.83 6.46 2.64 1.97 0.76 4.6 6.71 0.71 5.92 10.05 2.82 6.43 3.36 5.75 2.9 5.22 10.1 4.53 6.72
"46" 5.2 6.92 5.42 8.64 3.2 3.22 8.23 9.3 6.87 3.56 4.84 9.45 6.51 6.9 4.14 7.43 4.86 4.1 -0.71 5.72 -0.78 4.98 3.95 5.41 2.16 5.24 6.21 2.85 5.81 7.51 4.8 6.3 6.39 5.74 7.01 6.81 0.23 6.09 7.36 7.01 5.73 6.92 8.99 4.45 3.57 6.64 1.59 2.55 7.62 5.91 3.53 5.14 3.87 3.7 7.06 5.12 6.54 5.1 4.92 6.3 6.5 3.88 4.36
"47" 8.56 1.04 4.96 3.74 5.19 5.14 3.52 5.87 5.23 2.46 1.65 6.58 5.39 2.81 7.64 7.76 6.19 2.92 1.29 6.53 3.85 5.02 9.09 1.59 4.12 6.62 3.64 5.97 3.35 5.95 3.28 7.13 7.11 2.46 8.54 3.95 7.28 3.87 9.56 5.14 3.75 6.21 3 6 2.47 1.93 2.73 1.5 8 4.12 4.37 3.01 5.45 7.37 3.34 6.58 5.81 5.39 4.24 8.14 6.19 7.22 7.93
"48" 6.87 3.57 3.15 8.36 6.24 3.59 4.94 5.84 1.95 2.37 7.4 8.15 4.71 5.34 4.66 7.25 5.4 5.74 4.77 8.14 3.46 3.01 4.14 5.07 10.09 3.88 2.75 4.05 4.66 4.31 5.12 3.43 4.31 4.84 4.96 4.56 -0.09 5.51 2.91 6.04 4.91 3.05 6.78 0.91 6.41 4.18 2.31 8.03 8.6 6.86 6.01 6.81 6.14 3.81 4.48 5.33 1.79 4.6 2.78 6.79 5.2 3.4 3.4
"49" 3.94 6.46 2.33 5.84 3.62 2.52 4.8 4.43 7.25 4.71 3.72 7.05 4.92 8.1 6.58 8.72 6.11 4 5.03 2.05 6.75 3.35 5.2 6.07 8.32 4.77 2.65 6.72 5.62 5.38 6.13 3.84 5.94 5.3 4.34 5.9 4.83 9.58 2.55 7.41 3.32 3.54 8.37 2.93 5.42 4.08 7.04 8.15 4.24 6.28 2.62 6.58 4.79 4.73 7.16 5.72 7.23 3.56 5.21 6.96 6.7 3.9 6.69
"50" 6.33 6.1 8.39 3.21 5.47 4.86 4.84 5.89 5.07 2.67 5.51 4.04 5.1 4.12 5.3 2.57 5.58 3.94 1.05 2.2 4.67 2.48 1.43 2.75 5.94 2.71 10.03 3.53 3.94 2.79 0.74 3.79 2.61 7.01 4.35 3.2 7.8 4.79 8.38 5.58 3.52 3.7 6.62 5.03 4.17 4.29 4.3 7.02 3.01 5.72 5.17 4.86 6.74 5.06 4.59 4.98 5.78 5.69 1.05 5.93 5.17 6.51 6.17
"51" 4.65 3.24 0.55 0.94 2.78 2.62 4.4 6.68 4.53 7.72 6.99 5.04 5.85 6.15 4.37 5.05 2.13 2.46 3.87 3.04 5.94 1.87 6.22 4.62 5.2 4.11 5.97 2.18 3.14 6.59 3.04 4.33 4.18 8.73 6.61 4.82 5.35 2.56 5.69 5.1 5.78 5.42 4.55 6.44 7.59 6.52 4.93 2.61 5 5.15 6.35 4.53 6.05 6.7 6.35 5.83 5.7 5.75 8.19 3.96 5.93 4.82 3.1
"52" 4.69 4.02 6.49 4.92 1.32 2.92 0.65 5.02 5.43 7.89 5.91 7.35 5.69 3.35 3.73 3.42 9.15 5.07 2.67 2.41 5.23 4.12 2.79 3.67 0.89 5.75 3.97 9.3 2.33 6.84 1.67 4.23 3.24 4.78 3.42 6.36 3.9 5.3 1.32 3.19 5.29 5.55 2.91 2.91 6.9 3.84 5.92 7.49 5.01 6.39 5.09 5.49 2.93 3.39 4.08 4.05 9.28 2.47 9.46 5.1 7.03 1.46 6.07
