"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22"
"22" 6.66 2.79 5.72 4.29 2.03 5.37 1.29 4.66 9.42 7.33 9.88 4.77 1.85 3.99 1.82 6.07 5.51 1.23 2.07 3.94 8.84 2.74
"23" 6.59 2.94 4.44 6.98 5.01 10 4.56 6.12 2.74 5.74 6.64 5.44 6.53 7.43 1.99 2.94 6.05 5.92 8.16 5.42 2.57 2.66
"24" 3.25 5.92 0.51 4.51 3.28 8.43 3.23 2.48 4.88 5.48 6.97 4.57 4.27 1.91 4.45 4.82 7 6.95 2.65 2.88 3.69 3.95
"25" 5.46 5 3.54 3.29 8.41 6.9 5.78 3.11 3.91 5.7 4.9 7.26 5.46 4.07 2.56 3.74 6.76 2.06 8 5.11 6.02 3.38
"26" 3.85 3.21 6.58 6.22 7.88 3.25 5.08 6.13 5.55 2.52 4.41 6.12 5.92 1.01 7.48 3.78 6.04 3.22 5.17 4.8 8.31 5.12
"27" 9.42 4.39 1.43 7.35 4.01 2.37 5.91 6.49 6.92 6.69 6.14 3.81 5.7 7 4.12 5.1 2.85 5.13 6.62 1.53 -0.19 3.98
"28" 6.44 1.67 4.61 7.43 5.37 3.44 1.7 4.19 6.88 8.24 3.78 8.99 4.48 6.59 2.94 2.6 3.42 5.78 7.32 4.24 6.5 5.28
"29" 5.23 6.09 7.57 5.81 5.45 10.43 6.01 3.35 6.03 5.54 4.85 6.16 4.06 7.68 4.27 5.38 4.46 5.82 0.94 4.5 3.98 5.52
"30" 4.84 4.42 4.96 4.18 3.25 4.52 2.94 6.45 4.34 5.25 6.79 8.23 5.59 4.01 5.79 4.91 7.63 5 1.75 4.73 8.15 6.28
"31" 5.02 1.89 6.79 6.61 2.68 2.4 6.65 7.98 5.04 3.34 4.32 5.6 6.23 -0.18 6.15 4.73 1.11 5.47 4.09 5.07 3.93 4.48
"32" 4.85 4.6 7.87 4.33 4.94 5.89 6.19 7.77 5 4.01 0.89 4.91 4.49 4.43 6.64 5.58 4.82 5.22 7.86 3.13 7.31 3.63
"33" 6.55 5.62 5.43 2.95 4.22 2.41 6.71 5.3 5.12 8.09 9.2 2.16 6.16 7.1 5.53 6.06 5.62 5.79 3.84 6.32 2.11 5.15
"34" 2.31 5.27 6.47 9.23 1.27 4.27 5.63 3.62 4.58 3.23 3.03 6.43 2.52 2.61 1.57 5.03 2.37 4.64 4.88 7.2 7.89 1.09
"35" 1.51 6.33 2.8 6.11 5.36 4.71 7.66 7.06 1.4 8.22 3.46 2.77 9.19 6.69 4.16 6.34 6.45 2.33 6.56 3 6.9 4.09
"36" 2.54 3.09 6.22 4.6 1.79 7.62 8.49 6.45 4.64 4.82 4.31 4.13 7.17 6.42 4.73 6.45 7.66 2.11 5.63 7.01 0.88 1.34
"37" 5.1 5.94 3.07 8.57 4.91 6.91 6.16 4.57 2.88 7.58 7.62 1.77 7.29 4.67 9.6 5.11 4.9 3.66 6.14 6.09 0.74 6.41
"38" 7.22 2.26 1.9 7.69 5.58 5.06 4.96 5.51 4.62 6.75 1.73 0.71 7.69 7.05 1.52 1.99 4.82 3.12 5.67 3.2 1.66 4.63
"39" 5.26 5.19 3.88 3.95 6.04 3.51 4.3 5.55 4.47 6.32 3.28 5.78 5.23 4.62 4.94 4.2 3.95 8.04 3.06 3.19 5.1 6.41
"40" 4.29 3.21 8.01 2.86 3.87 5.53 6.87 5.44 5.07 8.66 4.59 7.57 5.49 4.66 6.25 1.18 6.07 7.05 3.28 6.93 6.51 4.26
"41" 3.13 5.03 6.09 6.34 5.13 3.2 6.68 4.67 0.59 5 8.08 4 8.74 3.99 4.97 2.21 5.12 6.42 3.14 2.57 0.37 1.49
"42" 4.62 4.62 1.37 6.24 6.4 6.51 5.54 6.08 5.7 3.49 7.52 6.95 7.17 5.75 9.9 3.2 2.53 4.67 6.12 3.3 10.05 3.65
"43" 9.94 2.26 5.36 7.69 3.97 4.4 4.13 3.26 5.45 5.56 7.33 4.02 3.62 3.8 7.27 4.04 5.93 3.91 6.46 1.74 4 5.9
"44" 4.03 3.72 4.78 7.79 3.93 6.18 2.06 6.22 5.21 4.51 6.36 5.75 3.28 2 7.62 5.93 3.19 1.53 1.08 3.88 7.46 4.34
"45" 4.14 4.99 5.77 3.78 6.24 5.86 4.16 3.94 3.86 5.77 5.15 5.39 4.26 4.67 6.63 9.64 1.96 5.77 2.49 3.46 4.66 6.33
"46" 4.54 4.95 7.75 5.45 4.66 5.62 7.01 4.14 3.74 2.62 3.86 6.48 4.56 4.71 3.49 3.75 6.16 2.64 5.15 6.64 3.14 6.88
"47" 1.48 5.44 5.99 7.66 4.65 5.27 5.1 7.42 3.98 2.16 9.15 7.43 6.75 3.86 4.49 4.92 6.49 7.12 4.68 8.33 6.11 3.72
"48" 6.69 1.97 3.84 4.56 6.12 0.44 8.26 7.5 7.38 5.05 8.95 1.92 3.44 6.6 4.18 4.85 4.28 4.45 4.22 3.38 6.07 3.57
"49" 5.63 5.94 5.1 4.97 5.83 5.95 5.21 9.02 1.98 6.41 5 4.94 6.49 8.52 3.32 4.6 6.72 5.47 7.31 4.7 2.99 6.05
"50" 5.65 0.82 4.12 6.62 2.12 5.7 2.78 8.26 0.86 5.05 5.37 1.61 4.34 4.44 4.58 1.79 5.31 2.91 4.57 5.2 3.64 5.14
"51" 0.79 4.5 3.23 5.75 3.45 5.89 2.95 5.31 5.12 2.82 2.96 5.63 6.47 8.03 8.33 8.52 6.91 5.05 8.2 2.83 5.99 7.68
"52" 3.06 6.23 5.68 7.01 4.94 5.79 5.04 6.37 4.58 5.37 6.03 6.23 6.75 5.6 8.68 4.18 3.03 5.4 1.61 6.33 3.73 8.68
"53" 1.66 9.43 4.31 2.19 5.24 5.33 1.06 5.23 3.16 4 4 8.21 6.76 7.05 6.19 5.88 6.52 5.47 8.33 2.29 4.63 4.14
"54" 3.48 3.81 5.95 0.65 7.45 2.8 1.79 6.49 5.45 7.84 4.81 4.45 5.05 7.57 2.85 4.81 3.82 3.14 5.9 3.35 6.35 6.8
"55" 8.06 5.23 5.26 3.83 5.17 7.06 4.25 5.56 3.68 3.43 4.76 5.83 7.49 4.99 4.44 6.57 4.33 3.53 6.65 8.34 6.13 5.39
"56" 4.44 5.53 2.92 4.74 2.28 3.12 4.82 7.11 7.71 5.08 4.93 3.35 6.21 6.25 1.86 4.76 4.84 4.76 5.16 5.44 4 3.51
"57" 3.04 4.13 4.09 6.74 3.82 4.17 8.41 5.11 2.22 7.34 2.4 0.84 5.31 5.12 5.52 6.53 8.42 6.64 5.16 4.12 3.61 8.52
"58" 5.92 7.48 2.05 9.02 5.82 0.94 3.19 2.09 5.52 3.88 5.74 7.81 8.44 3.83 8.75 4.4 6.44 2.69 4.61 6.21 5.68 5.67
"59" 3.64 4.11 6.16 4.53 6.74 6.55 6.09 5.4 2.06 6.78 8.04 7.86 7.83 3.85 8.14 2.69 6.77 4.05 3.22 5.34 5.73 0.89
"60" 5.39 4.76 2.82 1.13 4.1 5.71 4.65 2.81 3.41 5.55 7.63 4.86 7.78 2.18 9.8 1.59 7.46 4.07 1.16 6.78 3.54 6.18
"61" 4.47 4.38 5.91 5.03 4.87 6.26 8.53 2.45 4.43 3.64 6.1 6.24 6.64 3.48 6.36 4.72 5.54 4.26 1.38 6.3 3.03 4.5
"62" 6.32 2.68 5.44 5.72 2.43 4.29 5.25 6.34 5.81 1.64 4.02 3.13 2.3 1.78 8.09 1.3 2.49 2.69 5.01 10.07 5.55 1.85
"63" 4.81 3.73 2.33 7.2 2.78 4.2 1.51 1.76 7.14 6.51 1.82 6.7 5.45 5.7 2.49 3.83 6.6 7.3 5.55 5.43 4.67 4.45
"64" 5.32 1.42 3.92 5.49 4.52 4.61 5.61 4.75 4.66 2.68 4.1 6.84 2.04 5.21 2.37 5.42 8.11 4.7 7.25 2.28 3.16 2.92
"65" 6.24 5.31 4.32 -0.32 8.61 1.96 1.79 3.09 6.27 3.8 7.29 7.75 3.34 3.04 7.19 5.52 4.8 7.4 2.71 0.9 7.13 4.3
"66" 4.57 4.83 7.27 3.21 2.73 7.19 6.35 3.17 2.57 5 5.75 3.92 5.49 3.27 5.42 2.04 4.46 5.35 3.1 6.81 5.91 4.4
"67" 8.68 5.57 5.58 4.54 7.04 4.24 3.38 4.97 7.66 3.56 7.68 5.62 3.11 4.69 4.39 4.33 7.47 5.08 4.62 6.96 7.31 6.01
"68" 4.92 4.28 4.23 4.44 6.39 7.21 5.4 8.74 2.04 6.52 10.22 9.05 6.93 -0.65 1.94 7.94 6.47 5.83 2.21 5.97 3.83 5.19
"69" 5.45 3.22 5.74 6.49 4.01 8.67 7.11 2.95 10.36 8.58 6.02 2.36 7.04 5.45 3.55 3.28 5.21 6.16 7.87 3.84 7.02 1.51
"70" 4.75 8.44 2.92 6.09 5.03 7.98 5.6 3.76 5.08 8.16 3.86 1.83 6.64 6.66 3.18 2.85 5.19 2.56 4.8 2 8.16 5.13
"71" 5.34 3.07 5.03 3.16 6.04 4.97 4.06 4.84 2.78 2.22 7.4 -2.62 3.24 4.2 2.96 3.23 7.8 5.6 5.9 6.12 6.54 3.88
"72" 6.02 6.1 5.03 6.71 0.3 5.23 2.93 7.45 7.32 0.9 3.48 3.22 7.72 4.94 3.77 5.04 1.65 6.07 5.13 3.65 4.86 1.9
"73" 7.56 1.77 3.02 6.3 4.37 6.23 4.21 5.94 2.94 8.65 3.58 5.77 6.88 4.59 6.17 5.43 7.42 4.03 5.23 6.9 6.23 5.44
"74" 5.57 7 1.66 6.18 5.91 3.77 4.03 2.63 4.85 6.13 3.83 3.45 4.47 5.39 5.89 7.54 6.11 3.59 7.5 3.73 6.18 6.85
"75" 2.41 7 2.6 6.31 4.23 7.86 2.36 6.5 1.29 3.31 3.54 4.5 2.37 4.56 4.06 3.9 5.53 4.43 8.19 5.99 2.97 4.21
"76" 9.96 7.32 2.87 7.02 4.9 3.71 4.04 6.97 4.08 2.38 3.25 5.05 1.89 3.95 5.39 3.27 5.77 6 8.95 2.31 6.29 3.39
"77" 3.96 6.63 3.22 1.49 5.61 0.1 7.7 7.34 9.05 7.23 7.03 5.4 4.28 2.3 2.19 8.72 3.21 6.02 3.03 1.42 2.47 7.48
