"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80"
"13" 5.11 6.43 5.98 2.68 7.29 2.27 9.08 3.65 7.54 4.53 3.89 3.32 4.43 4.37 6.29 5.71 4.62 7.16 5.27 5.75 3.2 5.86 4.43 4.43 5.45 4.02 5.22 2.12 7.55 7.88 8.53 3.85 6.13 2.62 6.37 5.85 7.62 4.65 4.52 4.41 5.29 7.66 8.55 8.37 6.45 7.28 4.59 4.45 2.09 5.16 0.91 5.57 3.19 7.83 4.43 3.64 3.63 8.41 2.74 4.18 3.01 8.06 4.85 6.75 8.29 1.56 2.73 2.56 3.81 4.37 7.46 5.23 4.59 6.06 5.66 4.78 7.46 5.46 4.48 5.19
"14" 5.59 4.05 1.84 5.63 6.03 6.03 6.07 5.17 3.71 3.63 5.31 5.21 5.21 4.34 6.5 4.61 3.37 3.69 3.97 6.2 1.46 2.56 2.79 5.79 3.61 2.34 5 4.34 6.94 5.95 6.58 4.89 0.06 6.04 3.44 0.05 6.66 3.18 5.7 4.89 3.57 5.03 3.32 5.91 4.77 3.27 4.9 6.34 3.55 4.39 7.16 7.38 3.55 7.16 3.45 3.39 5.08 2.85 1.79 0.99 1.26 3.93 8 1.79 5.7 9.44 3.85 4.52 5.79 3.55 2.88 3.05 4.35 5.49 6.02 6.61 7.39 5.41 5.21 3.2
"15" 6.16 2.15 2.3 6.13 5.82 3.89 3.71 8.32 3.97 4.91 9.83 5.82 4.16 4.66 -0.12 2.26 2.67 7.2 6.33 5.19 1.52 2.91 6.28 4.74 5.13 0.37 3.37 7.55 6.39 4.64 6.52 4.38 5.36 7.75 1.91 7.32 6.88 4.8 2.98 3.47 4 6.8 5.49 7.3 6.99 6.4 4.92 2.51 5.93 5.31 6.53 3.17 5.38 4.84 4.47 3.12 2.88 4.09 4.13 3.03 3.86 3.22 4.59 5.41 4.65 5.26 6.37 3.72 4.6 4.12 5.95 3.95 5.43 7.33 8.19 4.88 4.48 4.08 5.07 3.47
"16" 8.79 4.6 6.56 4.34 3.8 5.12 1.64 2.79 2.08 4.85 2.86 9.44 5.16 5.46 2.56 4.68 2.01 5.51 5.43 7.12 7.49 8.08 6.56 4.34 3.98 3.66 5.21 6.9 5.5 3.3 6.33 5.09 6.39 2.61 4.07 6.17 4.58 6.55 3.98 7.09 9.43 5.99 3.8 7.42 5.52 5.43 5.6 5.15 5.04 5.18 5.35 6.19 5.19 5.38 4.01 6.21 5.26 8.23 4.42 4.23 9.09 7.24 3.02 4.76 8.06 -1.49 5.58 1.95 4.56 3.76 4.61 3.96 6.27 3.59 5.92 5.44 5.98 3.84 3.83 4.1
"17" 3.7 3.39 -0.17 5.11 3.82 8.1 7.62 2.29 9.67 6.18 4.17 5.63 3.7 8.16 4.52 3.05 5.08 7.22 8.07 3.55 5.46 11.22 4.71 5.21 2.31 6.85 5.49 2.04 3.46 9.24 2.77 3.09 4.04 4.34 6.76 6.19 5.97 5.38 4.23 3.76 2.68 8.06 4.86 5.28 3.85 5.18 5.66 2.53 3.23 1.67 3.88 5.15 6.38 4.56 6.32 5.83 7.12 5.71 4.09 5.74 7.33 5.36 1.22 4.63 3.67 6.26 3.36 2.61 6.14 3.27 3.52 2.39 6.32 2.64 5.74 5.55 1.79 2.55 4.42 2.97
"18" 4.6 1.57 0.49 4.01 8.01 4.12 3.61 7.14 4.78 2.42 4.82 4.77 3.59 9.55 5.44 9.02 1.35 4.14 8.11 6.99 7.33 4.99 4.37 3.57 2.28 5.19 5.39 3.15 5.66 4.62 5.37 1.01 6.29 4.16 4.76 4.42 7.09 4.57 5.46 7.05 6.68 4.83 6.96 8.3 9.14 1.91 5.54 3.41 6.65 6.49 6.39 6.51 4.75 9.21 2.87 10.27 3.43 3.66 4.96 3.44 4.47 4.83 4.02 0.56 5.45 6.53 1.82 2.43 7.75 5.13 5.84 8.28 4.56 7.73 7.19 4.93 0.51 6.91 7.44 3.7
"19" 0.92 4.7 0.45 5.92 6.41 6.25 3 5.73 3.46 6.64 5.46 5.71 5.47 5.26 5.3 4.67 5.33 4.04 5.12 4.75 8.29 5.63 5.12 1.95 5.93 6.07 4.54 5.03 8.96 5.84 5 5.96 5.89 6.53 4.8 4.12 7.16 2.7 4.14 7.48 4.39 5.45 3.7 3.59 6.68 4.07 3.56 4.76 6.26 5.26 8.59 4.74 2.11 6.36 0.67 2.59 3.06 4.46 3.9 4.77 3.66 2.98 5.88 6.33 4.83 5.86 4.12 6.05 5.92 4.91 2.44 5.74 4.89 4.09 6.42 6.18 0.78 5.08 5.76 3.86
"20" 9.04 6.19 2.17 6.02 9.79 3.98 5.15 2.92 5.29 2.84 1.66 8.62 2.36 -0.14 5.78 7.75 7.47 5.09 7.63 2.62 6.11 4.17 9.24 5.9 5.34 3.41 6.31 5.43 3.47 5.55 2.96 2.84 6.2 6.29 6.99 1.86 6.96 4.08 9 3.7 4.43 3.75 3.4 6.31 0.61 4.17 6.73 2.15 7.52 7.71 5.62 3.06 5.6 0.89 6.25 8 7.39 3.71 4.93 2.13 6.48 2.16 7.24 3.62 7.38 4.35 3.79 3.92 4.05 6.27 3.84 3.33 5.98 1.99 3.46 4.4 4.43 5.29 4.03 2.24
"21" 2.87 5.2 2.68 6.7 5.48 7.78 4.75 4.04 4.3 2.1 4.02 6.53 4.52 4.58 6.12 4.93 5.67 4.56 4.83 5.61 -0.56 3.57 5.61 5.56 3.94 5.97 9.04 4.12 1.9 4.58 6.2 7.7 4.77 3.33 3.51 3.57 6.8 6.79 7.4 2.67 1.5 4.2 6.2 1.74 3.34 6.75 4.45 4.07 2.41 6.44 7.56 8.84 5.47 4.74 10.87 2.94 4.35 5.73 5.42 4.27 8.4 4.07 6.75 5.99 3.53 8.63 5.9 5.93 6.72 7.58 4.59 6.84 5.78 7.85 1.89 4.3 3.41 6.73 4.68 2.77
"22" 7.72 4.64 3.45 3.74 5.17 3.68 3.91 7.41 4.86 3.45 4.42 3.61 10.88 5.36 6.25 4.06 4.83 6.62 3.45 5.84 6.2 2.93 7.01 1.41 5.43 4.9 4.19 3.48 4.43 5.95 5.29 4.41 7.46 5.29 7.09 4.44 2.1 4.65 2.49 5.81 7.42 1.55 4.67 3.14 4.28 8.61 5.11 4.56 2.37 3.49 5.31 5.54 6.16 4.91 6.54 4.51 0.04 2.87 6.47 3.8 6.79 8.39 7.46 4.68 2.9 4.06 9.02 5.28 5.18 4.65 5.22 4.58 5.15 7.33 4.28 6.5 5.43 6.81 3.06 9.07
"23" 6.84 7.95 5.82 7.37 4.64 4.1 3.87 5.61 4.47 4.08 6.53 3.47 6.01 5.09 5.01 7.34 2.86 0.15 6.09 5.29 1.46 4.18 3.59 3.29 8.34 4.69 4.99 4.69 0.27 4.74 4.72 8.84 6.25 6.4 2.87 7.02 5.88 4.86 4.27 5.65 2.97 6.01 4.3 3.93 7.66 6.19 4.48 6.61 2.96 5.22 6.86 7.41 8.88 2.85 5.36 5.19 5.57 1.13 3.13 5.28 3.71 4.09 2.47 5.16 3.38 2.86 5.6 4.92 2.55 5.2 4.91 3.49 5.68 4.49 5.63 3.92 7.07 7.07 3.16 5.41
"24" 1.48 3.64 5.31 8.29 5.9 5.34 3.29 9.16 6.99 5.12 7.49 5.38 3.28 5.82 5.21 5.09 4.24 4.77 6.61 7.65 4.42 7.44 4.28 3.67 4.37 6 4.74 1.9 2.07 6.66 8.14 5.49 4.34 6.42 0.33 0.87 7.04 8.22 5.48 6.99 5.8 3.33 5.4 1.62 3.87 3.27 6.49 6.1 7.11 5.4 3.46 9.62 6.65 8.87 5.56 5.4 2.89 2.65 8.97 4.01 11.07 4.9 4.96 4.66 7.85 1.94 1.91 8.39 6.35 3.93 6.86 4.77 1.77 7.33 2.87 3.73 4.48 7.04 2.38 2.81
"25" 5.44 4.65 4.94 9.74 5.61 4.76 7.69 6.74 7.27 4.56 2.97 2.58 0.38 7.46 8.1 4.77 3.61 2.54 5.93 3.45 3.84 5.92 6.33 2.75 2.63 2.4 2.54 2.11 -2.53 4.9 4.75 5 9.05 5.32 5.29 5.62 5.13 4.5 6.92 6.89 6.33 8.34 4.72 5.9 2.01 6.32 5.85 4.24 6.71 -0.17 5.81 -0.58 4.82 7.27 4.42 5.71 2.51 1.03 4.92 4.36 5.8 7.04 4.68 2.07 4.28 2.97 5.79 7.04 3.54 5.3 4.4 3.95 2.39 2.4 7.41 2.18 5.26 6.8 4.11 6.08
"26" 3.79 10.48 4.83 5.9 5.07 3.54 1.7 4.4 6.65 4.77 4.68 4.5 3.56 1.33 4.62 3.03 2.69 4.83 5.34 2.07 5.56 8.18 2.39 5.84 4.98 3.38 3.09 0.37 5.46 3.62 8.25 5.33 1.76 3.23 7.05 5.34 7.31 3.83 5.93 4.31 4.79 3.26 4.24 6.27 5.72 4 5.29 3.89 2.41 7.43 1.58 7.12 7.63 1.85 4.89 7.27 5.61 4.6 5.7 3.32 5.66 3.26 4.38 5.77 8.62 5.71 3.15 7.71 6.82 5.79 7.44 2.15 6.35 4.05 2.9 4.38 7.31 3.45 7.01 3.28
"27" 6.87 3.43 3.81 5.14 6.52 4.73 2.8 0.1 6.56 6.6 5.53 6.65 5.72 1.56 3 5.93 3.17 7.43 2.77 6.42 2.82 1.14 5.72 5.51 5.33 2.94 4.37 6.07 9.86 6.98 4.85 11.76 5.14 0 5.48 0.96 5.82 0.82 2.8 7.09 3.69 2.83 3.13 7.52 6.58 3.36 4.8 5.28 7.3 3.58 2.26 3.24 3.76 4.23 4.98 5.1 5.73 4.18 5.35 5.25 4.61 3.54 5.07 2.9 7.71 1.81 5.97 5.77 8.69 6.7 6.14 2.97 4.87 4.12 2.77 2.4 4.22 6.35 7.67 7.31
"28" 5.39 6.08 5.26 3.02 7.87 5.26 4.21 4.59 10.98 6.86 2.77 5.48 4.66 2.89 6.89 4.71 5.8 4.16 3.26 3.02 2.26 1.27 2.4 4.36 4.11 8.22 7.54 4.03 5.8 3.88 7.43 5.62 6.55 3.3 1.72 2.48 4.51 3.46 4.9 10.63 8.08 5.49 7.46 5.4 5.23 5.89 2.04 5.29 4.01 4.4 3.24 6.73 6.07 0.96 4.51 5.58 3.62 2.53 5.16 5.32 6.11 8.62 7.68 4.87 7.06 8.77 4.61 5.1 7.23 5.05 3.28 7.01 4.82 6.55 3.54 7.05 4.36 5.23 4.88 6.08
"29" 2.38 4.12 7.29 3.95 4.07 4.99 5.16 5.53 5.63 5.03 0.15 5.86 5.06 1.5 3.07 2.65 7.09 3.61 7.85 7.27 3.72 6.33 4.13 4.46 4.08 4.7 5.43 5.02 7.19 3.88 5.74 4.9 3.64 6.5 6.74 6.71 4.56 6.8 4.87 -1.05 3.1 2.46 6.16 3.77 3.88 2.49 12.44 5.06 5.35 6.68 7.93 3.95 2.49 0.73 8.14 5.14 1.59 4.94 5.96 2.61 8.45 7.66 8.04 5.93 6.47 3.7 0.58 2.89 1.25 -0.39 5.24 5.4 6.34 3.36 3.19 4.71 4.96 4.78 3.2 5.55
"30" 4.86 4.45 -0.18 3.21 5.04 0.88 3.01 6.15 6.54 5.69 2.67 8.82 4.85 4.77 3.96 9.96 5.54 8.12 8.05 4.02 10.17 4.9 2.58 3.89 8.19 4.03 5.14 9.48 5.84 4.86 4.75 6.35 1.96 3.17 6.07 2.64 6.73 10.54 4.27 4.52 5.77 7.88 8.16 5.02 3.1 6.07 3.45 5.64 3.94 5.97 9.54 7.13 2.97 6.8 3.62 2.65 4.22 8.73 0.46 5.07 3.1 7.02 5.69 3.5 6.82 8.59 4.77 3.87 4.47 2.89 8.08 3.68 9.24 5.17 4.5 7.42 6.19 3.75 6.05 6.02
"31" 6.59 3.62 2.99 4.38 4.18 5.32 3.64 5.84 5.24 3.79 5.89 3.4 4.7 5.08 0.96 6.78 3.54 2.16 4.23 4.95 4.45 6.06 4.5 3.04 4.68 3.91 3.34 7.41 4.48 7.22 6.36 6.06 6.74 8.87 6.64 4.58 2.81 5.68 1.54 0.51 2.77 1.91 6.17 6.4 5.42 5.45 2.07 6.22 3.17 3.12 5.43 4.87 8.79 3.34 4.14 4.13 5.06 7.57 3.46 7.09 4.42 4.19 5.25 6.67 4.47 5.48 5.12 3.58 2.59 8.14 9.91 3.66 7.83 3.54 7.83 0.23 6.76 3.53 6.14 5.43
"32" 5.58 3.36 6.79 9.22 4.83 7.45 5.92 5.58 3 5.02 2.64 2.81 5.99 5.83 7.47 5.53 7.83 6.71 4.8 4.5 6.96 5.63 6.81 5.67 5.03 6.9 7.32 2 4.54 3.11 4.37 4.91 6.46 4.94 5.33 7.51 5.79 2.83 5.23 3.38 6.28 5.4 7.64 6.56 3.77 6.49 7.26 8.02 1.45 7.34 4.1 4.74 3.75 6.53 8.2 4.5 6.69 7.18 7.12 6.5 3.98 2.94 8 4.45 7.86 5.82 3.6 3.78 5.14 1.91 2.67 0.98 2.68 9.17 4.09 6.36 6.15 4.38 2.27 5.8
"33" 4.88 8.79 1.36 5.47 3.23 5.16 3.07 3.72 3.31 2.29 5.27 5.13 5.76 4.94 7.89 10.45 4.67 2.23 6.75 4.24 2.09 2.42 8.46 6.73 4.64 8.57 7.02 4.35 5.31 0.09 3.73 4.69 3.74 4.61 6.2 3.99 7.68 6.31 10.53 7.32 5.85 5.52 6.8 5.91 3.21 7.02 0.8 5.51 8.33 3.29 0.2 7.99 6.22 5.09 5.21 5.92 2.06 5.98 7.02 9.14 6.46 5.79 5.32 6.37 3.57 5.63 7.07 5.93 -0.98 2.93 5.29 2.36 1.84 7.98 2.55 4.21 4.43 10.74 6 4.28
"34" 6.73 8.18 3.56 3.9 5.92 5.6 0.91 3.55 8.5 4.21 0.89 6.63 4.57 5.93 3.7 7.94 5.13 5.17 3.97 4.09 6.71 6.2 4.7 3.28 6.4 1.96 3.66 3.39 6.46 4.81 7.18 3.25 4.04 5.14 2.43 8.1 7.57 5.11 4.21 4.92 5.26 3.23 2.84 3.9 0.98 6.23 3.72 9.58 3.93 1.36 3.27 4.22 6.99 1.66 5.57 3.8 4.14 7.41 6.75 2.44 7.12 0.38 6.68 5.6 4.18 4.75 4.28 3.59 5.38 6.4 6.87 2.23 4.61 6.4 0.18 4.59 6.69 2.39 6.16 6.25
"35" 5.77 5.7 3.84 1.09 2.9 6.28 6.86 4.47 7.85 0.33 2.19 5.41 4.71 8.27 0.76 5.15 5.62 6.16 4.34 7.72 5.55 7.44 8.17 5.89 2.81 4.47 1.93 6.2 5.09 -0.5 4.18 2.31 1.65 4.85 4.93 1.69 1.94 2.56 5.07 5.74 6.15 7.52 3.23 5.06 3.76 6.85 2.71 4.25 5.05 7.44 7.46 5.46 5.72 5.39 4.7 3.99 7.15 4.93 5.13 3.96 6.4 2.29 10.83 5.94 7.29 3.64 3.59 4.58 5.94 4.76 6.38 4.1 4.34 -0.32 3.26 4.77 2.52 1.73 6.02 6.55
"36" 4.28 -1.04 3.87 6.1 2.78 4.89 5.57 2.87 5.38 4.59 5.28 4.65 4.01 2.82 4.48 4.52 3.71 6.54 3.88 5.77 6.93 0.94 7.53 4.06 6.36 4.16 4.2 6.99 6.29 4.8 8.01 3.52 4.51 1.5 5.09 7 4.39 6.76 6.07 1.88 5.68 2.11 4.74 8.42 4.03 4.99 3.11 5.86 6.34 6.17 3.88 4.82 2.56 5.86 8.49 6.33 1.06 4.6 3.2 8.26 1.13 2.47 6.37 6.66 3.04 2.48 3.47 3.56 6.14 4.95 4.9 6.26 6.75 5.89 5.78 6.1 1.98 7.79 4.68 5.73
"37" 3.06 0.58 5.5 3.41 4.86 8.25 4.82 2.95 8.17 1.73 5.43 2.55 8.6 8.36 2.98 4.86 2.92 4.53 9.01 7.59 7.89 4.37 3.92 5.15 2.99 4.68 6.98 5.19 8.39 9.34 3.99 7.38 4.13 8.32 6.08 0.99 5.78 6.44 4.49 5.14 5.38 6.31 5.83 7.01 5.66 8.6 5.87 2.63 5.54 8.67 5.25 2.91 5.46 6.26 8.24 4.34 2.37 2.28 6.33 3.06 5.87 4.26 5.38 5.62 2.74 4.35 4.26 6.42 4.88 6.84 3.54 10.88 2.92 5.85 3.61 6.07 4.58 7.29 4.61 6.34
"38" 4.98 1.27 0.74 7.33 5.49 3.42 1.22 3.69 6.25 4.26 3.06 6.6 4.69 5.68 6.51 3.16 7.93 -0.1 4.83 5.27 8.08 5.05 5.49 1.64 9.26 4.35 7.79 3.23 5.91 3.41 7.05 4.07 5.67 6.76 3.27 5.23 8.95 9.24 5.17 4.74 3.97 3.35 7.68 7.93 3.97 3.2 0.45 3.03 7.56 5.34 7.11 2.21 4.45 7.59 5.25 3.49 4.9 2.97 2.94 6.3 8.2 6.46 3.15 5.83 6.45 6.2 3.6 2.68 4.67 4.46 6.58 5.41 3.61 6.41 7.95 8.52 5.3 10.61 3.94 8.38
"39" 3.47 10 7.6 4.88 6.27 5.21 3.83 5.02 1.49 0.75 4.96 5.12 8.36 1.88 4.78 9.31 4.08 3.77 4.54 7.31 3.11 3.97 3.65 4.72 4.56 2.1 7.48 3.66 4.45 5.68 2.76 4.41 4.64 5.27 6.19 1.72 4.81 4.46 3.36 4.5 3.08 4.3 7.72 1.65 5.69 3.4 4.26 3.34 2.66 7.27 4.81 4.34 3.58 3.3 0.53 5.46 6.11 4.79 4.35 4.95 7 4.53 3.39 4.84 3.56 5.55 3.48 6.18 8.88 3.34 3.45 6.15 5.43 2.5 5.23 5.33 7.7 5.29 3.91 3.16
"40" 6.23 6.48 5.03 4.4 0.28 4.69 1.99 3.89 4.9 5.29 7.56 5.21 5.95 5.93 5.39 2.95 3.9 1.85 3.78 7.66 4.53 6.46 6.56 5.54 4 6.28 4.01 6.22 6.07 4.71 3.75 4.5 5.75 7.07 6.77 3.8 5.74 5.89 4.96 4.96 6.79 4.26 4.25 6.41 5.34 5.56 4.73 6.54 2.89 3.71 5.23 0.56 3.15 1.26 1.6 2.54 5.14 2.91 9.48 3.41 4.36 6.45 0.03 4.91 4.87 1.08 6.67 4.33 -0.02 5.81 1.9 9.51 3.26 5.61 5.25 3.72 9.24 3.39 3.95 1.73
"41" 3.99 3.54 5.74 8.39 5.62 4.84 4.05 5.84 1.75 9.69 3.59 5.86 5.05 5.52 1.87 7.14 3.92 7.7 5.2 3.09 3.93 6.19 8.16 1.26 7.7 1.61 3.56 5.49 2.38 1.89 2.43 -0.17 5.68 2.63 2.33 4.23 6.35 5.93 4.39 2.96 2.15 6.71 3.53 3.71 4.02 7.77 6.38 4.21 4.63 6.23 5.72 -0.01 5.51 4 4.06 6.46 3.73 3.66 3.26 7.69 4.36 3.26 3.65 5.6 2.99 7.52 1.54 9.77 2.68 9.3 5.47 5.55 4.81 6.14 5.64 5.01 4.6 5.47 4.02 5.22
