"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"11" 10.19 5.09 3.97 5.9 5.81 3.31 1.36 3.25 4.21 8.32 5.52 7.04 7.48 8.24 6.83 4.62 6.74 5.01 5.46 5.98 4.77 4.83 7.51 3.82 3.1 6.08 8.84 3.17 6.45
"12" 7.8 4.91 5.76 3.88 9.33 4.76 7.87 5.74 5.11 6.26 6.76 4.03 4.35 7.35 5.16 4.05 5.43 9.35 4.44 5.86 5.47 3.47 7.71 4.93 5.99 2.25 5.65 7.22 7.02
"13" 7.95 2.88 3.98 4.9 5.24 6.31 0.87 3.83 2.1 6.52 4.66 4.12 3.06 6.1 3.09 1.58 10.12 2.24 1.7 10.59 5.33 1.76 2.95 3.38 2.86 3.5 5.63 4.51 5.8
"14" 2.5 3.82 5.21 5.66 6.22 3.43 9.4 5.64 6.66 6.35 2.18 8.24 3.39 5.09 2.84 8.03 8.33 5.74 4.41 2.16 7.3 4.44 4.78 6.35 4.01 3.98 6.05 7.01 4.62
"15" 3.01 1.01 3.2 3.19 -1.26 4.24 6.12 2.3 6.24 3.13 6.12 5.22 7.5 7.51 5.37 4.94 5.11 4.8 7.94 4.71 2.32 8.18 4.11 5.76 6.08 7.47 0.87 3.64 6.18
"16" 3.29 3.61 2.3 7.47 2.81 6.35 4.98 6.98 3.52 8.48 5.59 6.97 8.22 4.07 8.01 7.59 5.48 6.84 5.81 4.75 7.03 4.51 8.82 7.02 4.18 1.26 4.9 1.65 5.3
"17" 2.47 5.1 7.32 4.81 2.13 7.24 3.32 6.24 5.98 5.07 5.16 5.13 2.43 4.12 3.61 7.11 -0.3 7.31 7.17 5.64 1.45 4.66 4.98 3.96 2.5 4.74 6.99 1.5 5.33
"18" 6.21 1.92 4.95 3.62 5.11 5.39 4.64 8.24 4.88 6.16 1.67 6.64 3.22 4.77 6.25 6.38 5.26 5.32 5.43 3.33 4.38 5.18 7.73 5.73 7.35 4.32 3.77 6.18 5.48
"19" 4.94 1.56 5.2 4.49 5.08 6.63 4.82 2.13 4.24 6.23 6 4.26 6.93 8.35 6.21 3.73 5.63 0.9 4.13 4.09 7.06 4.59 5.48 4.87 6.25 4.92 6.02 8.59 3.99
"20" 5.92 2.59 4.35 5.89 3.44 4.8 5.56 1.18 3.37 5.68 6.48 5.3 6.76 4.01 3.74 3.13 7.58 4.77 3.96 3.4 7.57 4.85 0.5 2.21 5.07 6.72 5.5 5.67 5.6
"21" 3.56 5.18 5.05 5.5 2.4 4.93 5.68 8.69 3.24 6.1 3.91 6.14 1.48 5.94 5.9 6.03 0.72 8.23 9.77 4.71 8.21 2.99 3.55 4.88 5.44 1.37 3.94 2.65 7.84
"22" 5.83 4.11 3.1 8.78 1.17 6.08 8.55 5.93 9.05 6.58 3.81 4.99 2.54 2.28 6.3 8.13 5.66 5.44 5.61 7.46 4.02 4.1 4.94 3.29 2.67 6.12 6.61 5.61 7.65
"23" -0.59 3.58 9.76 2.68 3.06 5.08 5.08 1.81 5.38 4.67 4.13 5.19 7.11 6.67 4.56 7.76 1.12 6.22 4.76 5.38 4.07 5.21 4.69 1.47 5.64 4.99 4.19 5.3 3.73
"24" 3.44 5.54 7.22 8.35 6.29 5.44 3.57 3.95 2.82 5.33 9.06 6.32 9.19 8.06 2.03 2.37 4.24 4.38 1.76 -0.94 7 4.02 3.44 1.47 3.7 4.36 4.61 6.71 2.61
"25" 3.99 5.72 2.74 2.06 6.47 5.43 3.96 2.77 4.92 3.07 5.94 4.29 4.32 3.25 3.2 5.76 4.55 5.96 4.74 6.91 3.09 3.92 5.38 1.86 5.08 5.27 7.78 6.02 1.09
"26" 8.52 1.91 6.79 7.24 7.57 1.5 7.52 5.71 7.02 3.52 2.7 6.76 6.32 4.87 6.8 6.41 3.26 1.58 6.16 4.36 4.96 3.77 2.15 2.6 5.91 2.15 2.5 6.46 2.85
"27" 4.38 4.87 6.04 2.82 4.63 8.63 4.5 1.11 7.48 3.27 5.88 5.7 4.35 6.08 4.49 2.88 1.72 2.42 3.31 7.33 3.23 1.12 3.52 3.51 3.46 4.45 3.86 6.16 3.69
"28" 4.96 2.66 5.69 4.81 4.88 4.17 7.12 7.25 9.94 5.11 4.39 7.38 3.92 2.65 6.75 3.18 2.91 3.87 1.21 5.39 6.27 7.7 1.84 4.57 7.32 4.57 3.89 5.78 2.55
"29" 7.69 2.19 3.54 4.95 7.9 6.2 6.73 3.24 4.3 7.55 4.39 0.07 5.13 6.25 5.3 7.76 6.83 6.56 3.82 5.87 4.48 6.09 3.25 5.55 0.87 7.68 7.47 5.96 4.98
"30" 0.84 6.74 5.51 6.32 6.21 1.68 6.31 3.51 6.44 5.37 5.07 4.02 4.36 0.48 1.39 5.2 3.56 7.4 0.67 6.83 4.93 7.15 8.4 4.42 6.76 7.3 6.15 7.91 7.91
"31" 8.44 3.67 4.64 5.31 2.5 5.81 3.1 3.34 6.78 2.78 3.65 5.28 1.56 4.6 4.93 6.71 1.55 7.7 3.55 6.51 6.61 5.07 5.56 7.38 2.84 5.96 2.88 5.32 5.99
"32" 5.55 5.31 2.77 3.69 8.09 -0.22 3.7 5.28 7.45 5.91 4.46 5.07 5.62 7.24 5.22 4.67 3.03 3.87 6.02 5.21 7.73 5.46 3.7 3.28 7.31 5.2 3.15 5.55 4.53
"33" 6.26 3.01 -0.57 4.22 5.31 3.93 4.98 5.09 2.32 5.08 6.27 6.32 3.99 5.57 4.72 6.29 3.92 4.07 7 6.63 5.25 7.09 2.74 7.41 2.24 1.6 3.14 3.94 5.29
"34" 2.89 8.93 6.77 6.99 5.88 3.7 4.13 6.41 4.93 2.99 4.9 3.26 5.69 7.68 6.12 5.54 8.84 2.84 1.89 5.29 7.92 4.94 3.65 3.19 5.81 5.53 6.75 4.89 9.62
"35" 6.05 9.1 4.9 10.09 7.75 6.88 3.45 6.56 6.12 5.43 3.59 1.12 5.98 5.56 6.79 0.7 4.15 3.93 1.85 5.43 12.48 3.67 0.81 8.99 9.14 6.19 4.37 4.78 5.12
"36" 5.53 4.46 7.18 4.21 4.64 4.37 7.51 3.73 6.89 8.32 6.41 8.13 4.89 2.24 4.84 4.53 6.96 3.47 6.06 7.75 7.21 3.5 8.73 10.72 2.26 3.52 3.96 4.01 3.13
"37" 3.78 6.02 6.68 5.07 5.65 5.41 4.15 4.54 3.17 2.86 6.8 2.01 5.93 6.25 5.75 4.75 1.93 4.64 6.37 3.42 2.78 4.36 6.13 8.79 6.45 4.2 2.98 5.16 4.94
"38" 2.84 4.66 3.29 4.93 3.9 4.78 1.75 4.05 4.97 5.13 7.36 4.91 3.95 5.28 4.25 7.9 10.54 5.21 4.64 5.27 3.13 3.48 4.55 5.42 -0.62 3.9 4.02 5.09 4.48
"39" 3.11 5.29 2.87 3.85 4.61 6.64 4.1 5.25 4.29 6.74 4.29 7.05 5.49 5.87 5.54 4.28 6.02 2.89 8.16 4.46 -0.92 3.29 0.69 5.05 3.59 1.77 3.76 7.26 4.37
"40" 3.76 6.53 6.7 1.54 6.09 2.75 4.48 5.9 5.32 3.68 7.02 1.12 3.67 7.5 7.01 4.42 7.94 6.72 1.46 3.41 5.49 6.27 1.94 4.34 4.64 5.99 5.68 4.74 5.28
"41" 2.22 6.76 6.08 4.1 6.79 1.16 5.31 2.93 3.8 5.82 2.69 7.3 4.26 5.98 3.01 5.27 5.63 4.17 2.31 4.42 1.67 6.24 2.43 7.76 7.17 1.81 2.67 3.69 6.5
"42" 4.43 4.1 3.48 8.29 7.78 3.17 5.61 6.4 6.05 6.09 5.09 4.23 4.32 3.38 3.29 2.82 5.02 6.63 7.04 5.35 6.6 7.37 7.64 4.44 8.45 5.01 4.88 6.3 8.84
"43" 1.43 5.12 4.84 5.41 3.21 2.61 1.6 4.39 9.78 3.16 4.18 8.79 5.21 5.44 8.04 3.44 3.84 2.21 4.32 2.42 4.76 6.18 5.38 7.55 4.05 6.92 7.15 6.56 4.02
"44" 2.88 -0.04 4.56 6.32 7.87 3.15 7.33 3.42 3.2 6.45 5.4 4.48 4.52 5.98 4.67 1.59 6.58 4.71 3.23 5.8 4.1 5.68 5.92 6.67 8.22 3.81 1.87 4.76 5.67
"45" 3.35 5.46 7.08 1.96 4.33 6.58 7.33 4.66 6.56 4.83 5.76 5.15 4.62 5.27 3.42 4.51 7.31 6.97 8.65 5.91 6.53 3.29 0.34 6.42 9.25 2.86 7.13 7.31 3.99
"46" 2.44 5.98 7.01 7.06 1.53 5.6 6.82 6.53 7.4 2.55 2.63 4.15 1.57 4.82 4.28 3.72 6.81 5.91 6.83 5.32 6.94 6.24 4.95 4.35 5.32 3.37 5.45 4.54 2.02
"47" 3.53 3.45 6.33 2.62 3.74 4.52 4.58 5.88 6.44 2.89 7.19 6.58 5.32 8.74 4.73 2.28 5.63 6.51 6.13 5.54 1.7 0.71 4.16 4.72 7.61 2.9 2.79 4.2 9.36
"48" 7.15 7.23 4.33 6.3 2.98 5.3 5.37 11.4 6.63 2.47 3.96 4.26 3.61 4.52 9.15 6.4 5.14 5.55 8.41 6.95 6.04 5.65 4.48 3.86 4.56 9.03 2.1 3.53 2.02
"49" 7.14 6.8 3.07 3.48 4.39 2.44 -0.11 3.94 0.67 8.1 5.44 2.63 5.94 8.97 5.7 4.79 2.5 2.47 8.04 4.32 1.48 3.08 4.11 6.06 5.52 5.46 2.13 4.65 5.68
"50" 2.54 3.6 6.45 2.96 3.67 6.29 6.52 1.15 7.23 3.77 7.11 8.61 4.36 5.3 5.87 6.62 5.1 6.44 3.93 3.61 4.2 2.98 5.09 5.88 3.08 3.74 -0.12 7.43 4.84
"51" 7.87 8.96 8.34 7.62 6.48 5.45 3.45 7.14 7.28 4.74 6.71 3.74 3.34 5.18 1.06 8.8 2.94 6.14 6.14 3.22 5.71 6.71 5.65 2.74 7.59 2.88 5.72 7.2 7.58
"52" 7.98 3.81 5.33 3.13 5.85 3.7 6.16 3.43 4.59 3.56 6.17 4.5 6.27 1.25 6.38 6.87 5.77 1.11 6.51 4.49 5.6 6.64 2.91 7.52 3.97 3.2 5.48 1.96 5.81
"53" 6.52 2.46 3.82 7.24 6.22 2.79 3.78 6.59 4.82 4.66 5.56 4.86 4.77 3.73 4.14 2.3 6.07 4.45 4.81 4.51 4.21 4.7 4.42 2.36 1.71 4.66 4.29 2.84 5.15
"54" 6.14 4.83 8.45 6.72 1.86 7.56 3.35 6.33 5.59 5.33 7.53 4.41 4.36 3.58 3.25 3.09 4.69 4.23 6.19 7.07 5.95 3.11 9.07 8.5 7.74 4.47 4.92 4.89 5.49
"55" 6.36 5.99 8.5 3.96 3.98 3.52 5.43 1.83 2.61 6.41 6.77 1.9 3.46 1.42 -0.36 3.61 4.39 4.12 4.06 2.64 8.1 6.02 9.68 5.05 5.32 7.17 6.81 4.36 7.24
"56" 3.34 6.65 5.61 7.78 5.64 3.12 9.95 9.62 4.71 4.8 5.52 5.08 6.9 3.72 3.75 8.8 4.82 3.61 2.28 3.28 -0.64 5.33 1.32 5.16 3.51 2.51 4.65 8.05 6.84
"57" 6.54 5.83 8.59 7.79 2.16 6.58 5.65 4.6 5.14 4.92 9.71 5.47 5.69 7.57 5.57 4.17 3.2 2.96 7.67 2.82 6.81 6.75 6.39 4.95 5.53 2.57 4.98 4.2 5.95
"58" 1.91 0.53 6.23 4.48 2.21 7.1 1.47 4.95 4.5 3.54 2.99 3.24 3.67 5.62 4.43 5.88 5.53 1.88 2.74 6.35 4.69 3.56 3.9 7.64 9.05 2.21 3.76 5.74 0.37
"59" 1.57 3.06 6.23 9.22 4.56 1.2 0.72 4.49 3.84 3.88 6.46 6.79 6.22 10.41 4.39 5.61 3.47 9.24 7.85 5.12 4.8 2.75 4.12 4.82 10.86 4.4 8.27 3.5 5.53
"60" 6.05 6.48 5.12 5.23 2.76 4.69 6.45 6.56 7.29 2.2 6 3.5 7.54 8.75 5.57 2.51 4.13 5.05 6.75 8.26 5.12 6.13 9.22 4.31 5.58 3.97 5.29 5.31 7.23
"61" 4.64 5.49 3.64 4.59 6.47 5.96 3.82 4.11 3.97 4 4.85 3.3 2.27 5.38 2.67 6.46 2.22 4.45 4.32 4.75 10.12 3.86 0.6 1.99 4.49 3.32 4.35 1.24 5.06
"62" 3.97 6.69 6.2 8.8 4.38 2.93 3.08 4.94 3.93 4.92 4.15 5.7 5.23 5.16 5.66 3.83 6.16 6.88 3.97 9.13 3.83 4.96 3.8 5.82 4.16 4.69 5.07 5.93 4.72
"63" 2.66 7.29 10.79 6.74 5.87 6.99 2.55 6.44 5.92 5.86 5.47 7.03 1.04 5.78 4.11 4.8 2.26 8.17 3.14 3.56 5.31 6.98 5.57 2.47 5.47 5.33 2.52 3.19 3.89
