"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"35" 7.14 6.08 7.09 1.62 5.14 4.42 7.51 5.49 5.33 1.84 5.96 3.33 4.68 6.13 5.19 5.6 4.15 8.38 1.8 6.28
"36" 2.96 4.91 7.02 2.96 5.11 4.67 6.6 4.72 5.33 3.89 2.81 3.95 4.73 1.71 6.09 0.67 4.54 7.37 7.09 3.46
"37" 4.76 4.6 2.46 6.79 0.04 2.05 5.89 2.89 4.86 6.63 2.56 8.55 4.67 4.7 6.44 3.63 5.32 5.11 6.38 4.46
"38" 2.94 2.81 8.46 4.99 1.98 3.32 3.72 7.87 4.72 1.52 3.05 5.44 4.58 5.19 7.74 2.52 7.25 6.33 4.57 7.51
"39" 6.88 10.22 5.09 3.12 1.26 5.06 8.01 4.15 5.29 2.15 6.83 7.51 3.19 5.03 2.74 2.7 -0.01 6.32 5.9 3.51
"40" 5.9 5.47 6.51 3.77 5.58 3.9 4.93 6.63 7.02 5.34 7.25 4.81 4.92 4.42 5.54 5.67 2.65 1.63 3.41 4.53
"41" 5.9 6.86 4.32 4.96 5.65 6.73 3.63 1.71 6.3 0.45 5.05 7.81 0.65 5.61 5.94 8.46 5.12 10.41 3.73 2.97
"42" 3.72 3.48 4.53 3.92 7.36 7.66 2.63 6.54 0.8 4.76 7.55 7.26 2.93 4.87 2.17 5.24 4.37 4.36 6.06 6.07
"43" 4.65 4.13 8.4 4.3 2.69 7.29 4.81 4.17 10.45 4.89 5.99 5.72 2.79 6.86 5.62 8 3.04 2.85 6.75 3.06
"44" 7.86 6.53 0.6 7.31 3.78 3.95 3.95 3.92 5.76 6.48 5.45 4.89 6.27 10.46 8.92 5.22 1.66 3.76 3.74 8.99
"45" 4.91 2.13 4.48 6.09 3.08 8.63 5.78 4.98 5.34 4.61 5.36 6.13 3.55 6.74 4.14 5.96 8.52 6.21 3.06 4.73
"46" 0.49 2.17 5.31 5.29 3.4 7.04 6.5 3.24 6.03 6 5.62 4.9 6.23 7.55 5.69 5 6.69 2.74 6.65 2.24
"47" 8.93 4.82 6.18 2.71 1.2 6.99 7.42 5.4 4.23 4.66 2.75 6.07 1.34 4.95 6.57 5.56 1.39 5.73 4.31 6.2
"48" 3.87 4.09 3.69 7.19 6.32 4.16 5.8 6.82 4.61 2.6 4.72 4.64 3.37 0.46 3.85 3.33 3.23 8.32 2.55 5.28
"49" 6.79 4.97 4.04 3.68 6.95 2.85 3.23 5.82 3.58 3.17 8.34 4.09 1.84 1.54 6.63 2.51 3.9 7.11 8.87 5.27
"50" 7.38 2.11 4.73 5.7 4.28 2.66 1.16 6.37 7.76 6.58 3.9 0.28 6.1 6.8 8.16 7.16 6.54 7.29 3.12 4.71
"51" 3.59 7 3.15 3.34 4.51 6.21 5.13 5.87 5.79 5.12 10.77 5.36 3.93 1.81 6.37 5.51 1.39 8.32 7.19 7.06
"52" 1.11 6.38 4.38 6.09 9.11 4.8 5.33 4.61 5.77 5.98 4.6 4.1 3.69 7.68 8.87 5.51 9.44 6.74 3.1 4.31
"53" 6.81 2.89 5.53 3.33 7.83 3.03 3.82 5.16 7.97 4.94 1.75 6.65 5.11 5 2.08 8.14 4.93 4.54 7.35 2.05
"54" 4.9 3.89 2.17 4.13 5.1 5.34 10.31 5.5 5.88 6.14 3.89 5.15 6.31 4.56 4.46 3.64 4.13 0.78 6.02 1.38
"55" 2.9 5.15 6.15 3 4.69 3.92 1.65 3.23 8.83 4.22 2.88 6.46 3.68 5.83 4.18 4.9 6.31 3.7 0.58 7.04
"56" 8.55 3.81 5.74 4.81 6.07 3.12 5.52 5.39 2.66 8.64 5.95 4.36 7.24 2.49 0.01 3.9 5.6 4.42 6.97 4.04
"57" 3.69 6.7 8.36 8.14 3.77 6.05 3.4 5.4 5.52 5.99 6.08 0.74 4.99 4.84 7.29 5.58 3.53 5.45 6.46 5.58
"58" 6.09 5.08 3.79 7.85 8.31 6.54 2.87 9.35 4.97 3.77 4.8 3.41 1.42 4.64 4.01 1.76 4.32 7.3 8.37 4.67
"59" 3.92 5.76 1.38 3.49 6.51 6.12 5.34 7.06 3 5.41 2.45 5.48 6.71 10.11 4.2 3.21 8.28 3.5 5.15 6.41
"60" 4.94 6.03 6.43 2.42 5.17 2.74 2.74 3.77 4.48 8.11 6.99 3.91 1.78 3.5 4.35 6.27 4.22 2.94 5.65 8.65
"61" 2.6 5.76 5.33 3.4 2.41 5.48 6.19 4.73 0.72 9.3 9.97 6.02 10.33 8.69 5.53 4.03 5.28 3.62 1.5 6.43
"62" 7.52 5.94 4.14 5.57 2.46 3.93 4.98 7.13 3.62 4.38 0.99 4.37 4.87 6.45 2.92 4.97 6.4 5.14 6.18 8.68
"63" 1.07 4.07 5.97 5.79 6.54 5.85 2.92 4.67 6.59 3.94 8.68 7.56 4.24 1.78 9.15 4.39 4.3 3.34 3.68 6.24
"64" 6.21 7.88 5.86 6.99 4.73 6.5 8.53 4.87 5.46 3.57 5.09 5.88 4.18 3.01 4.82 6.15 5.71 10.53 2.97 6.11
"65" 5.49 6.57 7.42 6.63 5.97 3.24 6.79 7.37 1.3 6.03 3.21 2.4 5.63 4.18 5.04 7.86 2.97 7.79 1.96 1.92
"66" 5.83 7.63 4.43 4.56 0.97 5.63 3.02 5.23 6.18 3.2 0.72 4.95 2.78 -0.22 4.92 6.54 4.71 5.37 6.85 5.12
"67" 2.72 3.12 5.59 5.61 7.31 3.78 6.54 4.17 3.81 4.26 6.74 5.41 2.85 3.09 1.99 5.97 7.34 1.18 4.09 6.79
"68" 6.31 8.44 5.75 5.96 5.06 3.36 4.63 -0.07 7.81 3.6 1.38 6.42 5.26 8.3 4.73 2.52 5.28 3 5.74 4.12
"69" 4.01 1.57 3 3.31 7.03 3.68 7.82 6.79 4.42 3.42 4.38 5.7 4.06 7.52 3.42 5.78 0.2 7.6 5.46 6.14
"70" 4.33 7.31 3.37 3.01 6.79 3.2 5.46 7.52 2.76 3.63 6.79 2.55 6.99 9.07 6.52 3.46 1.99 1.59 4.47 2.84
"71" 2.4 5.5 6.79 6.95 6.65 7.58 6.05 4.31 7.26 4.16 4.82 9.69 6.17 -0.58 4.4 2.14 3.08 6.77 6.61 5.62
"72" 2.06 6.38 4.44 5.69 4.38 5.91 4.66 3.52 1.39 5.57 5.09 4.54 2.6 8.13 1.33 6.39 4.91 7.43 4.54 6.53
"73" 3.96 1.14 5.37 2.4 3.03 5.14 2.38 0.63 5.59 9.38 6.07 6.27 6 4.76 5.11 7.96 6.28 4.8 4.79 5.77
"74" -1.11 4.77 3.7 5.03 2.62 7.18 2.47 5.67 3.21 1.17 3.85 4.67 3.63 3.11 3.07 6.71 1.18 7.61 5.64 6.44
"75" 5.17 4.78 3.64 4.5 8.59 6.44 7.34 2.57 7.56 6.57 4.67 2.08 2.97 6.66 5.06 5.08 2.85 5.66 6.17 3.63
"76" 4.49 3.12 3.58 4.48 7.6 4.12 4.46 5.34 6.81 4.63 5.61 6.56 4.73 8.06 3.23 9.39 4.38 3.82 2.76 3.11
"77" 3.74 4.15 5.81 5.05 6.76 3.54 6.88 6.23 7.9 2.43 6.6 3.47 0.61 4.54 1.67 9.64 5.58 6.1 3.93 1.48
"78" 3.75 7.53 6.01 5.96 5.13 5.5 5.8 5.42 4.83 4.16 3.8 6.41 3.85 4.18 7.47 4.98 3.87 3.96 4.02 2.69
"79" 3.68 4.44 7.78 6.44 5.26 2.07 4.94 2.01 4.88 3.26 4.75 1.76 4.73 3.2 4.85 6.46 -0.07 4.88 6.93 3.82
"80" 3.68 2.89 3.8 7.51 5.26 6.75 3.98 3.82 6.16 3.46 8.02 5.51 6.74 8.54 3.45 5.46 4.1 5.54 8.3 3.87
"81" 3.17 6.09 6.71 4.71 7.57 6 8.04 4.38 4.68 4.46 5.18 3.13 5.73 5.63 6.57 3.91 3.03 4.51 4.96 8.13
"82" 6.75 6.3 7.34 3.49 8.57 2.26 5.26 3.46 3.83 3.12 4.46 8.08 6.61 4.28 7.73 5.55 2.83 7.94 6.11 2.47
"83" 4.17 5.77 8.46 6.91 6.6 3.04 4.81 5.75 5.14 3.99 5.82 6.86 7.07 6.46 4.46 5.17 6.18 5.29 5.94 4.44
"84" 4.6 2.95 5.76 4.92 4.81 2.26 4.08 6.39 6.41 8.4 5.53 6.24 7.75 2.34 2.98 2.15 4.07 3.62 6.2 7
"85" 3.98 6.95 3.85 3.62 9.16 2.45 7.14 2.33 5.11 4.58 7.17 7.39 4.48 6.11 7.17 1.24 5.61 2.84 6.32 8.33
"86" 5.57 3.41 7.32 5.03 3.52 6.32 6.25 7.07 4.18 5 7.57 1.38 2.69 8.16 5.12 7.2 8.48 4.41 6.39 4.42
"87" 4.21 5.32 6.43 6.85 4.76 6.38 4.22 4.26 3.42 2.02 3.9 3.84 5.92 5.55 5.21 8.47 8.86 2.33 10.28 5.97
"88" 4.48 6.59 5.13 6.16 2.82 2.3 7.71 6.11 7.55 7.44 4.61 5.98 6.59 6.27 5.14 3.78 3.49 9.13 1.97 4.41
"89" 5.67 5.39 8.66 6.94 5.65 5.08 3.2 6.03 2.53 4.06 4.94 6.29 3.5 2.6 6.04 6.58 6.14 3.75 1.97 6.46
"90" 6.14 4.28 3.34 5.07 5.91 4.79 4.42 4.13 2.71 5.66 3.91 4.78 4.47 2.05 6.36 2.46 6.01 5.67 8.89 5.59
"91" 7.1 6.02 6.59 8.45 5.25 5.68 6.43 7.24 4.95 5.34 5.26 3.45 3 4.88 3.98 4.26 5.91 5.67 3.43 6.93
"92" 4.93 3.21 1.91 7.36 2.29 6.01 2.91 5.02 4.18 4.69 4.12 3.99 4.25 2.79 6.7 3.89 2.13 3.92 4.93 4.12
"93" 4 4.22 6.38 7.79 3.69 6.06 4.05 9.68 3.35 4.72 2.6 2.55 3.62 7.58 5.78 3.39 3.41 5.64 2.74 4.52
"94" 3.34 5.1 2.77 6.05 5.39 4.4 4.36 5.9 2.89 4.68 4.52 3.03 8.45 7.31 7.15 3.44 4.65 6.77 5.02 5.86
