"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"68" 4.29 9.53 7.83 9.65 6.17 7.24 4.94 6.25 6.19 4.9 5.55 7.56 6.6 4.38 5.65 3.36 5.4 0.49 1.4 3.8 4.13 3.96 1.44 4.11 4.02 4.48
"69" 8.4 6.71 3.84 7.71 5.68 5.34 3.47 9.33 2.01 5.24 2.27 0.44 4.17 5.96 9.35 6.06 3.06 5.25 2.61 4.38 4.06 4.18 3.32 6.21 4.18 1.68
"70" 3.33 5.18 3.29 2.53 4.79 3.87 5.9 3.59 6.43 6.73 4.51 1.41 4.75 5.81 2.92 2.79 4.94 5.81 5.85 3.88 3.38 4.39 4.61 7.57 3.36 6.63
"71" 3.4 3.37 8.51 2.61 5.32 5.51 4.07 2.73 5.56 6.57 4.75 6.27 9.01 3.86 4.27 5.63 6.57 3.41 6.04 5.33 7.54 5.61 8.02 8.44 2.46 5.55
"72" 3.86 3.87 4.03 5.44 5.7 7.47 3.59 4.69 7.26 8.41 4.07 6.32 3.09 7.25 4.85 5.76 7.78 6.88 3.36 7.98 3.67 6.82 5.05 6.3 7.67 3.84
"73" 2.96 2.25 8.18 7.82 5.04 7.7 5.76 6.43 4.68 6.09 0.96 3.38 5.02 2.76 3.52 0.32 3.26 4.84 4 4.15 4.48 5.4 5.93 4.64 5.17 5.51
"74" 4.59 4.62 2.29 7.22 1.95 3.94 6.5 5.66 6.61 2.16 5.93 4.05 6.88 2.44 1.04 9.37 9.13 3.19 2.98 4.84 4.56 1.81 2.31 8.41 4.76 4.18
"75" 7.79 3.66 4.1 2.19 4.52 5.44 4.85 4.5 4.72 6.07 6.62 3.01 5.49 6.27 3.88 4.83 4.67 5.28 5.18 5.76 5.74 5.37 2.68 1.29 2.93 5.78
"76" 6.7 5.44 4.73 8.12 5.67 5.57 2.95 0.88 6.67 6.28 5.85 5.16 2.94 5.46 4.81 6.66 4.96 5.22 6.06 5.07 5.84 4.15 6.45 10.09 5.54 7.26
"77" 6.07 7.11 4.61 4.11 6.72 4.12 6.39 5.87 4.96 0.51 4.59 7.02 7.95 6.94 2.17 5.79 5.5 4.75 5.59 3.8 1.93 3.88 2.09 3.43 7.85 3.36
"78" 3.7 3.11 4.57 7.23 1.61 5.69 3.8 1.2 6.33 2.53 8.53 7.69 7.17 5.39 4.98 6.27 5.07 0.47 3.48 9.45 6.24 4.54 2.12 7.57 4.19 4.05
"79" 5.34 5.75 5.55 6.42 6.38 8.87 3.67 5.33 2.64 3.92 5.92 3.74 -0.51 6.48 8.17 6.21 0.54 2.56 6.06 4.88 2.83 5.52 8.49 3.86 2.59 4.39
"80" 4.57 1.99 5.76 4.25 8.21 4.74 3.32 4.01 6.03 -0.32 5.75 3.76 4.86 8.18 3.73 5.24 8.35 3.5 5.84 3.82 2.8 4.28 0.43 6.79 7.63 5.27
"81" 5.79 6.47 1.77 3.32 4.49 2.7 9 4.94 5.44 3.88 5.54 5.48 8.59 4.45 4.06 5.25 3.58 4.68 2.28 6.16 3.13 4.45 3.43 5.61 5.46 4.69
"82" 3.52 5.53 0.2 5.13 3.77 1.67 3.95 5.28 5.6 3.78 4.78 7.66 4.41 6.41 7.21 2.76 7.7 6.45 6.14 6.64 4.26 2.88 4.87 3.75 3.65 5.34
"83" 9.27 2.96 6.23 0.17 5.58 7.57 5.57 5.21 5.18 6.06 5.63 6.24 2.51 5.18 7.23 4.9 7.54 3.91 4.09 7.12 7.38 5.92 8.47 6.79 1.27 4.54
"84" 6.37 3.8 3.17 7.47 6.31 8.04 4.67 3.21 2.77 7.87 4.12 4.31 7.34 3.32 3.74 -0.38 3.26 7.71 4.29 4.94 4.62 6.41 6.19 7.5 4.15 6.24
"85" 6.26 3.81 3.97 3.47 6.11 3.69 5.17 7.16 8.55 5.07 6.43 8.31 6.8 6.12 8.85 5.71 4.14 5.03 4.42 6.79 2.07 5.96 8.01 4.61 3.24 6.11
"86" 4.9 3.82 5.98 5.58 5.67 6.21 5.99 6.64 4.84 11.13 6.92 8.16 2.97 5.34 3.17 6 3.85 3.74 2.11 8.3 6.02 3.95 5.4 8.01 0.67 5.39
"87" 3.09 6.6 5.41 8.02 5 3.81 4.11 3.81 3.73 5.6 5.11 2.65 1.54 5.75 3.85 7.11 1.9 7.03 6.89 4.18 5.24 4.89 2.53 4.2 7.8 7.4
"88" 1.28 6.25 6.35 8.55 4.86 4.78 6.86 -0.59 2.65 4.53 8.29 5.82 4.45 3.31 10.33 7.4 5.4 5.94 6.95 5.93 4.69 2.99 3.77 8.07 2.66 1.26
"89" 8.2 6.57 5.63 6.91 1.57 8.01 8.13 3.83 1.52 5.07 4.42 1.58 5.04 4.65 3.3 3 3.59 4.33 1.76 3.5 5.72 4.22 6.54 6.29 1.76 3.55
