"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43"
"11" 3.35 6.42 5.53 7.52 4.28 9.13 6.22 6.52 7.14 5.34 8.16 6.57 5.08 5.17 7.33 5.37 3.58 9.15 8.29 7.26 2.37 5.65 5.46 7.63 5.77 7.09 4.05 4.58 5.42 5.8 3.86 5.88 -0.29 5.67 2.74 3.68 9.87 2.96 1.82 5.27 6.02 4.92 2.37
"12" 3.83 4.13 5.19 6.69 7.11 1.61 5.79 7.45 7.72 6.27 9.7 3.34 2.07 3.21 6.28 2.99 7.47 3.31 3.58 0.45 7.17 4.14 5.46 7.69 5.28 3.06 4.64 4.57 5.52 3.91 3.96 5.52 4.89 3.4 6.46 4.24 6.83 6.62 3.65 3.27 2.94 2.25 8.13
"13" 2.76 3.48 4.56 6.88 2.89 6.1 2.07 6.35 6.85 5.16 5.7 5.04 3.03 5.5 4.61 6.24 4.55 2.94 4.15 4.65 6.18 3.77 1.5 6.3 2.11 5.91 5.91 4.79 2.14 3.6 4.8 1.74 6.76 2.7 4.29 5.49 6.2 2.56 5.52 0.28 8.24 3.62 6.36
"14" 7.01 4.84 3.85 5.84 1.92 2.07 3.32 4.64 4.98 5.43 9.91 0.94 9.23 6.1 3.32 4.42 3.57 5.8 6.79 3.01 5.45 3.15 4.73 5.96 7.91 6.38 5.96 5.65 4.11 4.04 6.21 3.28 6.17 7.01 6.99 1.31 3.93 3.69 5.91 5.61 3.23 4.62 3.32
"15" 6.04 3.63 3.93 3.02 2.28 5.22 5.68 7.66 4.48 4.6 5.3 2.81 7.3 7.56 4.14 7.44 2.63 3.52 5.44 6.59 2.6 7.6 0.63 6.21 3.85 6.41 4.44 6.5 8.26 2.63 0.99 4.37 8.2 6.74 7.4 3.52 4.89 1.87 3.59 7.14 5.92 5.93 4.7
"16" 6.28 6.79 6.64 0.64 3.1 6.11 6.98 5.32 3.8 6.69 2.71 6.59 5.06 4.51 1.52 2.78 3.84 3.95 5.61 3.05 6.35 4.22 6.17 3.34 6.67 2.14 1.31 3.58 7.98 4 7.14 3.58 4.6 3.83 4.55 6.2 3.51 3.99 4.03 5.36 3.03 3.13 6.89
"17" 5.33 6.56 4.51 5.03 4.09 7.99 3.97 8.55 4.42 5.64 7.67 5.81 8.28 3.58 5.1 4.57 3.67 6.7 9.55 6.72 4.54 4.58 5.77 3.07 3.53 4.42 4.5 2.91 2.01 3.67 6.03 4.32 4.54 9.28 -2.11 3.28 7.39 5.73 3.95 2.45 6.16 5.63 3.4
"18" 5.2 6.51 2.05 3.52 4.48 4.51 6.69 3.15 3.38 2.11 4.19 3.96 5.15 4.77 6.93 4.32 2.08 6.66 6.87 3.35 6.4 6.66 2.04 6.58 5.42 3.44 4.22 4.35 4.2 4.34 6.22 7.88 2.56 4.08 6.74 1.29 5.83 5.24 0.14 6.96 11.26 2.33 3.09
"19" 2.64 6.21 5.89 3.61 9.13 2.92 4.07 7.92 6.27 10.87 3.57 4.46 3.78 4.78 4.93 4.43 4.53 4.52 4.92 4.33 3.82 5.69 2.6 1.02 4.74 4.78 3.83 5.35 6.65 3.89 3.28 3.44 7.45 1.71 4.49 3.16 5.66 5.35 -0.15 5.33 6.99 7.05 7.52
"20" 4.33 6.03 4.78 7.26 3.29 6.88 5.01 2.44 0.88 8.6 2.34 10.05 4.09 2.55 6.36 4.07 6.19 4.74 8.59 5.46 3.26 7.37 3.8 5.61 7.09 5.13 5.5 4.07 9.27 4.28 4.79 3.54 5.88 5.05 3.95 2.01 4.21 1.73 4.66 7.03 4.3 3.69 3.47
"21" 6.96 5.58 6.87 5.96 5.17 6.64 3.32 3.78 3.25 6.96 3.63 2.1 7.84 1.56 7.12 0.1 7.97 3.81 5.25 4.28 2.64 3.35 3.36 4.23 5.09 6.91 3.78 2.57 5.15 6.01 3.24 6.77 5.88 4.51 6.2 7.35 3.31 2.37 6.41 4.82 5.82 5.91 6.52
"22" 2.59 4.63 7.74 7.48 6.04 3.13 2.33 5.02 7.05 5.89 4.24 5.37 3.83 7.72 5.8 5.23 2.56 1.5 6.04 5.87 4.74 3.67 5.37 7.09 9.55 5.25 3.41 5.86 5.53 7.99 2.36 6.57 4.19 6.03 6.38 3.27 2.83 5.34 2.12 6.57 2.88 5.04 6.41
"23" 9.4 4.59 1.98 1.93 4.93 5 6.65 6.14 6.39 -0.47 3.21 4.87 3.43 5.92 6.78 2.85 5.12 6.75 7.65 6.29 5.76 4.24 2.52 4.03 6.49 5.61 7.12 1.84 5.36 6.47 2.8 0.82 4.59 0.4 6.56 3.15 3.06 4.1 1.89 1.3 7.77 5.93 2.09
"24" 3.96 9.03 6.03 9.54 6.47 4.17 5.39 8.65 3.27 7.06 5.1 2.74 3.65 6.69 6.07 3.31 4.78 7.01 5.27 5.39 3.93 7.58 7.56 2.11 4.48 5.81 2.27 4.05 4.72 3.42 3.61 3.33 4.46 4.22 6.58 5.64 3.97 6.13 3.21 5.38 3.09 4.81 4.16
"25" 2.46 4.67 0.62 2.33 2.73 4.77 6.73 1.65 5.15 5.85 3.66 2.86 4.7 5.1 5.98 3.81 9.17 5.31 4.11 3.95 3.4 2.69 5.15 4.53 3.05 3.21 2.07 8.11 3.73 3.54 2.87 5.51 5.87 3.27 4.02 4.79 3.43 8.47 5 6.46 4.44 3.57 6.31
"26" 6.11 7.27 2.34 3.67 0.99 3.79 3.6 5.58 4.51 7.79 3.77 7.49 5.95 3.72 10.43 3.66 5.17 2.12 6.2 7.46 4.44 4.82 5.88 7.52 3.18 5.86 5.14 3.76 3.34 7.08 6.52 5.66 5.18 5.12 7.69 3.08 6.09 8.58 7.37 4.5 3.64 6.58 5
"27" 3.27 8.37 5.75 5.05 10.64 6.05 7.77 2.07 6.03 4.14 4.88 4.92 1.29 3.7 4.09 0.41 2.73 4.9 5.14 5.47 7.32 3.79 7.17 1.92 8.45 2.69 3.55 12 2.69 3.69 4.85 1.6 3.9 3.98 3.3 6.36 7.5 4.08 4.93 6.54 4.97 4.75 4.85
"28" 4.12 5.32 5.39 5.37 4.98 6.54 3.38 4.69 3.92 8.74 5.19 5.45 7.63 3.84 6.39 3.27 5.8 3.2 8.01 5.52 4.08 4.83 5.53 3.35 7.97 6.73 2.1 4.61 6.46 3.11 4.22 6.6 5.95 4.95 8.53 6.93 5.58 5.07 5.75 8.46 4.83 7.29 1.74
"29" 4.82 3.89 4.5 2.31 7.87 5.2 4.64 3 5.49 2.5 1.95 4.57 3.41 5.82 7.75 4.36 2.53 3.64 6.99 5.77 6.47 4.16 7.44 4.24 2.68 6.26 8.15 2.84 2.1 6.86 7.79 5.01 5.94 4.35 4.84 6.86 3.03 3.55 4.62 9.28 2.56 2.98 1.53
"30" 9.74 6.71 3.76 8.94 4.59 6.83 2.19 5.73 2.91 4.72 7.06 3.03 0.47 6.46 3.69 3.93 5.79 7.25 3.38 4.42 5.9 4.33 8.25 4.72 6.63 6.11 11.17 7.7 6.65 5.62 3.66 1.97 6.06 1.81 2.74 4.45 6.3 3.65 4.43 5.91 4.03 3.63 9.42
"31" 5.05 2.93 -0.85 5.91 4.08 7.08 0.67 2.74 4.07 0.98 4.93 2.42 5.04 4.08 2.45 5.99 2.84 4.49 7.77 5.5 6.25 4.55 6.47 1.81 3.85 5.63 3.08 4.58 5.24 5.71 7.37 5.41 7.99 8.82 0.79 4.65 3.43 2.97 5.51 3.23 3.57 6.43 7.04
"32" 2.55 1.72 8.37 4.36 3.63 6.54 1.21 6.69 3.42 3.39 4.52 7.04 7.63 9.07 5.73 6.48 6.38 6.23 6.17 3.47 6.76 6.03 8.09 1.65 3.71 7.61 2.83 6.22 4.83 7.02 3.2 5.46 2.53 6.93 6.36 4.46 7.81 6 4.81 6.49 6.2 3.42 4.11
"33" 4.71 4.42 4.08 4.39 5.21 2.7 6.45 7.88 3.12 5.87 2.24 9.07 4.58 4.64 5.45 7.74 5.33 5.81 2.7 9.82 2.25 3.56 3.99 2.84 6.53 5.03 5.8 7.09 2.23 8.04 3.89 2.86 4.06 3.97 5.86 6.57 1.49 1.22 3.9 4.06 5.52 5.1 2.86
"34" 8.77 1.1 3.41 2.3 3.64 0.79 5.23 3.97 4.63 8.34 4.37 4.17 5.9 6.78 4.89 2.83 1.89 4.73 3.39 7.32 1.59 8.67 2.34 6.33 6.43 4.01 5.99 1.66 6.28 7.76 2.6 4.49 7.49 5.13 4.24 4.31 5.45 5.46 4.6 3.56 10.36 5.66 5.79
"35" 4.3 3.41 5.91 4.16 2.66 5.74 2.51 2.89 2.08 5.35 4.26 2.2 4.85 -0.94 4.15 4.09 5.44 5.33 4.64 11.53 8.08 4.12 9.48 4.65 3.86 1.91 3.32 1.56 3.83 5.78 4.2 6.36 5.01 5.15 6.42 4.89 4.49 3.52 4 4.29 2.81 4.4 4.55
"36" 4.93 6.35 5.6 2.26 4.22 4.68 2.37 8.14 3.38 3.75 4 5.3 7.59 5.46 7.44 6.12 5.77 9.09 1.26 5.06 9.95 10.85 0.32 5.79 6.83 8.45 5.4 3.05 8.03 4.91 5.59 4.36 3.95 5.26 4.49 4.76 6.29 7.55 2.57 6.73 5.58 4.69 5.01
"37" 7.37 4.6 4.77 5 5.02 3.71 3.5 0.29 6.09 3.02 2.05 5.82 6.15 1.63 3.73 1.85 5.94 1.65 6.84 3.12 2.47 3.34 5.34 6.82 3.58 3.55 6.16 5.12 3.32 6.66 6.12 7.01 4.34 2.79 1.99 4 3.95 2.75 1.51 3.2 7 3.11 8.15
"38" 0.29 1.86 4.73 5.16 3.6 8.78 3.56 5.11 4.42 2.91 5.27 5.28 6.12 7.37 5.68 5.49 7.5 4.09 0.05 6.19 4.75 6.64 5.85 3.16 7.06 3.62 4.84 4.08 3.08 7.69 6.21 3.03 4.81 2.79 3.77 6.11 5.02 4.27 2.55 7.27 5.3 5.32 7.79
"39" 4.09 5.5 6.51 4.82 6.85 4.05 4.07 3.3 5 6.2 5.46 6.41 6.67 0.3 3.01 4.17 2.6 4.06 6.85 7.89 3.35 7.07 5.67 5.01 4.29 4.23 4.06 4.54 4.96 8.48 6.2 3.17 5.34 3.27 7.69 7.98 5.3 2.78 3.5 7.87 4.67 5.75 3.51
"40" 8.42 2.96 -0.01 5.93 5.44 4.34 6.82 6.36 6.45 5.88 6.94 3.76 3.04 5.85 2.81 4.93 3.08 5.36 4.23 1.42 1.45 4.98 7.9 8.85 7.58 6.36 1.42 4.23 8.09 4.19 6.63 6 5.85 2.28 3.61 3.7 3.11 4.95 3.25 5.74 7.1 3.6 5.86
"41" 1.81 5.73 5.89 2.34 5.67 7.68 4.71 3.1 3.89 6.16 2.78 6.76 6.35 7.84 5.21 5.62 2.68 5.9 3.41 -0.25 0.47 4.9 1.84 9.99 1.01 7.23 3.54 7.8 3.43 4.86 10.87 5.24 3.32 5.03 1.46 7.97 6.41 3.61 3.32 7 5.88 2.16 6.17
"42" -0.11 6.63 6.23 3.33 8.64 6.49 4.96 3.23 10.68 5.21 2.41 3.27 7.08 3.69 1.84 4.75 5.85 6.71 7.71 2.03 2.83 9.37 5.15 5.12 3.93 10.1 5.73 0.71 6.69 3.7 4.28 5.32 3.35 1.82 7.68 4.17 5.86 6.38 7.9 5.89 7.38 5.52 6.64
"43" 4.51 6.11 5.13 4.66 2.36 5.88 7.61 5.88 5.09 6.23 3.38 6.33 4.66 4.8 7.1 5.79 6.41 6.95 4.65 6.67 3.05 5.48 6.46 3.98 3.38 4.42 5.4 4.24 5.04 5.32 4.53 2.84 6.54 3.61 6.09 4.39 1.85 8.03 7.46 3.68 2.07 5.17 4.15
"44" 3.18 6.58 3.88 4.56 6.36 6.08 5.52 7.95 6.57 1.93 4.91 7.67 6.18 3.42 7.69 7.02 5.71 3.92 4.18 6.4 7.74 7.39 6.66 6.38 4.4 3.51 8.03 3.56 6.16 7.66 8.62 6.84 4.27 5.68 1.74 4.96 5.26 3.72 7.07 0.79 0.71 4.82 6.62
"45" 4.62 4.42 3.22 3.18 5.98 5.88 2.26 3.63 3.04 1.5 5.96 6.53 8.23 5.31 2.67 6.33 4.75 3.97 2.94 5.97 7.05 6.35 3.53 4.08 6.95 4.46 5.64 4.78 5.19 7.09 1.23 6.65 2.75 4.37 5.36 6.91 3.85 2.63 2.77 6.92 5.98 5.05 4.3
"46" 7.22 3.08 5.14 4.73 3.92 1.48 5.67 6.68 5.49 4.03 1.94 2.51 2.65 4.92 2.59 4.23 7.44 5.52 2.09 6.29 6.3 5.24 5.48 8.15 7.43 6.65 2.53 4.26 5.57 6.74 4.74 7.24 5.6 7.59 6.05 4.64 7.04 3.9 5.61 6.3 3.5 6.53 7.07
"47" 4.71 2.4 5.87 5.48 5.65 5.73 4.9 7.03 5.62 0.57 2.14 5.37 2.48 5.25 3.72 2.63 6.26 8 5.19 8.36 7.52 9.76 3.39 2.52 6.05 1.78 7.34 2.55 5.6 2.86 5.44 6.36 4.37 3.03 1.93 2.93 2.49 6.57 4.39 4.56 3.44 4.81 0.3
"48" 8.12 7.14 1.07 5.17 4.35 7.14 5.4 6.75 6.58 4.13 4.27 7.91 6.57 3.83 4.29 4.99 8.84 5.44 4.94 5.34 7.07 6.97 3.11 5.33 -0.5 7.65 5.71 6.57 5.79 3.55 2.8 1.95 5.64 6.78 5.4 3.41 4.06 5.55 5.26 5.71 2.84 3.02 3.22
"49" 2.78 3.68 6.76 5.9 6.55 6.04 1.59 5.68 4.52 0.74 6.34 6.69 5.08 1.32 3.77 5.04 -0.62 7.47 4.95 5.8 5.66 5.43 5.26 3.13 4.67 0.79 5.6 10.82 7.53 3.6 5.28 2.86 5.43 2.34 2.39 10.41 6.21 7.48 6.08 5.79 2.83 5.15 6.97
"50" 4.1 4.84 5.5 2.11 5.07 2.67 1.38 3.97 7.36 7.34 4.81 5.19 3.2 5.18 4.48 5.1 3.35 5.9 5.67 3.98 2.61 5.24 5.28 4.91 0.99 6.46 3.01 6.38 6.04 5.11 3.73 1.7 5.25 5.08 0.29 -1.08 3.2 2.88 5.57 5.37 6.1 4.34 4.69
"51" 3 5.67 5.4 6.51 1.61 8.66 5 5.1 5.51 7.39 8.04 5.03 6.98 7.5 2.73 1.48 4.04 6.54 5.2 6.32 5.18 0.98 6.64 5.07 2.84 3.79 5.63 5.37 2.84 4.45 7.44 5.11 6.26 0.9 5.09 4.47 6.47 6.03 0.35 5.88 4.99 0.95 7.68
"52" 2.07 6.97 4.23 6.59 6.95 4.71 5.01 7.16 6.64 1.95 6.73 6.34 6.91 4.44 3.54 4.3 4.08 5.41 5.61 6.22 8.03 8.46 7.83 2.01 3.25 2.77 4.88 4.78 3.31 5.37 4.05 5.5 4.02 2.41 3.53 3.82 6.03 5.98 4.12 1.22 5.87 5.13 3.28
"53" 4.42 2.59 3.87 7.18 2.98 4.49 6.74 4.78 4.95 3.91 4.02 7.65 3.43 3.88 6.2 2.5 3.21 1.35 6.31 4.88 5.16 4.75 7.97 3.07 3 6.81 4.92 7.32 3.89 5.05 4.51 5.21 5.49 3.7 3.4 6.4 5.05 3 5.26 5.47 6.23 3.68 6.75
"54" 2.81 4.69 5.42 4.3 5.26 3.04 2.32 4.07 4.88 3.63 5.32 6.59 5.36 6.53 2.36 9.97 4.96 3.33 3.14 5.82 1.9 8.32 6.18 3.35 6.14 6.97 7.45 6.08 6.28 8.09 8.14 5.44 2.77 3.13 5.71 4.21 2.27 4.78 6.12 2.45 5.26 2.79 4.32
"55" 2.88 4.49 7.12 9.27 3.62 7.24 2.44 6.14 6.03 3.68 3.9 3.08 4.2 7.87 7.03 5.9 5.55 4.93 4.93 8.39 7.48 6.48 4.81 3 10.08 1.98 3.62 5.56 5.95 3.32 4.37 4.81 4.38 3.43 5.44 4.16 2.87 4.95 8.36 6.56 3.37 2.81 4.92
"56" 3.16 8.36 3.76 5.47 6.24 7.75 1.72 4.48 5.62 7.99 7.62 8.9 2.78 5.76 2.95 5.82 6.02 6.04 5.33 6.3 5.3 6.48 5.8 5.49 3.67 6.24 6.84 4.12 4.64 5.47 4.32 4.14 4.74 5.86 5.41 5 6 6.23 4.82 3.16 3.92 3.77 3.88
"57" 4.78 1.75 3.02 4.7 5.31 3.9 6.85 4.66 6.48 4.55 3.96 5.58 4.76 1.59 5.2 2.69 5.82 5.74 5.92 3.4 5.78 4.25 -0.1 7.47 4.9 6.34 7.06 7.86 7.54 3.23 7.49 6 4.25 6.62 7.9 5.32 3.34 5.19 6.49 7.81 3.94 7.83 6.11
"58" 7.54 0.63 7.18 7.59 3.36 5.12 2.81 3.86 4.2 6.35 2.94 3.58 3.06 3.4 8.16 6.44 5.36 6.56 4.94 8.21 5.86 7.76 7.05 5.54 5.2 5.95 6.65 8 6.34 2.3 -1.58 4.47 4.08 4.62 2.37 3.48 3.69 5.75 4.25 7.98 9.19 5.2 7.19
"59" 6.14 2.44 3.58 5.31 6.14 3.85 5.41 3.79 3.3 6.03 4.86 3.92 4.82 5.24 4.22 2.85 3.9 3.34 3.42 3.28 5.73 4.88 3.9 4.27 3.68 3.13 8.45 3.96 3.09 2 -0.58 5.84 4.52 3.26 7.08 6.52 6.18 4.19 7.87 5.86 5.9 3.36 6.4
"60" 6.3 3.18 8.36 6 3.54 3.33 4.8 3.58 2.58 2.56 5.69 6.5 3.94 3.99 5.75 3.38 8.38 8.86 5.59 0.33 3.56 8.06 5.91 6.65 3.91 5.28 3.93 3.26 3.43 3.68 6.89 4.66 5.95 6.33 4.27 4.17 4.86 3.7 3.52 2.24 4.69 6.71 3.55
"61" 3.39 5.38 6.83 4.28 9.09 4.82 3.68 5.15 2.88 4.91 5.43 4.02 6.91 4.54 4.48 4.51 4.23 5.27 3.95 3.22 6.46 3.02 0.38 5.54 5.05 5.78 1.47 6.59 3.64 2.14 2.3 5.18 3.33 2.91 4.33 8.32 6.45 3.09 6.41 5.5 8.57 6.13 2.96
"62" 3.68 0.76 3.32 2.39 4.72 7.59 5 5.21 6.97 10.09 2.78 -0.27 8.93 5.15 6.06 6.79 8.12 4.35 6.6 4.42 7.58 5.26 2.95 4.65 5.37 6.62 4.24 5.57 2.37 7.83 5.37 -0.43 5.11 3.16 6.45 1.51 6.38 3.43 4.54 7.1 4.21 8.65 5.4
"63" 6.4 4.98 6.92 2.64 3.76 3.46 3.94 5.98 5.21 6.55 6.38 6.15 4.51 5.16 7.04 5.59 5.36 5.46 4.72 4.4 3.38 6.68 7.15 2.75 2.51 8.76 6.08 2.78 5.07 3.68 6.63 3.25 1.74 4.22 7.35 1.28 6.84 3.23 10.04 4.5 7.91 7.2 7.1
"64" 3.69 4.39 4.43 6.67 5.16 4.97 1.79 4.31 1.2 2.23 5.48 4.33 8.7 2.59 3.24 3.43 2 2.59 6.79 1.65 2.39 1.1 5.55 3.62 7.08 7.41 4.65 0.84 7.96 2.94 9.59 2.17 3.21 5.02 4.2 7.88 1.99 1.93 6.33 7.72 4.16 3.64 6.42
"65" 7.28 2.98 5.4 6.19 5.08 5.92 6.35 3.28 4.4 2.4 4.86 2.05 6.96 6.34 7.95 2.56 6.95 4.7 7.23 6.39 0.25 4.54 6.35 4.25 7.15 4.72 4.49 3.64 1.86 2.78 7.51 5.24 3.63 3.84 7.58 1.1 1.3 7.33 3.32 6.19 3.13 3.37 13.25
"66" 0.75 4.5 4.34 3.32 0.47 6.89 3.64 2.96 4.03 5.13 5.4 8.97 0.65 6.31 9.42 5.38 7 5 3.85 4.73 7.64 2.35 1.97 6.68 8.09 5.18 3.64 10.32 3.92 4.05 4.06 4.23 9.61 2.3 3.34 5.94 0.8 6.49 6.94 7.62 4.67 6.29 5.89
"67" 12.26 2.6 5.76 4.58 7.33 3.75 1.16 4.42 5.53 8.53 7.11 6.77 8.04 5.99 5.02 7.63 7.35 5.11 5.68 5.96 6.04 3.51 4.53 9.89 8.83 6.77 8.39 4.98 5.9 9.89 7.32 5.44 7.25 6.06 5.87 6.8 6.63 5.21 1.13 3.29 2.95 5.46 6.5
"68" 4.53 6.62 2.38 4.44 4.11 3.84 7.1 2.72 5.35 5.67 7.3 1.15 7.11 6.33 3.39 5.63 3.19 3.77 1.71 5.3 2.48 7.35 6.2 7.3 3.89 0.64 2.96 5.65 6.9 4.79 4.04 5.01 6.97 4.85 2.83 7.51 5.1 1.15 7.83 7.55 3.44 4.87 1.82
"69" 4.95 2.85 4.64 2.29 3.17 5.36 3.42 6.01 2.44 2.32 4.91 1.36 6.49 6.13 0.63 5.12 1.05 7.92 4.27 2.91 3.15 5.92 4.27 6.66 3.9 3.91 0.37 6.26 5.02 5.92 6.77 5.13 8.03 4.48 4.48 3.49 3.4 6.13 4.77 5.96 8.54 6.73 2.94
"70" 4.05 3.69 4.97 3.41 5.81 10.08 6.83 1.93 7.24 1.76 5.17 7.84 5.58 3.27 4.42 5.56 6.87 4.16 3.31 4.76 3.08 3.85 2.81 5.41 5.78 3.32 2.9 7.99 4.16 5.78 3.81 3.76 4.93 4.31 8.38 4.7 4.08 7.67 4.34 5.52 2.07 4.33 3.7
"71" 2.56 4.07 8.11 3.86 5.78 5.39 7.02 6.02 4.17 3.67 5.76 6.67 9.22 5.73 6.87 4.03 6.27 5.85 5.74 2.58 0.2 7.53 7.53 5.8 3.51 4.47 4.54 3.88 6.25 9.37 2.85 3.87 6.27 6.82 5.61 4.01 5.28 4.42 4.1 8.38 6.33 6.59 6.75
"72" 6.53 6.9 5.6 6.65 3.82 2.97 9.89 3.36 6.33 8.42 5.08 4.86 7.15 4.09 8.1 5.52 6.66 7.09 8.14 3.37 9.28 4.73 3.3 5.36 4.73 4.12 5.21 7.15 2 6.76 1.57 3.09 7.32 0.39 5.45 5.9 7.09 1.15 1.77 6.29 3.05 4.84 5.38
"73" 0.71 0.48 6.13 5.06 4.7 1.46 4.38 3.52 0.83 5.34 8.01 2.29 5.23 3.41 2.76 7.3 5.42 4.26 3.02 4.18 5.5 9.93 5.08 6.75 4.66 7.15 5.51 3.97 4.16 6.95 4.48 4.71 3.37 4.68 6.77 0.46 2.09 5.39 6.07 8.48 3.65 0.26 4.06
"74" 3.71 5.95 8.34 8.59 6.5 7.36 1.48 2.18 4.38 5.33 4.58 3.8 3.95 5.14 5.89 10.32 5.08 3.32 6.22 3.5 4.88 6.71 5.63 8.66 1.84 6.6 3.55 2.56 2.45 0.98 3.69 5.62 5.37 5.38 7.87 4.76 7.92 3.21 7.67 7.82 4.95 7.13 5.8
"75" 5.08 3.36 3.88 1.05 4.61 5.27 8.87 6.25 4.01 3.49 5.68 1.65 11.55 4.31 5.77 4.89 4.49 4.45 5 8.46 3.51 7.77 6.34 7.23 9.65 4.84 9.24 2.05 1.23 4.31 4.92 4.72 8.06 0.55 6.21 8.02 2.74 6.06 3.05 6.37 2.58 5.46 2.77
"76" 5.55 6.17 4.04 4.14 1.72 6.04 6.04 5.64 5.77 7.15 4.8 5.52 6.57 3.38 3.75 5.75 6.02 4.93 7.65 2.55 0.96 6.02 1.23 6.32 10.91 6.96 3.47 3.72 5.59 4.07 4.19 2.79 7.03 5.56 4.7 6.93 4.84 3.33 5.39 3.34 2.98 2.92 3.55
"77" 5.89 6.41 3.41 5.38 7.27 2.4 7.13 5.01 7.34 5.07 1.31 5.23 6.83 4.69 6.31 1.87 2.94 7.94 4.29 3.42 9.46 8.33 6.3 1.42 5.13 3.64 4.58 2.67 2.27 4.92 3.66 4.35 8.73 1.54 5.54 2.61 5.18 7.51 4.89 6.31 4.56 4.42 5.28
