"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74"
"11" 7.38 6.15 2.69 1.9 6.84 7.11 8.05 5.49 3.58 5.48 5.86 0.17 9.47 5.45 5.93 3.02 5.3 5.22 5.23 4.36 8.61 5.93 5.65 2.61 6.97 6.86 5.31 9.03 5.09 5.54 10.12 0.95 6.61 6.61 8.02 4.08 8.53 7.59 3.73 3.97 9.18 4 6.14 2.37 7.09 5.11 5.72 4.12 5.39 4.48 8.49 5.26 8.2 7.3 8.48 2.56 6.28 6.15 5.07 5.12 5.44 5.77 7 4.83 5.73 6.49 3.59 6.45 6.41 2.08 2.74 0.69 3.11 5.54
"12" 1.28 5.62 4.65 6.43 5.09 8.21 4.76 7.92 4.03 2.33 3.81 3.64 6.05 0.51 4.28 6.8 3.41 5.63 9.53 4.46 3.74 1.38 5.28 5.12 6.22 5.27 2.62 7.07 5.22 7.28 2.31 5.93 9.57 3.91 5.23 6.54 3.36 4.45 5.3 2.47 5.2 3.26 3.76 0.12 3.92 5.33 5.43 5.74 6.66 4.28 4.95 5.71 5.56 5.26 2.56 3.93 4.6 5.89 8.9 7.32 2.74 4.81 4.6 3.93 3.15 3.17 4.76 5.68 8.14 4.47 4.08 5.02 7.69 3.25
"13" 7.27 8.04 7.01 5.76 5.59 4.38 1.04 2.88 6.82 5.63 0.37 8.12 4.67 3.34 4.18 4.58 2.65 7.6 3.95 3.96 3.85 6.29 5.69 1.37 5.34 3.84 4.44 4.47 3.41 4.88 4.55 3.59 2.91 6.02 6.5 4.4 3.56 7.39 5.68 5.69 7.15 8.68 3.34 4.88 2.73 2.46 5.07 3.69 8.71 9.31 5.75 5.25 5.31 5.84 4.85 4.97 1.83 7.39 6.2 6.56 6.05 5.54 2.43 5.83 7.1 6 5.34 3.32 7.41 6.91 7.74 5.65 7.92 6.09
"14" 3.55 2.8 3.12 6.92 5.91 6.73 5.62 5.47 5.82 6.58 5.82 3.15 5.04 6.03 6.83 5.76 7.44 9.13 4.08 1.92 4.09 5.24 7.04 5.25 5.55 5.69 2.65 0.55 6.49 4.84 2.58 4.82 5.66 3.52 4.24 7.61 7.35 6.21 4.48 5.94 2.18 3.22 1.57 1.07 6.32 10.79 5.36 0.42 8.54 3.61 5.08 5.55 1.52 5.62 6.07 4.62 6.01 4.66 8.43 2.31 5.49 5.53 4.69 5.67 1.26 8.99 6.42 8.29 5.13 3.79 2.53 1.38 4.98 4.7
"15" 2.13 6.11 5.29 1.2 2.82 5.25 6.85 6.73 5.07 4.73 3.96 5.87 4.03 2.74 4.11 5.28 6.8 3.51 3.72 6.16 6.86 3.72 3.28 4.77 4.58 3.64 4.74 4.63 7.5 4.61 2.1 6.69 5.48 4.26 3.95 6.99 7.6 5.66 2.95 7.14 6.95 5.72 3.79 5.06 3.75 5.91 8.74 3.37 5.83 7.1 2.9 7.45 3.62 7.66 3.48 2.69 8.69 2.93 7.45 6.82 6.94 3.54 -0.59 6.61 4.62 4.76 5.09 5.33 7.84 2.62 4.07 1.11 5.48 3.57
"16" 9 6.63 4.38 3.91 0.72 4.67 1.15 5.63 4.33 5.11 4.95 4.21 4.59 6.85 4.34 4.6 3.66 5.07 4.33 5.79 2.56 4.82 3 4.68 8.56 4.89 4.17 2.82 5.58 1.08 7.52 2.22 2.16 6.41 4.39 5.2 3.6 3.71 7.42 9.85 4.31 6.31 4.84 6.08 5.01 4.09 6.9 4.51 6.05 4.44 4.01 6.38 4.19 3.45 4.27 3.78 3.78 5.05 7.63 5.37 2.45 4.06 6.97 7.87 4.49 4.47 1.36 6.07 7.15 4.14 3.23 4.99 0.62 0.34
"17" 8.63 5.56 3.71 6.7 5.92 5.08 9 3.3 3.47 6.57 4.55 8.27 3.97 9.15 6.95 3.72 4.81 4.2 2.56 1.78 3.77 5.26 4.77 4.12 5.16 4.86 7.38 1.89 5.06 3.86 7.48 8 7.68 7.16 3.89 6.57 4.64 8.06 5.35 8.07 5.79 2.51 2.18 3.92 8.64 6.96 5.02 7.93 7.93 4.77 9.02 4.11 7.2 -0.49 1.97 7.15 6.86 0.24 4.99 5.03 6.53 3.44 6.48 7.01 8.24 5.11 3.74 6.5 6.36 3.93 1.82 4.04 3.95 3.44
"18" 5.8 6.24 5.74 4.56 2.78 3.36 2.51 6.98 6.54 7.62 6.8 5.3 3.93 6.06 5.93 3.7 5.53 3.5 3.57 3.25 6.66 0.51 7.9 7.66 7.49 5.46 3.67 5.37 4.12 3.07 4.65 4.75 2.14 5.33 6.94 1.99 8.64 2.77 4.59 5.23 7.87 4.78 -0.87 2.13 4.07 7.93 5.37 3.27 4.04 5.01 4.26 2.15 3.51 7.18 7.59 2.86 2.85 8.03 5.35 4.94 4.81 3.63 2.09 3.02 4.89 8.79 4.37 1.28 1.23 7.01 5.64 2.71 6.68 5.58
"19" 3.18 6.15 5.32 4.46 7.48 0.89 6.56 6.25 4.05 5.13 1.84 3.41 7.96 4.09 2.72 4.53 5.17 3.72 4.7 7.54 5.87 4.48 6.33 4.14 4.63 5.44 7.62 2.95 5.94 5.8 1.71 5.68 1.97 4.76 8.26 6.88 5.78 5.8 1.25 4.38 1.3 5.09 5.28 7.36 2.43 3.47 0.73 9.61 2.91 2.84 5.65 8.04 8.08 4.27 6.41 4.99 3.56 5.45 6.49 7.57 4.38 7.07 6.35 4.86 3.27 3.56 6.64 4.96 6.78 9.3 4.89 1.74 3.92 5.6
"20" 5.31 1.25 1.85 6.77 5.31 7.6 5.47 3.6 6.64 5.75 5.61 3.34 7 7.34 6.14 6.5 1.81 4.95 2.58 6.66 2.63 6.29 8.47 6.77 5.04 4.49 4.55 3.66 6.26 4.65 2.73 4.35 4.07 6.86 0.77 6.94 8.3 3.96 5.14 8.02 9.21 6.59 6.17 2.54 7.58 3.1 3.05 6.12 2.87 3.9 -2.93 5.43 2.73 7.75 3.41 3.45 3.98 4.4 0.48 8.08 3.86 2.06 5.87 7.09 6.19 8.17 6.05 4.84 4.63 6.02 4.17 6.88 5.73 7.48
"21" 6.61 2.74 5.41 3.99 2.62 6.6 5.65 5.18 8.41 5.85 6.76 1.35 3.32 5.75 3.87 2.98 4.24 6.62 5.13 5.75 0.72 6.2 4.52 2.29 4.27 5.45 4.11 4.76 2.37 5.37 7.33 6.19 4.98 3.83 7.4 4.38 4.16 4.45 2.37 7.29 7.52 4.52 2.9 4.93 3.98 4.08 5.86 9.46 6.55 5.8 2.55 5.86 2.55 4.94 4.58 5.95 6.78 7.01 3.19 5.78 4.85 5.68 4.88 1.83 0.94 4.58 7.73 6.88 5.14 6.8 3.75 6.95 3.36 7.45
"22" 4.59 3.1 5.87 1.49 5.33 3.85 4.6 5.51 4.1 5.29 4.48 6.9 2.11 3.25 4.64 5.1 4.63 4.08 3.11 6.2 7.45 5.04 6.06 7.2 1.64 8.22 5.05 4.46 1.99 3.11 8.44 4.07 4.03 6.86 5.11 2.22 1.68 2.62 4.56 4.82 5.25 4.2 4.17 4.08 3.5 5 1.94 4.76 5.19 3.58 1.28 4.16 0.45 5.61 4.97 4.67 4.28 5.91 5.44 3.04 4.17 7.8 6.05 4.69 5.08 6.61 5.75 3.31 4.27 9.53 3.67 5.66 9.07 3.75
"23" 5.47 5.74 6.83 5.38 6.82 4.3 3.86 2.37 7.03 7.69 4.14 7.48 5.02 7.22 6.2 4.56 5.25 2.37 2.05 3.64 7.1 3.28 4.95 3.25 3.82 3.45 7.61 2.32 4.17 4.87 7.89 6.27 8.53 0.98 5.61 6.55 6.53 6.95 8.77 2.14 4.44 3.88 7.04 3.74 3.75 6.69 5.79 5.68 3.81 5.55 9.17 6.12 4.77 7.84 3.95 5.73 6.69 3.05 3.97 7.32 5.56 7.75 8.17 4.93 4.08 6.5 4.32 4.67 5.05 4.41 3.17 4.68 0.57 9.99
"24" 2.07 2.96 2.44 5.34 3.6 5.97 5.15 7.15 5.38 3.67 8.89 7.31 6.86 6.25 8.63 5.17 4.23 5.01 0.99 3.06 4.88 8.24 4.63 2.61 7.84 4.37 7.5 2.16 3.85 7.48 5.56 5.22 8.8 2.38 4.84 7.46 7.13 6.35 5.1 7.11 2.98 4.94 3.66 3.02 4.91 6.83 4.09 4.14 3.68 3.27 6.32 4.1 4.47 2.7 3.99 2.19 0.69 6.75 5.08 3.51 2.92 4.88 4.4 4.62 3.68 6.08 6.09 7.25 7.35 6.46 6.63 1.79 3.69 5.9
"25" 7.27 6.52 5.13 5.64 5.41 7.54 3.16 9.07 2.54 3.43 2.55 5.78 5.27 3.22 6.58 4.33 3.64 3.26 6.03 7.47 5.69 7.04 8.98 7.15 6.69 4.89 6.79 5.47 3.02 5.56 2.54 4.66 5.42 4.43 7.78 5.01 3.59 2.28 4.11 7.72 5.29 6.96 7.37 5.1 0.4 4.42 8.5 1.12 4.25 5.62 4.96 8.53 4.31 6.72 4.92 6.33 7.56 5.41 5.17 5.79 2.86 2.66 5.03 3.24 5.57 6.75 2.47 4.49 4.81 3.37 3.34 2.99 3.76 6.37
"26" 9.09 5.52 3.04 8.15 10.16 5.47 4.85 2.37 1.7 8.13 6.35 5.57 4.83 3.28 1.36 7.29 5.44 4.96 3.39 6.9 3.6 3.38 7.39 3.03 6.53 4.51 4.45 3.37 3.35 6.67 6.61 3.29 4.67 7.86 5.85 4.96 5.61 5.98 4.27 4.33 6.46 0.91 3.16 4 4.3 6.31 3.02 1.34 2.92 3.74 4.04 4.86 5.11 5.54 4.77 4.84 4.29 5.5 8.65 6.59 4.46 4.39 8.65 7.05 4.63 7.34 3.83 6.6 8.08 2.96 4.06 5.96 5.59 8
"27" 3.2 5.48 5.81 7.2 4.97 2.63 7.93 3.56 8.96 6.11 4.91 1.44 8.74 1.34 3.91 7.23 6.55 6.47 2.13 5.11 4.35 2.37 3.81 2.86 6.02 6.35 2.64 2.79 3.11 6.03 4.73 5.89 4.12 1.88 10.04 2.45 8.53 3.13 5.23 4.86 5.61 2.51 6.79 4.69 2.17 6.75 5.75 7.53 5.55 2.27 3.48 3.45 5.2 4.23 6.24 5.01 7.48 3.12 7.33 8.8 10.43 4.59 6.27 5.91 1.63 -0.26 4.2 2.32 2.87 2.51 4.74 3.37 4.99 5.24
"28" 6.54 2.92 3.35 6.08 4.09 7.21 6.2 7.05 6.82 2.18 4.35 1.98 9.19 6.35 5.58 6.38 5.24 5.3 4.73 4.77 4.27 5.43 3.68 8 7 4.48 3.44 6.26 7.03 3.1 4.98 5.76 3.44 6.74 3.25 5.59 7.1 6.65 1.88 8.36 2.99 6.51 3.98 6.08 0 3.94 5.53 3.31 3.42 3.99 4.72 6.37 3.97 0.82 1.3 5.17 3.28 2.98 5.74 5.12 6.32 4.23 6.39 7.11 3.13 3.33 1.93 8.16 6.18 4.44 3.62 4.97 4.83 3.43
"29" 7.12 5.07 2.66 6.96 1.44 4.65 2.88 2.52 3.91 6.86 5.33 5.32 4.28 4.12 1.87 5.39 6.33 3.63 4.42 2.56 7.38 6.39 4.27 5.82 8.91 5.67 2.56 2.51 4.1 3.79 3.52 3.41 2.83 4.98 3.11 3.02 6.53 6.83 5.83 5.69 3.02 4.71 4.35 5.34 3.51 4.89 2.84 7.59 6.19 7.57 7.61 4.04 6.57 9.71 6.57 3.36 4.39 3.31 4.15 4.16 5.99 0.43 6.4 7.1 3.08 6.99 2.23 3.34 7.01 2.48 3.74 3.18 3.15 6.45
"30" 5.05 6.64 5.05 3.77 5.2 9.45 0.43 4.69 5.52 5.16 3.39 3.2 3.67 6.13 6.36 3.99 3.44 2.57 5.59 2.84 2.39 6.33 6.49 5.07 2.54 4.64 7.39 3.52 2.54 1.52 5.48 4.9 4.47 4.08 3.98 10.66 4.49 5.67 6.87 4.71 5.69 2.34 5.68 7.67 4.83 4.06 8.75 5.76 4.05 1.68 6.07 5.63 3.32 4.65 7.75 4.57 6.42 5.56 3.95 8.06 6.03 4.98 6.33 5.34 7.12 7.1 4.15 4.05 2.05 5.84 4.33 8.29 4.38 8.97
"31" 2.88 7.03 3.88 4.49 3.51 3.82 5.71 4.05 2.87 1.65 6.04 1.53 4.99 6.72 3.15 2.65 6.23 3.71 6.39 7.26 7.47 4.29 6.49 2.76 5.44 3.97 5.62 5.24 7.85 6.56 1.87 5.54 3.7 3.13 5.96 9.18 0.76 7.62 6.28 4.83 4.73 5.73 2.71 5.04 4.93 6.23 3.85 5.26 3.71 6.36 4.68 5.84 2.98 5.1 5.07 6.27 3.57 3.17 2.37 4.01 2.71 8.75 5.46 6.73 2.39 5.23 4.29 4.39 8.57 7.45 3.22 9.03 5.86 4.29
"32" 5.25 6.25 7.12 4.2 2.08 2.93 5.71 7.04 3.63 3.67 5.34 6.06 5.88 4.54 6.97 7.22 6.65 4.88 5.08 2.3 5.16 5.39 4.67 8.48 3.64 2.9 5.83 2.12 6.62 3.72 4.61 8.92 4.07 5.62 3.79 3.94 3.38 5.93 5.2 4.29 4.46 5.38 6.92 2.8 3.84 3.23 3.75 7.32 0.45 1.95 4.04 4.91 3.47 6.02 5.6 6.82 8.36 6.77 4.77 5.68 6.2 6.64 9.17 7.62 4.34 6.97 5.14 4.3 4.48 7.69 4.92 4.66 5.83 5.39
"33" 8.4 10.7 6.23 6.41 6.19 4.71 3.07 7.13 3.28 2.59 6.56 4.45 6.49 6.15 6.06 5.18 4.32 9.16 4.35 10.9 5.22 5.6 6.52 4.44 -0.38 5.04 6.06 3.53 4.5 6.85 5.11 3.05 2.09 4.43 6.18 4.66 7.52 6.74 3.9 5.76 4.64 5.57 7.4 5.81 9.19 1.91 5.18 8.49 5.52 3.51 7.22 2.07 4.84 4.03 6.34 5.12 5.73 7.09 8.03 3.76 4.4 4.71 3.72 12.11 2.14 5.23 4.72 6.11 3.39 6.23 2.85 2.85 8.58 6.52
"34" 4.15 1.84 7.09 4.82 4.11 2.12 5.44 4.86 2.09 5.01 6.57 3.13 6.34 5.3 4.65 4.17 6.48 3.59 11.19 6.22 5.52 3.84 3.57 3.49 3.11 5.81 6.16 7.03 3.57 5.74 0.42 9.22 6.95 3.72 5.6 5.4 4.28 5.83 8.36 5.36 5.03 4.31 6.81 3.92 4.02 4.25 5.29 5.52 4.45 1.71 3.26 1.22 5.14 5.57 5 3.12 6.77 7.61 2.53 9.95 6.38 2.07 6.77 4.72 2.31 2.41 5 4.99 6.17 3.88 9.12 4.37 6.34 4.98
"35" 6.81 2.96 2.9 5.72 4.29 5.04 4.37 4.7 5.45 5.63 7.74 0.62 1.36 6.48 3.32 5.51 0.02 5.61 4.59 3.92 4.16 5.86 4.95 3.87 5.76 3.27 5.62 5.16 2.98 4.35 5.92 3.09 8.26 4.89 6.99 4.81 5.55 6.47 5.22 8.05 3.25 7 6.58 6.13 5.38 4.92 5.1 5.96 3.78 4.86 6.66 6.53 4.82 6.81 5.9 2.53 4.04 7.27 4.23 4.1 3.38 3.62 6.97 6.71 2.02 6.95 5.85 2.92 2.04 6.64 4.56 6.71 3.01 5.49
"36" 6.05 8.78 8.34 3.76 5.26 8.64 2.29 6.6 8.12 4.66 1.47 6.19 7.17 1.96 4.03 3.54 5.9 5.33 3.44 4.31 7.59 7.04 9.06 3.75 4.21 6.54 0.78 4.81 5.68 6.01 6.3 6.54 6.69 2.35 4.37 4.41 4.48 4.84 3.45 4.15 8.26 -0.02 4.92 7.05 4.51 4.27 5.4 5.03 7.01 3.84 8.29 5.6 5.44 6.05 7.85 6.55 6.2 2.52 5.69 2.92 4.03 5.01 10.47 7.41 2.37 5.71 9.06 6.28 3.1 2.76 2.88 3.37 1.87 5.52
"37" 6.52 4.87 6.57 8.74 6.33 5.75 8.21 4.15 2.44 4.69 3.43 8.31 6.95 3.31 2.59 6.89 6.06 5.49 3.39 3.42 6.08 5.66 3.34 7.53 4.86 2.21 6.16 5.13 3.68 1.66 4.72 7.38 5.44 3.43 6.05 7.7 5.52 4 5.44 3.54 6.43 1.63 5.25 2.38 6.24 3.39 5.71 3.1 5.52 11.27 5.36 3.43 6.96 8.93 4.87 7.7 2.46 4.56 2.89 7.34 3.27 1.63 4.75 6.42 4.38 5.78 4.74 1.03 4.17 6.39 5.22 1.21 4.35 3.59
"38" 7.43 6.31 6.63 7.44 5.9 5.32 8.57 5.29 3.5 6.26 6.38 2.54 4.35 6.77 4.12 2.86 6.34 4.63 3.96 3.43 5.75 7 1.81 5.32 4.47 7.12 7.24 5.32 5.43 5.67 7.43 5.33 2.26 8.55 2.66 1.98 3.1 6.57 3.75 5.68 2.01 6.96 6.4 6.22 3.77 6.15 4.67 3.37 3.54 4.87 2.17 8.35 4.31 6.53 8.81 1.24 5.99 5.17 3.96 2.76 6.6 3.46 4.68 6.77 7.11 5.1 7.03 3.67 7.39 5.57 2.02 7.76 6.83 4.62
"39" 8.79 4.11 5.98 6.51 7.91 6.64 3 7.67 6.41 4.44 7.72 6.29 4.61 6.42 4.14 7.01 5.86 4.64 4.49 2.64 2.57 8.99 6.08 6.17 5.58 4.57 4.22 8.99 5.11 5.96 2.86 4.94 3.52 5.29 3.31 4.77 4.33 4.14 3.44 6.5 7.79 4.02 3.67 6.35 5.94 4.01 0.98 7.2 3.96 6.5 5.72 8.95 4.75 3.01 2.75 6.13 3.34 5.69 5.45 2.48 5.26 4.44 4.59 8.45 5.63 4.69 4.73 4.68 1.67 5.33 5.64 4.84 4.97 6.07
"40" 4.63 4.1 5.1 6.6 6.26 3.34 4 6.82 5.82 5.71 2.77 6.11 3.52 6.74 -0.23 8.68 5.5 2.08 3.94 6.05 -1.01 5.69 8.83 7.57 1 3.3 3.24 1.42 5.67 5.05 5.13 4.61 2.18 4.53 8.06 3.69 7.85 7.51 4.69 6.18 7.61 6.04 3.54 6.69 0.32 6.28 6.09 2.31 4.21 2.39 5.4 4.64 7.43 4.62 3.37 6.15 3.5 7.73 1.53 2.15 6.13 1.5 1.34 9 2.13 3.02 4.18 2.59 3.7 2.46 3.73 3.25 4.52 3.18
"41" 2.79 5.89 6.21 2.27 3.48 1.98 4.57 7.57 3.67 2.22 8 6.47 5.07 2.78 5.15 3.88 3.77 2.15 7.37 8.11 6.5 6.24 6.65 7.58 4.56 5.74 7.53 2.79 5.03 1.47 1.43 3.95 5.45 2.57 4.1 4.61 10.58 5.13 3 4.98 5.6 2.84 3.72 5.35 4.95 3.61 5.42 3.28 3.5 6.34 2.73 5.72 6.11 7.42 6.24 5.92 4.59 6.19 3.77 10.6 5.8 7.05 6.67 5.75 6.32 6.88 6.74 4.45 9.6 6.33 3.09 3.9 2.99 7.22
"42" 4.06 3.44 5.72 3.78 3.46 3.62 7.11 2.47 1.01 2.7 1.88 4.58 4.25 5.49 0.92 6.46 3.91 6 4.63 7.66 1.88 3.97 2.82 6.36 5.81 3.24 5.11 1.03 5.33 3.84 7.5 6.89 5.32 3.23 5.13 6.05 5.84 6.38 1.45 2.99 6.33 7.18 4.2 1.7 5.35 5.92 6.81 3.6 4.48 5.65 3.49 4.82 7.53 4.6 3.82 2.73 6.33 5.03 7.58 3.46 3.4 6.36 1.14 5.45 6.14 6.51 6.29 4.6 3.79 8.41 5.02 4.24 -1.17 5.26
"43" 5.15 2.9 7.96 -0.38 2.29 2.72 6.28 6.62 6.45 4.95 0.24 5.31 3.79 5.04 6.04 4.38 5.77 1.66 5.71 4.44 4.5 4.78 5.37 5.76 7.05 5.23 4.26 5.79 4.6 5.51 0.95 3.6 2.61 5.48 3.42 8.07 8.56 6.25 4.97 4.93 5.21 5.31 5.12 6.98 8.5 5.91 7.2 2.92 4.64 4.74 1.78 3.86 7.25 9.7 5.82 8.06 4.82 7.02 2.14 6.45 9.3 11.49 3.78 8.21 5.42 5.54 4.74 9.31 2.61 3.79 4.24 5.38 6.92 5.15
"44" 5.75 4.99 2.19 7.77 8.91 1.81 8.46 5.53 7.26 6.81 3.5 3.06 1.57 4.32 9.6 5.69 4.37 4.5 0.65 5.38 5.72 4.78 3.46 3.78 5.05 6.72 3.2 7.16 5.08 4.38 5.6 9.17 4.57 3.16 7.88 3.02 5.27 4.02 4.34 6.68 5.85 6.6 8.87 3.53 5.48 1.71 5.38 3.58 1.08 6.19 4.73 4.92 3.97 3.63 4.62 2.74 3.69 5.99 4.98 6.04 7.3 2.3 3.79 4.13 3.82 7.76 3.6 5.85 7.23 4.45 7 4 2.24 6.53
