"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28"
"11" 3.89 9.51 4.11 2.69 3.31 2.55 6.87 4.18 9.11 4.42 4.55 4.24 6.76 6.16 5.57 5.8 5.51 3.59 3.74 6.22 7.44 4.04 3.03 3.88 6.85 5.49 5.72 3.05
"12" 6.82 5.17 5.89 6.12 8.23 6.05 7.04 6.61 4.63 6.64 4.12 11.46 8.34 6.48 2.6 6.42 3.91 7.9 3.81 5.9 7.45 4.55 4.82 5.99 3.44 7.21 3.59 6.37
"13" 6.23 6 4.11 5.5 1.11 4.79 6.09 6.68 7.18 1.82 6.29 4.89 0.24 3.22 3.46 6.35 3.14 5.01 1.04 1.49 4.63 2.63 5.11 6.32 5.01 5.07 3.1 8.44
"14" 2.1 7.45 5.36 5.06 5.56 3.33 3.94 6.68 7.4 7.61 4.01 2.37 7.13 5.11 4.4 3.69 8.96 1.38 2.15 3.49 7.32 2.33 5.14 6.74 6.69 4.81 5.8 1.8
"15" 5.73 -2.93 8.79 5.12 5.6 3.46 7.68 4.57 5.42 5.06 4.87 5.41 6.87 5.01 9.66 4.15 1.65 5.86 4.02 5.28 2.39 2.53 4.58 2.97 1.51 5.31 4.13 4.15
"16" 6.57 8.97 7.19 4.94 4.35 2.22 6.54 6.99 4.8 8.89 2.8 4.06 7 4.47 4.06 3.95 6.2 3.12 4.58 6.23 6.9 4.43 3.44 3.72 6.24 5.2 2.47 3.39
"17" 4.47 3.64 6.21 4.07 6.35 8.36 5.49 4.78 3.26 5.18 5.61 7.03 2.45 6.4 9.12 5.38 2.61 6.04 7.95 5.76 3.71 2.79 6.75 5.92 3.19 3.77 7.16 7.86
"18" 7.15 6.8 3.69 5.1 9.35 4.89 7.55 5.19 5.46 1.68 7.49 9.03 5.1 6.96 3.28 6.21 1.65 6.29 5.33 3.47 7.21 1.72 5.71 4.86 5.17 4.3 3.67 3.4
"19" 3.31 8.98 1.87 2.47 4.62 3.93 5.21 3.92 3.08 5.15 4.91 7.5 5.6 7.75 5.76 5.38 6.48 8.16 2.53 7.74 7.42 5.41 2.73 5.87 2.95 3.57 3.32 7.03
"20" 5.17 5.18 6.63 3.26 5.35 3.86 -1.44 4.8 3.9 2.34 4.5 4.2 3.91 2.03 7.66 5.34 3.88 3.62 3.95 6.01 5.65 6.03 5.93 6.26 4.62 7.15 7.44 5.71
"21" 2.23 3.1 1.74 1.72 7.77 3.89 5.51 4.75 5.91 2.39 4.94 2.12 4.81 3.85 6.13 6.56 7.21 6.97 7.03 4.98 4.78 -0.72 2.99 3.47 5.34 1.65 3.51 4.23
"22" 6.17 6.49 6.2 5.28 2.87 2.03 2.99 6.43 1.47 4.17 6 5.7 4.22 4.25 5.82 5.02 5.46 3.41 0.38 2.6 7.35 5.04 2.59 6.33 4.51 7.32 5.77 8.58
"23" 4.95 4.12 2.61 1.19 2.95 4.21 2.88 9.63 6.56 4.08 3.5 6.76 3.67 4.94 6.36 5.4 3.76 2.36 6.49 1.17 3.19 2.86 3.65 6.53 3.63 6.52 4.51 5.89
"24" 4.81 0.69 2.92 4.99 8.46 3.75 5.67 6.51 2.85 6.79 4.43 5.61 6.14 3.73 7.43 6.49 4.15 5.67 6.14 4.52 3.85 6.29 3.23 4.74 1.4 4.28 3.25 7.46
"25" 0.22 6.55 5.27 3.86 2.22 6.75 1.43 6.03 2.2 7.17 5.78 7.36 2.93 5.75 4.91 8.99 5.08 4.22 7.63 1.74 4.8 5.06 7.55 5.58 3.84 2.09 3.96 6.49
"26" 3.24 3.65 6.79 5.31 3.97 5.15 6.12 5.39 9.56 7.46 9.33 2.78 3.29 4.78 3.67 7.34 5.82 5.6 6.98 8.08 6.32 4.88 2.22 6.76 0.62 4.14 4.64 3.16
"27" 5.15 3.34 6.54 2.54 3.22 9.88 6.26 4.84 3.8 6.34 2.69 6.53 5.77 1.88 5.3 2.17 0.35 2.59 4.11 7.04 12.1 4.04 2.83 3.43 3.47 3.78 4.33 5.26
"28" 5.95 5.64 3.28 6.84 3.71 4.61 5.19 6.83 5.72 10.05 3.47 5.47 4.41 1.5 5.26 4.38 1.37 6.99 4.5 5.07 4.21 3.96 7.74 3.71 1.74 6.65 5.71 3.5
"29" 5.37 5.87 6.52 8.08 5.03 8.58 5.88 5.06 3.62 2.15 6.97 5.79 4.18 5.86 9.37 8.61 7.64 5.45 4 6.64 2.92 3.87 3.43 6.52 3.84 6.27 4.46 5.29
"30" 4.65 5.64 3.6 2.42 1.62 3.76 5.01 4.45 3.93 5.09 6.15 5.35 3.07 4.99 6.56 6.12 5.7 3.01 5.77 6.52 6.79 5.99 2.85 5.6 5.79 4.13 4.4 4.9
"31" 6.75 7.48 9.34 7.31 5.5 3.28 5.02 3.58 6.3 7.4 2.98 6.71 4.77 3.37 2.49 2.6 0.31 2.81 5.16 3.4 4.34 4.94 5.56 7.6 4.33 4.18 4.06 5.27
"32" 5.65 4.73 7.28 5.91 6.7 6.92 6.16 4.99 3.42 7.7 7.56 5.41 3.2 1.89 3.03 6.15 5.02 4.48 4.53 4.12 6.15 3.83 2.61 7.35 6.89 3.21 2.35 5.19
"33" 6.77 9.44 8.57 7.37 4.83 5.01 2.24 2.89 -0.23 3.76 6.53 4.84 6.33 8.94 8.93 3.1 2.91 8.64 4.94 10.33 2.42 3 4.99 3.3 4.99 8.83 3.53 5.75
"34" 2.86 5.57 7.81 3.08 5.43 3.36 3.03 6.85 5.17 4.33 4.78 4.27 3.71 2.69 9.43 6.64 5.77 0.86 6.58 3.68 7.96 5.52 4.15 7.02 4.64 1.57 3.98 4.21
