"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"11" 2.84 1.27 5.68 8.36 7.04 5.89 3.25 3.71 8.36 5.22 6.56 6.48 7.22 4.59 3.64 6.86 5.61 4 5.15 8.05 4.83 5.02 4.96 6.62 5.63 2.47 6.15 4.75 4.14 4.22 3.89 2.99 4.7 6.02 2.18 6.86 5.99 9.02 3.49
"12" 5.59 4.18 4.38 8.26 6.51 3.74 8.02 4.72 6.3 4.42 3.3 1.6 6.27 2.35 7.76 8.52 2.92 3.14 2.82 4.73 9.06 6.31 4.24 5.43 4.05 3.69 2.86 4.34 6.42 6.69 4.89 0.04 3.6 0.4 7.82 3.28 1.73 4.25 4.8
"13" 4.69 5.68 6.45 3.68 6.15 3.28 6.22 3.76 6.11 5.04 4.39 6.81 0.96 7.18 6.38 5.97 5.81 3.06 5.11 5.09 5.23 4.59 7.58 3.98 3.09 5.1 7.13 6.06 3.08 7.11 5.9 5.65 5.05 3.83 4.66 4.87 4.39 1.59 5.98
"14" 6 2.36 4.7 3.08 3.87 4.94 4.18 7.99 3.7 6.35 4.29 3.06 4.5 5.53 8.28 3.03 4.29 5.84 8.81 6.87 5.68 5.94 6.19 6.15 7.08 4.49 5.55 5.15 5.6 3.45 4.28 1.28 3.74 4.45 6.02 -0.64 2.33 6.33 5.5
"15" 6.9 5.19 5.46 5.14 4.17 3.53 6.12 6.18 5.13 4.82 4.86 4.88 4.05 5.71 5.74 4.5 5.27 4.35 4.05 5.32 4.78 7.87 6.97 3 3.29 4.9 3.08 8.22 4.4 4.63 5.71 3.7 4.58 4.1 4.12 4.05 5.33 7.32 8.23
"16" 11.69 6.44 0.36 4.74 1.43 9.45 2.92 8.33 3.37 6.43 2.76 7.58 5.9 3.24 4.49 3.08 6.04 4.01 6.28 4.06 3.69 6.5 4.42 6.32 2.52 6.99 4.72 6.75 6.76 4.11 5.49 4.05 3.02 1.91 5.26 2.24 4.69 4.55 4.65
"17" 4.71 2.06 8.2 6.6 5.12 6.01 7.32 6.32 5.76 5.45 4.11 5.17 6.71 7.03 3.73 5.11 4.19 4.66 5.01 2.42 2.98 6.62 3.67 3.7 4.14 6.91 5.14 3.63 5.44 5.84 5.37 9.36 2.93 5.23 4.28 6.95 3.15 0.38 6.24
"18" 1.6 8.98 4.66 6.07 5.76 5.39 2.41 7.59 4.55 3.53 5.57 5.98 3.12 4.22 4.68 7.7 5.48 5.9 5.47 8.19 6.67 2.97 2.22 7.53 1.86 6.41 5.1 3.36 7.47 4.45 4.71 6.23 5.75 8.51 2.71 2.76 0.8 4.06 4.92
"19" 3.3 4.56 3.06 3.42 6.26 9.42 7.63 3.05 9.26 5.34 5 7.44 5.94 4.73 3.25 1.87 9.07 -0.11 7.69 8.58 7.56 1.49 4.49 1.3 4.17 6.06 7.7 4.33 7.36 4.43 7.55 3.87 6.87 5.72 3.12 3.93 8.45 5.72 8.14
"20" 5.78 5.04 1.44 2.02 4.83 2.52 6.14 5.05 6.96 4.83 6.53 6.44 4.06 8.4 7.74 6.08 6.28 4.51 7.54 3 8.56 6.81 6 7.03 4.41 4.28 6.23 5.75 6.76 7.01 7.65 4.46 4.88 3.66 8.08 4.33 7.47 5.64 8.32
"21" 3.44 7.18 6.79 3.48 0.97 1.13 4.8 2.67 4.21 4.41 7.72 1.83 7.33 2.62 6.12 6.06 4 3.45 3.24 9.28 5.98 5.86 8.68 2.32 6.99 3.7 6.27 7.07 2.45 3.85 6.29 5.31 5.01 4.55 4.82 3.98 5.28 2.54 8.7
"22" 6.23 5.55 7.23 2.39 7.32 5.22 5.17 2.09 7.68 3.32 6.39 5.81 7.91 2.63 4.45 3.82 4.84 4.14 5.84 1.48 4.7 5.23 4.21 4.83 4.92 6.88 1.84 6.67 9.39 5.7 5.93 6.37 4.47 8.47 5.8 7.26 5.17 5.37 4.35
"23" 2.37 4.53 7.55 1.49 6.2 3.95 4.34 2.73 3.5 2.95 0.58 10.21 6.02 1.05 6.39 6.31 3.12 6.97 5.32 5.11 7.4 1.89 1.31 2.44 5.89 5.42 1.98 6.55 3.12 2.63 3.94 3.26 3.37 3.23 2.89 7.41 6.12 5.53 4.03
"24" 6.81 5.69 4.33 7.7 6.36 2.06 5.19 1.5 5.91 5.56 3.3 3.13 3.65 3.09 8.68 8.45 2.56 0.29 2.88 4.26 5.39 3.8 5.14 4.72 4.83 7.46 3.76 3.72 3.92 8.2 4.69 4.49 5.86 8.04 6.8 6 4.44 8.15 5.32
"25" 3.69 5.46 0.84 4.17 3.5 3.01 5.1 6.17 5.11 3.08 3.28 6.54 0.68 4.7 4.23 4.82 3.91 4.6 7.25 3.97 6.41 7.04 5.47 7.68 2.48 5.26 3.64 3.97 6.42 7.3 5.91 2.8 4.66 3.63 3.35 5.35 8.04 4.93 6.94
"26" 2.68 5.37 1.05 2.25 5.83 6.79 6.76 7.3 6.99 6.15 4.08 3.06 5.97 6.65 6.14 4.2 1.46 4.34 4.82 4.15 6.68 4.99 2.72 3.59 1.17 4.53 2.96 3.1 1.53 4.36 8.76 2.96 6.72 2.08 5.61 -0.82 5.71 6.24 7.8
"27" 2.51 1.27 7.09 5.18 4.3 4.92 7.25 6.34 6.06 2.97 4.57 4.98 5.62 1.42 5.2 5.14 6.65 8.56 6.75 5.14 4.29 4.01 6.31 3.48 5.12 2.71 5.67 3.2 7.62 2.84 5.29 7.5 4.84 3.62 5.72 4.13 8.82 2.09 6.55
"28" 2.95 -0.14 6.45 3.41 3.24 6.18 6.3 7.15 5.5 6.99 4.12 5.16 7.74 1.84 4.83 7.48 4.39 2.95 8.21 6.56 8.07 3.81 6.39 6.62 5.9 3.63 6.91 7.96 4.96 4.27 3.48 2.43 5.32 5.19 4.84 5.13 0.26 5.83 3.51
"29" 4.19 6.71 4.59 7.23 5.77 5.17 1.33 7.07 7.2 6.44 6.35 5.96 6.34 4.87 2.1 3.43 4.26 6.33 3.05 1.86 5.38 8.08 5.93 6.6 7.38 4.37 5.5 6.68 4.75 8.31 8.54 2.15 3.48 5.4 5.88 6.31 3.43 2.6 2.41
"30" 3.98 5.12 3.17 7.62 3.76 3.97 6.16 4.15 1.4 1.84 4.77 7.71 7.99 3.02 4.28 5.29 4.44 4.7 6.15 3.84 5.51 2.92 7.04 5.28 1.88 5.1 5.33 6.09 4.2 5.51 2.72 7.06 3.37 6.13 7.3 5.76 5.56 3.54 3.59
"31" 3.53 4.41 4.94 0.86 7.54 3.55 5.8 4 2.29 5.04 5.47 3.44 3.77 8.51 0.34 3.6 9.16 5.62 4.05 6.96 4.43 8.05 2.98 5.59 3.4 6.95 5.18 1.19 5.54 2.8 4.4 3.66 2.49 4.26 8.49 6.17 4.46 2.26 8.96
"32" 5.56 5.76 4.42 3.03 9.74 6.61 8.48 4.55 4.09 5.41 4.91 0.23 4.31 4.66 6.06 4.29 3.46 5.44 4.36 3.68 1.1 9.44 3.93 7.71 1.7 10.48 3.81 4.28 5.3 4.84 5.96 5.39 3.77 2.59 3.75 4.06 6.11 5.51 7.09
"33" 8.51 5.87 4.1 3.52 3.72 3.78 5.02 5.96 3.01 5.4 6.53 6.44 3.33 4.93 2.02 5.14 5.91 5.61 4.14 4.46 5.04 2.57 6.39 3.54 3.43 2.36 3.52 2.77 6.86 2.92 11.26 4.74 5.77 7.01 3.1 2.13 9.09 6.33 7.43
"34" 5.67 4.49 10.24 7.72 5.63 0.64 5.24 3.44 4.16 4.6 6.81 6.57 7.47 3.83 6.56 5.59 4.63 5.57 3.82 5.15 4.5 4.02 6.54 4.72 4.32 7.46 4.81 6.01 5.51 2.58 4.51 5.55 8.36 3.63 9.22 2.26 5.46 1.47 5.45
"35" 1.68 5.51 3.49 6.93 5.35 6.85 7.7 4.25 8.81 3.68 5.58 3.59 2.81 5.3 3.99 3.8 3.83 0.41 5.48 4.93 8.03 3.65 2.79 3.47 6.49 2.72 7.66 6.65 2.43 6.11 5.34 7.15 4.09 4.31 7.35 2.49 3.66 4.32 6.27
"36" 3.05 5.15 3.3 5.37 1.84 -0.05 9.36 2.49 2.49 2.72 7.99 4.81 7.12 -0.82 7.66 8.69 3.06 6 4.42 6.49 9.39 5 5.26 3.92 7 3.54 7.51 6.09 3.4 4.53 3.61 1.61 6.02 5.68 5.15 6.36 2.33 2.85 8.57
"37" 4.58 2.15 6.17 7.04 4.03 6.54 3.33 3.89 2.22 6.03 8.02 5.27 9.22 4.07 3.65 5.42 4.99 5.45 3.46 6.07 3.8 6.15 5.76 2.57 7.43 8.98 4.54 6.29 4.5 7.52 0.71 3.37 4.92 7.75 1.47 1.77 6.47 3.41 3.27
"38" 3.28 5.38 3.62 5.59 5.82 3.57 7.21 2.89 2.48 2.79 6.76 2.19 3.36 3.13 4.68 4.93 4.77 8.68 5.37 5.46 4.61 4.18 4.87 4.55 2.52 5.99 3.44 0.89 1.49 5.05 5.25 6.67 4.61 4.46 4.09 7.99 3.69 4.59 4.26
"39" 8.5 7.99 5.23 3.51 4.08 6.43 5.86 3.99 5.27 2.99 4.66 6.55 7.52 6.15 4.61 4.75 2.5 3.56 2.5 3.97 2.98 1.39 7.52 2.95 5.33 0.66 2.75 5.13 2.79 4.57 1.59 6.66 4.83 4.21 7.41 2.82 5.76 8.1 4.07
"40" 4.67 5.01 2.93 7.23 7.43 3.58 1.84 2.88 5.75 5.82 1.89 7.68 5.3 1.96 3.48 5.88 5.57 8.42 3.25 5.17 8.29 3.45 6.6 6.61 7.27 4.61 5.37 6.54 -0.55 5.59 5.59 4.38 7.21 3.87 8.03 5.76 7.13 4.79 4.2
"41" 2.24 1.15 7.04 6.92 2.5 1.82 -0.02 8.79 6.11 4.56 4.42 7.38 5.92 2.51 6.69 4.06 7.24 8.24 4.71 5.41 5.7 5.05 5.12 3.99 0.79 4.46 7.7 6.32 6.1 3.31 5.34 9.57 6.76 7.81 8.09 4.39 7.27 5.91 5.69
"42" 9.22 10.32 5.76 1.76 7.27 2.58 5.53 7.73 4.49 5.24 4.7 4.96 2.53 3.01 5.14 3.32 5.69 7.41 7.35 3.24 4.31 3.79 5.53 6.95 8.31 1.23 6.33 2.93 1.6 7.18 4.64 3.91 5.11 0.81 4.23 1.96 6.61 4.86 5.66
"43" 4.46 6.05 1.24 7.11 4.03 7.48 4.06 0.57 8 3.8 3.66 5.8 5.72 7.34 3.76 5.35 4.07 9 2.49 4.2 7.98 5.24 0.54 7.57 3.76 2.86 8.78 4.77 5.11 3.33 3.43 7.5 4.67 7.21 5.8 2.56 3.8 1.7 6.08
"44" 3.68 6.14 4.52 5.6 7.24 4.09 2.62 5.11 5.93 6.91 8.31 6.85 6.43 5.17 10.02 3.12 2.31 4.13 2.84 6.3 5.08 3.74 4.91 6.2 1.54 6.23 5.96 5.88 4.22 8 5.26 5.17 5.95 4.09 4.4 5.23 4.37 1.83 6.71
"45" 7.21 2.93 7.53 3.7 1.76 5.41 4.38 5.67 5.87 5.04 4.05 4.57 5.99 4.32 -0.46 3.89 4.89 4.71 9.54 4.25 4.51 5.41 5.69 2.58 2.73 5.53 3.95 8.17 5.46 1.02 7.03 6.67 6.49 3.62 5.26 4.01 6.25 5.17 5.09
"46" 2.88 5.91 3.99 4.06 4.45 7.26 4.35 4.75 8.01 4.47 7.01 3.16 8.13 7.09 3.39 1.49 7.67 5.48 0.16 3.32 6.36 6.89 3.27 5.43 1.53 4.11 4.37 8.2 8.76 5.36 7.53 7.46 6.81 7.09 5.99 7.79 2.93 3.47 6.64
"47" 5.52 4.55 7.21 3.73 6.67 7.36 6.4 6.29 4.39 8.22 3.97 8.02 0.67 3.18 9.58 3.5 0.34 2.73 3.39 1.74 4.96 5.28 3.39 2.38 6.74 4.37 4.25 7.61 4.53 6.46 6.1 6.48 6.04 5.57 8.66 5.58 7.46 4.19 6.53
"48" 7.39 5.04 5.83 7.42 6.27 1.71 5.27 2.94 3.75 7.63 4.69 4.74 4.32 7.99 2.37 7.91 4.62 3.9 6.22 4.33 5.08 6.13 4.07 6.73 2.36 6.67 4.6 7.76 3.3 7.69 2.69 6.19 4.33 6.31 3.04 6.46 4.25 4.25 4.69
"49" 9.58 3.35 4.91 3.66 1.79 5.93 3.91 5.75 6.45 5.57 1.3 7.21 4.69 0.65 4.5 8.59 4.12 3.91 3.68 0.73 6.47 6.2 5.5 4.15 2.58 3.28 6 4.32 4.41 2.93 3.91 5.8 3.81 2.92 3.54 2.4 5.9 7.02 8.7
"50" 2.09 7.89 3.57 6 4.78 3.56 2.03 7.52 6.03 6.16 5.86 5.12 2.5 6.5 8.19 5.03 5.58 7.18 3.62 7.98 2.46 4.56 7.6 6.56 0.42 4.99 2.48 4.3 4.68 6.55 3.41 3.79 6.77 7.79 2.16 4.17 3.95 5.63 8.6
"51" 3.56 3.84 7.18 4.75 4.98 5.25 0.62 3.88 3.29 4.7 6.82 7.59 4.72 5.92 8.15 6.84 7.73 6.54 5.14 6.09 2.58 4.98 6.63 2.86 3.91 4.64 8.1 3.43 4.76 3.78 2.98 6.71 4.07 2.83 4.41 6.18 5.5 4.56 9.54
"52" 4.17 4.71 2.04 4.61 4.27 7.9 7.61 6.67 4.91 7.39 5.21 0.91 5.39 3.28 5.53 6.35 3.08 3.87 7.81 6.34 7.48 5.42 8.67 3.91 6.73 5.17 0.32 3.36 7.02 7.04 3.39 5.44 6.29 6.88 7.89 3.44 5.51 5.54 4.88
"53" 6.5 3.82 8.25 4.98 4.25 3.44 5.59 4.98 9.32 3.22 4.96 8.46 4.48 3.14 6.04 7.01 5.83 6 5.56 3.85 5.6 7.51 4.81 8.01 1.56 1.18 3.49 5.39 4.04 4.8 4.74 5.44 6.57 5.62 6.13 7.79 5.77 7 3.7
"54" 6.59 4.16 3.33 2.56 6.14 6.11 2 4.61 3.89 4.75 7.38 4.56 5.21 5.05 3.61 3.5 6.31 7.97 1.2 5.45 3.63 5.26 5.79 4.52 3.42 7.73 1.3 8.42 7.14 9.89 5.85 3.63 1.72 7.57 2.02 6.26 6.46 6.45 7.54
"55" 5.98 6.54 0.3 9.09 2.54 0.92 4.89 7.12 3.53 8.44 2.4 2.7 6.15 5.5 4.83 0.8 1.11 1.84 4.97 4.02 2.34 3.8 1.61 5.17 5.14 4.32 3.32 6.53 4.68 3.54 1.66 6.19 6.21 5.38 5.31 5.18 5.86 2.6 4.7
"56" 3.56 4.96 5.45 3.55 3.09 4.1 7.98 4.39 7.11 9.06 5.11 8.79 3.61 5.5 -0.88 3.5 5.42 0.07 3.13 5.34 2.38 7.41 5.93 7.25 5.87 2.45 5.53 7.32 5.64 4.36 5.94 6.41 1.2 3.84 3.07 5.81 3.96 3.65 5.63
"57" 2.7 5.01 7.42 2.83 4.88 3.33 2.56 3.8 4.77 6.19 4.17 4.32 3.24 4.48 3.92 3.25 6.9 5.23 8.7 2.56 4.04 4.11 5.35 3.33 0.59 4.97 6.96 1.7 7.82 3.4 3.3 6.43 7.17 5 4.78 5.37 4.87 3.7 5.32
"58" 3.26 4.77 4.17 5.08 5.59 6.04 5.14 5.44 5.25 3.41 5.37 4.68 9.85 4.69 3.62 6.01 5.92 5.19 5.9 4.14 6.28 3.79 7.51 2.01 7.17 5.29 6.01 3.18 6.17 7.62 4.35 6.59 4.56 4.91 4.98 4.87 6.15 5.68 3.89
"59" 4.84 7.88 4.47 7.56 7.7 4.96 5.67 1.14 3.59 4.04 2.34 6.91 2.46 4.43 7.45 7.04 7.18 6.57 4.74 2.8 3.99 3.09 3.78 3.2 4.89 5.77 8.62 7.63 2.53 3.99 3.04 4.05 4.83 4.28 2.54 3.38 7.94 2.27 7.79
"60" 6.44 4.36 3.91 7.52 8.78 9.31 3.64 1.7 3.62 4.25 3.13 6 4.87 6.23 6.1 3.48 3.05 4.64 7.08 2.89 6.15 5.44 6.44 3.55 2.99 5.06 2.53 5.77 8.83 1.74 4.89 6.51 2.16 2.97 4.12 5.25 1.27 7.01 8.7
