"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"23" 4.75 3.9 4.39 3.8 5.08 3.82 1.43 1.27 3.47 2.33 4.78 7.22 2.7 7.71 5.95 5.96 4.36 6.43 -0.31 8.8 7.4 5.45 5.64 4.73
"24" 4.77 3.87 7.05 5.99 8.39 2.83 7.57 1.25 9.33 2.14 6 6.55 4.55 2.17 5.92 1.51 7.29 3 8.69 3.86 2.15 5.64 8.03 2.03
"25" 5.84 6.04 2.92 1.35 4 2.25 5.87 5.83 7.54 3.41 5.68 5.58 8.63 4.09 9.96 2.65 5.34 6.76 -1.01 8.54 5.32 3.17 8.42 4.23
"26" 6.17 7.74 3.75 7.84 4.65 3.52 1.66 8.64 5.35 7.58 5.25 5.16 6.32 7.53 4.33 7.29 4.09 4.93 7.52 4.28 6.31 6.22 6.15 10.52
"27" 5.69 8.36 5.51 5.9 1.6 3.96 5.01 3.23 4.16 6.73 6.58 7.59 7.12 3.91 3.34 4.65 4.91 7.6 10.9 4.15 5.71 2.9 1.74 6.41
"28" 5.47 3.74 3.3 5.62 7.11 7.31 4.18 4.59 7.78 6.68 2.91 5.33 7.18 8.06 7.71 5.24 5.12 7.42 5.6 4.9 4.43 4.62 4.81 1.55
"29" 3.66 4.09 5.65 3.76 6.51 1.85 3.48 6.61 4.02 2.36 1.68 2.45 4.63 4.99 6.9 1.55 2.55 6.85 4.96 7.29 1.96 6.27 3.95 4.07
"30" 3.8 5.74 5.97 3.49 4.89 3.97 8.09 5.37 3.67 2.78 2.37 5.16 2.95 4.05 5.61 6.82 7.95 6.11 7.62 4.89 3.11 2.61 4.45 5.89
"31" 3.55 5.1 3.11 3.85 3.73 2.84 6.46 7.63 4.6 7.35 4 3.58 6.19 3.02 2.03 4.52 5.86 0.91 4.09 2.97 6.46 3.1 1.71 2
"32" 3.07 7.18 6.76 4.25 3.89 4.9 2.45 2.95 4.59 5.23 0.44 8.56 7.42 5.46 6.4 5.73 4.47 1.46 5.14 -1.38 2.86 5.49 2.29 3.24
"33" 4.09 6.73 4.15 4.24 8.81 6.44 1.94 3.05 3.85 3.43 3.39 3.09 6.7 6.8 -0.68 6.93 6.21 6.75 7.32 2.97 3.83 4.54 5.44 3.98
"34" 3.72 5.26 3.14 5.14 5.92 3.75 5.16 3.15 2.5 6.09 5.43 5.78 4.29 4.28 5.04 3.65 5.09 3.22 3.39 2.43 3.52 10.11 3.51 4.02
"35" 6.06 9.33 7.27 3.44 5.97 2.85 5.37 1.57 5.05 3.56 3.8 2.12 3.99 3.67 6.72 5.59 8.23 6.52 4.29 3.36 5.03 8.58 2.47 0.69
"36" 3.42 3.09 1.76 0.97 3.21 6.21 2.95 2.31 5.23 2.39 5.19 6.08 0.84 3.06 4.9 6.55 3.01 1.91 2.61 4.98 9.15 4.8 5.9 4.58
"37" 4.04 2.16 1.52 5.49 9.5 5.3 7.14 6.07 2.36 7.33 3.75 7.96 6.02 5.2 7.38 3.53 5.84 2.72 4.19 9.06 5.9 4.04 4.24 6.09
"38" 3.72 2.96 7.15 8.62 8.95 6.28 7.78 3.9 4.06 4.67 6.11 4.02 8.78 6.4 5.1 6 4.45 7.4 4.69 3.38 5.75 2.19 7.16 5.4
"39" 6.27 6.56 2.68 2.02 5.43 6.37 3.45 6.57 7.32 5.46 4.19 8.72 6.75 6.16 4.97 7.66 6.72 6.99 6.91 6.85 5.56 7.38 7.31 3.72
"40" 0.52 6.76 2.44 5.27 5.04 7.11 2.6 6.22 5.75 5.4 2.04 9.13 2.35 7.09 3.55 4.23 7.68 3.64 5.16 6.74 1.54 7.5 5.72 6.18
"41" 3.86 2.92 7.33 4.01 4.25 5.86 5.97 8.44 6.01 3.62 4.89 3 4.77 3.06 0.96 7.41 7.38 4.36 4.53 1.83 7 3.21 3.69 5.34
"42" 3.42 4.4 6.23 5.17 5.54 3.9 3.69 5.49 6.39 9.83 4.54 6.03 5.9 6.54 7.82 4.52 3.56 5.09 3.93 9.52 6.4 4.5 8.44 2.75
