"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"43" 4.18 2.17 8.68 5.87 6.81 3.79 5.71 7.77 1.99 6.92 4.43 5.64 4.62 5.08 5.1 6.21
"44" 3.18 -0.33 6.04 8.12 3.67 8.36 4.59 1.85 2.93 5.44 3.28 5.5 5.92 8.7 6.08 3.42
"45" 6.32 6.2 6.79 5.77 4.17 5.99 7.61 2.92 4.33 3.5 4.39 7.85 5.25 7.77 2.53 6.04
"46" 5.4 5.89 5.75 7.08 7.17 5.06 3.65 4.75 3.61 1.66 3.87 5.4 3.28 5.26 5.85 2.21
"47" 3.81 5.69 3.95 4.17 6.85 7.65 6.62 6.77 8.86 7.42 4.15 5.64 8.07 5.68 1.47 11.87
"48" 1.78 4.34 1.62 8.69 12.52 5.52 3.32 4.1 4.41 4.07 6.12 8.76 3.37 8.83 3.54 7.49
"49" 8.35 7.2 4.02 7.37 5.59 5.99 5.24 6.64 4.86 5.54 7.13 5.62 5.17 0.54 7.07 5.6
"50" 2.1 3.94 4.28 6.96 5.68 5.91 5.61 6.75 7.27 2.48 5.53 4.17 5.19 5.7 2.89 5.61
"51" 6.7 8.15 5.8 2.48 5.88 4.47 4.26 5.87 5.8 5.88 5.34 4.51 3.84 3.62 4.67 5.46
"52" 8.35 6.93 4.97 6.08 4.76 6.11 7.05 5.93 3.99 3.41 3.33 6.59 3.96 6 4.53 5.61
"53" 7.52 3.45 4.8 7.84 6.55 6.04 6.12 4.35 5.5 6.26 9.2 3.2 1.75 6.28 4.05 5.62
"54" 3.48 5.76 5.91 4.08 7.69 6.94 0.78 4.95 3.86 6.23 4.75 3.26 4.37 7.68 2.99 5.53
"55" 7.76 3.94 6.44 4.34 5.56 5.61 4.16 4.77 6.67 7.38 3.79 3.51 7.26 4.27 5.22 5.72
"56" 5.99 6.57 1.06 1.06 3.08 5.66 2.37 8.81 2.4 3.2 4.77 5.25 2.05 6.36 3.38 4.98
"57" 6.19 4.63 5.2 0.95 4.84 6.99 1.98 2.31 5.74 7.13 4.03 3.6 7.39 4.53 4.17 7.12
"58" 1.02 6.44 5.55 8.34 5.12 5.03 4.17 5.42 6.74 6.38 6.5 1.8 5.84 5.97 1.91 7.03
"59" 3.18 4.29 4.42 3.34 3.13 5.74 3.41 4.94 4.52 0.39 7.26 5.91 4.38 5.56 2.82 1.17
"60" 7.67 6.11 7.86 3.02 5.36 4.84 7.05 5.23 3.89 3.89 1.99 6.56 3.12 1.62 7.22 5.5
"61" 5.9 6.89 6.56 3.65 2.86 1.34 2.75 6.24 3.62 2.35 4.88 6.82 6.73 5.54 7.23 4.46
"62" 1.43 4.47 4.06 5.07 6.24 5.88 5.49 7.59 3.19 8.51 8.69 8.21 -0.12 4.47 5.7 6.39
"63" 5.13 6.08 4.28 4.2 2.5 6.12 5.19 5.14 2.52 8.97 6.04 3.48 5.75 6.08 4.28 8.12
"64" 6.89 2.15 7.04 3.67 5.26 4.55 -0.23 3.92 2.51 4.08 4.85 4.4 4.33 6.3 6.5 3.5
"65" 5.27 3.79 5.95 6.87 1.41 6.58 6.03 4.49 7.34 5.58 7.93 1.55 8.4 0.06 4.92 1.77
"66" 8 6.11 4.97 4.49 8.69 5.15 6 7.38 5.77 0.96 7.28 4.94 8.19 4.97 1.83 7.11
"67" 6.76 3.06 1.84 4.45 5.77 2.35 3.45 2.22 3.52 6.47 4.48 5.21 0.09 5.76 7.6 5.08
"68" 4.22 10.36 7 7.54 2.15 4.46 6.7 5.83 8.69 4.93 4.72 2.1 5.9 5.07 5.9 5.24
"69" 4.23 7.09 4.05 4.52 4.21 6.27 7.19 6.56 5.29 1.31 3.18 6.44 5.57 4.95 5.68 -1.36
"70" 2.38 4.04 5.28 5.76 3.91 7.41 4.32 5.9 5.6 4.19 0.01 4.37 5.67 7.16 4.99 7.29
