"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"20" 3.38 8.11 4.76 2.82 6.51 4.55 4.36 4.65 3.31 7.55 6.88 5.93 7.93 2.31 6.67 -2.62 1.1 6.96
"21" 6.47 4.36 6.04 2.98 7.85 6.28 6.49 6.2 5.79 4.48 3.6 2.84 3.7 3.65 6.23 4.16 5.61 6.23
"22" 3.88 8.38 6.28 5.5 4.49 6.09 2.6 5.98 6.8 5.5 3.6 3.9 6.05 6.05 5.69 4.83 5.05 1.39
"23" 3.57 5.53 6.07 2.86 3.84 2.83 5.86 3.24 3.1 3.47 -0.2 3.32 4.17 1.44 4.16 3.8 6.85 3.25
"24" 2.92 2.59 5.34 4.73 2 1.45 5.5 5.48 5.44 5.39 6.78 5.82 2.36 6.24 6.12 3.16 2.06 5.84
"25" 5.09 5.19 4.59 3.73 3.44 8.06 7.39 4.57 5.77 2.5 7.11 8.23 2.53 7.1 7.26 7.21 3.08 5.55
"26" 5.71 4.73 9.64 7.03 2.78 10.51 5.73 8.57 2.63 5.58 5.03 3.41 2.96 3.05 4.27 6.05 5.94 6.34
"27" 10.5 5.71 7.19 6.7 5.89 4.2 6.5 1.06 9.52 0.19 2.1 5.14 4.88 2.8 3.09 4.12 6.74 2.84
"28" 5.12 8.56 4.4 4.46 5.64 5.7 6.59 7.45 5.21 7.38 4.53 5.92 8.93 8.85 4.14 4 4.31 4.62
"29" 5.01 4.56 3.94 5.81 4.2 6.68 6.19 2.59 1.83 7.51 3.26 4.19 7.11 4.09 6.46 3.05 4.11 4.61
"30" 3.8 7.01 6.99 5.23 2.63 8.42 4.99 3.72 5.41 4.17 2.95 6.57 3.7 2.56 5.89 4.29 4.04 4.34
"31" 3.37 3.92 3.19 6.64 2.75 7.48 4.8 5.17 4.62 7.23 5.15 1.94 6.19 9.37 6.12 8.08 1.71 3.94
"32" 5.72 5.67 5.61 6.13 5.81 5.69 6.8 2.07 3.56 8.06 7 1.3 0.92 7.38 3.98 7.25 5.77 3.83
"33" 3.97 4.46 4.69 -0.25 3.65 6.17 6.43 6.13 0.11 4.9 5.85 4.19 2.63 8.66 4.38 3.18 4.01 0.6
"34" 6.37 6.49 2.19 8.69 7.48 8.52 4.49 1.95 3.59 2.59 7.09 2.31 2.94 6.71 3.08 4.31 5.6 5.69
"35" 9.36 4.3 6.26 6.03 6.35 -0.29 2.9 0.22 2.72 2.29 3.81 6.58 4.12 4.6 3.41 4.62 5.73 5.8
"36" 4.99 4.09 4.96 5.81 6.38 6.46 4.47 5.11 4 4.74 8.36 2.78 -0.14 3.91 5.1 4.42 5.17 5.9
"37" 7.06 4.79 6.85 3.75 4.25 2.62 6.34 6.68 6.45 2.9 5.11 5.26 3.26 5.46 4.07 1.42 3.74 7.26
"38" 1.59 4.68 -0.39 3.74 6.4 4.58 6.2 6.75 4.49 5.42 6.45 3.9 5.28 7.17 5.06 5.13 4.51 4.83
"39" 5.33 5.52 4.87 3.07 3.64 7.66 5.51 7.64 5.95 4.28 10.94 5.23 3.95 6.76 1.32 6.15 2.36 3.91
"40" 5.16 5.49 7.85 6.67 1.72 8.69 6.76 5.98 2.31 5.29 2.64 6.49 0.38 6.03 5.29 8.24 3.86 6.19
"41" 1.83 0.91 -0.04 2.75 5.88 0.22 4.49 6.66 6.97 5.97 6.27 5.36 4.82 8.46 4.27 9.08 1.97 5.66
"42" 3.38 1.61 3.22 3.1 6.16 7.81 2.91 6.84 5.3 6.37 3.42 5.12 10.87 4.09 0.09 1.88 6.45 7.25
"43" 0.48 0.03 5.45 4.16 5.82 1.71 5.7 9.89 6.64 3.26 8.44 3.67 2.98 3.93 7.4 5.08 4.02 3.1
"44" 7.39 4.78 4.35 5.09 7.1 5.99 7.18 6.85 6.05 4.7 6.4 3.3 4.86 3.73 5.58 6.77 1.39 3.59
"45" 10.07 3.44 5.12 4.02 4.78 7.38 5.76 1.63 7.84 0.7 4.42 5.08 5.64 6.21 5.7 3.48 7.51 2.8
"46" 3.58 3.98 6.52 5.85 4.81 2.23 5.94 4.34 5.03 4.11 5.64 7.82 5.67 4.98 7.37 7.65 4.24 8.53
"47" 0.36 7.97 5.08 7.52 2.85 4.88 5.19 4.71 0.53 3.41 2.78 1.73 6.4 2.97 1.16 6.55 3.38 8.85
"48" 3.45 2.33 5.23 6.91 6.39 2.62 5.03 6.06 8.11 4.73 2.17 4.18 6.88 7.52 7.03 5.54 4.42 1.71
"49" 0.64 7.06 1.66 6.84 -0.11 5.5 9.01 8.06 6.25 3.35 2.27 3.93 4.55 6.72 4.08 5.77 6.32 6.04
"50" 2.96 7.52 1.67 2.73 2.77 6.7 6.01 2.2 1.2 5.5 3.89 3.34 7.32 6.2 3.66 7.05 3.73 4.02
"51" 4.34 4.62 3.1 2.18 4.1 5.71 4.58 4.51 2.21 1.56 4.61 8.27 5.26 7.29 4.1 5.22 9.1 3.42
"52" 8.38 6.06 1.47 4.36 5.32 3.17 2.44 3.88 6.85 7.62 6.78 7.69 4.68 4.51 8.05 7.86 5.54 5.42
"53" 2.65 6.91 3.1 5.15 3.64 4.74 5.37 7.22 2.19 5.49 3.45 8.64 5.14 3.39 3.68 6.62 2.4 1.85
"54" 1.61 3.08 7.35 3.75 5.06 4.39 5.28 4.74 3.48 9.61 3.55 9.09 4.56 5.7 7.93 5.86 6.72 2.65
"55" 5.37 1.48 4.54 6.71 5.22 3.23 4.16 5.93 8.17 4.88 5.88 6.57 3.96 7.48 5.51 3.98 6.34 5.06
"56" 7.21 7.59 4.75 2.72 7.04 2.13 6.26 6.96 4.1 1.67 1.01 5.33 3.14 6.62 5.43 3.29 5.81 4.14
"57" 5.67 2.83 4.21 3.15 3.16 2.64 6.5 3.34 2.13 3.51 6.66 3.53 5.1 7.7 6.77 8.23 4.17 4.21
"58" 9.2 1.73 4.12 8.97 4.04 8.38 5.67 7.04 6.56 4.24 3.22 6.28 3.9 5.49 5.61 7.4 6.05 6.69
"59" 2.97 4.05 2.49 6.02 9.58 5.82 5.51 7.33 6.14 7.5 7.2 2.65 5.36 3.87 4.93 7.07 7.4 5.96
