"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"23" 3.05 4.55 5.88 6.51 6.09 2.64 5.05 4.17 5.62 8.46 9.28 5.2 4.18 6.48 10.33 5.89 7.07 6.44 4.77 6.45 1.91 2.45 7.79
"24" 5.11 6.43 5.62 5.6 6.65 4.78 6.42 3.58 5.61 4.99 5.91 3.95 0.57 2.86 9.3 4.54 7.95 4.77 8.03 6.85 6.86 7.66 6.61
"25" 2.71 4.66 5.62 9.04 0.52 4.7 4.73 2.87 6.27 8.97 5.8 6.5 4.84 8.74 7.11 6.8 9.63 4.9 -0.02 5.72 6.24 2.53 6.72
"26" 7.39 7.59 2.57 2.06 6.13 3.69 2.42 1.31 5.15 6.14 5.26 4.61 5.84 6.91 3.68 6.27 2.42 7.57 5.79 7.33 2.78 2.37 2.15
"27" 3.25 3.04 5.16 6.85 5.12 3.47 1.11 4.55 5.49 4.87 4.54 2.27 8.57 4.16 4.37 3.75 5.12 5.47 6.69 4.84 9.6 5.45 4.06
"28" 4.53 3.77 4.97 4.79 7.38 7.13 3.63 2.14 4.57 4.79 9.99 7.22 3.94 8.21 2.66 8.19 3.78 5.63 6.64 7.16 5.66 4.48 2.5
"29" -0.37 2.97 4.81 1.59 4.36 5.1 1.15 5.28 6.87 4.11 4.42 6.74 5.63 2.61 2.03 2.09 5.05 0.58 3.63 3.89 4.19 10.4 4.5
"30" 4.02 6.72 4.38 3.75 5.16 3.7 3.27 3.19 2.5 5.26 7.54 5.65 6.91 4.98 7.57 8.18 3.87 4.04 7.87 7.36 0.88 5.8 6.65
"31" 2.76 3.46 7.83 7.01 1.97 7.37 4.72 -0.41 3.86 5.96 6.89 2.69 3.25 8.15 9.94 7.84 5.11 7.46 6.81 5.93 4.02 4.79 2.93
"32" 5.96 2.62 4.88 4.88 3.66 4.84 1.61 5.43 1.91 4.62 3.01 6.82 4.85 7.73 6.31 9.9 10.15 6.33 7.86 4.19 9.11 3.21 4.04
"33" 3.39 3.54 2.5 4.06 6.65 6.09 4.2 7.11 6.99 4.79 6.45 6.62 5.06 3.96 2.25 3.59 7.13 7.89 6.44 7.18 4.73 6.02 3.62
"34" 6.66 5.52 6.32 4.83 3.59 5.91 5.22 3.87 5.66 0.46 7.04 6.86 -0.12 7.11 -0.56 1.82 6.46 3.79 3.62 5.94 3.92 7.6 2.46
"35" 4.91 7.03 0.08 7.5 5.13 5.84 4.23 6.59 6.55 5.9 7.99 4.54 6.91 5.03 4.18 5.31 5.99 6.48 6.73 4.84 6.27 5.71 4.72
"36" 3.41 7.49 1.31 2.58 5.93 7.03 6.81 4.85 6.82 4.85 6.48 3.58 4.06 4.01 8.47 7.63 7.93 5.23 2.99 6.38 7 8.05 7.07
"37" 5.42 6.29 5.73 6.9 3.55 4.6 2.32 5.34 6.95 3.88 6.81 7.32 7.24 5.01 4.34 6.13 6.94 4.17 6.72 6.4 6.14 1.99 9.1
"38" 8 5.9 3 6.52 3.3 4.78 5.18 4.17 4.4 3.44 3.49 7.05 3.63 5.64 3.23 5.75 3.55 4.17 2.86 4.16 2.3 1.46 5.11
"39" 3.74 3.55 5 2.28 6.23 5.95 2.24 4.35 5.81 6.3 6.73 2.94 7.76 6.85 7.53 6.78 4.51 0.75 1.45 5.88 8.04 8.21 6.47
"40" 5.73 6.07 2.57 2 5.06 3.76 2.8 5.68 4.21 6.1 5.79 7.98 8.09 2.33 6.95 2.78 5.33 4.29 7.37 6.82 1.46 8.07 5.24
"41" 2.15 3.88 6.55 6.02 4.3 4.62 9.13 4.69 6.42 6.28 7.66 3.75 7.68 3.25 4.29 4.04 7.46 0.96 2.12 4.44 3.64 6.68 3.78
"42" 3.94 6.8 5.21 3.76 5.37 3.82 6.48 3.49 9.3 5.87 3.77 6.37 5.53 3.16 4.58 0.8 6.57 5.44 5.52 1.85 4.26 6.9 4.49
"43" 7.72 4.93 4.67 5.6 5.63 3.07 3.79 3.54 4.49 1.97 5.68 5.17 3.68 6.42 6.62 3.7 4.66 3.66 2.37 5.21 4.99 5.81 4.45
"44" 1.49 4.49 1.56 8.51 3.61 8.14 4.66 2.8 7.3 1.77 2.22 6.68 3.76 3.32 6.29 4.4 0.73 8.89 7.99 5.35 4.76 8.92 6.43
"45" 3.27 1.12 4.94 4.95 7.7 7.72 6.97 4.91 6.26 4.31 5.17 6.5 6.94 1.67 2.86 3.5 4.84 5.64 5.72 3.9 6.51 5.32 8.06
"46" 2.16 5.09 6.22 3.29 5.24 5.82 9.04 6.23 4.87 3.35 5.74 6.4 4.36 6.73 4.7 5.74 6.83 8.48 3.38 4.17 4.04 5.39 6.46
"47" 4.51 0.95 3.44 7.87 2.32 1.95 4.94 5.65 3.6 7.95 3.97 7.89 3.51 3.19 5.33 3.25 3.06 6.87 4.32 5.41 8.32 4.15 5.21
"48" 2.65 4.99 3.03 3.41 7.44 3.62 6.67 0.46 5.11 3.24 6.86 9.32 3.97 8.78 6.23 1.67 6.32 5.18 5.96 6.49 7.62 4.61 7.01
"49" 5.98 6.78 4.62 3.08 6.06 1.74 4.56 4.19 3 7.01 1.96 7.48 8.75 2.3 5.65 4.61 0.53 6.08 2.91 4.33 2.63 4.9 2.67
"50" 7.01 4.36 5.47 8.33 2.97 6.02 7.39 6.47 6.9 4.37 2.84 4.62 6.83 3.68 7.17 4.82 6.04 4.67 3.44 2.99 3.28 4.08 5.01
"51" 2.95 4.65 5 1.76 3.94 6.08 8.19 5.5 8.92 1.62 4.81 3.7 6.41 3.11 6.82 7.08 2.16 2.75 4.8 6.81 5.54 6.08 3.26
"52" 6.23 4.29 3.73 6.85 5.27 6.18 4.12 3.86 4.01 7.85 3.98 5.62 9.24 8.4 3.84 6.84 5.7 0.73 2.74 4.08 4.33 7.33 5.08
"53" 7.88 7.4 6.3 5.96 5.89 5.46 8.86 5.01 6.13 7.19 6.32 5.73 7.82 3.04 4.59 3.42 3.37 6.21 2.92 5.64 2.42 5.45 4.49
"54" 3.31 4.69 3.44 6.97 4.61 4.4 7.61 6.23 3.03 3.93 5.2 4.67 9.78 1.35 4.91 4.99 3.82 4.24 6.08 1.66 6.18 4.78 4.06
"55" 3.96 4.64 7.62 5.84 6.68 2.57 4.03 5.14 2.93 4.16 6.57 7.91 5.23 8.29 7.11 2.9 7.36 4.39 3.98 1.77 5.61 4.05 3.35
"56" 6.72 3.77 6.4 7.23 5.01 4.47 5.48 4.22 3.71 5.95 4.57 4.91 5.42 5.79 0.41 7.6 2.48 5.6 2.91 3.86 4.19 3.95 5.75
"57" 5.41 4.51 6.13 5.12 4.54 5.77 6.56 6.38 6.88 3.59 3.37 6.38 6.02 7.89 5.1 6.87 3.15 5.4 1.76 7.34 4.01 5.44 4.64
"58" 5.3 5.16 5.07 4.86 6.7 4.02 4.68 3.66 4.93 6.29 1.95 5.59 2.59 4.6 5.33 2.62 3.69 2.06 2.45 2.93 6.34 3.74 5.66
"59" 3.46 0.45 9.16 0.99 5.89 8.79 4.99 -0.55 5.82 4.61 6.85 5.02 3.85 5.82 5.92 6.24 3.95 4.4 6.67 10.03 5.59 7.48 5.69
"60" 8.37 6.57 3.73 6.13 3.99 2.24 4.28 5.63 7.98 2.35 6.24 3.26 5.73 3.47 8.64 5.44 4.27 1.74 3.74 1.78 4.38 9.49 4.25
"61" 5.58 6.56 3.88 6.76 3.13 4.58 2.81 7.8 5.74 3.32 0.32 4.97 7.86 1.89 6.37 5.16 4.21 7.05 6.26 3.32 4.75 4.66 1.86
"62" 3.7 4.67 7.56 3.03 4.69 6.13 5.75 4.96 5.49 6.5 8.7 6.48 0.11 4.53 2.55 7.07 5.28 6.82 1.85 7.63 4.89 3.16 6.65
"63" 2.74 6.53 4.22 6.49 6.37 3.58 7.01 6.88 7.13 9.13 6.3 5 9.49 6.04 4.8 5.61 5.68 6.18 5.09 2.52 6.72 2.79 1.32
"64" 1.8 9.11 4.27 6.7 4.46 4.15 8.11 4.55 6.58 6.8 8.07 6.9 4.79 3.95 1.39 4.53 5.6 5.53 5.19 1.9 5.49 4.15 6.49
"65" 4.63 3.17 6.47 3.54 4.82 9.22 8.2 6.52 4.21 8.88 4.76 4.86 3.42 5.35 5.44 4.65 4.83 7.49 2.51 4.92 2.78 5.37 6.13
"66" 6.33 3.87 6.18 5.15 3.64 7.94 4.94 2.96 5.89 4.92 5.01 3.38 2.02 4.28 3.58 7.76 2.13 4.74 1.21 6.17 6.4 5.65 5.02
"67" 1.05 2.33 4.92 6.33 8.42 1.72 2.05 6.27 3.97 7.35 4.12 8.08 7.86 5.94 6.06 5.71 4.15 6.04 5.89 8.94 6.99 1.87 4.19
"68" 7.83 7.67 4.4 6.03 5.13 4.53 4.75 5.87 4.01 5.42 5.33 6.1 3.23 0.73 7.72 3.81 5.76 5.05 7.75 3.57 4.05 4.79 4.79
"69" 4.68 5.51 2.87 3.26 4.73 2.93 6.89 6.58 5.08 3.94 4.3 5.8 9.7 7.6 7.03 4.11 5.74 2.49 5.77 5.54 4.05 3.88 5.02
"70" 3.87 5.32 6.12 1.98 5.43 4.18 6.47 2.53 3.45 3.91 7.55 5.86 0.66 4.41 3.18 6.18 4.58 4.44 2.23 2.04 3.46 8.33 7.97
"71" 3.64 6.16 4.27 3.84 4.03 6.51 6.19 4.74 6.36 5.51 8.62 6.91 5.13 2.13 8.1 5.01 7.91 4.26 5.57 1.96 6.03 5.17 3.89
"72" 1.38 5.38 4.62 2.76 6.73 6.35 3.27 3.74 2.92 1.86 6.83 6.81 2.47 1.07 3.69 2.64 5.35 9.55 5.23 4.38 3.92 5.87 3.77
"73" 8.29 1.94 7 5.17 1.56 6.67 5.21 6.03 7.57 5.82 3.93 5.13 2.66 6.47 4.81 5.16 5.06 3.31 7.95 5.62 3.13 5.85 7.11
"74" 2.43 6.48 3.97 4.76 5.76 5.49 5.81 6.83 3.53 5.36 4.77 4.58 4.22 3.81 2.04 9.53 4.92 5.76 7.37 7.7 5.32 6.48 1.75
"75" 5.23 2.35 2.53 4.38 4.16 8.05 7.69 2.72 7.84 2.78 1.79 5 10.29 5.78 3.09 3.92 3.86 3.34 4.96 2.24 7.4 5.16 7.62
"76" 8.01 1.31 4.87 3.64 3.86 4.46 3.48 9 5.76 7.02 5.2 4.09 4.49 6.05 3.06 8.19 4.02 2.5 5.36 2.59 7.84 5.56 10.04
"77" 9.63 6.71 3.14 6.71 6.3 7.98 6.45 5.4 5.8 1.84 0.53 5.04 5.17 6.09 8.22 3.34 3.61 2.47 2.74 3.99 8.37 4.29 4.56
"78" 4.85 5.21 1.13 6.41 10.47 0.79 4.6 4.73 1.74 8.36 5.53 7.23 5.08 3.99 6.75 3.31 4.76 4.17 5.99 4.71 1.98 4.9 6.88
"79" 5.28 4.18 5.19 5.3 1.03 4.42 4.71 2.95 7.31 5.33 8.6 8.15 5.08 8.29 2.49 2.97 2.26 5.32 6.43 5.47 6.93 6.01 1.23
"80" 4.42 5.6 4.26 4.96 2.16 4.5 5.33 3.64 6.95 8.34 5.41 5.88 1.37 6.49 2.98 4.11 5.37 9.21 4.26 5.88 6.55 7.98 3.01
"81" 4.72 4.93 4.77 3.99 4.45 5.26 6.55 7.82 4.69 4.18 7.08 3.73 6.31 6.66 7.5 8.01 5.32 5.52 3.64 5.86 4.19 6.25 6.05
"82" 4.05 5.04 5.47 4.29 6.85 6.23 1.89 3.84 7.76 4.6 4.56 2.05 3.56 8.03 6.07 4.43 4.38 4.54 2.79 4.3 2.97 6.79 4.56
"83" 8.2 3.81 4.88 8.64 3.67 5.93 3.41 4.28 5.37 9.89 4.55 7.59 7.34 4.87 4.89 -0.49 3.39 4.5 4.68 7.28 3.47 5.67 3.48
"84" 7.82 5.63 4.7 2.69 6.03 8.43 1.32 3.3 3.83 6.03 3.58 8.84 8.52 4.84 5.07 7.48 4.73 3.69 4.53 5.46 2.65 3.61 4.37
