"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"11" 5.02 3.64 3.55 4.04 4.03 4.62 6.31 3.99 3.28 5.04 7.19 6.66 5.46 3 7.98 4.78 4.83 5.28 8.77 3.08 6.89 5.31 5.11 0.95 4.45 10.09 3.87 5.56 6.29 6.29 2.76 2.75 4.39
"12" 5.98 4.34 6.97 6.01 3.29 4.53 6.72 4.2 6.19 0.27 4.91 2.48 5.57 1.85 9.38 4.8 6.55 4.51 5.46 1.98 4.72 9.33 7.14 8.19 7.09 3.41 1.47 0.33 4.08 9.3 3.4 5.58 6.99
"13" 8.79 6.21 3.23 5.97 4.05 5.41 4.91 7.41 5.82 5.02 5.55 4.35 3.84 3.71 5.44 6.01 2.57 5.56 7.87 3.56 7.22 6.88 5.17 8.19 7.76 5.12 4.02 6.74 1.79 3.77 5.68 5.54 4.93
"14" 4.2 6.06 5.4 4.87 3.95 2.33 8.62 3.58 5.16 4.35 4.92 7.84 5.5 5.81 2.34 6.15 6.36 5 6.42 7.08 10.12 3.57 5.54 5.53 3.71 5.95 5.44 2.22 4.53 3.19 4.68 2.99 3.79
"15" 7.4 6.05 5.61 2.88 3.01 5.05 6.25 4.05 6.13 7.48 3.63 6.34 2.44 2.99 1.67 3.31 7.44 8.7 5.2 4.5 6.21 9.86 5.74 0.53 6.37 3.81 5.03 4.89 2.4 5.45 4.91 4.23 4.39
"16" 9 4.51 5.16 1.91 6.27 4.79 6.34 2.24 0.65 2.26 6.1 2.28 4.7 0.9 4.77 4.3 1.59 5.76 3.26 6.87 3.51 3.84 4.17 7.61 7.14 4.42 5.43 2.53 3.91 6.96 5.85 5.05 4.24
"17" 6.01 3.4 5.81 5.17 8.99 4.94 6.88 5.39 8.45 2.03 7.04 5.45 4.87 5.35 3.17 4.36 5.59 2.48 5.39 4.07 6.67 6.09 3.88 5.48 5.8 5.45 1.72 3.79 3.63 4.22 1.81 4.96 5.73
"18" 4.47 7.31 4.04 3.83 3.24 3.6 6.29 6.69 2.74 5.71 2.68 3.87 7.85 3.18 5.59 2.19 2.8 7.99 5.42 4.98 4.18 6.53 4.46 4.86 2.08 7.93 7.34 9.8 0.53 6.76 2 5.89 1.66
"19" 2.78 5.11 5.28 6.03 5.62 5.1 7.87 1.01 6.87 4.32 2.18 6.7 6.68 9.27 6.73 7.1 3.92 7.3 5.42 4.14 4.96 3.89 3.58 2.14 1.74 6.26 7.18 3.84 8.43 3.28 3.91 6.79 3.37
"20" 4.06 5.46 5.54 7.6 4.7 4.98 8.76 6.57 3.46 2.21 3.11 5.69 1.45 3.28 4.72 4.71 4.89 4.41 4.46 2.4 5.04 4.47 1.96 7.4 4.08 7.31 6.62 3.73 6.21 4.74 5.12 2.71 5.48
"21" 3.84 4.78 3.11 3.3 2.94 4.48 7.87 3.56 2.69 6.33 2.14 7.55 4.77 6.54 3.45 6.45 6.1 4.42 6.16 5.62 3.71 3.73 4.13 1.97 1.93 3.24 4.85 6.5 5.07 4.31 4.32 5.96 4.68
"22" 3.89 4.95 3.08 6.45 3.54 2.3 3.49 6.13 3.62 4.72 2.84 1.69 4.8 6.23 5.9 6.33 3.45 3.58 2.21 5.31 2.25 5.7 7.61 4.58 2.24 3.32 0.26 2.93 7.17 5.36 8.13 2.93 4.14
"23" 2.59 4.93 3.76 5.78 2.44 1.87 6.94 4.5 5.65 3.48 7.22 4.26 6.81 7.55 6.53 6.12 5.95 6.66 8.39 7.61 8.94 2.62 8.59 6.06 6.46 3.07 3.55 5.32 4.98 1.99 0.82 4.73 5.3
"24" 3.73 7.84 4.26 6.85 6.31 6.53 8.63 6.06 7.16 2.77 0.5 5.28 3.56 9.15 3.7 6.1 8.3 6.52 6.53 6.12 2.93 1.78 6.64 4.56 9.11 5.3 1.61 3.11 2.37 7.06 5.17 7.79 0.82
"25" 6.22 9.49 7.94 8.39 5.34 6.36 4.8 7.38 4.21 5.82 3.56 5.64 3.14 1.69 3.11 8.74 5.95 6.66 4.92 7.97 3.42 8.91 5.52 1.9 3.63 3.91 1.91 5.39 7.8 4.09 4.28 2.99 6.34
"26" 2.34 4.35 5.7 4.8 3.16 7.27 4.43 4.69 2.1 4.03 6.86 2.3 7.45 2.44 6.54 6.65 -0.48 5.34 6.1 4.01 5.7 2.57 6.72 4.27 5.11 4.85 7.06 6.59 4.74 5.93 5.09 5.52 3.38
"27" 7.3 6.39 5.63 3.37 2.09 7 3.4 4.62 2.59 5.97 6.87 5.14 7.43 3.76 4.07 5.92 5.91 3.6 3.26 0.69 5.08 5.02 7.49 5.54 6.64 7.5 2.5 8.92 7.75 3.75 3.69 5.02 2.13
"28" 8.1 2.58 5.18 7.02 3.04 1.67 7.58 6.26 3.45 5.22 3.07 5.47 4.85 6.49 3.35 5.82 5.65 3.32 6.55 2.23 4.33 1.45 5.22 5.57 5.44 3.29 6.95 5.11 4.05 1.67 3.17 7.99 7.68
"29" 3.95 8.71 4.3 5.82 0.59 4.87 7.48 2.2 8.45 4.01 1.64 6.78 6.66 4.61 0.49 7.37 3.81 3.66 8.75 5.93 9.81 4.25 6.9 3.5 5.98 5.88 3.09 5 7.77 3.08 4.8 5.94 5.77
"30" 7.58 5.13 4.13 6.11 4.12 6.07 5.37 6.68 4.53 2.81 3.61 6.21 5.87 4.98 5.35 4.78 4.23 6.57 6.41 8.66 5.19 8.35 4.83 7.7 3.78 2.46 3.9 8.75 3.53 7.86 3.66 6.22 6.07
"31" 5.94 5.15 4.8 1.03 1.97 5.39 5.66 5.42 7.79 8.24 3.11 1.66 7.16 5.4 4.06 2.58 3.52 5.08 5.49 -0.75 4.04 2.19 5.61 1.55 5.09 6.37 2.99 1.65 5.86 9.1 5.96 4.26 3.73
"32" 5.22 2.03 4.79 5.54 6.58 3.21 3.54 5.22 2.48 6.15 7.88 5.18 4.85 7.07 2.47 2.98 3.74 5.33 5.34 6.52 5.21 8.07 3.39 7.26 0.15 4.26 5.57 6.46 4 5.8 5.74 5.16 7.13
"33" 6.75 5.87 6.67 2.68 5.49 4.62 6.2 7.58 6.27 4.14 2.75 8.48 8 3.64 6.55 7.87 1.25 4.01 5.83 4.69 6.17 5.71 8.27 3.7 6.24 4.84 2.64 5.27 3.58 4.83 2.01 4.36 2.67
"34" 5.47 8.22 6.13 9.36 4.31 6.26 8.35 4.35 3.01 4.77 3.42 3.94 4.88 1.67 7.89 4.73 4.39 2.59 7.13 2.83 1.67 6.99 4.06 4.93 2.5 4.14 7.18 5.49 8.88 3.24 7.59 5.85 4.23
"35" 4.02 6.04 2.84 5.48 6.77 6.64 3.02 7.47 5.29 5.43 7.51 1.02 6.25 2.27 3.4 5.87 6.53 4.21 3.63 3.89 6.32 4.53 2.8 3.04 3.24 5.6 2.82 6.03 -1.22 7.49 7.08 8.07 5.96
"36" 6.45 7.51 5.19 6.4 5.35 5.13 4.23 7.02 2.76 1.58 7.84 8.28 6.15 9.11 6.44 9.74 1.65 4.32 5.57 5.01 5.39 3.86 3.46 3.9 5.21 -0.7 3.27 5.35 7.36 6.87 9.57 6.92 5.01
"37" 5.05 7.09 5.79 5.23 3.04 7.34 8.96 5.02 2.7 5.73 3.97 5.23 1.19 4.84 7.04 3 5.81 4.91 12.8 2.43 5.31 3.27 3.54 3 6.83 4.55 8.21 5.01 4.19 3.55 4.94 8.4 9.32
"38" 3.86 5.7 5.05 7.48 4.12 2.38 4.71 6.26 5.12 4.53 6.2 2.92 5.67 4.8 9.85 6.05 4.38 3.7 5.82 4.34 5.22 6.54 5.47 2.9 4.98 2.39 5.95 3.1 1.89 1.07 7.47 6.38 1.36
"39" 4.02 7.41 5.76 6.07 5.81 1.17 6.59 9.29 5.25 0.36 6.25 4.78 6.82 7.42 5.26 4.48 4.7 6.35 7.4 3.85 4.75 2.43 4.79 3.67 6.33 4.03 5.03 2.17 2.52 8.31 2.44 2.39 6.24
"40" 1.58 2.24 4.29 5.09 4.5 8.04 5.56 7.33 1.32 5.07 3.89 5.39 4.8 2.19 5.3 4.66 7.24 2.74 3.31 2.84 2.42 5.62 5.13 4.52 1.94 6.63 3.78 3.85 4.37 3.16 2.79 4.12 3.01
"41" 4.74 8.27 7.46 8.63 5.97 5.28 6.57 4.6 6.24 6.41 2.4 5.8 6.78 4.28 7.67 3.43 10.7 2.8 4.39 4.23 7.34 3.55 3.78 7.06 3.69 2.95 6.31 3.71 3.54 0.73 4.93 6.48 0.74
"42" 3.74 0.51 7.57 5.19 3.06 2.9 6.15 0.7 5.57 4.76 5.75 6.26 5.15 7.01 2.25 5.99 5.31 7.96 3.31 3.19 5.02 4.15 5.28 6.43 2.87 4.42 5.83 3.16 3.91 3.33 5.84 4.94 6.13
"43" 7.12 3.82 2.48 2.3 3.77 9.19 4.29 5.54 4.39 6.12 5.97 4.01 4.78 2.72 4.52 4.55 3.09 4.81 2.12 5.6 6.39 2.08 3.6 4.94 5.21 2.72 2.33 3.34 7.08 4.74 3.33 4.83 2.66
"44" 6.13 7.29 6.36 5.22 7.6 6.42 5.61 6.82 3.66 5.87 4.9 4.06 4.97 5.56 4.97 2.18 5.1 7.37 6.39 8.09 4.6 10.13 3.84 6.75 3.31 9 4.13 6 5.91 5.15 8.44 7.59 3.63
"45" 4.41 0.36 5.33 3.94 3.6 3.14 0.99 4.13 2.48 4.05 4.58 5.84 4.66 5.05 0.94 5.6 5.56 6.18 5.05 2.73 6.86 5.83 7.57 9 3.7 7.83 6.51 2.63 5.01 1.93 1.12 3.94 5.22
"46" 3.51 2.32 3.15 1.56 5.49 7.86 2.66 6.8 1.38 1.82 7.19 5.13 6.18 5.74 4.82 6.61 2.6 7.6 6.81 8.62 5.86 7.99 6.36 5.27 2.6 2.48 2.71 3.3 5.19 8.19 0.03 2.97 5.05
"47" 6.5 4.23 4.32 3.55 5.02 7.02 5.8 4.7 8.85 6.68 2.72 3.39 5.01 7.23 5.29 2.98 4.95 4.07 3.73 5.5 3.24 5.26 5.5 4.79 7.44 5.8 4.87 4.35 4.94 6.21 5.02 7.8 3.63
"48" 8.76 0.77 7.46 3.15 5.22 4.06 4.53 8.04 4.74 4.29 3.79 6.28 5.51 5.35 4.92 2.45 6.06 7.31 3.66 7.5 6.24 3.18 4.85 3.89 7.28 7.01 7.49 7.84 4.15 4.82 5.25 4.69 1.5
"49" 5.82 2.59 5.62 3.76 3.53 5.53 8.32 2.87 3.98 -0.13 4.31 3.99 3.87 4.43 2.97 4.32 5.8 4.75 4.42 5.83 7.38 4.84 1 5.22 5.88 3.24 2.78 8.76 7.07 6 3.72 1.91 6.63
"50" 6.86 1.86 6.74 6.05 3.22 5.08 3.35 6.14 6.97 4.75 7.35 5.45 -0.55 2.63 6.19 7.4 5.58 4.3 3.43 4.53 5.48 5.85 9.34 7.15 7.08 7.42 4.39 4.95 1.62 9.38 3.99 4.28 3.87
"51" 6.91 8.58 3.71 4.41 1.87 0.81 8.72 4.55 6.49 5.57 5.6 4.65 3.43 5.91 6.91 1.42 4.5 6.69 7.57 3.02 8.21 0.43 3.03 7.8 4.93 5.12 5.75 6.76 3.8 5.54 3.82 3.67 5.65
"52" 6.17 3.23 2.73 4.64 5.57 5.52 8.06 7.18 4.51 0.7 5.99 4.96 7.09 4.03 4.11 6.37 5.61 1.18 3.43 7.45 4.83 6.49 5.02 4.23 6.2 4.68 2.26 8.11 3.84 5.44 7.87 7.19 6.82
"53" 5.51 4.24 5.34 1.24 3.4 4.43 5.12 5.14 5.72 6.17 5.01 2.63 6.87 4.99 5.2 1.3 6.97 6.56 5.15 2.78 4.16 7.97 8.12 3.92 3.43 5.38 7.33 4.95 6.22 4.62 2.37 7.21 6.69
"54" 4.75 3.16 4 6.99 3.79 7.41 6.42 6.66 7.46 4.87 2.63 6.17 2.74 5.8 5.14 4.86 5.06 8.78 4.05 4.56 4.3 6.04 3.32 2.64 6.63 6.57 3.67 6.04 4.37 5.77 6.09 5.36 3.84
"55" 3.1 6.87 8.04 3.61 5.26 4.19 3.46 5.79 6.78 4.34 5.49 4.84 5.16 0.07 7.77 4.95 7.26 4.95 2.76 4.74 6.54 10.27 6.31 6.74 4.5 2.2 7.97 4.57 6.31 4.81 5.88 0.78 4.23
"56" 3.66 1.45 3.32 5.88 5.65 6.68 8.14 -1.72 5.6 3.64 4.41 3.14 2.96 2.95 4.59 3.61 5.86 3.87 6.6 7.32 4.03 9.15 2.45 5.59 2.7 5.59 4.94 3.16 3.99 5.95 5.61 7.18 3.84
"57" 8.14 6.08 6.06 7.24 5.84 8.03 4.54 2.49 7.34 8.59 3.33 4.34 4.07 5 7.76 4.17 2.42 4.56 4.87 9.1 5.31 4.44 5.84 4.03 1.83 3.3 5.46 5.29 3.74 6.78 7.01 4.41 6.05
"58" 4.94 6.51 4 3.95 4.66 -0.41 5.51 0.99 5.45 3.47 4.82 4.53 1.66 5.89 7.63 3.81 3.99 6.07 5.95 1.2 3.83 3.99 5.68 2.25 0.77 4.63 0.34 4.95 5.2 2.49 4.48 6.27 2.61
"59" 3.37 0.36 9.82 6.2 5.88 5.74 1.46 7.88 6.51 2.48 3.86 1.73 4.47 2.9 5.77 3.02 5.57 7.55 4.75 6.22 8.54 7.18 7.89 4.01 -1.22 6.52 4.72 6.54 4.78 4.85 5.05 5.08 7.07
"60" 6.72 3.68 7.54 6.5 8.76 3.55 0.54 6.24 3.85 10.52 4.44 2.5 7.05 3.66 2.53 2.57 1.72 5.6 2.9 3.7 2.42 2.76 3.44 6.09 3.13 7.44 6.35 3.76 5.57 11.12 3.73 -0.14 3.99
"61" 3.17 5.07 6.4 3.29 5.05 3.8 7.26 6.79 5.79 5.49 6.31 6.96 6.24 5.46 1.91 6.32 5.31 0.45 5.85 2.64 4.24 5.57 4.06 3.04 2.21 3.96 0.63 2.18 -0.34 6.92 3.98 9.73 3.29
"62" 5.58 4.47 5.71 4.86 3.81 4.66 6.53 5.79 7.37 5.56 6.2 7.54 6.04 4.21 2.64 8.1 5.86 6.96 3.63 1.9 4.88 5.93 1.65 5.19 4.95 4.39 7.32 4.42 3.29 1.7 3.85 7.21 5.62
"63" 8.45 7.96 3.4 4.83 5.43 6.95 5.79 5.33 4.62 4.26 4.66 6.74 6.08 4.43 5.58 5.77 5.87 4.3 1.73 4.89 7.47 7.02 6.18 1.88 4.88 5.43 3.19 4.2 4.17 2.03 4.68 0.65 1.13
"64" 4.1 3.51 2.2 7.47 2.63 1.91 6.31 5.22 0.34 -0.88 4.9 2.34 3.14 3.33 2.4 12.57 5.74 3.45 3.73 6.1 3.61 2.8 8.41 4.69 5.96 3.17 5.81 2.8 5.21 3.38 3.03 6.94 3.86
"65" 4.1 6.08 5.71 5.37 5.57 4.89 3.65 5.44 5.69 3.83 3.54 9.11 5.96 6.16 4.91 2.84 5.16 7.72 3.28 7.6 11.57 5 6.62 2.12 0.51 1.23 1.63 5.18 3.07 5.52 5.11 7.8 5.18
"66" 4.45 5.69 6 5.15 4.83 8.71 11.26 2.21 4.29 3.57 4.29 5.24 2.94 3.72 6.06 4.58 4.57 4.1 6.49 8.32 5.4 3.35 5.12 8.7 5.55 6.34 3.73 8.45 8.86 7.1 3.44 6.25 6.16
"67" 3.99 1.01 2.39 5.06 3.02 6.13 7.9 8.78 3.88 4.43 3.65 6.9 5.78 7.13 5.11 6.43 7.8 5.67 5.11 7.79 4.14 7.04 5.91 4.68 4.66 3.66 3.58 8.88 5.21 7.79 8.28 6.82 6.29
"68" 3.95 3.3 4.78 2.28 6.26 5.95 6.66 6.2 5.76 7.77 2 4.95 2.49 4.2 4.94 3.22 7.75 4.78 3.46 5.59 5.18 3.38 4.36 7.49 5.2 3.88 5.2 5.62 4.21 5.07 5.75 6.43 3.9
"69" 3.36 3.27 4.81 7.27 3.68 3.95 4.96 5.92 2.6 1.82 4.93 6.06 6.25 4.63 3.13 3.81 7.82 3.35 0.92 4.62 5.67 4.58 5.28 6.18 5.9 5.32 2.81 5.69 1.09 1.84 1.28 4.4 6.21
"70" 4.38 7.28 3.88 3.81 1.51 7.17 3.54 3.74 5.2 7.86 2.97 6.43 5.13 4.9 0.4 3.99 4.46 3.59 5.46 4.54 5.73 6.13 5.68 3.91 3.35 3.73 5.64 7.98 11.71 2.72 4.65 -0.83 3.97
"71" 5.85 3.1 4.97 4.15 6.14 1.44 2.65 7.63 1.64 3.89 5.49 5.51 4.34 5.36 9.04 2.96 7.74 8.46 2.63 4.01 5.87 4.56 7.65 2.46 5.1 3.35 6.91 7.19 6.52 4.28 4.1 6.12 5.45
"72" 3.35 4.8 5.41 3.97 5.28 6.88 7.44 6.92 7.3 5.1 9.18 3.52 3.44 6.55 4.7 5.24 5.28 5.49 4.17 3.95 6.54 5.88 3.85 4.72 3.17 5.38 4.53 9.29 4.57 5.18 7.05 3.59 7.43
"73" 0.99 6.41 7.59 6.62 2.42 3.4 5.57 1.89 4.65 6.34 7.44 6.61 2.67 5.47 2.23 1.31 2.49 5.08 4.19 9.51 2.76 7.67 6.25 5.81 9.19 8.4 4.24 2.68 5.48 7.03 3.41 5.02 1.26
"74" 5.31 8.07 5.21 8.64 5.91 5.29 4.39 7.27 4.68 8.75 5.14 2.83 5.15 7.66 3.74 6.78 5.64 0.09 8.34 9.45 5.13 6.37 3.59 10.58 3.05 2.18 5.88 6.44 0.74 1.25 6.19 8.54 6.95
"75" 6.46 5.69 3.1 2.98 4.72 5.07 4.38 6.76 7.2 4.52 2.59 3.38 6.37 5.89 3.28 4.8 4.21 6.06 5.65 5.23 5.09 6.54 4.4 9.61 3.81 9.82 3.06 4.95 2.4 6.16 7.34 4.23 4.5
"76" 2.84 3.17 3.92 3.91 2.96 5.84 4.2 3.8 6.66 4.11 6.3 4.72 6.51 1.23 5.34 2.57 6.84 2.48 7.05 5.29 4.63 6.16 5.59 3.96 10.24 7.06 7.14 5.58 4.27 4.34 2.13 8.5 5.53
"77" 8.46 5.45 3.86 1.82 2.79 3.65 3.76 6.05 3.9 4.67 5.67 5.42 4.33 7.26 8 4.65 2.63 6.18 4.38 5.82 2.62 6.57 2.27 3.82 4.53 4.67 4.43 3.25 2.24 6.18 7.28 6.92 7.15
"78" 7.08 4.34 4.86 7.59 3.17 3.82 7.48 4.03 6.11 9.51 4.2 2.93 5.82 4.88 4.49 4.95 5.28 7.11 6.23 2.54 8.24 3.67 4.3 1.3 5.77 7.07 5.38 6.39 5.41 5.85 4.74 2.99 1.93
"79" 5.71 4.71 9.1 4.29 6.3 4.4 4.81 4.43 6.75 4.27 5.38 6.71 5.06 5.11 3.59 1.83 4.14 5.41 3.28 6.08 4.76 4.04 8.55 3.29 7.25 4.39 8.03 6.8 5.3 3.21 7.9 7.99 7.12
"80" 5.6 2.17 3.14 7.38 0.97 2.76 -0.54 3.04 1.11 1.55 6.25 5.31 8.97 8.18 1.54 7.31 4.99 6.6 4.46 2.33 6.65 3.24 4.57 2.27 0.73 7.04 5.78 4.54 0.97 3.75 0.52 3.52 2.95
"81" 3.84 7.36 3.57 4.08 5.14 6.27 7.37 4.6 3.13 2.26 2.16 4.89 9.89 9.07 4.98 2.9 2.71 4.28 6 2.42 5.76 4.98 7.94 5.86 4.64 8.37 7.14 5.22 5.95 6.91 3.43 6.49 4.4
"82" 6.06 3.55 3.14 4.68 7.46 7.45 4.03 3.32 3.48 0.74 1.99 7.46 3.8 4.12 6.12 4.35 5.39 5.75 5.26 3.06 3.95 4.79 5.9 1.56 2.58 1.83 3.81 3.69 4.53 5.33 5.42 5.25 6.09
"83" 3.54 4.49 6.19 8.96 6.8 1.99 5.91 2.85 4.19 4.2 2.26 2.59 5.26 5.52 9.41 6.8 5.7 0.68 1.09 6.71 3.67 4.87 2.46 6.1 5.84 4.85 5 6.57 5.89 4.95 2.45 4 4.69
"84" 3.83 7.12 4.97 5.42 5.21 6.91 4.57 4.8 7.02 5.04 2.44 3.67 4.45 6.67 3.54 3.66 8.45 2.42 4.77 5.16 6.89 5.83 7.52 2.93 4.34 4.69 9.11 4 5.78 6.17 3.5 7.12 0.39
"85" 6.87 6.11 2.49 3.78 5 7.17 5.27 5.47 3.86 8.46 4.53 4.75 4.14 3.43 6.6 3.81 0.75 6.87 8.07 6.55 6.46 6.15 0.15 6.94 3.75 3.54 2.45 3.46 3.18 8.17 6.82 2.22 3.37
"86" 3.96 6.87 7.21 3.9 6.24 8.07 7.78 3.38 6.21 6.53 2.55 4.04 5.21 8.08 3.56 6.44 9.91 3.04 5.3 5.02 2.67 5.51 2.25 5.32 4.14 3.56 2.81 5.95 3.8 6.49 4.62 3.92 4.89
"87" 4.9 2.07 5.84 4.75 7.26 2.88 8.88 4.37 4.16 5.05 2.89 5.3 3.17 6.06 8.23 7.28 5.03 5.82 4.76 3.5 4.31 3.74 3.02 5.37 6.62 9.51 6.97 4.47 2.51 2.95 4.8 6.8 7.69
"88" 2.43 5.46 5.06 5.97 3.58 5.56 5.21 4.28 8.48 6.58 5.09 1.54 7.32 3.81 4.49 3.62 5.93 4.55 3.1 4.98 3.08 7.42 3.29 1.48 7.15 1.95 5.11 7.3 2.2 6.21 5.8 5.66 5.5
"89" 4.83 0.76 5.42 3.17 3.61 6.7 -0.03 5.35 7.7 1.66 5.6 6.73 5.31 8.94 0.37 2.53 4.02 4.84 3.94 5.96 5.33 5.35 5.1 7.85 2.53 7.09 1.97 6.72 7.3 4.69 4.86 5.61 5.95
"90" 5.49 5.15 7.41 5.12 5.22 6.56 7.54 3.35 6.37 8.74 2.86 4.4 5.74 3.1 8.9 3.73 9.58 4.79 3.76 5 5.85 7.02 2.27 6.76 2.44 7.18 7.13 7.49 2.82 3.69 5.87 5.23 3.77
"91" 1.47 10.79 5.95 1.53 4.1 5.26 1.59 7.4 4.98 6.91 4.68 5.31 1.36 2.53 5.05 5.16 2.05 5.49 2.96 4.22 4.32 2.97 5.44 4.48 9.41 5.99 5.11 6.36 4.66 1.3 6.37 1.92 4.31
"92" 8.25 6.94 3.71 4.17 5.11 4.01 6.7 8.62 8.45 4.89 3.06 2.62 7.59 5.22 7.42 7.57 3.53 5.5 5.12 2 4.97 3.24 10.45 4.29 11.53 6.12 6.73 5.48 6.87 5.58 7.8 4.41 3.63
"93" 3.37 3.23 5.47 5.11 5.4 7.01 5.26 3.35 8.82 7.16 5.87 4.35 5.37 4.66 5.12 3.4 3.88 6.38 4.75 7.37 5.51 6.13 5.97 5.07 5.6 2.73 6.6 5.96 9.21 6.22 6.31 6.04 4.94
"94" 0.08 0.68 6.78 7.8 6.74 0.5 6.18 5.82 2.07 9.39 2.18 5.03 3.4 6.12 6.1 4.12 5.02 1.27 3 4.16 1.02 4.33 3.41 6.33 5.44 2.84 5.56 0.46 5.28 7.19 6.59 5.44 1
"95" 2.83 7.06 5.33 5.68 7.45 4.73 4.96 5.2 4.37 0.41 6.38 4.44 6.95 3.52 4.32 4.24 6.1 3.85 6.35 5.26 7.98 5.18 4.2 3.78 2.08 6.76 5.85 5.56 4.04 3.79 9.58 9.06 5.64
"96" 7.12 0.24 5.4 4.83 4.96 7.3 5.81 4.6 7.41 7.21 3.29 2.78 6.15 5.69 2.1 6.52 5.11 4.85 4.06 3.71 7.3 4.25 3.5 5.45 2.98 7.22 2 3.74 4.33 6.29 4.34 3.3 2.64
